// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07338		9.650364	-0.697890	-1.591681	-0.001596	-0.001892	-0.009718	-0.868896	0.260254	-0.312256	0.636836	-0.189639	-0.738367	-0.115283
07339		9.644780	-0.720560	-1.602088	0.000063	-0.000995	-0.010099	-0.868652	0.256836	-0.311523	0.636813	-0.189547	-0.738399	-0.115361
07340		9.659429	-0.722213	-1.562450	-0.006407	-0.000019	-0.008575	-0.872070	0.259521	-0.313477	0.636792	-0.189482	-0.738412	-0.115501
07341		9.662198	-0.748665	-1.568786	-0.000226	-0.000280	-0.007339	-0.866699	0.258545	-0.322510	0.636782	-0.189402	-0.738431	-0.115565
07342		9.661321	-0.725072	-1.547313	0.008546	-0.002485	-0.007847	-0.866699	0.256104	-0.314941	0.636785	-0.189208	-0.738479	-0.115558
07343		9.645670	-0.699464	-1.541941	0.010523	-0.002088	-0.008083	-0.869141	0.264648	-0.310303	0.636795	-0.189013	-0.738525	-0.115529
07344		9.658992	-0.691519	-1.565849	-0.003779	-0.002880	-0.006306	-0.867188	0.260254	-0.329346	0.636746	-0.189064	-0.738547	-0.115578
07345		9.658767	-0.731262	-1.577917	-0.004857	-0.003266	-0.003145	-0.866211	0.266357	-0.308594	0.636729	-0.189020	-0.738561	-0.115654
07346		9.668989	-0.699172	-1.547605	0.009517	0.000936	-0.006031	-0.870117	0.265381	-0.303467	0.636738	-0.188989	-0.738573	-0.115578
07347		9.659383	-0.685921	-1.590317	0.013760	0.001015	-0.009267	-0.868652	0.269775	-0.321777	0.636756	-0.188897	-0.738595	-0.115487
07348		9.645280	-0.707567	-1.580499	0.007181	-0.004098	-0.010232	-0.869385	0.269287	-0.307373	0.636782	-0.188836	-0.738592	-0.115458
07349		9.656477	-0.696059	-1.572453	0.004327	-0.003169	-0.011123	-0.862061	0.262207	-0.319092	0.636715	-0.188821	-0.738654	-0.115458
07350		9.647697	-0.734651	-1.540234	-0.004067	-0.000527	-0.012267	-0.872559	0.259521	-0.313477	0.636725	-0.188754	-0.738642	-0.115589
07351		9.666725	-0.740726	-1.564968	-0.000621	-0.000424	-0.016214	-0.864258	0.253906	-0.314697	0.636717	-0.188615	-0.738666	-0.115712
07352		9.637001	-0.736720	-1.549615	0.010386	-0.003669	-0.015019	-0.866699	0.259033	-0.314209	0.636710	-0.188356	-0.738735	-0.115729
07353		9.658758	-0.730157	-1.569912	0.019682	-0.004653	-0.019681	-0.871826	0.267334	-0.305664	0.636721	-0.188046	-0.738815	-0.115664
07354		9.657285	-0.719559	-1.585880	0.015729	-0.001865	-0.019630	-0.863770	0.256348	-0.321045	0.636703	-0.187874	-0.738883	-0.115607
07355		9.654373	-0.731914	-1.543074	0.018275	0.000174	-0.018201	-0.869385	0.270020	-0.311279	0.636808	-0.187547	-0.738883	-0.115559
07356		9.659563	-0.718926	-1.570139	0.015858	-0.001613	-0.014510	-0.866211	0.258301	-0.317627	0.636843	-0.187447	-0.738896	-0.115440
07357		9.655933	-0.706625	-1.553503	0.010880	-0.000730	-0.013781	-0.858154	0.256592	-0.311768	0.636909	-0.187258	-0.738892	-0.115411
07358		9.662774	-0.700649	-1.565137	0.000613	0.000412	-0.011354	-0.870117	0.259521	-0.315186	0.636911	-0.187164	-0.738906	-0.115462
07359		9.663007	-0.697983	-1.564887	0.006860	0.001113	-0.011926	-0.868896	0.264404	-0.318359	0.636978	-0.187048	-0.738880	-0.115446
07360		9.664033	-0.719461	-1.562717	0.010759	-0.002615	-0.010181	-0.869873	0.263916	-0.320312	0.637050	-0.186970	-0.738852	-0.115359
07361		9.668000	-0.685789	-1.568355	0.021192	-0.000309	-0.011510	-0.863037	0.260254	-0.318848	0.637179	-0.186788	-0.738812	-0.115194
07362		9.657096	-0.651812	-1.565498	0.021970	0.001915	-0.013029	-0.864258	0.269287	-0.310303	0.637301	-0.186538	-0.738791	-0.115060
07363		9.660980	-0.660578	-1.557878	0.009317	-0.000475	-0.012300	-0.866943	0.265625	-0.311035	0.637307	-0.186515	-0.738804	-0.114978
07364		9.667849	-0.654638	-1.569218	-0.000978	0.002905	-0.012091	-0.873047	0.268066	-0.312256	0.637324	-0.186529	-0.738779	-0.115024
07365		9.670701	-0.682012	-1.551276	-0.002943	-0.001083	-0.011426	-0.866211	0.259277	-0.318604	0.637313	-0.186609	-0.738761	-0.115074
07366		9.679030	-0.684382	-1.523647	0.005760	0.000507	-0.011680	-0.873779	0.259277	-0.314453	0.637381	-0.186489	-0.738725	-0.115116
07367		9.673707	-0.707245	-1.533460	0.015825	-0.001206	-0.010931	-0.874268	0.262695	-0.315186	0.637421	-0.186312	-0.738748	-0.115036
07368		9.658893	-0.705133	-1.525524	0.023265	-0.001198	-0.011348	-0.861084	0.267334	-0.318604	0.637488	-0.186121	-0.738763	-0.114878
07369		9.682328	-0.707065	-1.529534	0.017595	-0.001384	-0.007990	-0.872070	0.265137	-0.317383	0.637590	-0.186059	-0.738713	-0.114740
07370		9.663918	-0.692910	-1.553030	0.013029	-0.003432	-0.005574	-0.862061	0.268066	-0.313721	0.637644	-0.186045	-0.738688	-0.114622
07371		9.679530	-0.676518	-1.523986	0.008424	0.000347	-0.005812	-0.869873	0.257324	-0.315918	0.637692	-0.186092	-0.738648	-0.114531
07372		9.657418	-0.693999	-1.541538	0.007480	-0.001738	-0.005823	-0.865967	0.259766	-0.319580	0.637725	-0.186000	-0.738648	-0.114503
07373		9.659319	-0.740314	-1.537397	0.012062	-0.003276	-0.007816	-0.864502	0.262451	-0.321045	0.637796	-0.185894	-0.738621	-0.114450
07374		9.657383	-0.777271	-1.516412	0.012785	-0.000648	-0.005732	-0.866699	0.264404	-0.313232	0.637918	-0.185844	-0.738541	-0.114366
07375		9.664144	-0.773169	-1.527658	0.022425	0.001690	-0.007789	-0.862061	0.269043	-0.317383	0.637993	-0.185728	-0.738538	-0.114159
07376		9.642769	-0.732510	-1.520379	0.033765	-0.000895	-0.007582	-0.867432	0.260498	-0.321777	0.638130	-0.185614	-0.738498	-0.113832
07377		9.663600	-0.746507	-1.553076	0.035369	-0.003396	-0.006858	-0.867188	0.264648	-0.313721	0.638280	-0.185367	-0.738475	-0.113545
07378		9.668289	-0.737983	-1.556671	0.022843	-0.002582	-0.007920	-0.865479	0.258057	-0.319336	0.638311	-0.185274	-0.738508	-0.113307
07379		9.656069	-0.724269	-1.544226	0.010350	-0.002658	-0.004945	-0.868408	0.257568	-0.317139	0.638380	-0.185206	-0.738477	-0.113227
