// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07338		9.631168	0.275293	-1.771530	-0.012060	0.001303	0.001064	-0.901611	0.223877	-0.367920	0.620640	-0.166116	-0.750221	-0.156143
07339		9.636907	0.225122	-1.768639	0.004801	0.001187	-0.001290	-0.901611	0.218018	-0.362793	0.620658	-0.166064	-0.750224	-0.156110
07340		9.642298	0.280160	-1.740664	0.007470	0.002786	-0.001011	-0.905273	0.218750	-0.366455	0.620702	-0.165945	-0.750223	-0.156067
07341		9.631857	0.271732	-1.741019	0.000983	0.003693	-0.003810	-0.898438	0.218506	-0.373535	0.620744	-0.165841	-0.750202	-0.156110
07342		9.659297	0.252146	-1.753705	0.003887	0.000485	-0.003061	-0.897949	0.215332	-0.366211	0.620773	-0.165696	-0.750208	-0.156121
07343		9.641824	0.270980	-1.730853	0.001774	0.001933	-0.003902	-0.902344	0.224365	-0.366943	0.620808	-0.165568	-0.750200	-0.156157
07344		9.659004	0.240076	-1.725188	0.003980	0.003241	-0.005334	-0.897949	0.220947	-0.381348	0.620840	-0.165506	-0.750187	-0.156160
07345		9.644364	0.303377	-1.735067	0.010473	0.003489	-0.006602	-0.897217	0.226807	-0.359375	0.620915	-0.165278	-0.750180	-0.156134
07346		9.634004	0.294499	-1.725947	-0.002600	0.001389	-0.005861	-0.901367	0.221436	-0.355225	0.620897	-0.165336	-0.750171	-0.156184
07347		9.649623	0.260739	-1.770197	0.002657	0.001718	-0.001375	-0.903320	0.229492	-0.372803	0.620914	-0.165350	-0.750158	-0.156163
07348		9.638750	0.256439	-1.799676	0.009212	0.003804	-0.004159	-0.903076	0.231445	-0.363281	0.621032	-0.165299	-0.750086	-0.156095
07349		9.652602	0.287799	-1.745471	0.009595	0.002436	-0.003413	-0.893311	0.224121	-0.372803	0.621058	-0.165305	-0.750083	-0.156002
07350		9.643096	0.287432	-1.735045	0.009607	0.002319	-0.001760	-0.903809	0.220703	-0.370605	0.621134	-0.165209	-0.750055	-0.155938
07351		9.648808	0.238547	-1.741417	0.002730	0.003437	-0.001240	-0.896484	0.213623	-0.369385	0.621202	-0.165147	-0.750012	-0.155936
07352		9.639935	0.250581	-1.748517	0.004076	0.004726	-0.001895	-0.897461	0.221436	-0.367188	0.621264	-0.165000	-0.749991	-0.155945
07353		9.640385	0.248466	-1.728109	0.006197	0.004430	-0.005121	-0.902588	0.227539	-0.361816	0.621318	-0.164906	-0.749972	-0.155926
07354		9.651149	0.258199	-1.725705	0.011490	0.006831	-0.005464	-0.893311	0.222656	-0.374268	0.621381	-0.164845	-0.749949	-0.155847
07355		9.650440	0.250680	-1.735228	0.007141	0.006052	-0.004114	-0.898682	0.233887	-0.366455	0.621515	-0.164743	-0.749868	-0.155808
07356		9.649844	0.242091	-1.735172	0.004943	0.005895	-0.006748	-0.895996	0.220703	-0.370850	0.621591	-0.164780	-0.749804	-0.155778
07357		9.640339	0.244478	-1.733452	0.001928	0.006520	-0.007707	-0.891357	0.218506	-0.364990	0.621684	-0.164674	-0.749741	-0.155821
07358		9.651883	0.264788	-1.729746	0.000955	0.003980	-0.007958	-0.901367	0.220215	-0.365479	0.621701	-0.164571	-0.749739	-0.155869
07359		9.651077	0.258405	-1.739696	0.000126	0.004879	-0.007938	-0.898926	0.227539	-0.370117	0.621739	-0.164500	-0.749714	-0.155917
07360		9.661296	0.256888	-1.719012	0.010212	0.008532	-0.010405	-0.901611	0.225098	-0.376221	0.621870	-0.164393	-0.749636	-0.155882
07361		9.663051	0.279008	-1.724308	0.010587	0.006016	-0.005587	-0.894775	0.222656	-0.372070	0.622032	-0.164293	-0.749538	-0.155808
07362		9.655978	0.309570	-1.718606	0.001090	0.006269	-0.003622	-0.895508	0.233643	-0.364014	0.622139	-0.164261	-0.749454	-0.155818
07363		9.651957	0.264602	-1.743063	0.001141	0.006956	-0.001072	-0.895264	0.226562	-0.364258	0.622198	-0.164408	-0.749381	-0.155781
07364		9.643342	0.275153	-1.739762	0.007226	0.007602	-0.001504	-0.900879	0.228760	-0.365723	0.622265	-0.164409	-0.749339	-0.155713
07365		9.673440	0.265852	-1.690449	0.008930	0.006550	0.000178	-0.896484	0.220459	-0.373291	0.622337	-0.164449	-0.749292	-0.155613
07366		9.663162	0.256163	-1.690193	0.013233	0.005324	0.002829	-0.902100	0.220947	-0.370850	0.622479	-0.164344	-0.749224	-0.155482
07367		9.663759	0.270001	-1.726251	0.007635	0.005948	0.003382	-0.903809	0.227295	-0.368164	0.622587	-0.164304	-0.749161	-0.155392
07368		9.660184	0.219001	-1.721492	0.013837	0.009060	0.004803	-0.893311	0.229492	-0.375244	0.622713	-0.164324	-0.749087	-0.155225
07369		9.642777	0.236966	-1.707092	0.018417	0.005148	0.002277	-0.901367	0.228760	-0.373047	0.622891	-0.164303	-0.748984	-0.155030
07370		9.664081	0.253491	-1.703794	0.009738	0.004619	0.002567	-0.891846	0.231934	-0.369385	0.623006	-0.164356	-0.748902	-0.154909
07371		9.653724	0.243283	-1.704050	0.014449	0.003002	0.004380	-0.900146	0.221191	-0.375488	0.623098	-0.164442	-0.748847	-0.154713
07372		9.663689	0.239372	-1.694154	0.019151	0.001499	0.004535	-0.898438	0.224365	-0.373291	0.623222	-0.164316	-0.748813	-0.154509
07373		9.660441	0.200260	-1.708712	0.017457	0.002437	0.004503	-0.895264	0.226074	-0.376221	0.623333	-0.164256	-0.748776	-0.154308
07374		9.659050	0.178111	-1.701122	0.024801	0.002819	0.000787	-0.898438	0.227051	-0.366699	0.623495	-0.164127	-0.748719	-0.154065
07375		9.652508	0.218927	-1.714296	0.029187	0.004458	-0.000516	-0.893066	0.233887	-0.374512	0.623560	-0.163989	-0.748757	-0.153762
07376		9.644232	0.223432	-1.672952	0.017113	0.005917	-0.001931	-0.896484	0.225098	-0.375732	0.623721	-0.164044	-0.748647	-0.153589
07377		9.651471	0.196338	-1.695506	0.015644	0.002216	-0.003948	-0.896484	0.227051	-0.369629	0.623834	-0.163938	-0.748601	-0.153466
07378		9.661276	0.195667	-1.695288	0.018243	0.002045	-0.002986	-0.896729	0.222656	-0.377197	0.623878	-0.163869	-0.748617	-0.153282
07379		9.651640	0.196780	-1.694493	0.018710	0.003537	-0.006184	-0.898193	0.221924	-0.371094	0.624019	-0.163672	-0.748569	-0.153156
07380		9.662181	0.207777	-1.702398	0.020845	0.003121	-0.007763	-0.893311	0.224365	-0.372070	0.624070	-0.163445	-0.748608	-0.153001
07381		9.643594	0.219928	-1.700191	0.016044	0.001933	-0.006456	-0.892334	0.225342	-0.370361	0.624134	-0.163324	-0.748607	-0.152869
07382		9.637124	0.260043	-1.694548	0.010420	0.001588	-0.004300	-0.898193	0.220215	-0.373779	0.624168	-0.163297	-0.748606	-0.152765
07383		9.636293	0.252260	-1.704977	0.003133	0.003095	-0.002934	-0.900146	0.221436	-0.375977	0.624218	-0.163222	-0.748584	-0.152751
07384		9.675118	0.232106	-1.648484	0.002210	0.001249	-0.000621	-0.900146	0.221680	-0.373535	0.624272	-0.163199	-0.748547	-0.152731
07385		9.657901	0.150097	-1.688437	-0.006881	0.001166	-0.000299	-0.893555	0.222656	-0.374023	0.624275	-0.163262	-0.748520	-0.152788
07386		9.647106	0.145806	-1.718208	0.012136	0.001676	-0.006695	-0.902100	0.221924	-0.371582	0.624349	-0.163136	-0.748503	-0.152704
07387		9.652174	0.202088	-1.690821	0.024716	0.002522	-0.007607	-0.900391	0.229736	-0.372803	0.624374	-0.162898	-0.748573	-0.152514
07388		9.657643	0.253522	-1.624636	0.003940	0.002468	-0.007097	-0.890625	0.221680	-0.366455	0.624390	-0.163007	-0.748540	-0.152494
07389		9.651376	0.196642	-1.700840	-0.006951	0.000738	-0.006988	-0.898438	0.225830	-0.376953	0.624318	-0.163044	-0.748577	-0.152568
07390		9.643307	0.217368	-1.688361	-0.000939	-0.000334	-0.007564	-0.900146	0.224365	-0.371338	0.624366	-0.163094	-0.748516	-0.152615
07391		9.672604	0.215399	-1.679104	-0.003864	0.001787	-0.005081	-0.892578	0.227783	-0.371094	0.624337	-0.163169	-0.748513	-0.152667
07392		9.645021	0.238239	-1.675622	-0.004755	0.000855	-0.003532	-0.896240	0.232178	-0.375000	0.624343	-0.163354	-0.748462	-0.152697
07393		9.646622	0.258296	-1.672879	-0.012100	0.000474	0.000195	-0.893066	0.221924	-0.363770	0.624379	-0.163721	-0.748335	-0.152778
07394		9.673404	0.226720	-1.677574	-0.012206	-0.003403	0.006571	-0.895996	0.224854	-0.372314	0.624229	-0.163920	-0.748416	-0.152782
07395		9.669127	0.179779	-1.704044	-0.005704	-0.003256	0.006942	-0.901611	0.229492	-0.369141	0.624215	-0.164116	-0.748390	-0.152755
07396		9.661875	0.205310	-1.681477	0.001213	-0.003560	0.007304	-0.896484	0.233887	-0.362793	0.624136	-0.164379	-0.748419	-0.152653
07397		9.649640	0.175071	-1.685955	-0.000503	-0.003648	0.009697	-0.897461	0.230469	-0.371582	0.623997	-0.164802	-0.748469	-0.152521
07398		9.664153	0.113412	-1.695080	0.010233	-0.005196	0.006854	-0.890869	0.226562	-0.373047	0.623990	-0.164994	-0.748468	-0.152345
07399		9.658048	0.163206	-1.708990	0.017198	-0.003508	0.003197	-0.897705	0.228271	-0.368164	0.624069	-0.164984	-0.748448	-0.152129
07400		9.666158	0.140592	-1.702861	0.011592	-0.002775	0.002105	-0.903076	0.229492	-0.374512	0.624024	-0.165053	-0.748504	-0.151963
07401		9.657332	0.147773	-1.682707	0.018935	-0.002398	-0.001627	-0.889648	0.222168	-0.378418	0.624055	-0.165046	-0.748515	-0.151791
07402		9.657691	0.160951	-1.711220	0.014577	-0.003067	-0.001915	-0.902344	0.233643	-0.375244	0.624210	-0.164880	-0.748449	-0.151657
07403		9.661236	0.194430	-1.668012	0.014229	-0.000843	-0.002613	-0.887695	0.232422	-0.369385	0.624258	-0.165006	-0.748407	-0.151532
07404		9.650216	0.190629	-1.708091	0.011189	-0.001194	-0.001972	-0.888916	0.226318	-0.371338	0.624298	-0.165148	-0.748372	-0.151385
07405		9.660865	0.198318	-1.697320	0.007423	0.001988	-0.001955	-0.901855	0.220703	-0.374023	0.624377	-0.165142	-0.748325	-0.151295
07406		9.658418	0.170725	-1.710372	0.002210	0.001249	-0.000625	-0.901855	0.218994	-0.369141	0.624395	-0.165030	-0.748339	-0.151277
07407		9.648141	0.159338	-1.691815	0.004353	0.000724	-0.000546	-0.895020	0.231689	-0.376953	0.624337	-0.164867	-0.748435	-0.151217
07408		9.657448	0.259025	-1.629937	-0.010908	-0.002803	0.003374	-0.897705	0.233154	-0.376953	0.624393	-0.165196	-0.748306	-0.151272
07409		9.654603	0.118260	-1.688364	-0.029566	-0.004350	0.005577	-0.902588	0.229980	-0.367920	0.624382	-0.165715	-0.748156	-0.151488
07410		9.653012	0.116255	-1.748470	-0.006154	-0.002368	0.000330	-0.900879	0.234375	-0.369385	0.624264	-0.165906	-0.748209	-0.151504
07411		9.656762	0.147739	-1.685980	0.001153	-0.002852	-0.003465	-0.894043	0.226807	-0.376953	0.624187	-0.166110	-0.748232	-0.151479
07412		9.656042	0.136426	-1.668593	-0.001890	-0.003149	-0.003652	-0.884277	0.232178	-0.370117	0.624253	-0.166139	-0.748164	-0.151515
07413		9.655752	0.138943	-1.679205	-0.004565	-0.004647	-0.005567	-0.892578	0.232178	-0.371094	0.624258	-0.166322	-0.748115	-0.151533
07414		9.644822	0.134241	-1.700464	-0.001459	-0.002521	-0.006913	-0.893311	0.232422	-0.369629	0.624251	-0.166450	-0.748088	-0.151557
