// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07338		9.650223	1.047409	-1.305971	-0.007143	-0.008385	-0.004308	-0.742432	-0.317139	0.593994	-0.187835	-0.740406	0.135727	-0.630948
07339		9.644673	1.084297	-1.289490	0.001158	-0.009628	-0.007567	-0.745605	-0.321289	0.598145	-0.187868	-0.740497	0.135671	-0.630843
07340		9.646969	1.107659	-1.295593	0.002915	-0.008648	-0.010015	-0.749756	-0.322266	0.595703	-0.187933	-0.740584	0.135571	-0.630743
07341		9.656233	1.090859	-1.298951	0.002407	-0.007421	-0.012657	-0.740967	-0.324707	0.587646	-0.188048	-0.740659	0.135444	-0.630649
07342		9.643772	1.071437	-1.282551	-0.002166	-0.006394	-0.008825	-0.741211	-0.322754	0.593262	-0.188254	-0.740690	0.135373	-0.630566
07343		9.638632	1.057549	-1.301198	-0.011123	-0.006868	-0.006176	-0.744385	-0.318115	0.593994	-0.188460	-0.740712	0.135407	-0.630471
07344		9.643338	1.067388	-1.305820	-0.011232	-0.008946	-0.008321	-0.739014	-0.318115	0.579590	-0.188614	-0.740769	0.135436	-0.630352
07345		9.654612	1.049705	-1.341317	0.003796	-0.007203	-0.018553	-0.740234	-0.313477	0.603516	-0.188788	-0.740845	0.135237	-0.630252
07346		9.640885	1.060196	-1.317217	0.015652	-0.001829	-0.018882	-0.745850	-0.318359	0.605225	-0.188684	-0.740960	0.134953	-0.630210
07347		9.658889	1.053350	-1.313635	0.013225	-0.003882	-0.015626	-0.742676	-0.311035	0.585693	-0.188614	-0.741067	0.134718	-0.630155
07348		9.663972	1.055299	-1.338558	0.002749	-0.008158	-0.006476	-0.744629	-0.310059	0.600098	-0.188584	-0.741098	0.134680	-0.630136
07349		9.661086	1.066203	-1.288321	0.004992	-0.009907	-0.003535	-0.736328	-0.318604	0.591064	-0.188430	-0.741234	0.134640	-0.630031
07350		9.636266	1.046602	-1.320648	0.010047	-0.007332	-0.003165	-0.745361	-0.320312	0.595215	-0.188379	-0.741306	0.134549	-0.629981
07351		9.635014	1.110773	-1.320485	0.017969	-0.010087	-0.008505	-0.738525	-0.328125	0.593506	-0.188272	-0.741440	0.134359	-0.629895
07352		9.644395	1.092736	-1.324355	0.021023	-0.006432	-0.008360	-0.739014	-0.320801	0.596191	-0.188243	-0.741547	0.134120	-0.629829
07353		9.649444	1.090035	-1.296421	0.018366	-0.007067	-0.009196	-0.745361	-0.312012	0.599609	-0.188159	-0.741665	0.133904	-0.629762
07354		9.665586	1.086296	-1.315116	0.013815	-0.008079	-0.006826	-0.737793	-0.319092	0.588135	-0.187993	-0.741779	0.133751	-0.629709
07355		9.656370	1.121832	-1.308079	0.011428	-0.009273	-0.007737	-0.744141	-0.306885	0.599365	-0.187983	-0.741839	0.133614	-0.629671
07356		9.634907	1.104393	-1.331695	0.016110	-0.009615	-0.009488	-0.736084	-0.319580	0.592529	-0.187770	-0.741972	0.133408	-0.629621
07357		9.648558	1.111077	-1.298202	0.011310	-0.008569	-0.009789	-0.732910	-0.319336	0.598877	-0.187786	-0.742061	0.133236	-0.629548
07358		9.663463	1.093278	-1.324897	0.001041	-0.007546	-0.009573	-0.741699	-0.317871	0.598389	-0.187872	-0.742159	0.133128	-0.629430
07359		9.656245	1.081646	-1.311530	0.002664	-0.006611	-0.012702	-0.740967	-0.315186	0.593262	-0.187943	-0.742228	0.132984	-0.629356
07360		9.645825	1.060952	-1.327463	0.007742	-0.007467	-0.013862	-0.743896	-0.312988	0.591064	-0.187964	-0.742285	0.132801	-0.629322
07361		9.643629	1.057493	-1.317625	0.004813	-0.009689	-0.013284	-0.737061	-0.317627	0.594238	-0.187981	-0.742327	0.132661	-0.629297
07362		9.659328	1.020029	-1.331641	-0.001759	-0.009728	-0.008324	-0.737061	-0.307617	0.601807	-0.188063	-0.742388	0.132618	-0.629210
07363		9.646565	1.011518	-1.349149	-0.001378	-0.011742	-0.004977	-0.739258	-0.312744	0.598633	-0.187937	-0.742508	0.132583	-0.629114
07364		9.650727	1.028814	-1.335001	0.011570	-0.012018	-0.007177	-0.742432	-0.311768	0.603271	-0.187782	-0.742630	0.132457	-0.629042
07365		9.651293	1.045029	-1.329981	0.020108	-0.010371	-0.009033	-0.739014	-0.320068	0.595947	-0.187516	-0.742776	0.132237	-0.628995
07366		9.669582	1.071021	-1.333207	0.015441	-0.010681	-0.008703	-0.745850	-0.317627	0.597412	-0.187460	-0.742869	0.132099	-0.628931
