// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07338		9.525111	0.666982	-2.279785	-0.006671	0.000649	-0.000430	-0.905518	0.089111	-0.368408	0.610014	-0.083082	-0.780526	-0.108441
07339		9.522792	0.640688	-2.261321	0.003531	0.002165	-0.002672	-0.902588	0.089600	-0.363281	0.610036	-0.083027	-0.780517	-0.108429
07340		9.524151	0.644085	-2.251596	0.007617	0.002039	-0.006478	-0.907715	0.086914	-0.366211	0.610048	-0.082930	-0.780522	-0.108398
07341		9.509508	0.659527	-2.263452	0.004240	0.001924	-0.005002	-0.902588	0.087646	-0.375488	0.610067	-0.082829	-0.780517	-0.108401
07342		9.528078	0.627774	-2.246019	0.002688	0.002853	-0.006860	-0.901123	0.083984	-0.369141	0.610095	-0.082703	-0.780503	-0.108439
07343		9.522940	0.645139	-2.259431	0.004041	0.002554	-0.006739	-0.905518	0.093994	-0.367920	0.610127	-0.082550	-0.780491	-0.108464
07344		9.519915	0.632050	-2.234010	0.006087	0.000952	-0.010349	-0.901367	0.089600	-0.381592	0.610126	-0.082479	-0.780500	-0.108459
07345		9.522196	0.660626	-2.251918	0.012631	0.002107	-0.009468	-0.900635	0.094971	-0.363281	0.610163	-0.082275	-0.780500	-0.108405
07346		9.513282	0.675150	-2.233883	0.002611	-0.001106	-0.006892	-0.904541	0.093994	-0.356201	0.610138	-0.082294	-0.780519	-0.108396
07347		9.535368	0.646353	-2.249001	0.003851	0.001460	-0.004926	-0.906494	0.098633	-0.375732	0.610143	-0.082324	-0.780517	-0.108361
07348		9.513855	0.638975	-2.263554	0.010921	0.004068	-0.006712	-0.906250	0.100586	-0.362305	0.610258	-0.082291	-0.780442	-0.108277
07349		9.518948	0.671862	-2.262216	0.011365	0.004641	-0.005999	-0.896484	0.095215	-0.373291	0.610290	-0.082296	-0.780432	-0.108164
07350		9.507958	0.658792	-2.225153	0.006779	0.004084	-0.003693	-0.907715	0.087891	-0.367676	0.610371	-0.082265	-0.780377	-0.108123
07351		9.516268	0.631802	-2.258643	0.003775	0.003368	-0.003693	-0.898682	0.082275	-0.370850	0.610423	-0.082206	-0.780345	-0.108107
07352		9.512508	0.624908	-2.285674	0.005121	0.004794	-0.007120	-0.900635	0.090088	-0.372559	0.610494	-0.082024	-0.780307	-0.108126
07353		9.519206	0.639537	-2.237909	0.008851	0.006331	-0.008046	-0.906250	0.095703	-0.363770	0.610595	-0.081898	-0.780246	-0.108083
07354		9.531519	0.647675	-2.219670	0.009776	0.006524	-0.007235	-0.898193	0.089355	-0.376221	0.610652	-0.081855	-0.780218	-0.108002
07355		9.520327	0.630186	-2.242140	0.009334	0.005950	-0.007945	-0.903076	0.100098	-0.365479	0.610783	-0.081713	-0.780136	-0.107962
07356		9.520518	0.631850	-2.240856	0.006132	0.005861	-0.009684	-0.897461	0.090332	-0.372070	0.610839	-0.081719	-0.780096	-0.107922
07357		9.531408	0.638360	-2.232156	0.003450	0.004436	-0.011940	-0.892822	0.088623	-0.366455	0.610914	-0.081599	-0.780045	-0.107961
07358		9.521997	0.639576	-2.229308	0.003306	0.005173	-0.012892	-0.905029	0.089844	-0.370361	0.610949	-0.081445	-0.780027	-0.108005
07359		9.531509	0.644027	-2.230095	0.001748	0.003312	-0.012601	-0.901855	0.096191	-0.377197	0.611010	-0.081356	-0.779983	-0.108050
07360		9.540045	0.624149	-2.203299	0.009848	0.006339	-0.011998	-0.903809	0.094727	-0.375732	0.611165	-0.081272	-0.779875	-0.108015
07361		9.531042	0.660885	-2.220812	0.012021	0.006019	-0.012630	-0.895508	0.091309	-0.375244	0.611307	-0.081158	-0.779783	-0.107960
07362		9.525993	0.678423	-2.233649	0.003056	0.005334	-0.004905	-0.897461	0.098877	-0.368652	0.611428	-0.081124	-0.779693	-0.107951
07363		9.538735	0.612170	-2.224906	0.001894	0.006722	-0.006837	-0.898682	0.096680	-0.367920	0.611507	-0.081178	-0.779628	-0.107935
07364		9.518483	0.655380	-2.242533	0.007095	0.009252	-0.004669	-0.906006	0.100586	-0.366699	0.611611	-0.081188	-0.779556	-0.107855
