// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07338		9.596305	-0.202545	-2.042554	-0.002440	-0.004575	-0.012372	-0.881104	-0.093018	0.722168	-0.065554	-0.771076	0.097384	-0.625828
07339		9.600946	-0.155595	-1.999166	-0.008541	-0.002786	-0.010925	-0.879395	-0.095947	0.726318	-0.065718	-0.771104	0.097348	-0.625782
07340		9.601122	-0.156950	-2.008712	-0.018456	-0.002694	-0.006737	-0.882324	-0.093750	0.722656	-0.065948	-0.771122	0.097428	-0.625724
07341		9.596577	-0.236367	-2.004133	-0.008632	-0.006014	-0.004050	-0.879395	-0.095215	0.718262	-0.066057	-0.771165	0.097460	-0.625653
07342		9.602839	-0.232522	-1.984749	0.013708	-0.005262	-0.010123	-0.877441	-0.098633	0.725342	-0.065998	-0.771227	0.097260	-0.625614
07343		9.594613	-0.195421	-1.992142	0.002947	-0.007044	-0.009522	-0.879883	-0.089111	0.724121	-0.066032	-0.771289	0.097153	-0.625552
07344		9.593938	-0.164249	-2.028890	0.000206	-0.005085	-0.007706	-0.876953	-0.091064	0.711914	-0.066082	-0.771326	0.097083	-0.625511
07345		9.593195	-0.162329	-1.997793	-0.009084	-0.005496	-0.006856	-0.877930	-0.087402	0.730225	-0.066218	-0.771357	0.097091	-0.625458
07346		9.610418	-0.259785	-2.016528	-0.000872	-0.004065	-0.007172	-0.879395	-0.090332	0.734375	-0.066284	-0.771378	0.097027	-0.625434
07347		9.582901	-0.254505	-2.041403	0.010194	-0.003698	-0.011565	-0.881348	-0.084473	0.716553	-0.066267	-0.771407	0.096842	-0.625429
07348		9.616185	-0.223684	-2.033094	0.000028	-0.005548	-0.012356	-0.881592	-0.082520	0.731445	-0.066339	-0.771440	0.096740	-0.625396
07349		9.608709	-0.226968	-1.999450	0.004764	-0.007667	-0.015665	-0.872314	-0.089111	0.721191	-0.066380	-0.771497	0.096574	-0.625348
07350		9.593633	-0.194707	-2.004436	0.014331	-0.008236	-0.018362	-0.883789	-0.093750	0.728271	-0.066355	-0.771567	0.096314	-0.625304
07351		9.606302	-0.149141	-2.047034	0.009350	-0.005569	-0.015162	-0.872070	-0.102295	0.724609	-0.066354	-0.771591	0.096126	-0.625304
07352		9.586754	-0.198828	-2.013134	0.006042	-0.003984	-0.013894	-0.875488	-0.093994	0.724854	-0.066413	-0.771614	0.095971	-0.625292
07353		9.594609	-0.231257	-2.008532	0.020107	-0.008158	-0.014089	-0.880615	-0.086426	0.729248	-0.066308	-0.771675	0.095704	-0.625270
07354		9.606420	-0.182460	-2.010184	0.021279	-0.007996	-0.015590	-0.873291	-0.092529	0.718750	-0.066165	-0.771725	0.095414	-0.625267
07355		9.598438	-0.165797	-1.997410	0.016135	-0.007983	-0.011764	-0.877197	-0.079590	0.729004	-0.066084	-0.771773	0.095209	-0.625247
07356		9.605424	-0.165559	-2.019422	0.006738	-0.004914	-0.010334	-0.869385	-0.094238	0.722412	-0.066015	-0.771784	0.095062	-0.625264
07357		9.580161	-0.223297	-2.047279	0.022408	-0.004614	-0.008971	-0.867920	-0.093506	0.729004	-0.065883	-0.771817	0.094825	-0.625273
07358		9.598372	-0.177741	-2.004211	0.028190	-0.007168	-0.010228	-0.876465	-0.091797	0.727539	-0.065678	-0.771891	0.094533	-0.625247
07359		9.604082	-0.153655	-2.005829	0.018295	-0.007385	-0.007314	-0.878418	-0.085938	0.722900	-0.065531	-0.771917	0.094351	-0.625259
07360		9.606418	-0.211279	-2.033259	0.014300	-0.002533	-0.005378	-0.879639	-0.088379	0.722168	-0.065384	-0.771883	0.094205	-0.625338
07361		9.593102	-0.227676	-2.037298	0.009648	-0.006114	-0.006209	-0.871338	-0.089355	0.724365	-0.065301	-0.771866	0.094103	-0.625382
07362		9.580870	-0.280774	-2.024178	0.007405	-0.007900	-0.009704	-0.870605	-0.079834	0.729004	-0.065274	-0.771915	0.093983	-0.625343
07363		9.613067	-0.225052	-2.028802	0.014793	-0.008627	-0.014930	-0.872070	-0.086914	0.729248	-0.065087	-0.772001	0.093728	-0.625295
07364		9.591162	-0.212027	-1.992702	0.009317	-0.007506	-0.017466	-0.878906	-0.079346	0.728271	-0.065043	-0.772062	0.093518	-0.625255
07365		9.598914	-0.234837	-2.003305	0.009278	-0.009419	-0.019751	-0.875488	-0.094482	0.721680	-0.064915	-0.772097	0.093279	-0.625261
07366		9.597409	-0.201292	-2.008707	0.002792	-0.010191	-0.019714	-0.880127	-0.093994	0.727051	-0.065079	-0.772118	0.093166	-0.625234
07367		9.598474	-0.225930	-2.040674	0.013112	-0.012393	-0.022120	-0.879639	-0.087646	0.729248	-0.065107	-0.772155	0.092932	-0.625221
07368		9.602314	-0.156457	-2.052707	0.011150	-0.012674	-0.022577	-0.868896	-0.083740	0.722656	-0.065050	-0.772212	0.092674	-0.625195
07369		9.588739	-0.168996	-2.058412	0.004771	-0.010064	-0.019918	-0.878418	-0.085693	0.726807	-0.065041	-0.772295	0.092474	-0.625122
07370		9.584754	-0.245499	-2.054578	-0.007551	-0.010066	-0.020248	-0.869141	-0.082520	0.729492	-0.065134	-0.772314	0.092377	-0.625104
07371		9.586321	-0.285918	-2.056754	0.016694	-0.010429	-0.026313	-0.880127	-0.094971	0.725342	-0.064970	-0.772451	0.091981	-0.625010
07372		9.594590	-0.158767	-2.062606	0.018229	-0.010080	-0.030631	-0.873779	-0.090576	0.724121	-0.065050	-0.772469	0.091663	-0.625026
07373		9.588307	-0.175293	-2.064867	0.007873	-0.009811	-0.030507	-0.875244	-0.090820	0.719727	-0.065171	-0.772525	0.091389	-0.624985
07374		9.580275	-0.153991	-2.052429	0.007126	-0.008166	-0.030833	-0.874756	-0.089844	0.731689	-0.065333	-0.772525	0.091148	-0.625003
07375		9.601889	-0.173050	-2.063278	0.001320	-0.011928	-0.030152	-0.868896	-0.083984	0.723877	-0.065413	-0.772633	0.090864	-0.624902
07376		9.590022	-0.217108	-2.074638	0.020949	-0.011283	-0.029241	-0.872559	-0.092773	0.724121	-0.065238	-0.772753	0.090438	-0.624835
07377		9.607604	-0.157700	-2.047804	0.019405	-0.009762	-0.031525	-0.874268	-0.089355	0.732910	-0.065286	-0.772816	0.090078	-0.624804
07378		9.599774	-0.133077	-2.091629	0.019911	-0.010861	-0.031320	-0.874023	-0.094238	0.726318	-0.065149	-0.772942	0.089619	-0.624728
07379		9.577229	-0.100919	-2.085679	0.010551	-0.010297	-0.025867	-0.874268	-0.093018	0.730713	-0.065247	-0.772993	0.089376	-0.624690
07380		9.604583	-0.102428	-2.073293	-0.003395	-0.011721	-0.020236	-0.869629	-0.092529	0.729248	-0.065353	-0.773073	0.089245	-0.624598
07381		9.574976	-0.209587	-2.066536	0.014040	-0.011079	-0.021200	-0.865967	-0.092529	0.731445	-0.065310	-0.773191	0.088964	-0.624497
