// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07338		9.690065	0.122679	-1.544422	-0.003023	0.003317	-0.005802	-0.835938	0.140869	-0.276855	0.636752	-0.138083	-0.748095	-0.125835
07339		9.696453	0.117995	-1.540098	-0.002334	0.003147	-0.009043	-0.833740	0.138916	-0.273193	0.636763	-0.138012	-0.748081	-0.125934
07340		9.677555	0.112307	-1.547204	-0.006723	0.001009	-0.006178	-0.838135	0.137939	-0.275635	0.636748	-0.138005	-0.748076	-0.126049
07341		9.669552	0.074602	-1.524518	-0.000907	0.002926	-0.005344	-0.832275	0.136475	-0.282715	0.636766	-0.137958	-0.748061	-0.126104
07342		9.692597	0.082530	-1.524900	0.008778	0.004278	-0.005730	-0.829834	0.136230	-0.274658	0.636813	-0.137831	-0.748049	-0.126072
07343		9.678663	0.146807	-1.515831	0.005646	0.002602	-0.003371	-0.833740	0.144531	-0.272461	0.636846	-0.137756	-0.748040	-0.126044
07344		9.672372	0.140474	-1.517544	-0.008313	0.000111	-0.002958	-0.833252	0.141357	-0.289062	0.636833	-0.137798	-0.748026	-0.126141
07345		9.690430	0.090648	-1.536170	-0.008370	-0.000390	-0.001540	-0.830811	0.146729	-0.269775	0.636821	-0.137853	-0.748012	-0.126229
07346		9.686600	0.119498	-1.529873	0.007609	0.003665	-0.001789	-0.835938	0.141357	-0.264648	0.636874	-0.137776	-0.747991	-0.126171
07347		9.674163	0.133386	-1.535972	0.011649	0.004605	-0.007267	-0.836182	0.149902	-0.283936	0.636936	-0.137615	-0.747976	-0.126119
07348		9.667912	0.127778	-1.537405	0.002557	0.000660	-0.007758	-0.833984	0.149658	-0.268799	0.636948	-0.137529	-0.747977	-0.126151
07349		9.690777	0.122907	-1.537077	-0.001522	-0.000013	-0.009798	-0.828613	0.144043	-0.279785	0.636937	-0.137457	-0.747985	-0.126234
07350		9.665448	0.069372	-1.541932	0.000895	0.002869	-0.011109	-0.837402	0.138428	-0.274170	0.636960	-0.137347	-0.747973	-0.126312
07351		9.680551	0.080827	-1.524463	0.003532	0.005183	-0.012296	-0.827393	0.133057	-0.277344	0.637003	-0.137208	-0.747952	-0.126368
07352		9.660115	0.085247	-1.511358	0.004961	0.002776	-0.014398	-0.832764	0.138916	-0.275635	0.637028	-0.137040	-0.747953	-0.126419
07353		9.686323	0.091012	-1.553265	0.011801	0.000589	-0.016857	-0.834961	0.145264	-0.267334	0.637044	-0.136814	-0.747982	-0.126409
07354		9.677747	0.093132	-1.567085	0.017713	0.004935	-0.018393	-0.826904	0.137695	-0.282715	0.637095	-0.136542	-0.748000	-0.126345
07355		9.668346	0.107784	-1.528177	0.020713	0.007035	-0.017445	-0.834961	0.151367	-0.271484	0.637192	-0.136231	-0.747988	-0.126262
07356		9.668584	0.124562	-1.527957	0.016290	0.007731	-0.013635	-0.827148	0.138184	-0.279297	0.637276	-0.136042	-0.747968	-0.126158
07357		9.677435	0.142248	-1.513410	0.007472	0.005894	-0.009619	-0.825439	0.136963	-0.275879	0.637348	-0.135910	-0.747935	-0.126133
07358		9.671293	0.137005	-1.514238	-0.000372	0.004203	-0.007475	-0.836182	0.138184	-0.274902	0.637387	-0.135852	-0.747907	-0.126164
07359		9.688003	0.124692	-1.515147	0.004360	0.002794	-0.007728	-0.833008	0.144043	-0.279053	0.637412	-0.135781	-0.747902	-0.126143
07360		9.675595	0.112190	-1.517862	0.009050	0.008599	-0.009709	-0.834961	0.144043	-0.283203	0.637519	-0.135665	-0.747839	-0.126101
07361		9.683781	0.153122	-1.538345	0.017099	0.006773	-0.008587	-0.828125	0.141113	-0.280029	0.637639	-0.135506	-0.747787	-0.125975
07362		9.686387	0.162940	-1.525398	0.019214	0.010761	-0.010802	-0.829834	0.150146	-0.276367	0.637782	-0.135269	-0.747726	-0.125862
07363		9.676365	0.172542	-1.518098	0.008871	0.006327	-0.010781	-0.829834	0.143066	-0.274658	0.637855	-0.135180	-0.747689	-0.125812
07364		9.674197	0.166605	-1.527900	-0.001549	0.002811	-0.008867	-0.836426	0.147217	-0.274170	0.637862	-0.135147	-0.747681	-0.125859
07365		9.686920	0.142128	-1.518578	-0.000492	0.002425	-0.009969	-0.831299	0.138916	-0.281250	0.637855	-0.135143	-0.747682	-0.125894
07366		9.685416	0.126234	-1.494693	0.004019	0.006349	-0.010355	-0.837891	0.138916	-0.276123	0.637928	-0.135019	-0.747634	-0.125940
07367		9.672999	0.127793	-1.498907	0.014723	0.005429	-0.010892	-0.837402	0.142334	-0.275635	0.637971	-0.134822	-0.747644	-0.125872
07368		9.683439	0.135855	-1.504522	0.018040	0.005014	-0.009517	-0.829102	0.147705	-0.281738	0.638019	-0.134645	-0.747656	-0.125751
07369		9.675588	0.139178	-1.485769	0.016586	0.004084	-0.006941	-0.836914	0.143799	-0.279541	0.638121	-0.134543	-0.747608	-0.125622
07370		9.675720	0.153585	-1.486125	0.010797	0.006261	-0.002926	-0.827393	0.145996	-0.276367	0.638206	-0.134502	-0.747560	-0.125523
07371		9.692474	0.153443	-1.488333	0.004531	0.002505	-0.000858	-0.835938	0.136719	-0.280518	0.638250	-0.134536	-0.747530	-0.125444
07372		9.680028	0.125871	-1.490347	0.003690	0.001545	-0.004962	-0.833984	0.140381	-0.281738	0.638278	-0.134458	-0.747519	-0.125450
07373		9.686488	0.092990	-1.483247	0.009241	0.001746	-0.005969	-0.831543	0.141602	-0.287109	0.638335	-0.134367	-0.747495	-0.125403
07374		9.680397	0.059239	-1.481502	0.015052	0.003689	-0.005140	-0.833008	0.142090	-0.271729	0.638475	-0.134252	-0.747412	-0.125305
07375		9.684483	0.072321	-1.491043	0.022863	0.003866	-0.003670	-0.829102	0.147949	-0.281006	0.638498	-0.134092	-0.747462	-0.125060
07376		9.663984	0.087548	-1.479528	0.027555	0.004918	-0.005651	-0.828613	0.139648	-0.282715	0.638636	-0.133963	-0.747412	-0.124793
07377		9.677688	0.116679	-1.529801	0.026622	0.001932	-0.004714	-0.831543	0.143555	-0.275635	0.638754	-0.133748	-0.747389	-0.124559
07378		9.690456	0.103643	-1.521832	0.021587	0.004825	-0.002704	-0.832764	0.136230	-0.283691	0.638814	-0.133644	-0.747397	-0.124313
07379		9.683178	0.109696	-1.470976	0.013577	0.003790	-0.004768	-0.834961	0.135986	-0.276123	0.638914	-0.133492	-0.747354	-0.124223
07380		9.691374	0.094322	-1.486186	0.015976	0.003734	-0.002940	-0.827881	0.140137	-0.277100	0.638933	-0.133329	-0.747392	-0.124065
07381		9.677279	0.075528	-1.468015	0.020831	0.003723	-0.003373	-0.824951	0.139404	-0.276855	0.639000	-0.133185	-0.747398	-0.123843
07382		9.686940	0.119318	-1.511038	0.023288	0.003768	-0.005636	-0.834229	0.136230	-0.283691	0.639076	-0.132988	-0.747406	-0.123613
07383		9.679014	0.122447	-1.492675	0.012962	0.002253	-0.008752	-0.836426	0.139893	-0.280029	0.639149	-0.132812	-0.747384	-0.123553
07384		9.695120	0.120200	-1.527467	0.006827	0.002822	-0.010011	-0.836182	0.136719	-0.282959	0.639166	-0.132743	-0.747386	-0.123534
07385		9.689614	0.091810	-1.493438	0.002613	0.002157	-0.011401	-0.830566	0.139648	-0.279541	0.639197	-0.132642	-0.747368	-0.123590
07386		9.692341	0.020232	-1.472280	0.007968	0.001905	-0.010339	-0.839111	0.136230	-0.279541	0.639221	-0.132557	-0.747370	-0.123549
07387		9.685880	0.069803	-1.480196	0.022931	0.003591	-0.010452	-0.836914	0.141846	-0.278320	0.639244	-0.132304	-0.747420	-0.123396
07388		9.677710	0.128004	-1.467973	0.030140	0.006377	-0.008130	-0.828613	0.135742	-0.272949	0.639309	-0.132123	-0.747441	-0.123124
