// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07338		4.776821	1.645251	8.353540	0.002634	-0.002447	-0.001145	-0.544678	0.469238	-0.719238	0.590332	-0.147088	-0.224760	-0.761154
07339		4.755789	1.646353	8.348739	0.002593	-0.000743	0.000912	-0.544434	0.464844	-0.711182	0.590344	-0.147078	-0.224788	-0.761139
07340		4.768961	1.642595	8.350133	0.004541	-0.001908	-0.002110	-0.546387	0.465576	-0.716064	0.590282	-0.147104	-0.224888	-0.761152
07341		4.767291	1.641454	8.359010	0.003884	-0.002112	-0.001582	-0.540527	0.464600	-0.721191	0.590239	-0.147122	-0.224969	-0.761159
07342		4.769925	1.631669	8.366892	0.004630	-0.000058	-0.001292	-0.540039	0.463135	-0.718506	0.590268	-0.147050	-0.224986	-0.761145
07343		4.761243	1.641771	8.346286	0.002976	-0.002826	-0.003039	-0.542725	0.468262	-0.712891	0.590258	-0.147023	-0.225019	-0.761148
07344		4.765891	1.642339	8.367337	0.004565	-0.000131	-0.000673	-0.541016	0.467285	-0.731445	0.590248	-0.147001	-0.225070	-0.761145
07345		4.773102	1.623868	8.374083	0.003437	-0.002840	-0.001709	-0.542969	0.473389	-0.709961	0.590301	-0.146921	-0.225060	-0.761122
07346		4.770964	1.635570	8.365538	0.002474	-0.001107	-0.002312	-0.544922	0.470459	-0.703613	0.590265	-0.146930	-0.225099	-0.761137
07347		4.760307	1.643340	8.354215	0.005002	-0.001922	-0.000781	-0.543457	0.475830	-0.723389	0.590208	-0.146962	-0.225194	-0.761147
07348		4.767140	1.638137	8.343400	0.004541	-0.001908	-0.002111	-0.547119	0.477295	-0.707031	0.590230	-0.146925	-0.225200	-0.761135
07349		4.769402	1.649529	8.356215	0.003081	-0.001718	-0.001018	-0.535889	0.469238	-0.721924	0.590185	-0.146978	-0.225247	-0.761146
07350		4.763297	1.648501	8.343788	0.003607	-0.001660	-0.000308	-0.547119	0.463623	-0.718018	0.590241	-0.146859	-0.225254	-0.761123
07351		4.768155	1.640893	8.342278	0.004160	-0.002564	-0.002857	-0.537109	0.457031	-0.717285	0.590176	-0.146816	-0.225350	-0.761153
07352		4.774912	1.643627	8.353997	0.002870	-0.001194	-0.000363	-0.541992	0.466553	-0.716309	0.590176	-0.146698	-0.225413	-0.761157
