// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
62344		9.778167	-0.247776	0.431018	-0.002541	0.002250	-0.016893	-0.692627	-0.382568	-0.374512	0.655677	0.272227	-0.635373	0.303778
62345		9.808624	-0.248390	0.441570	-0.002912	0.000864	-0.017602	-0.689697	-0.387207	-0.376465	0.655758	0.272343	-0.635319	0.303613
62346		9.801104	-0.264487	0.445933	-0.003028	0.003659	-0.015413	-0.690186	-0.384277	-0.375244	0.655857	0.272428	-0.635247	0.303474
62347		9.809630	-0.251862	0.434902	-0.001209	0.001973	-0.015937	-0.682373	-0.374023	-0.380615	0.655938	0.272538	-0.635180	0.303339
62348		9.790114	-0.251748	0.426332	-0.005035	0.000455	-0.016056	-0.687744	-0.378906	-0.381836	0.656022	0.272626	-0.635138	0.303166
62349		9.803491	-0.272004	0.450512	-0.005082	0.001313	-0.016141	-0.688232	-0.381836	-0.380127	0.656113	0.272713	-0.635090	0.302992
62350		9.794772	-0.280586	0.442947	0.001178	-0.001680	-0.014572	-0.695312	-0.384766	-0.372314	0.656153	0.272849	-0.635047	0.302873
62351		9.796165	-0.284839	0.453641	0.004329	-0.003641	-0.014150	-0.689941	-0.386963	-0.371338	0.656165	0.273012	-0.635010	0.302777
62352		9.806917	-0.291109	0.444415	0.003880	-0.004465	-0.018213	-0.685791	-0.389893	-0.375977	0.656189	0.273202	-0.634966	0.302647
62353		9.815346	-0.279650	0.421767	0.002710	-0.006613	-0.017256	-0.681641	-0.378418	-0.379150	0.656196	0.273378	-0.634947	0.302512
62354		9.805130	-0.262954	0.438262	0.007778	-0.004878	-0.020354	-0.691162	-0.388428	-0.378662	0.656208	0.273606	-0.634890	0.302402
62355		9.796514	-0.270439	0.429469	0.006568	-0.006095	-0.018669	-0.687012	-0.384277	-0.372803	0.656206	0.273815	-0.634853	0.302293
62356		9.807313	-0.275864	0.419824	0.009559	-0.005629	-0.020142	-0.689209	-0.380615	-0.383057	0.656198	0.274057	-0.634800	0.302202
62357		9.803496	-0.229020	0.430677	0.008735	-0.006613	-0.020919	-0.691650	-0.382812	-0.365967	0.656191	0.274283	-0.634759	0.302098
62358		9.796190	-0.244000	0.433141	0.000394	-0.004903	-0.020857	-0.685059	-0.389160	-0.366699	0.656206	0.274455	-0.634744	0.301941
62359		9.802128	-0.284669	0.450225	0.004708	-0.004782	-0.022200	-0.680908	-0.384033	-0.376465	0.656220	0.274687	-0.634696	0.301802
62360		9.806967	-0.245333	0.413300	0.015875	-0.002292	-0.020824	-0.682617	-0.386963	-0.375732	0.656230	0.274956	-0.634582	0.301772
62361		9.803959	-0.209686	0.416811	0.011288	-0.005590	-0.020814	-0.685303	-0.381104	-0.379395	0.656224	0.275205	-0.634517	0.301695
62362		9.810516	-0.265047	0.406613	0.002612	-0.006282	-0.023002	-0.687012	-0.392090	-0.375488	0.656256	0.275375	-0.634491	0.301527
62363		9.816186	-0.308983	0.404557	0.016376	-0.003618	-0.021456	-0.685791	-0.391846	-0.381348	0.656238	0.275668	-0.634397	0.301494
62364		9.808413	-0.236570	0.391725	0.020640	-0.002635	-0.022882	-0.683594	-0.382324	-0.363770	0.656231	0.275971	-0.634275	0.301488
62365		9.824366	-0.273662	0.419184	0.023027	0.000885	-0.023875	-0.692383	-0.382812	-0.374268	0.656188	0.276326	-0.634142	0.301537
62366		9.789296	-0.226857	0.392649	0.024413	-0.000241	-0.022828	-0.687012	-0.385742	-0.371338	0.656144	0.276612	-0.634034	0.301600
62367		9.797200	-0.197158	0.407881	0.018803	-0.001106	-0.023956	-0.683594	-0.387695	-0.375732	0.656116	0.276902	-0.633936	0.301600
62368		9.807800	-0.203286	0.389839	0.008835	-0.001171	-0.023025	-0.683838	-0.382568	-0.371582	0.656150	0.277098	-0.633861	0.301504
62369		9.805753	-0.177141	0.396194	0.009941	0.003148	-0.019277	-0.679443	-0.388916	-0.372803	0.656179	0.277252	-0.633778	0.301474
62370		9.813161	-0.152102	0.392971	-0.000450	0.002470	-0.019960	-0.687744	-0.381836	-0.379883	0.656263	0.277373	-0.633705	0.301332
