// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
62344		9.627435	-0.972063	-1.626002	0.006607	-0.005780	-0.006350	-0.690674	0.481934	0.524170	0.279576	-0.719424	-0.260186	-0.580146
62345		9.622068	-0.982329	-1.644713	0.001697	-0.003069	-0.005728	-0.687256	0.476807	0.518799	0.279475	-0.719445	-0.260266	-0.580133
62346		9.609074	-0.997066	-1.652740	0.006277	-0.004997	-0.006456	-0.692139	0.475342	0.523438	0.279416	-0.719460	-0.260391	-0.580087
62347		9.636523	-1.008656	-1.648666	0.006507	-0.007776	-0.006072	-0.681885	0.487793	0.517578	0.279306	-0.719514	-0.260526	-0.580012
62348		9.616514	-1.003557	-1.662750	0.014218	-0.005941	-0.007363	-0.687012	0.480469	0.515381	0.279421	-0.719457	-0.260708	-0.579945
62349		9.629383	-0.972984	-1.660096	0.016393	-0.006617	-0.007296	-0.684570	0.480713	0.516602	0.279514	-0.719415	-0.260909	-0.579862
62350		9.615484	-0.958739	-1.665751	0.010196	-0.006462	-0.006773	-0.693848	0.478760	0.525146	0.279544	-0.719399	-0.261059	-0.579800
62351		9.627657	-0.952603	-1.646828	0.006147	-0.003532	-0.005246	-0.688965	0.479004	0.523682	0.279478	-0.719412	-0.261162	-0.579769
62352		9.614748	-0.994453	-1.647848	0.004401	-0.002739	-0.004864	-0.682373	0.473145	0.523193	0.279416	-0.719416	-0.261245	-0.579757
62353		9.630078	-1.011390	-1.662895	0.008422	-0.003315	-0.004833	-0.678223	0.486572	0.517090	0.279352	-0.719415	-0.261357	-0.579738
62354		9.608634	-0.988367	-1.660504	0.010822	-0.002344	-0.006889	-0.689697	0.475586	0.519043	0.279462	-0.719358	-0.261475	-0.579703
62355		9.613209	-0.946179	-1.640443	0.013450	-0.003043	-0.009185	-0.685059	0.480713	0.524414	0.279467	-0.719283	-0.261660	-0.579711
62356		9.634780	-0.966657	-1.643625	0.011806	-0.002464	-0.007831	-0.688721	0.486328	0.513184	0.279480	-0.719253	-0.261796	-0.579680
62357		9.615028	-0.974752	-1.653119	0.010387	-0.001344	-0.007972	-0.690674	0.480957	0.528809	0.279602	-0.719140	-0.261933	-0.579699
62358		9.622046	-0.980144	-1.650951	0.007861	-0.000856	-0.004702	-0.680664	0.475586	0.529541	0.279585	-0.719131	-0.262000	-0.579689
62359		9.613691	-0.967675	-1.634489	0.003107	-0.001969	-0.006848	-0.679932	0.483887	0.520996	0.279454	-0.719158	-0.262047	-0.579696
62360		9.621454	-0.988890	-1.638770	0.001341	-0.002147	-0.003021	-0.680420	0.478760	0.520020	0.279468	-0.719152	-0.262047	-0.579697
62361		9.620749	-1.012516	-1.623319	0.000383	-0.004374	-0.003640	-0.684814	0.483887	0.517090	0.279427	-0.719150	-0.262060	-0.579714
62362		9.620808	-1.038386	-1.617426	0.004729	-0.003511	-0.004762	-0.681641	0.475098	0.522217	0.279494	-0.719096	-0.262110	-0.579726
62363		9.606846	-0.997980	-1.629109	0.008825	-0.001943	-0.002201	-0.685303	0.477051	0.515869	0.279513	-0.719062	-0.262139	-0.579747
62364		9.621246	-0.986224	-1.641594	0.009410	-0.005636	-0.004523	-0.682129	0.486084	0.530518	0.279576	-0.718995	-0.262220	-0.579762
