// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
62344		9.612072	0.440345	-1.872077	0.012768	-0.003912	-0.005936	-0.781250	0.270996	0.620361	0.166473	-0.735771	-0.236932	-0.612202
62345		9.617388	0.423348	-1.884390	0.008602	-0.002884	-0.004889	-0.777100	0.267334	0.616943	0.166442	-0.735777	-0.237058	-0.612154
62346		9.619263	0.419877	-1.868881	0.002597	-0.002472	-0.004745	-0.778564	0.266357	0.619629	0.166343	-0.735799	-0.237136	-0.612124
62347		9.629924	0.402198	-1.893906	0.009692	-0.004939	-0.006438	-0.774414	0.280029	0.614258	0.166270	-0.735825	-0.237290	-0.612054
62348		9.608209	0.442283	-1.899301	0.008648	-0.002274	-0.006113	-0.776123	0.269775	0.613281	0.166383	-0.735779	-0.237401	-0.612035
62349		9.598810	0.436113	-1.918058	0.009704	0.000184	-0.006169	-0.776611	0.272705	0.614258	0.166412	-0.735741	-0.237527	-0.612023
62350		9.631381	0.417899	-1.880435	0.010285	-0.000229	-0.006657	-0.784424	0.269287	0.624756	0.166467	-0.735699	-0.237659	-0.612009
62351		9.626683	0.442997	-1.861832	0.007235	-0.000634	-0.005362	-0.782715	0.267334	0.618408	0.166418	-0.735696	-0.237760	-0.611985
62352		9.622873	0.418847	-1.891795	0.002703	-0.000628	-0.003887	-0.776367	0.263184	0.620361	0.166361	-0.735679	-0.237812	-0.612001
62353		9.605948	0.434450	-1.915093	0.003677	0.000604	-0.003007	-0.770020	0.277100	0.611572	0.166273	-0.735677	-0.237855	-0.612011
62354		9.597646	0.433993	-1.925717	0.006215	0.002652	-0.003243	-0.780029	0.265869	0.614746	0.166403	-0.735613	-0.237891	-0.612039
62355		9.614226	0.453029	-1.904648	0.011304	0.002244	-0.002188	-0.776367	0.270752	0.620117	0.166459	-0.735551	-0.237977	-0.612064
62356		9.625844	0.438983	-1.868266	0.006156	0.002046	-0.000511	-0.779785	0.277588	0.609863	0.166501	-0.735549	-0.237994	-0.612049
