// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
62344		9.437920	-0.367512	-2.612112	0.002942	0.003366	-0.010715	-0.947998	-0.083496	-0.252930	0.600767	0.072615	-0.792059	0.080311
62345		9.456739	-0.379444	-2.606410	0.000540	-0.000353	-0.007927	-0.942383	-0.085693	-0.252930	0.600770	0.072694	-0.792054	0.080258
62346		9.447581	-0.391081	-2.592070	0.000339	0.000919	-0.009704	-0.944336	-0.086670	-0.250732	0.600786	0.072815	-0.792039	0.080180
62347		9.456961	-0.375345	-2.606198	0.004229	0.000087	-0.008843	-0.938477	-0.075928	-0.257080	0.600787	0.072971	-0.792027	0.080141
62348		9.448370	-0.381633	-2.632960	-0.000022	-0.000092	-0.007809	-0.943604	-0.086182	-0.260498	0.600808	0.072937	-0.792017	0.080124
62349		9.460658	-0.390957	-2.615807	-0.000308	-0.000622	-0.007921	-0.943359	-0.084717	-0.256592	0.600808	0.073014	-0.792016	0.080059
62350		9.432723	-0.388953	-2.607254	0.003572	-0.002775	-0.007401	-0.947754	-0.083740	-0.250977	0.600780	0.073109	-0.792030	0.080038
62351		9.461178	-0.382865	-2.625623	0.003400	-0.003828	-0.011197	-0.947510	-0.087402	-0.249023	0.600740	0.073241	-0.792054	0.079987
62352		9.457492	-0.401528	-2.615539	0.004474	-0.004672	-0.010092	-0.938477	-0.090820	-0.250977	0.600682	0.073413	-0.792087	0.079938
62353		9.439319	-0.380599	-2.630619	0.003464	-0.004671	-0.013541	-0.936279	-0.078369	-0.253906	0.600630	0.073636	-0.792114	0.079849
62354		9.444217	-0.389423	-2.626137	0.005979	-0.004025	-0.012885	-0.946289	-0.088867	-0.255615	0.600594	0.073724	-0.792134	0.079842
62355		9.440431	-0.367066	-2.617733	0.006058	-0.006030	-0.016239	-0.939697	-0.087646	-0.252197	0.600563	0.073955	-0.792144	0.079769
62356		9.438050	-0.375729	-2.625410	0.006057	-0.006031	-0.016236	-0.943848	-0.080078	-0.261475	0.600494	0.074176	-0.792182	0.079701
62357		9.442068	-0.348095	-2.614163	0.006056	-0.006031	-0.016234	-0.946777	-0.086182	-0.245361	0.600490	0.074295	-0.792178	0.079661
62358		9.452625	-0.363306	-2.613362	-0.001834	-0.006343	-0.015619	-0.939697	-0.090088	-0.244629	0.600377	0.074442	-0.792263	0.079529
62359		9.447463	-0.388155	-2.618722	0.003261	-0.005888	-0.016656	-0.933105	-0.085938	-0.251221	0.600263	0.074682	-0.792337	0.079428
62360		9.459191	-0.354232	-2.636779	0.008632	-0.006224	-0.017920	-0.935303	-0.088379	-0.253174	0.600197	0.074908	-0.792370	0.079383
62361		9.435107	-0.324883	-2.649057	0.002713	-0.006792	-0.017542	-0.940430	-0.083496	-0.257568	0.600147	0.075105	-0.792400	0.079275
62362		9.431560	-0.381873	-2.638243	-0.011987	-0.008268	-0.015206	-0.939209	-0.092529	-0.250977	0.600121	0.075099	-0.792444	0.079040
62363		9.436286	-0.389130	-2.634774	0.003873	-0.008314	-0.019448	-0.940430	-0.090820	-0.258789	0.600033	0.075371	-0.792497	0.078921
62364		9.458450	-0.332980	-2.652629	0.008166	-0.007806	-0.021815	-0.938477	-0.083984	-0.241211	0.600009	0.075647	-0.792497	0.078835
62365		9.438418	-0.363505	-2.640655	0.009318	-0.006845	-0.022373	-0.947021	-0.083984	-0.250000	0.599846	0.075890	-0.792602	0.078784
