// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
62344		9.517906	-0.790460	-2.178998	0.004504	-0.003054	-0.015566	-0.919434	-0.288574	-0.186768	0.571730	0.250342	-0.740661	0.248747
62345		9.539247	-0.790300	-2.168599	0.000294	0.000079	-0.015696	-0.912109	-0.292480	-0.191162	0.571749	0.250551	-0.740619	0.248616
62346		9.533235	-0.807116	-2.163090	0.002791	-0.003003	-0.012607	-0.917969	-0.292725	-0.189697	0.571729	0.250756	-0.740597	0.248522
62347		9.524965	-0.776299	-2.191545	0.004306	-0.001450	-0.015298	-0.907227	-0.283203	-0.194336	0.571727	0.250992	-0.740551	0.248428
62348		9.539600	-0.783241	-2.179148	-0.001979	-0.001899	-0.012900	-0.912109	-0.287598	-0.200928	0.571779	0.251051	-0.740524	0.248329
62349		9.533747	-0.797536	-2.164383	-0.000145	-0.001770	-0.013046	-0.911865	-0.289795	-0.195312	0.571835	0.251106	-0.740488	0.248251
62350		9.527340	-0.819973	-2.177806	0.004927	-0.002557	-0.013295	-0.921143	-0.292236	-0.185059	0.571846	0.251261	-0.740445	0.248198
62351		9.534504	-0.804998	-2.161548	0.007213	-0.002307	-0.013015	-0.915039	-0.295898	-0.187988	0.571815	0.251505	-0.740403	0.248146
62352		9.534775	-0.820236	-2.177158	0.006533	-0.003809	-0.018466	-0.909668	-0.297852	-0.188232	0.571797	0.251807	-0.740348	0.248046
62353		9.534239	-0.805626	-2.191200	0.007936	-0.004845	-0.018426	-0.906006	-0.285400	-0.194824	0.571758	0.252124	-0.740298	0.247963
62354		9.541823	-0.802755	-2.171886	0.012427	-0.006602	-0.019456	-0.914795	-0.297363	-0.192871	0.571728	0.252330	-0.740250	0.247966
62355		9.520810	-0.795293	-2.183561	0.009593	-0.003469	-0.020159	-0.911377	-0.291748	-0.188232	0.571746	0.252624	-0.740156	0.247905
62356		9.528306	-0.815961	-2.197636	0.011473	-0.004738	-0.021548	-0.914062	-0.288086	-0.199219	0.571704	0.252915	-0.740100	0.247873
62357		9.534406	-0.772702	-2.189558	0.013503	-0.006194	-0.021972	-0.916992	-0.289551	-0.180664	0.571721	0.253129	-0.740013	0.247872
62358		9.514176	-0.772755	-2.179207	0.002976	-0.007901	-0.020050	-0.910156	-0.297852	-0.181885	0.571616	0.253359	-0.740044	0.247787
62359		9.550172	-0.818829	-2.187424	0.008324	-0.007310	-0.021462	-0.906738	-0.291016	-0.188232	0.571527	0.253711	-0.740017	0.247714
62360		9.528134	-0.760436	-2.173554	0.015854	-0.008365	-0.022330	-0.904053	-0.295166	-0.188965	0.571452	0.254021	-0.739965	0.247725
62361		9.519635	-0.747052	-2.218287	0.009097	-0.007911	-0.020966	-0.911377	-0.292480	-0.193115	0.571414	0.254305	-0.739915	0.247671
62362		9.535502	-0.794965	-2.205849	0.000657	-0.012496	-0.020695	-0.910889	-0.296387	-0.188721	0.571390	0.254475	-0.739924	0.247527
62363		9.530605	-0.834080	-2.185496	0.016522	-0.010161	-0.024049	-0.911133	-0.298340	-0.195557	0.571311	0.254836	-0.739864	0.247516
62364		9.527071	-0.749600	-2.210424	0.018526	-0.010559	-0.025095	-0.907715	-0.289307	-0.181885	0.571282	0.255186	-0.739767	0.247510
