// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
62344		4.742767	1.648223	8.357378	0.003462	-0.000817	-0.001309	-0.323975	-0.657227	-0.651123	0.731165	0.231347	-0.133501	0.627737
62345		4.743551	1.655136	8.372858	0.004692	-0.002608	-0.001675	-0.318848	-0.664307	-0.655762	0.731105	0.231482	-0.133527	0.627751
62346		4.743881	1.656452	8.372410	0.004925	-0.001577	-0.003545	-0.323486	-0.664795	-0.651123	0.731115	0.231546	-0.133494	0.627723
62347		4.737606	1.640228	8.366603	0.004673	-0.003579	-0.002117	-0.316162	-0.652344	-0.656494	0.731064	0.231679	-0.133522	0.627727
62348		4.750729	1.636177	8.367672	0.005027	-0.001686	-0.001869	-0.318848	-0.657227	-0.659912	0.731089	0.231703	-0.133473	0.627701
62349		4.730580	1.643762	8.371542	0.003662	-0.001381	-0.001009	-0.318359	-0.659424	-0.658447	0.731102	0.231718	-0.133445	0.627685
62350		4.744812	1.655239	8.354831	0.004711	-0.001636	-0.001235	-0.323730	-0.660400	-0.650391	0.731110	0.231747	-0.133414	0.627672
62351		4.739041	1.644531	8.364946	0.003527	-0.002867	-0.000516	-0.322021	-0.662109	-0.652344	0.731055	0.231845	-0.133451	0.627692
62352		4.724029	1.647912	8.376093	0.004911	-0.002200	-0.000935	-0.316162	-0.666504	-0.651611	0.731018	0.231929	-0.133455	0.627703
62353		4.747615	1.645446	8.358254	0.004294	-0.001479	-0.002278	-0.311035	-0.653076	-0.657715	0.731027	0.231979	-0.133411	0.627684
62354		4.763519	1.643984	8.346221	0.002576	-0.003066	-0.001666	-0.321289	-0.665039	-0.654541	0.731076	0.231891	-0.133434	0.627654
