// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
48166		9.791910	0.241773	0.599906	-0.000185	0.004330	-0.010753	-0.885498	-0.226807	0.470703	-0.150779	-0.673611	0.125336	-0.712604
48167		9.803838	0.211784	0.595807	-0.000432	0.007946	-0.010565	-0.883545	-0.234375	0.475830	-0.150889	-0.673556	0.125236	-0.712651
48168		9.803202	0.197303	0.557177	-0.001038	0.006236	-0.007227	-0.892822	-0.228027	0.481934	-0.151051	-0.673502	0.125153	-0.712682
48169		9.803058	0.199100	0.559072	-0.002564	0.009155	-0.007641	-0.883545	-0.230225	0.474609	-0.151098	-0.673439	0.125109	-0.712739
48170		9.783418	0.172288	0.549609	-0.004518	0.008004	-0.007856	-0.887939	-0.229492	0.473145	-0.151228	-0.673372	0.125070	-0.712782
48171		9.804176	0.202109	0.587145	-0.006294	0.008784	-0.007483	-0.889160	-0.224854	0.473389	-0.151357	-0.673298	0.125056	-0.712827
48172		9.798128	0.257162	0.591839	-0.008509	0.014581	-0.009024	-0.884521	-0.222900	0.470459	-0.151463	-0.673183	0.125058	-0.712912
48173		9.775775	0.183180	0.598216	-0.010428	0.010656	-0.009629	-0.883301	-0.227051	0.475342	-0.151578	-0.673103	0.125079	-0.712959
48174		9.787908	0.160887	0.615604	-0.005662	0.012012	-0.007483	-0.884033	-0.232178	0.468262	-0.151655	-0.673018	0.125074	-0.713025
48175		9.799448	0.171696	0.609942	-0.002762	0.010559	-0.009744	-0.885254	-0.226807	0.471680	-0.151800	-0.672919	0.125024	-0.713096
48176		9.800628	0.230465	0.594624	-0.005563	0.015202	-0.009848	-0.887207	-0.227783	0.471680	-0.151892	-0.672798	0.125014	-0.713192
48177		9.794093	0.212136	0.601863	-0.018536	0.012437	-0.009928	-0.884766	-0.228027	0.476562	-0.152096	-0.672682	0.125125	-0.713238
48178		9.804197	0.166576	0.615079	-0.015653	0.012850	-0.009372	-0.880371	-0.217529	0.471436	-0.152253	-0.672599	0.125212	-0.713268
48179		9.803908	0.168996	0.619012	-0.019254	0.018651	-0.012569	-0.891846	-0.233887	0.471924	-0.152387	-0.672420	0.125335	-0.713387
48180		9.773561	0.240211	0.618785	-0.013472	0.013722	-0.010859	-0.881592	-0.227051	0.474854	-0.152577	-0.672306	0.125410	-0.713440
48181		9.804141	0.206264	0.626842	-0.033531	0.008866	-0.010778	-0.882568	-0.228760	0.469482	-0.152878	-0.672216	0.125664	-0.713416
48182		9.800113	0.169502	0.640684	-0.013699	0.013095	-0.006731	-0.885498	-0.231201	0.468506	-0.153016	-0.672079	0.125781	-0.713495
48183		9.782766	0.239182	0.635037	-0.016109	0.013066	-0.005453	-0.889404	-0.236816	0.468262	-0.153173	-0.671929	0.125942	-0.713574
48184		9.791733	0.258757	0.602303	-0.038484	0.011372	-0.006468	-0.887695	-0.228271	0.465576	-0.153571	-0.671751	0.126288	-0.713595
48185		9.784675	0.289141	0.705498	-0.069323	0.001840	-0.008399	-0.884277	-0.232422	0.473389	-0.154156	-0.671594	0.126925	-0.713504
