// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
48166		9.685897	-0.203425	-1.505986	0.028909	-0.007751	-0.008476	-0.875977	0.208496	-0.325439	0.638056	-0.163891	-0.741551	-0.126994
48167		9.669023	-0.183005	-1.539008	0.006209	-0.008738	-0.005156	-0.875732	0.200928	-0.320312	0.637979	-0.163807	-0.741641	-0.126960
48168		9.686027	-0.235405	-1.544551	-0.009883	-0.010396	-0.008675	-0.880615	0.209229	-0.312012	0.637856	-0.163751	-0.741730	-0.127124
48169		9.706297	-0.268328	-1.518973	-0.000297	-0.010025	-0.011718	-0.873291	0.204590	-0.318359	0.637728	-0.163734	-0.741836	-0.127174
48170		9.679861	-0.241733	-1.522955	0.014669	-0.006541	-0.016709	-0.877930	0.208252	-0.322754	0.637671	-0.163471	-0.741946	-0.127154
48171		9.687527	-0.220243	-1.514612	0.022128	-0.007765	-0.019708	-0.876953	0.208496	-0.320068	0.637610	-0.163147	-0.742084	-0.127076
48172		9.689675	-0.193123	-1.512696	0.011579	-0.011138	-0.015944	-0.873291	0.211182	-0.321533	0.637497	-0.162971	-0.742224	-0.127050
48173		9.692836	-0.203496	-1.532409	-0.007273	-0.014655	-0.012442	-0.873047	0.209961	-0.320801	0.637314	-0.163009	-0.742355	-0.127155
48174		9.692995	-0.252809	-1.538206	-0.021288	-0.012788	-0.009591	-0.873047	0.201660	-0.322754	0.637126	-0.163170	-0.742443	-0.127375
48175		9.675182	-0.263318	-1.522432	-0.016125	-0.014008	-0.011665	-0.875488	0.206543	-0.321777	0.636951	-0.163184	-0.742555	-0.127581
48176		9.670514	-0.291564	-1.552287	0.002565	-0.012727	-0.013119	-0.875244	0.207031	-0.319336	0.636825	-0.163095	-0.742680	-0.127598
48177		9.693831	-0.285399	-1.541154	0.014916	-0.010309	-0.013421	-0.872070	0.208008	-0.315918	0.636732	-0.162927	-0.742815	-0.127489
48178		9.693816	-0.217585	-1.545719	0.019596	-0.009088	-0.011432	-0.868164	0.217041	-0.320068	0.636646	-0.162769	-0.742955	-0.127302
48179		9.678112	-0.203165	-1.538191	0.015306	-0.009492	-0.013596	-0.880127	0.202393	-0.322021	0.636581	-0.162707	-0.743050	-0.127151
48180		9.664445	-0.230640	-1.524769	0.001486	-0.013522	-0.009591	-0.871094	0.205811	-0.316162	0.636461	-0.162651	-0.743170	-0.127124
48181		9.668737	-0.297164	-1.533492	-0.004265	-0.014052	-0.007805	-0.870117	0.206543	-0.321045	0.636293	-0.162693	-0.743304	-0.127125
48182		9.689121	-0.331018	-1.508710	0.004663	-0.013029	-0.005585	-0.877197	0.203125	-0.323486	0.636202	-0.162687	-0.743402	-0.127019
48183		9.697733	-0.332767	-1.553955	0.039914	-0.009482	-0.000148	-0.874512	0.198975	-0.318848	0.636249	-0.162428	-0.743501	-0.126536
48184		9.657024	-0.271412	-1.571368	0.058522	-0.010247	0.003180	-0.875000	0.207031	-0.322510	0.636294	-0.162022	-0.743668	-0.125840
48185		9.688481	-0.220258	-1.600580	0.053521	-0.013591	0.003869	-0.873047	0.202148	-0.315674	0.636336	-0.161755	-0.743807	-0.125154
48186		9.658510	-0.170021	-1.607588	0.032197	-0.014253	-0.000286	-0.869629	0.206299	-0.320801	0.636255	-0.161570	-0.743991	-0.124705
48187		9.704398	-0.177296	-1.578635	0.032577	-0.014919	-0.000713	-0.872559	0.212158	-0.316650	0.636209	-0.161400	-0.744140	-0.124273
48188		9.685752	-0.121886	-1.592857	0.024288	-0.015508	-0.000115	-0.871338	0.204590	-0.318604	0.636118	-0.161381	-0.744285	-0.123896
48189		9.684091	-0.118135	-1.624007	-0.006120	-0.017316	0.004804	-0.880371	0.218262	-0.317627	0.635953	-0.161540	-0.744405	-0.123811
48190		9.691016	-0.166614	-1.615538	-0.029975	-0.015914	0.008660	-0.871582	0.208008	-0.315674	0.635762	-0.162109	-0.744430	-0.123896
48191		9.700433	-0.191270	-1.602458	-0.026369	-0.011226	0.005133	-0.870850	0.210205	-0.308350	0.635587	-0.162433	-0.744487	-0.124032
48192		9.677229	-0.181555	-1.623470	-0.035853	-0.008062	0.003638	-0.874023	0.207275	-0.317383	0.635366	-0.162840	-0.744550	-0.124254
48193		9.671081	-0.208220	-1.581138	-0.035295	-0.008845	0.002580	-0.874756	0.203857	-0.314209	0.635204	-0.163190	-0.744566	-0.124525
48194		9.693100	-0.265350	-1.594781	-0.036340	-0.011985	0.007533	-0.869629	0.213135	-0.313477	0.634992	-0.163544	-0.744631	-0.124756
48195		9.685377	-0.303924	-1.561969	-0.042240	-0.009424	0.010455	-0.883057	0.209717	-0.317139	0.634819	-0.164095	-0.744613	-0.125015
48196		9.664279	-0.337806	-1.576247	-0.019427	-0.007611	0.011711	-0.873291	0.209473	-0.310059	0.634716	-0.164441	-0.744617	-0.125057
48197		9.669302	-0.346407	-1.572522	0.007275	-0.009181	0.014791	-0.875000	0.213379	-0.309814	0.634626	-0.164583	-0.744706	-0.124798
48198		9.689351	-0.300362	-1.594967	-0.000756	-0.011628	0.018117	-0.875244	0.203857	-0.313477	0.634505	-0.164895	-0.744778	-0.124571
