// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
48166		9.646557	0.140328	-1.751619	0.012478	-0.007445	-0.021286	-0.893555	0.236328	-0.369629	0.622603	-0.171331	-0.748277	-0.151962
48167		9.643132	0.178341	-1.738549	0.003559	-0.006562	-0.020919	-0.890381	0.228760	-0.363525	0.622509	-0.171120	-0.748380	-0.152078
48168		9.651779	0.181365	-1.779483	-0.001608	-0.007858	-0.019573	-0.897217	0.235107	-0.356445	0.622402	-0.170908	-0.748484	-0.152244
48169		9.651895	0.176809	-1.812370	0.005452	-0.006955	-0.018503	-0.887939	0.230713	-0.366699	0.622296	-0.170773	-0.748590	-0.152305
48170		9.657939	0.184580	-1.757059	0.004327	-0.009205	-0.016139	-0.893311	0.233154	-0.368652	0.622191	-0.170573	-0.748708	-0.152380
48171		9.653001	0.169247	-1.769170	0.001460	-0.009126	-0.014907	-0.893555	0.235840	-0.365967	0.622078	-0.170424	-0.748817	-0.152470
48172		9.644695	0.166477	-1.785096	0.005067	-0.009327	-0.014015	-0.886963	0.239014	-0.368408	0.621962	-0.170302	-0.748934	-0.152508
48173		9.642837	0.167382	-1.744145	-0.000388	-0.012513	-0.013335	-0.889648	0.234375	-0.360596	0.621796	-0.170263	-0.749066	-0.152578
48174		9.647193	0.180435	-1.768400	-0.006703	-0.012885	-0.011646	-0.889893	0.228516	-0.368164	0.621617	-0.170274	-0.749187	-0.152699
48175		9.634102	0.148496	-1.804512	-0.008586	-0.014410	-0.013360	-0.891113	0.230469	-0.365234	0.621454	-0.170190	-0.749307	-0.152871
48176		9.628840	0.122958	-1.827005	-0.000117	-0.013265	-0.015185	-0.892578	0.232666	-0.365234	0.621294	-0.170058	-0.749450	-0.152967
48177		9.667911	0.148312	-1.792921	0.012368	-0.013124	-0.018586	-0.890137	0.232666	-0.358398	0.621152	-0.169829	-0.749622	-0.152956
48178		9.636696	0.189069	-1.794896	0.011497	-0.011628	-0.018835	-0.885986	0.240479	-0.364990	0.620979	-0.169636	-0.749810	-0.152952
48179		9.640488	0.211913	-1.788044	0.006775	-0.013022	-0.016725	-0.894287	0.228271	-0.362549	0.620837	-0.169563	-0.749942	-0.152960
48180		9.621504	0.138933	-1.808876	0.002008	-0.013215	-0.018529	-0.889893	0.231201	-0.359131	0.620657	-0.169384	-0.750112	-0.153054
48181		9.641401	0.165801	-1.806115	0.006437	-0.014360	-0.021933	-0.888672	0.232422	-0.365479	0.620452	-0.169191	-0.750312	-0.153118
48182		9.633231	0.096405	-1.778848	0.009293	-0.015749	-0.024424	-0.891846	0.229004	-0.365479	0.620285	-0.168955	-0.750494	-0.153166
48183		9.663505	0.155869	-1.831261	0.013386	-0.013010	-0.030589	-0.893799	0.221924	-0.363770	0.620146	-0.168601	-0.750678	-0.153216
48184		9.607699	0.170142	-1.862351	0.008315	-0.017732	-0.035568	-0.891602	0.229004	-0.365479	0.619925	-0.168185	-0.750928	-0.153344
48185		9.624818	0.255274	-1.848958	0.003584	-0.016550	-0.033522	-0.893311	0.224365	-0.361084	0.619723	-0.167908	-0.751127	-0.153484
48186		9.631086	0.257448	-1.826610	0.010236	-0.014809	-0.030010	-0.886963	0.228760	-0.360840	0.619518	-0.167572	-0.751357	-0.153554
48187		9.663527	0.312115	-1.822406	0.010442	-0.013414	-0.024191	-0.892578	0.236572	-0.358643	0.619349	-0.167341	-0.751542	-0.153584
48188		9.638126	0.306421	-1.814141	-0.012461	-0.017457	-0.016109	-0.887695	0.225098	-0.363525	0.619094	-0.167474	-0.751685	-0.153770
48189		9.648757	0.263774	-1.859493	-0.014126	-0.015618	-0.010113	-0.897217	0.239258	-0.361084	0.618906	-0.167499	-0.751796	-0.153955
48190		9.656002	0.282679	-1.840006	-0.009482	-0.013380	-0.005821	-0.889893	0.230469	-0.358643	0.618728	-0.167722	-0.751871	-0.154062
48191		9.639908	0.291845	-1.851506	-0.010287	-0.010453	0.000355	-0.888916	0.231689	-0.347900	0.618580	-0.167884	-0.751939	-0.154149
48192		9.639486	0.291695	-1.853724	-0.019141	-0.008848	0.006550	-0.895264	0.228271	-0.359863	0.618355	-0.168210	-0.752025	-0.154275
48193		9.648756	0.209722	-1.859665	-0.018050	-0.008290	0.013246	-0.892578	0.221924	-0.354736	0.618239	-0.168504	-0.752038	-0.154355
48194		9.636207	0.182031	-1.884963	-0.005980	-0.007300	0.012273	-0.884521	0.230713	-0.354492	0.618123	-0.168600	-0.752120	-0.154316
48195		9.638688	0.184643	-1.820792	0.003355	-0.007614	0.010669	-0.897949	0.227783	-0.359619	0.618049	-0.168758	-0.752169	-0.154200
48196		9.634876	0.194828	-1.826437	-0.005984	-0.007956	0.011646	-0.895264	0.227539	-0.351562	0.617963	-0.168925	-0.752212	-0.154156
48197		9.637348	0.128676	-1.871284	-0.005283	-0.010115	0.009292	-0.890869	0.233154	-0.354492	0.617792	-0.169090	-0.752323	-0.154115
48198		9.634147	0.161403	-1.880697	0.012336	-0.009931	0.003227	-0.895508	0.224121	-0.355957	0.617701	-0.169154	-0.752417	-0.153951
48199		9.628217	0.268336	-1.838566	0.015109	-0.013129	0.004622	-0.888184	0.232178	-0.359131	0.617587	-0.169040	-0.752583	-0.153721
48200		9.659895	0.272827	-1.849724	-0.005520	-0.015174	0.010660	-0.894775	0.228027	-0.350586	0.617491	-0.169288	-0.752620	-0.153654
48201		9.638798	0.218348	-1.908562	0.000675	-0.011434	0.012701	-0.891113	0.238281	-0.352539	0.617330	-0.169441	-0.752744	-0.153525
48202		9.622139	0.230731	-1.866687	0.008471	-0.008048	0.015780	-0.891602	0.227539	-0.358398	0.617262	-0.169753	-0.752771	-0.153322
