// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
48166		9.747172	-0.107093	1.145301	0.014013	-0.004765	-0.014514	-0.705078	0.115479	-0.571289	0.742443	-0.082595	-0.659397	-0.084571
48167		9.760149	-0.058830	1.124779	0.003456	-0.006891	-0.017044	-0.707031	0.107910	-0.566650	0.742372	-0.082430	-0.659482	-0.084694
48168		9.760161	-0.066726	1.094931	0.000294	-0.005349	-0.018023	-0.711914	0.115723	-0.561279	0.742305	-0.082275	-0.659556	-0.084855
48169		9.759981	-0.074953	1.105401	0.002729	-0.006449	-0.012628	-0.705078	0.110596	-0.568848	0.742239	-0.082152	-0.659634	-0.084944
48170		9.750744	-0.066234	1.124248	0.006293	-0.013280	-0.012975	-0.708496	0.114746	-0.567871	0.742119	-0.081998	-0.659781	-0.085001
48171		9.769937	-0.073893	1.119620	0.002110	-0.006428	-0.011116	-0.709229	0.117432	-0.567871	0.742051	-0.081889	-0.659860	-0.085084
48172		9.754857	-0.070061	1.110993	0.002701	-0.005529	-0.009299	-0.704590	0.117188	-0.571777	0.741991	-0.081788	-0.659931	-0.085148
48173		9.760254	-0.087799	1.121424	-0.000744	-0.007167	-0.009374	-0.704346	0.114990	-0.566162	0.741912	-0.081717	-0.660018	-0.085241
48174		9.761002	-0.061235	1.136189	-0.006914	-0.006529	-0.010547	-0.705078	0.110107	-0.568604	0.741829	-0.081694	-0.660094	-0.085395
48175		9.758581	-0.096760	1.080103	-0.010360	-0.008167	-0.010621	-0.705811	0.110596	-0.570068	0.741729	-0.081700	-0.660181	-0.085580
48176		9.752458	-0.122397	1.073136	0.001562	-0.011094	-0.011478	-0.706299	0.113037	-0.565918	0.741610	-0.081595	-0.660316	-0.085668
48177		9.766332	-0.109819	1.096655	0.011100	-0.009747	-0.011742	-0.706299	0.111328	-0.561523	0.741504	-0.081410	-0.660458	-0.085673
48178		9.763850	-0.061123	1.108053	0.010650	-0.011324	-0.010532	-0.700195	0.121826	-0.565674	0.741382	-0.081247	-0.660616	-0.085664
48179		9.768133	-0.055330	1.083909	0.008174	-0.011902	-0.013741	-0.712402	0.107422	-0.566162	0.741256	-0.081092	-0.660771	-0.085709
48180		9.744038	-0.116146	1.095132	0.005577	-0.015497	-0.014108	-0.704590	0.111816	-0.564697	0.741079	-0.080937	-0.660980	-0.085772
48181		9.752656	-0.094919	1.076388	0.010269	-0.021096	-0.015654	-0.703125	0.112061	-0.566406	0.740871	-0.080750	-0.661232	-0.085798
48182		9.741935	-0.169157	1.135282	0.019778	-0.024925	-0.018210	-0.709961	0.108398	-0.566895	0.740641	-0.080465	-0.661530	-0.085762
48183		9.776630	-0.104694	1.052696	0.032381	-0.028260	-0.023469	-0.709961	0.101318	-0.564697	0.740389	-0.080033	-0.661879	-0.085647
48184		9.760248	-0.097889	1.028710	0.032259	-0.033096	-0.027248	-0.709473	0.107178	-0.565918	0.740087	-0.079560	-0.662285	-0.085552
48185		9.774921	0.026433	1.010826	0.032009	-0.027715	-0.028392	-0.708008	0.103516	-0.562500	0.739828	-0.079106	-0.662639	-0.085477
48186		9.775311	0.021613	1.016722	0.033033	-0.021712	-0.023322	-0.703613	0.107178	-0.561279	0.739617	-0.078646	-0.662944	-0.085363
48187		9.761274	0.065326	1.049395	0.026939	-0.017914	-0.018511	-0.708496	0.111816	-0.557129	0.739446	-0.078283	-0.663189	-0.085275
48188		9.790167	0.065709	1.010501	0.002467	-0.009198	-0.015647	-0.707764	0.102295	-0.563965	0.739304	-0.078187	-0.663343	-0.085394
48189		9.799083	0.027160	0.983049	-0.008749	-0.005755	-0.011463	-0.715332	0.115967	-0.562744	0.739196	-0.078145	-0.663446	-0.085573
48190		9.795540	0.038510	0.991466	-0.007542	-0.002194	-0.005620	-0.708496	0.108398	-0.560791	0.739085	-0.078248	-0.663538	-0.085720
48191		9.786294	0.056393	1.000827	-0.016012	0.002417	-0.000286	-0.707275	0.110840	-0.550537	0.739032	-0.078395	-0.663558	-0.085883
48192		9.784734	0.078245	1.008487	-0.026731	0.003668	0.004155	-0.711914	0.107666	-0.559082	0.738961	-0.078696	-0.663574	-0.086104
48193		9.784758	-0.019533	0.994163	-0.031360	0.007242	0.009389	-0.714600	0.103271	-0.558594	0.738918	-0.079034	-0.663553	-0.086322
48194		9.785594	-0.069486	1.013634	-0.021908	0.013311	0.010963	-0.702637	0.108887	-0.556396	0.738922	-0.079240	-0.663509	-0.086430
