// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
48166		9.662730	0.695737	-1.508725	-0.003343	0.004411	-0.010047	-0.736328	-0.294922	0.600098	-0.179816	-0.743155	0.157131	-0.625058
48167		9.663629	0.648601	-1.511133	0.010243	0.001449	-0.012179	-0.733643	-0.302979	0.605713	-0.179819	-0.743190	0.156935	-0.625064
48168		9.661262	0.682475	-1.529226	0.016094	-0.000986	-0.009445	-0.743408	-0.298584	0.612061	-0.179814	-0.743242	0.156713	-0.625059
48169		9.658400	0.728943	-1.549923	0.011450	0.000741	-0.004367	-0.731934	-0.298340	0.602051	-0.179714	-0.743278	0.156586	-0.625077
48170		9.666300	0.712610	-1.526768	0.001810	0.002892	0.000204	-0.739014	-0.295166	0.603271	-0.179732	-0.743255	0.156563	-0.625106
48171		9.664790	0.669651	-1.489062	-0.008895	0.006446	0.004266	-0.740479	-0.294434	0.602051	-0.179780	-0.743183	0.156658	-0.625153
48172		9.669500	0.666459	-1.503750	-0.003836	0.004177	0.001198	-0.733154	-0.293213	0.598633	-0.179796	-0.743145	0.156694	-0.625185
48173		9.648827	0.655543	-1.482963	0.002248	0.003196	-0.003522	-0.731445	-0.293457	0.603760	-0.179792	-0.743135	0.156642	-0.625211
48174		9.669629	0.645097	-1.510006	0.000367	0.003918	-0.004099	-0.734131	-0.302734	0.601318	-0.179785	-0.743122	0.156604	-0.625238
48175		9.659087	0.646975	-1.500220	0.000117	0.005126	-0.001812	-0.735352	-0.295898	0.599365	-0.179867	-0.743069	0.156582	-0.625283
48176		9.668226	0.664339	-1.523342	0.004511	0.003732	-0.001874	-0.738770	-0.299316	0.598633	-0.179831	-0.743031	0.156546	-0.625348
48177		9.658352	0.697285	-1.495120	0.006342	0.005718	-0.001952	-0.735352	-0.297607	0.605469	-0.179819	-0.742979	0.156491	-0.625426
48178		9.690530	0.656054	-1.459667	-0.008031	0.007069	-0.001685	-0.730469	-0.288086	0.598389	-0.179898	-0.742929	0.156543	-0.625450
48179		9.656387	0.646580	-1.466313	-0.008780	0.001896	0.001344	-0.741455	-0.302979	0.598877	-0.179874	-0.742870	0.156660	-0.625498
48180		9.639177	0.682234	-1.458628	-0.007786	0.004107	0.001480	-0.729004	-0.296631	0.605469	-0.179987	-0.742779	0.156763	-0.625548
48181		9.665775	0.686639	-1.480093	-0.014458	0.006754	-0.002548	-0.730957	-0.294922	0.599609	-0.180117	-0.742719	0.156857	-0.625558
48182		9.677770	0.659712	-1.481548	-0.013677	0.010131	-0.004637	-0.737061	-0.299072	0.598145	-0.180265	-0.742598	0.156930	-0.625641
48183		9.644929	0.669391	-1.465797	0.006064	0.011379	-0.007267	-0.736816	-0.305420	0.598877	-0.180289	-0.742495	0.156831	-0.625780
48184		9.676599	0.687957	-1.416372	-0.008361	0.004884	-0.006046	-0.737305	-0.297852	0.596680	-0.180489	-0.742411	0.156872	-0.625812
48185		9.667704	0.695765	-1.382405	-0.025854	0.007731	-0.008157	-0.737305	-0.298584	0.603516	-0.180796	-0.742253	0.157022	-0.625873
48186		9.682446	0.664306	-1.422742	-0.014458	0.013859	-0.018329	-0.730957	-0.299805	0.600586	-0.181066	-0.742126	0.156955	-0.625963
48187		9.643062	0.630865	-1.430963	-0.003606	0.003084	-0.021646	-0.736328	-0.292725	0.601074	-0.181266	-0.742113	0.156798	-0.625959
48188		9.676025	0.672773	-1.427081	-0.000739	0.003693	-0.018204	-0.736084	-0.301270	0.594238	-0.181307	-0.742084	0.156648	-0.626020
48189		9.667556	0.638816	-1.475567	-0.016194	0.002914	-0.007556	-0.741699	-0.287598	0.597900	-0.181543	-0.741955	0.156755	-0.626077
