// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
48166		9.535905	0.523129	-2.214877	0.013163	-0.010842	-0.023216	-0.894287	0.111816	-0.375977	0.612668	-0.094144	-0.777192	-0.108386
48167		9.538238	0.541042	-2.221315	0.005785	-0.012698	-0.022851	-0.893066	0.105713	-0.370361	0.612520	-0.093895	-0.777324	-0.108490
48168		9.537982	0.511014	-2.244111	0.000760	-0.011609	-0.020561	-0.901855	0.110840	-0.363281	0.612382	-0.093646	-0.777441	-0.108642
48169		9.528262	0.546576	-2.249077	0.004917	-0.010474	-0.018444	-0.892578	0.104980	-0.370361	0.612254	-0.093489	-0.777552	-0.108710
48170		9.531996	0.537339	-2.242320	0.004921	-0.010472	-0.018442	-0.895996	0.109619	-0.373047	0.612137	-0.093236	-0.777661	-0.108805
48171		9.533309	0.532079	-2.248510	0.004825	-0.011475	-0.014041	-0.897705	0.109619	-0.370850	0.612008	-0.093084	-0.777775	-0.108850
48172		9.529223	0.522241	-2.247776	0.005806	-0.011294	-0.014604	-0.890625	0.113281	-0.372803	0.611877	-0.092929	-0.777891	-0.108886
48173		9.533209	0.516480	-2.225220	0.002788	-0.014287	-0.014429	-0.892334	0.109619	-0.369141	0.611707	-0.092844	-0.778028	-0.108934
48174		9.532994	0.537157	-2.245116	-0.003389	-0.015497	-0.012574	-0.891846	0.104736	-0.373047	0.611523	-0.092798	-0.778164	-0.109031
48175		9.519433	0.501790	-2.267505	-0.006461	-0.016858	-0.013444	-0.891846	0.108398	-0.372559	0.611339	-0.092706	-0.778300	-0.109176
48176		9.520519	0.496456	-2.274726	0.003859	-0.014443	-0.015510	-0.895508	0.108887	-0.369385	0.611181	-0.092562	-0.778435	-0.109219
48177		9.530872	0.516977	-2.259706	0.011453	-0.014827	-0.018190	-0.893311	0.106689	-0.364014	0.611006	-0.092356	-0.778600	-0.109196
48178		9.525769	0.542939	-2.240083	0.013584	-0.015152	-0.020350	-0.889893	0.118164	-0.369629	0.610798	-0.092106	-0.778797	-0.109165
48179		9.543965	0.572319	-2.268572	0.008599	-0.015647	-0.019327	-0.898926	0.100098	-0.369629	0.610630	-0.092023	-0.778940	-0.109156
48180		9.509988	0.490709	-2.266410	0.004552	-0.017191	-0.019627	-0.890625	0.107422	-0.365723	0.610437	-0.091778	-0.779112	-0.109217
48181		9.509736	0.516986	-2.270816	0.010070	-0.018812	-0.021423	-0.891113	0.107178	-0.367188	0.610212	-0.091563	-0.779314	-0.109215
48182		9.523671	0.508296	-2.231572	0.014936	-0.021926	-0.027036	-0.893555	0.105225	-0.368408	0.609971	-0.091263	-0.779540	-0.109199
