// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
48166		9.570825	-0.261344	-2.116572	0.008582	0.002209	-0.009731	-0.857178	-0.112305	0.724365	-0.076907	-0.770889	0.116930	-0.621404
48167		9.593159	-0.278458	-2.119772	0.010057	0.002611	-0.008398	-0.857666	-0.119385	0.729736	-0.076879	-0.770890	0.116768	-0.621436
48168		9.577835	-0.296979	-2.136504	0.006523	0.005825	-0.006242	-0.862549	-0.110596	0.737549	-0.076881	-0.770864	0.116650	-0.621491
48169		9.576770	-0.317412	-2.136266	0.006895	0.006402	-0.007762	-0.852295	-0.115967	0.728271	-0.076883	-0.770833	0.116517	-0.621554
48170		9.565019	-0.327577	-2.148525	0.009990	0.007449	-0.007397	-0.858643	-0.113281	0.727783	-0.076850	-0.770796	0.116365	-0.621632
48171		9.585232	-0.277770	-2.094500	0.007575	0.007892	-0.009383	-0.860107	-0.110352	0.728516	-0.076850	-0.770758	0.116217	-0.621707
48172		9.587200	-0.254277	-2.090999	-0.001389	0.010588	-0.006493	-0.854248	-0.110596	0.725098	-0.076916	-0.770685	0.116166	-0.621799
48173		9.574739	-0.321259	-2.102475	-0.000951	0.010335	-0.005459	-0.854492	-0.112793	0.731201	-0.076970	-0.770610	0.116121	-0.621894
48174		9.580707	-0.324894	-2.093602	0.004544	0.010518	-0.007614	-0.854248	-0.119629	0.724854	-0.076979	-0.770541	0.116019	-0.621997
48175		9.570568	-0.313029	-2.103857	0.007901	0.009728	-0.008952	-0.855469	-0.114014	0.724365	-0.076956	-0.770479	0.115888	-0.622101
48176		9.586809	-0.272880	-2.098732	0.001335	0.011555	-0.008587	-0.859131	-0.112549	0.726318	-0.076985	-0.770397	0.115817	-0.622213
48177		9.580732	-0.287393	-2.103456	-0.009120	0.012926	-0.007572	-0.855957	-0.114746	0.729736	-0.077103	-0.770291	0.115838	-0.622325
48178		9.595490	-0.305533	-2.068637	-0.008682	0.012675	-0.006539	-0.853516	-0.104736	0.726074	-0.077205	-0.770190	0.115866	-0.622433
48179		9.586101	-0.328319	-2.076919	-0.009022	0.014429	-0.007928	-0.862061	-0.117432	0.727051	-0.077311	-0.770073	0.115888	-0.622559
48180		9.566118	-0.267301	-2.084027	-0.004369	0.011963	-0.006689	-0.852295	-0.115479	0.728516	-0.077351	-0.769966	0.115902	-0.622685
48181		9.586153	-0.290796	-2.043058	-0.023705	0.012100	-0.003272	-0.852539	-0.113770	0.722656	-0.077566	-0.769849	0.116084	-0.622769
48182		9.595625	-0.322600	-2.074492	-0.000252	0.012755	-0.006550	-0.859375	-0.113770	0.721680	-0.077587	-0.769742	0.116061	-0.622903
48183		9.588958	-0.247718	-2.051171	-0.002609	0.011869	-0.002012	-0.862305	-0.121338	0.722900	-0.077567	-0.769619	0.116120	-0.623046
48184		9.565536	-0.251658	-2.091404	-0.028790	0.014752	0.002916	-0.860107	-0.114746	0.719727	-0.077788	-0.769431	0.116423	-0.623194
48185		9.609512	-0.216444	-1.978068	-0.054155	0.008046	0.007644	-0.855469	-0.116699	0.725342	-0.078203	-0.769274	0.116971	-0.623234
48186		9.614964	-0.497311	-2.041836	-0.035653	0.010679	0.007743	-0.854492	-0.116699	0.723877	-0.078459	-0.769127	0.117337	-0.623314
48187		9.558842	-0.398976	-2.032508	0.054005	0.002032	-0.001104	-0.858154	-0.109131	0.726562	-0.077875	-0.769143	0.116960	-0.623438
48188		9.584072	-0.248431	-2.109403	0.020031	0.007192	-0.000383	-0.855225	-0.115234	0.720215	-0.077533	-0.769082	0.116859	-0.623575
48189		9.571352	-0.354005	-2.091264	-0.012616	0.008488	0.000434	-0.865723	-0.103516	0.723633	-0.077604	-0.768975	0.117028	-0.623666
48190		9.587049	-0.370095	-2.040868	-0.013109	0.009579	-0.003159	-0.859375	-0.113281	0.723877	-0.077537	-0.768851	0.117171	-0.623800
48191		9.595544	-0.348125	-2.014669	-0.017014	0.007791	-0.007565	-0.857910	-0.110596	0.731934	-0.077641	-0.768763	0.117295	-0.623873
48192		9.587302	-0.348190	-2.023204	-0.022722	0.007777	-0.010192	-0.862305	-0.116455	0.723877	-0.077732	-0.768714	0.117381	-0.623906
