// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
48166		9.665495	0.406642	-1.479891	0.020800	-0.003289	-0.002933	-0.834473	0.115479	-0.284424	0.637412	-0.125432	-0.748231	-0.134623
48167		9.661072	0.425776	-1.526283	-0.001499	-0.007877	-0.004289	-0.832764	0.106934	-0.278320	0.637329	-0.125417	-0.748298	-0.134658
48168		9.681131	0.370152	-1.543274	-0.011602	-0.009300	-0.006370	-0.840088	0.114502	-0.268799	0.637207	-0.125457	-0.748368	-0.134807
48169		9.672793	0.319466	-1.545328	0.001866	-0.008319	-0.010372	-0.830566	0.109619	-0.279053	0.637113	-0.125360	-0.748456	-0.134857
48170		9.678958	0.346257	-1.528515	0.019749	-0.000351	-0.013733	-0.835449	0.114258	-0.280029	0.637113	-0.125082	-0.748517	-0.134773
48171		9.683610	0.398839	-1.470277	0.024932	0.001000	-0.015916	-0.834717	0.116455	-0.279297	0.637128	-0.124744	-0.748582	-0.134655
48172		9.684058	0.433994	-1.472444	0.011473	-0.004577	-0.012823	-0.830566	0.116943	-0.282227	0.637078	-0.124553	-0.748661	-0.134627
48173		9.671377	0.438675	-1.504416	-0.013162	-0.012327	-0.011070	-0.830566	0.115234	-0.278809	0.636922	-0.124586	-0.748756	-0.134807
48174		9.698679	0.359883	-1.539672	-0.025489	-0.014821	-0.006853	-0.832031	0.109375	-0.282959	0.636728	-0.124757	-0.748846	-0.135068
48175		9.670703	0.317715	-1.562868	-0.017155	-0.012166	-0.006688	-0.831787	0.114502	-0.279541	0.636568	-0.124869	-0.748932	-0.135242
48176		9.678184	0.328017	-1.584366	0.004336	-0.010957	-0.011843	-0.835205	0.113525	-0.277100	0.636437	-0.124776	-0.749059	-0.135238
48177		9.682002	0.338543	-1.530089	0.017208	-0.003830	-0.008760	-0.832031	0.111328	-0.272217	0.636387	-0.124615	-0.749157	-0.135081
48178		9.675821	0.375094	-1.539691	0.019170	-0.005994	-0.008997	-0.827148	0.120850	-0.278809	0.636319	-0.124447	-0.749277	-0.134889
48179		9.662156	0.427381	-1.536524	0.016082	-0.009533	-0.010400	-0.837646	0.106201	-0.281250	0.636218	-0.124308	-0.749414	-0.134733
48180		9.648034	0.393482	-1.554763	0.003068	-0.011398	-0.009081	-0.829590	0.112305	-0.275879	0.636064	-0.124279	-0.749558	-0.134683
48181		9.673186	0.325142	-1.540319	-0.002177	-0.011823	-0.008098	-0.828613	0.112793	-0.276611	0.635904	-0.124296	-0.749692	-0.134676
