// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
48166		4.738969	1.630446	8.389273	0.005026	-0.002011	-0.002761	-0.540039	0.469482	-0.729004	0.593599	-0.144913	-0.223041	-0.759535
48167		4.737948	1.620845	8.380497	0.005615	-0.004195	-0.002141	-0.539062	0.461426	-0.725830	0.593577	-0.144906	-0.223130	-0.759528
48168		4.740767	1.629969	8.368864	0.004039	-0.001782	-0.001064	-0.545654	0.469727	-0.720459	0.593548	-0.144906	-0.223205	-0.759528
48169		4.738778	1.623257	8.379561	0.005104	-0.001619	-0.003225	-0.536133	0.466064	-0.724121	0.593448	-0.144953	-0.223336	-0.759559
48170		4.737192	1.615192	8.380554	0.005651	-0.002402	-0.001410	-0.541016	0.468750	-0.726562	0.593444	-0.144924	-0.223405	-0.759547
48171		4.741147	1.636882	8.386789	0.004066	-0.002717	-0.001860	-0.541260	0.472412	-0.727539	0.593414	-0.144930	-0.223476	-0.759548
48172		4.742189	1.634989	8.367078	0.005009	-0.001543	-0.002363	-0.537598	0.471680	-0.727783	0.593393	-0.144907	-0.223541	-0.759550
48173		4.742233	1.637983	8.376214	0.006463	-0.002945	-0.001782	-0.537842	0.470703	-0.726318	0.593399	-0.144864	-0.223611	-0.759533
48174		4.729856	1.620774	8.368191	0.005519	-0.004119	-0.001279	-0.535645	0.465088	-0.730957	0.593396	-0.144849	-0.223688	-0.759516
48175		4.753048	1.639009	8.375581	0.005821	-0.002087	-0.002735	-0.537842	0.467041	-0.728271	0.593403	-0.144768	-0.223748	-0.759508
48176		4.737899	1.615215	8.388441	0.003201	-0.003500	-0.001821	-0.538818	0.469482	-0.726562	0.593395	-0.144766	-0.223796	-0.759500
48177		4.740243	1.625849	8.386512	0.005100	-0.001620	-0.003225	-0.537842	0.468262	-0.722656	0.593380	-0.144754	-0.223843	-0.759500
48178		4.731517	1.627793	8.375635	0.007301	-0.004423	-0.002950	-0.532227	0.477295	-0.725830	0.593350	-0.144753	-0.223945	-0.759494
48179		4.744018	1.635530	8.364459	0.006367	-0.002867	-0.000920	-0.540039	0.465820	-0.729248	0.593415	-0.144741	-0.223937	-0.759448
48180		4.752143	1.625745	8.365996	0.006524	-0.002085	-0.001847	-0.533691	0.469238	-0.722900	0.593403	-0.144699	-0.224021	-0.759441
48181		4.733039	1.632472	8.373865	0.005033	-0.002478	-0.003159	-0.534180	0.469971	-0.724609	0.593397	-0.144673	-0.224072	-0.759435
48182		4.727401	1.607169	8.387365	0.006537	-0.002553	-0.002245	-0.537598	0.467041	-0.729004	0.593411	-0.144642	-0.224126	-0.759414
48183		4.743617	1.634271	8.373217	0.009864	-0.004335	-0.004197	-0.540527	0.458984	-0.730957	0.593395	-0.144589	-0.224237	-0.759404
48184		4.747801	1.656316	8.369452	0.013593	-0.001433	-0.006943	-0.540771	0.466553	-0.733643	0.593326	-0.144442	-0.224422	-0.759431
48185		4.742183	1.631659	8.373087	0.015017	-0.001898	-0.005565	-0.537598	0.462891	-0.724609	0.593315	-0.144328	-0.224566	-0.759419
48186		4.740034	1.627805	8.383362	0.016767	-0.001266	-0.006441	-0.533691	0.467529	-0.728516	0.593269	-0.144202	-0.224755	-0.759423
48187		4.744039	1.649276	8.370036	0.015924	0.000213	-0.005274	-0.536865	0.472168	-0.720703	0.593301	-0.144056	-0.224862	-0.759393
48188		4.734611	1.653300	8.359134	0.014261	-0.000495	-0.005259	-0.535400	0.463623	-0.728027	0.593298	-0.144028	-0.224954	-0.759374
48189		4.724634	1.659903	8.367539	0.011603	-0.000504	-0.003149	-0.544434	0.476807	-0.725342	0.593309	-0.143918	-0.225057	-0.759356
48190		4.733547	1.663997	8.386883	0.010817	-0.000897	-0.003572	-0.534668	0.467041	-0.725830	0.593307	-0.143982	-0.225098	-0.759333
48191		4.722518	1.657584	8.377496	0.012333	-0.001437	-0.003056	-0.537109	0.470703	-0.720459	0.593328	-0.143897	-0.225190	-0.759305
48192		4.730530	1.648310	8.379040	0.004057	-0.002717	-0.001855	-0.539062	0.464355	-0.728027	0.593322	-0.143970	-0.225199	-0.759294
48193		4.731085	1.648998	8.378592	0.002108	-0.002722	0.001142	-0.539307	0.458984	-0.726562	0.593328	-0.143984	-0.225227	-0.759278
48194		4.729440	1.641248	8.389367	-0.000193	-0.002576	0.000202	-0.531250	0.465820	-0.723633	0.593285	-0.143984	-0.225280	-0.759296
48195		4.742611	1.643645	8.359304	-0.003605	-0.003915	0.001095	-0.544678	0.464844	-0.728760	0.593329	-0.144036	-0.225208	-0.759273
48196		4.733222	1.648124	8.377557	-0.000336	-0.003825	0.000734	-0.540283	0.463135	-0.718506	0.593284	-0.144122	-0.225239	-0.759283
48197		4.743921	1.644515	8.368145	-0.001748	-0.003831	-0.001041	-0.539551	0.468506	-0.722900	0.593194	-0.144248	-0.225265	-0.759321
48198		4.722668	1.643237	8.396881	-0.001042	-0.003828	-0.000154	-0.540771	0.456299	-0.725098	0.593173	-0.144372	-0.225232	-0.759324
48199		4.735758	1.647559	8.376234	0.000318	-0.005148	0.001292	-0.535156	0.466309	-0.727295	0.593103	-0.144383	-0.225344	-0.759344
48200		4.747012	1.642447	8.357041	-0.001722	-0.004767	-0.001835	-0.540283	0.463135	-0.722168	0.593122	-0.144417	-0.225299	-0.759336
48201		4.727149	1.636381	8.356669	-0.001315	-0.006793	0.000513	-0.537598	0.469727	-0.720459	0.593059	-0.144540	-0.225337	-0.759350
48202		4.749634	1.641730	8.355692	-0.002205	-0.006640	0.001349	-0.537598	0.463623	-0.728516	0.593058	-0.144723	-0.225275	-0.759335
48203		4.750666	1.642950	8.364625	0.000945	-0.005535	0.002643	-0.543945	0.468994	-0.729736	0.593097	-0.144729	-0.225298	-0.759296
48204		4.720892	1.640489	8.373244	0.001101	-0.004755	0.001714	-0.532227	0.471924	-0.721924	0.593097	-0.144821	-0.225305	-0.759276
48205		4.741166	1.636924	8.373831	0.001820	-0.005220	0.002204	-0.538086	0.469238	-0.718506	0.593204	-0.144916	-0.225204	-0.759205
48206		4.753826	1.644911	8.372206	0.003506	-0.005448	0.001393	-0.540039	0.465088	-0.731201	0.593200	-0.145064	-0.225201	-0.759180
48207		4.740901	1.631768	8.393090	0.005244	-0.004350	0.000912	-0.536621	0.463135	-0.731934	0.593233	-0.145012	-0.225265	-0.759145
48208		4.752012	1.627631	8.373765	0.003034	-0.004281	-0.000887	-0.533203	0.467285	-0.723877	0.593278	-0.144909	-0.225306	-0.759118
48209		4.747475	1.647874	8.359772	0.006236	-0.005049	-0.001183	-0.539551	0.460205	-0.729248	0.593342	-0.144899	-0.225308	-0.759069
48210		4.744164	1.631683	8.371737	0.003176	-0.003032	-0.001419	-0.537842	0.468018	-0.731201	0.593310	-0.144812	-0.225401	-0.759083
48211		4.743006	1.623173	8.372641	0.004627	-0.004431	-0.000836	-0.531982	0.468750	-0.729492	0.593381	-0.144772	-0.225407	-0.759034
48212		4.747627	1.643116	8.368956	0.003908	-0.003965	-0.001326	-0.541992	0.471680	-0.721924	0.593516	-0.144704	-0.225346	-0.758959
48213		4.758406	1.639303	8.349743	0.005017	-0.002480	-0.003160	-0.538086	0.468018	-0.720459	0.593488	-0.144843	-0.225340	-0.758956
48214		4.744742	1.626708	8.370971	0.004900	-0.001465	-0.001505	-0.533691	0.461914	-0.723389	0.593485	-0.144917	-0.225333	-0.758947
48215		4.744324	1.630844	8.389932	0.001802	-0.001244	-0.002467	-0.541260	0.468506	-0.729004	0.593490	-0.144855	-0.225332	-0.758954
48216		4.747470	1.636517	8.359153	0.004938	-0.002870	-0.002695	-0.537842	0.469971	-0.728027	0.593497	-0.144860	-0.225355	-0.758942
48217		4.735835	1.633259	8.378826	0.004037	-0.002248	-0.001462	-0.540527	0.468262	-0.735107	0.593566	-0.144864	-0.225313	-0.758899
48218		4.746197	1.630746	8.369361	0.002468	-0.003036	-0.002306	-0.534668	0.472656	-0.719971	0.593618	-0.144793	-0.225309	-0.758873
48219		4.739519	1.639813	8.347564	0.004899	-0.001464	-0.001505	-0.538086	0.464844	-0.725342	0.593702	-0.144896	-0.225209	-0.758817
48220		4.756285	1.632714	8.378707	0.004768	-0.003181	-0.001369	-0.541260	0.463135	-0.729004	0.593698	-0.144886	-0.225252	-0.758810
48221		4.738307	1.634329	8.357684	0.004846	-0.002791	-0.001833	-0.534180	0.457764	-0.728760	0.593660	-0.144832	-0.225343	-0.758823
48222		4.748076	1.635412	8.367384	0.004936	-0.002870	-0.002695	-0.547363	0.466797	-0.725586	0.593652	-0.144646	-0.225437	-0.758837
48223		4.750362	1.646236	8.365372	0.005000	-0.002012	-0.002763	-0.539307	0.465088	-0.720703	0.593544	-0.144744	-0.225529	-0.758875
48224		4.739215	1.639900	8.365847	0.004910	-0.001933	-0.001902	-0.535400	0.468262	-0.725342	0.593501	-0.144811	-0.225561	-0.758886
48225		4.754659	1.620387	8.379246	0.005809	-0.002555	-0.003135	-0.545166	0.465088	-0.725342	0.593563	-0.144798	-0.225528	-0.758850
48226		4.752916	1.660965	8.372202	0.000822	-0.001012	-0.000768	-0.542725	0.467529	-0.716797	0.593484	-0.144882	-0.225568	-0.758884
48227		4.736644	1.622591	8.358130	0.005089	-0.002090	-0.003625	-0.540527	0.470703	-0.722168	0.593376	-0.145064	-0.225601	-0.758924
48228		4.741105	1.641320	8.344956	0.004934	-0.002870	-0.002695	-0.538818	0.467285	-0.725586	0.593371	-0.145186	-0.225572	-0.758913
48229		4.738617	1.638071	8.374918	0.005063	-0.001153	-0.002832	-0.540771	0.467529	-0.734375	0.593388	-0.145176	-0.225563	-0.758904
48230		4.748698	1.635870	8.365545	0.003404	-0.001862	-0.002813	-0.547363	0.458252	-0.718750	0.593436	-0.145081	-0.225561	-0.758886
48231		4.729112	1.643547	8.383325	0.001786	-0.000776	-0.002070	-0.535645	0.464111	-0.720703	0.593225	-0.145183	-0.225718	-0.758984
48232		4.746876	1.629630	8.376181	0.003314	-0.001783	-0.001951	-0.545166	0.464355	-0.731689	0.593233	-0.145196	-0.225697	-0.758982
48233		4.744645	1.622617	8.387202	0.001993	0.001331	-0.002673	-0.533203	0.466797	-0.729736	0.593196	-0.145128	-0.225737	-0.759012
48234		4.731444	1.653867	8.371598	0.004033	-0.002247	-0.001461	-0.540527	0.468994	-0.727051	0.593326	-0.145017	-0.225667	-0.758953
48235		4.747899	1.629001	8.356185	0.003159	-0.002562	-0.001021	-0.532227	0.468994	-0.729492	0.593358	-0.145061	-0.225634	-0.758929
48236		4.737816	1.636454	8.384075	0.003224	-0.001704	-0.001090	-0.533936	0.464600	-0.725342	0.593513	-0.144974	-0.225517	-0.758859
48237		4.747616	1.635465	8.384395	0.003288	-0.000845	-0.001158	-0.540771	0.469238	-0.723389	0.593580	-0.144909	-0.225471	-0.758833
48238		4.740529	1.646056	8.372270	0.004045	-0.002716	-0.001857	-0.540039	0.464111	-0.731689	0.593579	-0.145007	-0.225454	-0.758820
48239		4.737510	1.626635	8.365248	0.005523	-0.001847	-0.000153	-0.535645	0.465576	-0.721680	0.593615	-0.144901	-0.225504	-0.758797
48240		4.740748	1.653028	8.400098	0.002346	-0.005222	-0.002562	-0.536377	0.466309	-0.724121	0.593617	-0.144966	-0.225486	-0.758788
48241		4.738094	1.631771	8.383460	0.003455	-0.000535	-0.002486	-0.536377	0.468994	-0.724365	0.593648	-0.144956	-0.225444	-0.758779
48242		4.749878	1.640396	8.382150	0.004584	-0.003020	0.000356	-0.534668	0.470215	-0.725586	0.593726	-0.144995	-0.225392	-0.758725
48243		4.729504	1.635666	8.381892	0.004864	-0.003728	-0.002625	-0.539307	0.468750	-0.721924	0.593812	-0.145008	-0.225325	-0.758675
48244		4.749314	1.633247	8.382494	0.004673	-0.003100	-0.000506	-0.536133	0.465332	-0.724121	0.593828	-0.145104	-0.225312	-0.758649
48245		4.740345	1.636208	8.381322	0.004851	-0.003259	-0.002229	-0.532959	0.468750	-0.721924	0.593845	-0.145093	-0.225317	-0.758636
48246		4.748560	1.626037	8.382964	0.003941	-0.002167	-0.000600	-0.538818	0.463623	-0.721680	0.593935	-0.145121	-0.225230	-0.758586
48247		4.751416	1.634852	8.371216	0.003924	-0.004901	-0.002115	-0.534912	0.462646	-0.715576	0.593882	-0.145175	-0.225286	-0.758600
48248		4.752543	1.634383	8.360892	0.005480	-0.003642	-0.000877	-0.538330	0.463867	-0.724365	0.593849	-0.145246	-0.225316	-0.758603
48249		4.745212	1.648192	8.367812	0.002990	-0.002871	0.000307	-0.532471	0.468506	-0.721924	0.593853	-0.145251	-0.225335	-0.758594
48250		4.751934	1.626410	8.361430	0.002282	-0.002877	-0.000579	-0.537109	0.466797	-0.720947	0.593946	-0.145286	-0.225238	-0.758544
48251		4.732768	1.634064	8.379002	0.005365	-0.002624	0.000777	-0.546875	0.469482	-0.723633	0.593976	-0.145338	-0.225232	-0.758511
48252		4.745160	1.641005	8.367880	0.003797	-0.003414	-0.000065	-0.541504	0.466553	-0.729736	0.593919	-0.145490	-0.225278	-0.758513
48253		4.753877	1.629138	8.359795	0.005478	-0.003642	-0.000877	-0.539307	0.469482	-0.726807	0.593933	-0.145457	-0.225331	-0.758493
48254		4.744715	1.633660	8.368208	0.003885	-0.003494	-0.000926	-0.540283	0.459717	-0.723145	0.593977	-0.145487	-0.225311	-0.758459
48255		4.743165	1.626713	8.378867	0.003861	-0.002556	-0.000134	-0.540039	0.466553	-0.721924	0.593915	-0.145467	-0.225404	-0.758483
48256		4.751213	1.617990	8.390108	0.004592	-0.003488	-0.000040	-0.534668	0.466797	-0.721436	0.593908	-0.145537	-0.225425	-0.758470
48257		4.737125	1.638337	8.365924	0.004781	-0.004117	-0.002159	-0.541016	0.462646	-0.728760	0.593940	-0.145562	-0.225404	-0.758445
48258		4.745812	1.626646	8.357823	0.004757	-0.003179	-0.001367	-0.542969	0.471924	-0.729004	0.593921	-0.145498	-0.225485	-0.758449
48259		4.745940	1.630933	8.376474	0.003807	-0.003883	-0.000460	-0.540039	0.458984	-0.716309	0.593961	-0.145560	-0.225469	-0.758410
48260		4.749126	1.637992	8.355076	0.003883	-0.003494	-0.000926	-0.541260	0.465576	-0.726074	0.593852	-0.145628	-0.225565	-0.758454
48261		4.747246	1.632730	8.375385	0.003937	-0.002166	-0.000600	-0.536133	0.471191	-0.721436	0.593851	-0.145628	-0.225591	-0.758447
48262		4.749646	1.643011	8.373363	0.003783	-0.002944	0.000332	-0.543213	0.471191	-0.728760	0.593927	-0.145711	-0.225508	-0.758396
48263		4.758251	1.630985	8.365374	0.003960	-0.003105	-0.001391	-0.536377	0.474365	-0.723389	0.593951	-0.145753	-0.225501	-0.758372
48264		4.737845	1.626058	8.365221	0.003175	-0.003500	-0.001811	-0.544678	0.464355	-0.725098	0.594032	-0.145843	-0.225394	-0.758323
48265		4.740266	1.636483	8.363156	0.004731	-0.002240	-0.000576	-0.538818	0.468750	-0.715576	0.593982	-0.145861	-0.225474	-0.758335
48266		4.742446	1.648580	8.370682	0.003186	-0.003970	-0.002207	-0.542725	0.467041	-0.724609	0.593948	-0.146015	-0.225451	-0.758338
48267		4.746956	1.619362	8.375480	0.004012	-0.001777	-0.001066	-0.538330	0.470459	-0.718018	0.593932	-0.146043	-0.225474	-0.758338
48268		4.751622	1.635966	8.352701	0.004024	-0.002247	-0.001462	-0.532471	0.464111	-0.724121	0.593943	-0.146151	-0.225424	-0.758325
48269		4.749876	1.629093	8.363480	0.003228	-0.002173	-0.001486	-0.540527	0.467529	-0.721924	0.593999	-0.146078	-0.225390	-0.758304
48270		4.757676	1.621961	8.384352	0.003727	-0.004271	0.000007	-0.532227	0.468262	-0.719727	0.593996	-0.146152	-0.225404	-0.758289
48271		4.753188	1.640295	8.360748	0.004676	-0.003567	-0.000901	-0.544434	0.463379	-0.728271	0.594064	-0.146174	-0.225346	-0.758248
