// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.4
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
51973		9.779418	-0.416327	3.106645	0.000290	0.004345	0.007392	-1.011475	0.823242	-0.322021	0.573710	-0.432770	-0.401844	-0.567528
51974		9.769852	-0.415943	3.118478	0.009079	0.007982	0.008954	-1.011230	0.816895	-0.315186	0.573862	-0.432694	-0.401803	-0.567461
51975		9.765643	-0.428338	3.147328	0.008470	0.007096	0.007959	-1.013428	0.818848	-0.317383	0.573992	-0.432626	-0.401774	-0.567402
51976		9.789517	-0.427404	3.114308	-0.001964	0.006579	0.007079	-1.013428	0.821045	-0.315430	0.574066	-0.432628	-0.401673	-0.567397
51977		9.772468	-0.442026	3.123097	-0.006640	0.010250	0.004938	-1.015381	0.816650	-0.312988	0.574118	-0.432628	-0.401524	-0.567451
51978		9.791462	-0.430956	3.139861	-0.006757	0.006396	0.002489	-1.015625	0.818848	-0.317383	0.574134	-0.432643	-0.401413	-0.567501
51979		9.782850	-0.455349	3.119931	-0.007535	0.004421	0.003406	-1.009033	0.816895	-0.317383	0.574143	-0.432682	-0.401304	-0.567539
51980		9.764040	-0.456252	3.132677	0.002010	0.004394	0.001487	-1.020020	0.823242	-0.315430	0.574193	-0.432646	-0.401270	-0.567540
51981		9.768884	-0.429132	3.142233	-0.006948	0.004964	0.000566	-1.017822	0.821045	-0.317627	0.574194	-0.432667	-0.401168	-0.567595
51982		9.785146	-0.457273	3.144555	-0.003975	0.002781	-0.001262	-1.011230	0.818848	-0.315186	0.574190	-0.432670	-0.401110	-0.567639
51983		9.765833	-0.420234	3.140033	0.009794	0.003630	-0.002196	-1.010986	0.814697	-0.317383	0.574261	-0.432564	-0.401144	-0.567623
51984		9.767815	-0.431825	3.135633	0.003183	0.000189	-0.002925	-1.009033	0.819092	-0.312988	0.574274	-0.432521	-0.401159	-0.567632
51985		9.763083	-0.453634	3.136039	0.013276	-0.000876	-0.005069	-1.013672	0.825439	-0.313477	0.574321	-0.432408	-0.401263	-0.567597
