// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
51973		9.783181	0.315033	0.660153	-0.006651	-0.003863	-0.012021	-0.889404	-0.216797	0.472900	-0.142149	-0.673746	0.111349	-0.716562
51974		9.785566	0.334623	0.627043	-0.001249	-0.002958	-0.010526	-0.891602	-0.216309	0.470215	-0.142249	-0.673785	0.111276	-0.716517
51975		9.777854	0.351657	0.615634	-0.002430	-0.002511	-0.011325	-0.887939	-0.213867	0.474121	-0.142369	-0.673815	0.111207	-0.716475
51976		9.802343	0.370799	0.602180	-0.008021	-0.000414	-0.010766	-0.886963	-0.212646	0.481934	-0.142483	-0.673830	0.111200	-0.716440
51977		9.781782	0.317179	0.594615	-0.011669	-0.002521	-0.010981	-0.888184	-0.210449	0.481201	-0.142576	-0.673870	0.111238	-0.716378
51978		9.809937	0.332332	0.626158	-0.009717	-0.004861	-0.010460	-0.896484	-0.216553	0.481689	-0.142620	-0.673942	0.111273	-0.716296
51979		9.795480	0.291895	0.631075	-0.008660	-0.003644	-0.012204	-0.886963	-0.213135	0.474121	-0.142743	-0.673998	0.111264	-0.716220
51980		9.787046	0.319353	0.582078	-0.003865	0.008453	-0.010368	-0.893066	-0.224365	0.478271	-0.142819	-0.673953	0.111212	-0.716256
51981		9.792087	0.319728	0.612692	-0.011897	0.006391	-0.012177	-0.894043	-0.217285	0.474121	-0.143081	-0.673910	0.111196	-0.716247
51982		9.780707	0.282878	0.586806	-0.001818	0.007703	-0.013326	-0.887939	-0.219971	0.475342	-0.143195	-0.673873	0.111099	-0.716273
51983		9.788764	0.290181	0.623596	0.009921	0.004367	-0.011007	-0.892822	-0.222900	0.474121	-0.143208	-0.673900	0.110924	-0.716272
51984		9.810969	0.290161	0.603750	0.011062	0.005310	-0.017532	-0.896973	-0.220703	0.472412	-0.143297	-0.673926	0.110682	-0.716268
51985		9.797805	0.256612	0.633887	0.017051	0.002808	-0.018321	-0.889893	-0.225586	0.480713	-0.143307	-0.673982	0.110401	-0.716256
51986		9.798438	0.248028	0.634132	0.017625	0.010091	-0.021447	-0.885010	-0.215576	0.479004	-0.143374	-0.674030	0.110073	-0.716248
51987		9.795895	0.262842	0.614354	0.028921	0.010433	-0.024940	-0.890381	-0.223389	0.474609	-0.143267	-0.674073	0.109661	-0.716293
51988		9.785523	0.372748	0.619943	0.030345	0.012039	-0.025454	-0.899902	-0.217773	0.469238	-0.143238	-0.674079	0.109220	-0.716360
51989		9.783938	0.396520	0.663655	0.010849	0.009152	-0.025975	-0.901855	-0.216553	0.470459	-0.143317	-0.674049	0.108979	-0.716409
51990		9.777933	0.331872	0.681344	0.011840	0.009049	-0.025899	-0.892090	-0.218262	0.480713	-0.143370	-0.674033	0.108722	-0.716452
51991		9.786193	0.364521	0.623780	0.021138	0.006109	-0.021874	-0.891113	-0.218750	0.473389	-0.143310	-0.674125	0.108381	-0.716430
51992		9.781705	0.381021	0.659724	0.019147	0.005518	-0.023531	-0.892090	-0.214111	0.474609	-0.143319	-0.674161	0.108059	-0.716443
51993		9.775930	0.315839	0.676326	0.012692	0.003373	-0.023288	-0.888916	-0.218262	0.473633	-0.143321	-0.674214	0.107805	-0.716431
51994		9.779893	0.311245	0.642305	0.012302	0.002987	-0.024547	-0.892334	-0.217285	0.471436	-0.143393	-0.674257	0.107535	-0.716416
51995		9.778663	0.331509	0.644665	0.016808	0.007730	-0.027001	-0.888672	-0.219238	0.468994	-0.143434	-0.674250	0.107220	-0.716462
51996		9.761483	0.384290	0.665684	0.017381	0.005116	-0.027818	-0.890381	-0.220459	0.477539	-0.143517	-0.674251	0.106899	-0.716492
51997		9.784288	0.402841	0.630064	0.007121	0.003037	-0.027195	-0.884033	-0.222168	0.477783	-0.143638	-0.674326	0.106641	-0.716436
51998		9.793426	0.396628	0.624523	0.007051	0.000655	-0.025181	-0.887939	-0.216797	0.475342	-0.143780	-0.674429	0.106385	-0.716348
51999		9.759309	0.398968	0.643718	-0.007153	0.000298	-0.026736	-0.891846	-0.223389	0.481934	-0.143979	-0.674487	0.106275	-0.716270
52000		9.783485	0.348462	0.675074	0.001370	-0.000721	-0.022430	-0.892334	-0.226074	0.468262	-0.144088	-0.674621	0.106086	-0.716150
52001		9.775754	0.386875	0.688746	0.017374	0.001645	-0.020139	-0.888916	-0.220703	0.468506	-0.144158	-0.674615	0.105832	-0.716179
52002		9.791130	0.461815	0.611070	0.012073	-0.002277	-0.017239	-0.885254	-0.219238	0.473145	-0.144176	-0.674636	0.105663	-0.716181
52003		9.773040	0.477691	0.621183	-0.001357	-0.001872	-0.016280	-0.896240	-0.216797	0.471924	-0.144264	-0.674690	0.105586	-0.716123
52004		9.783786	0.400232	0.683004	-0.001220	0.000202	-0.011126	-0.883057	-0.218994	0.475586	-0.144229	-0.674682	0.105565	-0.716141
52005		9.796549	0.345423	0.633767	0.010990	0.001845	-0.009936	-0.888672	-0.221924	0.470703	-0.144146	-0.674752	0.105393	-0.716117
52006		9.760559	0.396699	0.600332	0.010335	-0.002715	-0.009519	-0.895020	-0.219727	0.481201	-0.144114	-0.674787	0.105283	-0.716107
52007		9.792409	0.383241	0.573441	-0.003578	0.002134	-0.012918	-0.885254	-0.224365	0.478271	-0.144087	-0.674859	0.105210	-0.716055
52008		9.787366	0.381567	0.624218	0.001984	0.001688	-0.010523	-0.888672	-0.217773	0.472168	-0.144131	-0.674945	0.105106	-0.715981
52009		9.783703	0.362578	0.634069	-0.003954	0.004671	-0.013061	-0.892090	-0.215332	0.470459	-0.144171	-0.674909	0.105092	-0.716008
52010		9.776107	0.350834	0.638621	0.009213	0.003037	-0.011240	-0.891357	-0.218506	0.467041	-0.144030	-0.674876	0.105003	-0.716081
52011		9.771151	0.418802	0.604741	-0.004994	0.001583	-0.012603	-0.888428	-0.220947	0.475098	-0.144113	-0.674790	0.105053	-0.716138
52012		9.790215	0.415145	0.617826	-0.011215	0.001195	-0.011989	-0.892578	-0.224121	0.470947	-0.144215	-0.674817	0.105086	-0.716087
52013		9.791769	0.393747	0.656391	-0.006828	0.004116	-0.009279	-0.893311	-0.221191	0.468506	-0.144340	-0.674749	0.105135	-0.716119
52014		9.787508	0.383826	0.627322	-0.002088	0.002374	-0.006063	-0.894287	-0.218994	0.477051	-0.144350	-0.674665	0.105192	-0.716187
52015		9.778936	0.384272	0.632937	-0.009070	0.004132	-0.006844	-0.898193	-0.224609	0.474121	-0.144283	-0.674668	0.105231	-0.716192
52016		9.761881	0.383893	0.643517	-0.012053	0.003627	-0.008584	-0.891113	-0.221436	0.468262	-0.144387	-0.674611	0.105312	-0.716213
52017		9.770191	0.386833	0.639902	-0.010445	0.004904	-0.008372	-0.900635	-0.218750	0.467285	-0.144504	-0.674502	0.105419	-0.716277
52018		9.787016	0.390591	0.630811	-0.015339	-0.002372	-0.006809	-0.892090	-0.223877	0.473145	-0.144538	-0.674386	0.105616	-0.716350
52019		9.779477	0.333027	0.664286	-0.015318	-0.000247	-0.007177	-0.896484	-0.210938	0.470459	-0.144659	-0.674384	0.105733	-0.716310
52020		9.792394	0.343879	0.649416	-0.008097	0.000047	-0.007702	-0.904541	-0.221680	0.480225	-0.144433	-0.674331	0.105813	-0.716394
52021		9.792358	0.389801	0.620270	-0.000449	0.006843	-0.006396	-0.896240	-0.227539	0.474609	-0.144223	-0.674322	0.105739	-0.716455
52022		9.785377	0.391879	0.609890	-0.015068	0.005790	-0.007556	-0.886719	-0.209717	0.477539	-0.144391	-0.674266	0.105829	-0.716461
52023		9.786223	0.335654	0.640054	-0.023077	0.003655	-0.009373	-0.895508	-0.224365	0.478760	-0.144242	-0.674320	0.105938	-0.716424
52024		9.796651	0.311266	0.634762	-0.006806	0.010238	-0.008720	-0.895752	-0.216553	0.473389	-0.144217	-0.674311	0.105885	-0.716446
52025		9.772882	0.375093	0.629171	-0.000362	0.008696	-0.011573	-0.885010	-0.225098	0.468262	-0.144072	-0.674247	0.105841	-0.716542
52026		9.792925	0.357340	0.643142	0.005624	0.011831	-0.008449	-0.891602	-0.221191	0.469482	-0.144170	-0.674154	0.105786	-0.716618
52027		9.778611	0.363938	0.661753	0.007003	0.009196	-0.008225	-0.889404	-0.219482	0.470459	-0.144104	-0.674069	0.105727	-0.716720
52028		9.789194	0.402704	0.651284	-0.000420	0.008172	-0.008250	-0.889404	-0.219482	0.476807	-0.144053	-0.674011	0.105717	-0.716785
52029		9.796234	0.356717	0.654597	-0.013839	0.002946	-0.011221	-0.889893	-0.215576	0.471191	-0.144034	-0.674084	0.105728	-0.716719
52030		9.772226	0.294444	0.658475	-0.007633	0.004146	-0.010341	-0.904053	-0.221436	0.477051	-0.143951	-0.674061	0.105772	-0.716751
52031		9.786171	0.311219	0.669005	0.011251	0.012986	-0.009550	-0.893555	-0.222900	0.472900	-0.143687	-0.673996	0.105580	-0.716893
52032		9.785993	0.376942	0.666313	0.017256	0.010537	-0.010328	-0.901611	-0.223877	0.473389	-0.143528	-0.673969	0.105362	-0.716983
52033		9.768245	0.406748	0.663671	0.003252	0.008979	-0.012682	-0.896240	-0.224365	0.465576	-0.143485	-0.673893	0.105256	-0.717079
52034		9.781555	0.389475	0.664945	0.000741	0.005612	-0.007086	-0.888672	-0.223145	0.464844	-0.143571	-0.673749	0.105314	-0.717188
52035		9.766243	0.428137	0.707617	-0.000482	0.001796	-0.007164	-0.888184	-0.216309	0.466553	-0.143679	-0.673680	0.105381	-0.717221
52036		9.771174	0.371161	0.662970	-0.007750	-0.000898	-0.004619	-0.896729	-0.216797	0.467529	-0.143630	-0.673651	0.105518	-0.717239
52037		9.787519	0.358926	0.669022	-0.002357	0.000068	-0.003103	-0.895508	-0.216309	0.471680	-0.143479	-0.673581	0.105614	-0.717320
52038		9.775595	0.317772	0.658314	0.002438	0.000719	-0.001899	-0.897461	-0.222656	0.472412	-0.143211	-0.673589	0.105620	-0.717366
52039		9.777197	0.301476	0.617380	-0.002912	0.002141	-0.005449	-0.896729	-0.216064	0.468994	-0.143159	-0.673577	0.105629	-0.717385
52040		9.795163	0.247568	0.637379	0.013186	0.003498	-0.009406	-0.886719	-0.223633	0.470215	-0.142916	-0.673540	0.105512	-0.717486
52041		9.783723	0.305964	0.631041	0.018467	0.005589	-0.013617	-0.890381	-0.217773	0.476562	-0.142878	-0.673586	0.105271	-0.717486
52042		9.783517	0.309766	0.632381	0.016087	0.006456	-0.015242	-0.892822	-0.218506	0.474121	-0.142619	-0.673696	0.104972	-0.717478
52043		9.790037	0.332209	0.670781	0.019513	0.010007	-0.015945	-0.895996	-0.222656	0.470215	-0.142395	-0.673724	0.104669	-0.717541
52044		9.769401	0.356708	0.661142	0.010507	0.006886	-0.017676	-0.897217	-0.218018	0.463867	-0.142406	-0.673684	0.104485	-0.717603
52045		9.775275	0.408266	0.684772	0.006667	0.006674	-0.015641	-0.887207	-0.221924	0.465576	-0.142420	-0.673531	0.104443	-0.717750
52046		9.779533	0.420002	0.676012	0.009015	0.005550	-0.012355	-0.901123	-0.226562	0.478271	-0.142485	-0.673487	0.104360	-0.717790
52047		9.787756	0.442648	0.696920	0.006554	0.004569	-0.008784	-0.893799	-0.219727	0.471680	-0.142379	-0.673549	0.104183	-0.717779
52048		9.774759	0.397443	0.663647	-0.007323	0.001862	-0.005402	-0.891846	-0.221680	0.470703	-0.142339	-0.673550	0.104244	-0.717776
52049		9.776504	0.355394	0.677239	-0.010600	-0.000423	-0.001010	-0.895996	-0.213135	0.470215	-0.142351	-0.673560	0.104380	-0.717745
52050		9.783972	0.288995	0.655186	-0.007721	0.003336	-0.005363	-0.891846	-0.217041	0.472900	-0.142186	-0.673510	0.104474	-0.717811
52051		9.780558	0.268609	0.664691	-0.003690	0.000289	-0.007796	-0.897949	-0.217041	0.470459	-0.142072	-0.673568	0.104473	-0.717779
52052		9.786671	0.280904	0.638044	-0.006803	0.001695	-0.013796	-0.890625	-0.219971	0.472168	-0.142054	-0.673538	0.104487	-0.717809
52053		9.793183	0.302966	0.675639	0.006467	0.007021	-0.016374	-0.895752	-0.216309	0.476807	-0.142022	-0.673561	0.104317	-0.717818
52054		9.775802	0.367836	0.680726	0.007850	0.003327	-0.015959	-0.890869	-0.220947	0.478516	-0.141798	-0.673654	0.104106	-0.717806
52055		9.792397	0.417870	0.642130	0.000591	0.004606	-0.012478	-0.891113	-0.219971	0.475830	-0.141699	-0.673771	0.103949	-0.717738
52056		9.785330	0.440055	0.655586	-0.017236	0.002786	-0.012798	-0.884521	-0.213135	0.473145	-0.141775	-0.673829	0.103991	-0.717663
52057		9.773696	0.356260	0.675563	-0.026514	0.001064	-0.008944	-0.897705	-0.214844	0.479004	-0.141827	-0.673879	0.104205	-0.717575
52058		9.792361	0.335951	0.703842	-0.009760	-0.002856	-0.004444	-0.890137	-0.219482	0.477295	-0.141577	-0.673990	0.104251	-0.717514
52059		9.765683	0.372895	0.664074	-0.021345	-0.002932	-0.007231	-0.894531	-0.219727	0.470215	-0.141602	-0.674104	0.104369	-0.717384
52060		9.810081	0.292889	0.683678	-0.020758	0.001373	-0.005987	-0.887695	-0.220459	0.469727	-0.141720	-0.674046	0.104585	-0.717384
52061		9.775906	0.333957	0.673325	0.016319	0.004521	-0.005450	-0.899170	-0.216309	0.470215	-0.141569	-0.674061	0.104463	-0.717417
52062		9.781306	0.374212	0.632556	-0.008536	0.000165	-0.005862	-0.893799	-0.220947	0.470459	-0.141503	-0.674006	0.104593	-0.717463
52063		9.784875	0.334523	0.628980	-0.017937	-0.001501	-0.007566	-0.886230	-0.218506	0.468262	-0.141630	-0.673993	0.104761	-0.717426
52064		9.783845	0.305412	0.659955	-0.015744	-0.000963	-0.006851	-0.893066	-0.218506	0.469482	-0.141752	-0.673992	0.104948	-0.717376
52065		9.778443	0.346582	0.680420	-0.021727	0.000930	-0.009251	-0.895264	-0.220215	0.465088	-0.141897	-0.673942	0.105154	-0.717363
