// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
51973		9.696572	-0.465292	-1.437503	0.007931	-0.001531	-0.011788	-0.868896	0.215820	-0.335205	0.644254	-0.161120	-0.739779	-0.108181
51974		9.682743	-0.446741	-1.433002	0.024244	-0.002916	-0.012927	-0.871094	0.216797	-0.335938	0.644259	-0.160809	-0.739862	-0.108055
51975		9.682414	-0.421058	-1.453570	0.024645	-0.003344	-0.012709	-0.867676	0.220703	-0.331055	0.644257	-0.160511	-0.739947	-0.107919
51976		9.702557	-0.439206	-1.487099	-0.004535	-0.000166	-0.005617	-0.864014	0.217285	-0.323242	0.644221	-0.160585	-0.739955	-0.107977
51977		9.684484	-0.432599	-1.438845	-0.013203	-0.006326	-0.003281	-0.867920	0.222900	-0.323975	0.644111	-0.160752	-0.739998	-0.108087
51978		9.679596	-0.472182	-1.435886	-0.012934	-0.005457	-0.003824	-0.876953	0.216309	-0.325928	0.643998	-0.160960	-0.740037	-0.108187
51979		9.685920	-0.506979	-1.417460	-0.018946	-0.003629	-0.000268	-0.868164	0.221924	-0.332031	0.643916	-0.161148	-0.740044	-0.108349
51980		9.668930	-0.522796	-1.413120	-0.005137	-0.002331	0.001215	-0.872070	0.209229	-0.326416	0.643871	-0.161283	-0.740052	-0.108357
51981		9.693961	-0.525745	-1.431741	0.001613	-0.005218	0.002888	-0.872070	0.217285	-0.329590	0.643840	-0.161267	-0.740088	-0.108314
51982		9.697186	-0.509215	-1.441422	-0.002973	-0.006063	0.003942	-0.869385	0.214600	-0.332031	0.643797	-0.161377	-0.740108	-0.108271
51983		9.681829	-0.517411	-1.441536	-0.004712	-0.003263	0.003280	-0.870117	0.213623	-0.330566	0.643782	-0.161459	-0.740105	-0.108261
51984		9.669182	-0.546504	-1.461821	0.004398	-0.007276	0.000641	-0.875000	0.215820	-0.331299	0.643737	-0.161445	-0.740159	-0.108177
51985		9.700887	-0.531606	-1.441481	0.016794	-0.005352	-0.002774	-0.867432	0.211914	-0.324951	0.643739	-0.161321	-0.740212	-0.107989
51986		9.701603	-0.484410	-1.458751	0.012749	-0.004462	-0.002808	-0.866455	0.217529	-0.325684	0.643694	-0.161217	-0.740295	-0.107845
51987		9.674629	-0.481546	-1.466102	0.010140	-0.006493	-0.004417	-0.867432	0.214355	-0.332520	0.643639	-0.161178	-0.740370	-0.107716
51988		9.667549	-0.506731	-1.479375	0.005901	-0.010004	-0.005734	-0.876709	0.219971	-0.336426	0.643585	-0.161112	-0.740442	-0.107644
51989		9.676735	-0.509091	-1.462278	0.004013	-0.009127	-0.006024	-0.877686	0.221680	-0.333740	0.643562	-0.161110	-0.740472	-0.107571
51990		9.687468	-0.556297	-1.468501	0.005409	-0.005786	-0.005042	-0.871338	0.221924	-0.324951	0.643554	-0.161127	-0.740490	-0.107476
51991		9.681677	-0.566868	-1.449076	0.012635	-0.003647	-0.001704	-0.868896	0.217285	-0.331299	0.643516	-0.161132	-0.740551	-0.107276
51992		9.686058	-0.571201	-1.501933	0.015770	-0.003099	-0.000055	-0.868164	0.220947	-0.330322	0.643537	-0.161067	-0.740578	-0.107055
51993		9.677165	-0.538249	-1.481984	0.020364	-0.002495	-0.000177	-0.866943	0.219238	-0.331543	0.643566	-0.161010	-0.740607	-0.106772
51994		9.669235	-0.534539	-1.478232	0.020514	-0.006087	-0.005876	-0.872314	0.216797	-0.336182	0.643559	-0.160881	-0.740675	-0.106533
51995		9.680870	-0.535111	-1.500030	0.017818	-0.004339	-0.006585	-0.865967	0.216309	-0.334717	0.643590	-0.160746	-0.740706	-0.106339
51996		9.675246	-0.536767	-1.508083	0.010980	-0.001154	-0.005313	-0.868164	0.215820	-0.326416	0.643624	-0.160655	-0.740715	-0.106206
51997		9.697639	-0.525178	-1.478324	0.001329	-0.004162	-0.007852	-0.863281	0.218506	-0.323975	0.643537	-0.160631	-0.740804	-0.106151
51998		9.679592	-0.562761	-1.477360	0.003203	-0.001319	-0.010546	-0.866211	0.220703	-0.330078	0.643470	-0.160590	-0.740878	-0.106099
51999		9.683596	-0.566254	-1.465811	0.010051	-0.001276	-0.012944	-0.871338	0.215088	-0.325195	0.643468	-0.160508	-0.740910	-0.106013
52000		9.668151	-0.556052	-1.456614	0.014790	0.001255	-0.013440	-0.871094	0.213379	-0.336426	0.643446	-0.160321	-0.740989	-0.105880
52001		9.664858	-0.562605	-1.476571	0.015858	-0.005431	-0.010365	-0.867188	0.218262	-0.334229	0.643465	-0.160131	-0.741033	-0.105736
52002		9.691671	-0.563742	-1.471016	0.005488	-0.000570	-0.002652	-0.864990	0.220703	-0.332031	0.643515	-0.160159	-0.741001	-0.105618
52003		9.672127	-0.549756	-1.474044	0.000627	-0.002047	-0.001983	-0.875732	0.220703	-0.335449	0.643531	-0.160269	-0.740977	-0.105524
