// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
51973		9.688417	0.071921	-1.566721	-0.003119	0.006682	-0.010598	-0.880859	0.238037	-0.388428	0.630848	-0.169532	-0.742372	-0.148907
51974		9.700411	0.045504	-1.584759	-0.009463	0.005561	-0.004983	-0.882080	0.237061	-0.391113	0.630870	-0.169550	-0.742321	-0.149045
51975		9.667749	-0.010405	-1.578364	-0.003712	0.003168	-0.004152	-0.878174	0.244629	-0.387695	0.630892	-0.169504	-0.742297	-0.149127
51976		9.679200	0.042671	-1.574034	0.007199	0.000030	-0.004383	-0.876465	0.242188	-0.379150	0.630879	-0.169498	-0.742321	-0.149070
51977		9.680452	0.065653	-1.537896	-0.010924	0.000781	0.002005	-0.879395	0.247314	-0.378662	0.630843	-0.169709	-0.742292	-0.149126
51978		9.675874	0.010658	-1.548288	-0.012970	-0.001245	0.002198	-0.887451	0.239746	-0.378662	0.630774	-0.169993	-0.742274	-0.149183
51979		9.682930	0.016736	-1.528604	-0.010115	0.000742	0.001679	-0.877197	0.244141	-0.386230	0.630755	-0.170149	-0.742242	-0.149242
51980		9.681008	-0.010281	-1.548074	-0.013236	0.002264	-0.000577	-0.883057	0.229004	-0.381836	0.630743	-0.170321	-0.742193	-0.149345
51981		9.671875	-0.047482	-1.600524	0.000597	-0.000542	-0.003006	-0.885986	0.240234	-0.385742	0.630763	-0.170225	-0.742195	-0.149359
51982		9.687315	-0.007440	-1.512219	0.003197	-0.002066	-0.004323	-0.880859	0.235352	-0.386475	0.630766	-0.170213	-0.742205	-0.149311
51983		9.691182	0.030821	-1.555369	-0.011573	-0.008389	-0.003951	-0.882568	0.236328	-0.385742	0.630685	-0.170285	-0.742241	-0.149393
51984		9.681528	-0.010291	-1.623262	-0.002190	-0.009490	-0.003858	-0.884033	0.237061	-0.387451	0.630614	-0.170299	-0.742301	-0.149377
51985		9.674042	0.002267	-1.563423	0.003117	-0.006975	-0.005463	-0.878418	0.232178	-0.379639	0.630582	-0.170261	-0.742350	-0.149314
51986		9.698992	0.054504	-1.560204	-0.003792	-0.001739	-0.005287	-0.875488	0.242432	-0.380127	0.630523	-0.170251	-0.742398	-0.149331
51987		9.689340	0.026240	-1.558251	-0.008946	-0.005057	-0.000785	-0.877930	0.238770	-0.384766	0.630456	-0.170434	-0.742414	-0.149328
51988		9.657425	-0.030254	-1.613460	0.000805	-0.010663	0.000291	-0.885986	0.239014	-0.389404	0.630395	-0.170501	-0.742471	-0.149226
51989		9.678258	-0.012469	-1.556756	0.010928	-0.010152	0.001734	-0.889160	0.243652	-0.390869	0.630394	-0.170503	-0.742516	-0.149003
51990		9.685793	0.002030	-1.542710	0.005370	-0.010864	0.002233	-0.881836	0.241455	-0.378174	0.630396	-0.170605	-0.742530	-0.148808
