// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
51973		9.128017	0.634403	3.305329	-0.004438	0.003229	-0.001106	-0.751953	0.263672	-0.136230	0.433548	-0.465068	-0.337428	-0.694183
51974		9.158296	0.636328	3.326247	-0.005790	0.007320	-0.008712	-0.755371	0.262695	-0.137451	0.433470	-0.464999	-0.337389	-0.694297
51975		9.149011	0.598143	3.344098	-0.007503	0.011748	-0.011516	-0.750000	0.268555	-0.134521	0.433375	-0.464888	-0.337329	-0.694460
51976		9.169854	0.568595	3.305026	-0.016051	0.016803	-0.007281	-0.752686	0.262451	-0.128174	0.433290	-0.464798	-0.337139	-0.694665
51977		9.165632	0.600197	3.301091	-0.020074	0.003701	-0.006184	-0.756592	0.270508	-0.127441	0.433139	-0.464852	-0.336976	-0.694802
51978		9.157814	0.605207	3.371859	-0.013594	0.007618	-0.010376	-0.760742	0.262695	-0.127930	0.433007	-0.464824	-0.336870	-0.694955
51979		9.175817	0.607618	3.325056	-0.010250	0.010477	-0.011556	-0.753418	0.268311	-0.136963	0.432900	-0.464746	-0.336779	-0.695118
51980		9.161336	0.591513	3.334893	-0.009609	0.004342	-0.011443	-0.761719	0.254150	-0.132324	0.432774	-0.464722	-0.336724	-0.695239
51981		9.150541	0.585797	3.426341	-0.012314	0.027390	-0.008486	-0.757324	0.262695	-0.135010	0.432759	-0.464528	-0.336497	-0.695487
51982		9.146916	0.540115	3.399066	-0.013036	0.032740	-0.007766	-0.755615	0.258057	-0.135010	0.432780	-0.464289	-0.336214	-0.695771
51983		9.140405	0.572557	3.381923	-0.039516	0.040784	-0.001523	-0.758301	0.259033	-0.138916	0.432748	-0.464150	-0.335603	-0.696179
51984		9.148406	0.574594	3.327885	-0.015788	-0.005288	-0.000622	-0.759277	0.260742	-0.132324	0.432678	-0.464290	-0.335428	-0.696213
51985		9.139894	0.565693	3.422676	-0.018176	-0.019050	-0.006555	-0.754395	0.257324	-0.128906	0.432486	-0.464551	-0.335342	-0.696199
51986		9.212599	0.535221	3.387884	0.018990	0.003339	-0.009938	-0.751221	0.260986	-0.131592	0.432577	-0.464398	-0.335472	-0.696183
51987		9.209085	0.577261	3.322844	0.036609	-0.002755	-0.006891	-0.752197	0.256348	-0.137939	0.432782	-0.464225	-0.335753	-0.696035
51988		9.130167	0.586747	3.353275	0.040312	0.011867	-0.013532	-0.763672	0.259033	-0.144287	0.433008	-0.463883	-0.336022	-0.695993
51989		9.109240	0.598627	3.347808	0.043221	0.026913	-0.014934	-0.763916	0.265137	-0.144531	0.433334	-0.463391	-0.336212	-0.696026
51990		9.135538	0.601487	3.332846	0.042857	0.023537	-0.015103	-0.754639	0.262451	-0.132324	0.433655	-0.462941	-0.336410	-0.696029
51991		9.179608	0.638237	3.350620	0.054903	0.026662	-0.018913	-0.755371	0.259277	-0.140137	0.433984	-0.462394	-0.336782	-0.696009
51992		9.164962	0.635283	3.395275	0.042563	0.037298	-0.018746	-0.753418	0.263916	-0.140137	0.434280	-0.461810	-0.336976	-0.696118
51993		9.151634	0.642507	3.423612	0.024978	0.043559	-0.018353	-0.753662	0.259766	-0.143066	0.434513	-0.461275	-0.336976	-0.696326
51994		9.180454	0.665257	3.405263	0.025694	0.042322	-0.023627	-0.756104	0.258545	-0.145020	0.434689	-0.460705	-0.337021	-0.696572
51995		9.133746	0.659546	3.443141	0.032912	0.048990	-0.024620	-0.752686	0.256836	-0.145996	0.434927	-0.460031	-0.337100	-0.696831
51996		9.122273	0.636516	3.379601	0.025429	0.027539	-0.026519	-0.754395	0.257324	-0.141602	0.434999	-0.459561	-0.337251	-0.697023
51997		9.075635	0.620429	3.429816	0.042371	0.011023	-0.027794	-0.748291	0.255127	-0.140625	0.435090	-0.459163	-0.337668	-0.697027
51998		9.097495	0.688169	3.506126	0.034580	0.011329	-0.028629	-0.754150	0.258301	-0.144287	0.435111	-0.458794	-0.338028	-0.697083
51999		9.120724	0.719752	3.530943	0.018773	0.018061	-0.029144	-0.757568	0.253906	-0.141113	0.435105	-0.458443	-0.338179	-0.697243
52000		9.137425	0.727229	3.497141	0.008814	0.030902	-0.028513	-0.757080	0.251221	-0.154297	0.435080	-0.458028	-0.338202	-0.697520
52001		9.147413	0.702661	3.491376	0.007972	0.031150	-0.026761	-0.755127	0.255371	-0.152588	0.435074	-0.457550	-0.338161	-0.697858
52002		9.111414	0.695148	3.506806	0.007312	0.033157	-0.024056	-0.750977	0.254395	-0.148926	0.435117	-0.457091	-0.338083	-0.698170
52003		9.098789	0.703865	3.504206	-0.000060	0.029065	-0.024245	-0.760986	0.257568	-0.151611	0.435079	-0.456722	-0.337986	-0.698482
52004		9.092415	0.693716	3.469698	0.000891	0.025645	-0.021366	-0.747803	0.255615	-0.144531	0.435106	-0.456391	-0.337879	-0.698733
52005		9.113190	0.715509	3.457474	-0.001092	0.023247	-0.021479	-0.754150	0.249756	-0.152832	0.435054	-0.456132	-0.337806	-0.698969
52006		9.107137	0.750303	3.474952	0.001614	0.019962	-0.023804	-0.758301	0.257568	-0.144775	0.434972	-0.455810	-0.337783	-0.699242
52007		9.100995	0.783742	3.511288	0.001451	0.018364	-0.024748	-0.748535	0.251709	-0.146729	0.434916	-0.455590	-0.337787	-0.699418
52008		9.112369	0.758935	3.493155	-0.001115	0.018745	-0.026468	-0.751465	0.255615	-0.155518	0.434774	-0.455338	-0.337785	-0.699671
52009		9.087403	0.750158	3.485889	-0.002986	0.017459	-0.023056	-0.758789	0.257568	-0.155029	0.434725	-0.455071	-0.337697	-0.699918
52010		9.064484	0.748875	3.488945	-0.008400	0.015501	-0.019682	-0.752686	0.254395	-0.160645	0.434689	-0.454881	-0.337563	-0.700129
52011		9.082075	0.747394	3.501536	-0.007259	0.009630	-0.015617	-0.754639	0.253174	-0.149902	0.434660	-0.454694	-0.337426	-0.700335
52012		9.090490	0.748308	3.503866	-0.006324	0.010310	-0.014714	-0.755127	0.246094	-0.155518	0.434589	-0.454595	-0.337359	-0.700474
52013		9.095233	0.730920	3.494509	-0.003422	0.008975	-0.012602	-0.758057	0.251953	-0.156738	0.434491	-0.454421	-0.337324	-0.700666
52014		9.084713	0.733407	3.515300	0.001106	0.002204	-0.009445	-0.759766	0.251709	-0.146729	0.434497	-0.454310	-0.337318	-0.700736
52015		9.094111	0.734016	3.515167	0.010679	-0.001925	-0.008323	-0.761963	0.244141	-0.153320	0.434495	-0.454295	-0.337470	-0.700674
52016		9.111086	0.721390	3.533016	0.009872	-0.001279	-0.006556	-0.759277	0.252686	-0.158203	0.434443	-0.454183	-0.337618	-0.700707
52017		9.076562	0.750037	3.534880	0.008342	0.000874	-0.002982	-0.764404	0.254883	-0.159180	0.434568	-0.454062	-0.337635	-0.700700
52018		9.086011	0.749314	3.534891	0.005736	0.000881	-0.002118	-0.755371	0.248047	-0.151855	0.434715	-0.453957	-0.337623	-0.700683
52019		9.066384	0.751735	3.554930	-0.002676	0.003645	-0.000266	-0.760498	0.258057	-0.155029	0.434713	-0.453939	-0.337564	-0.700724
52020		9.075995	0.750235	3.545491	-0.007096	-0.001481	0.000784	-0.768799	0.251953	-0.146240	0.434829	-0.453999	-0.337426	-0.700680
52021		9.092374	0.729910	3.503430	-0.007991	-0.010425	0.002961	-0.759521	0.248535	-0.154541	0.434770	-0.454223	-0.337436	-0.700567
52022		9.083034	0.724839	3.559580	-0.008005	-0.010553	0.003823	-0.749512	0.261475	-0.149658	0.434726	-0.454336	-0.337382	-0.700547
52023		9.088023	0.742414	3.558816	-0.003956	-0.013474	0.004559	-0.760254	0.245850	-0.148193	0.434877	-0.454582	-0.337270	-0.700348
52024		9.070219	0.742735	3.574711	-0.005885	-0.019725	0.006428	-0.758545	0.258057	-0.149414	0.434745	-0.454830	-0.337329	-0.700240
