// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
51973		9.595879	-0.201104	-2.027062	0.003613	-0.012942	-0.009977	-0.862305	-0.104004	0.721191	-0.071008	-0.769719	0.103795	-0.625873
51974		9.587929	-0.193869	-2.040829	0.011720	-0.014147	-0.011273	-0.867188	-0.103027	0.721924	-0.070965	-0.769854	0.103608	-0.625742
51975		9.581695	-0.174524	-2.086253	0.013651	-0.014238	-0.011967	-0.864990	-0.098877	0.722900	-0.070908	-0.769991	0.103399	-0.625615
51976		9.596008	-0.148418	-2.061403	0.003818	-0.015215	-0.006687	-0.863281	-0.100830	0.731445	-0.070904	-0.770124	0.103318	-0.625466
51977		9.604540	-0.202013	-2.078595	0.002649	-0.005926	-0.007612	-0.864258	-0.097168	0.733643	-0.070934	-0.770185	0.103226	-0.625402
51978		9.599553	-0.175744	-2.063656	-0.004322	0.003639	-0.006446	-0.873779	-0.102783	0.735352	-0.071033	-0.770167	0.103193	-0.625418
51979		9.600539	-0.229839	-2.072773	-0.008630	-0.000505	-0.007845	-0.861572	-0.099854	0.723389	-0.071181	-0.770182	0.103182	-0.625385
51980		9.583822	-0.201734	-2.075853	-0.001922	0.000975	-0.009587	-0.870361	-0.111572	0.731689	-0.071274	-0.770196	0.103106	-0.625370
51981		9.596498	-0.194441	-2.073487	-0.006013	-0.002487	-0.008961	-0.867920	-0.106201	0.723877	-0.071395	-0.770236	0.103072	-0.625312
51982		9.594510	-0.238494	-2.049081	0.003195	0.003579	-0.011675	-0.863770	-0.108643	0.726074	-0.071454	-0.770244	0.102937	-0.625318
