// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
52131		18.128466	-2.221255	6.867642	-0.785789	0.790065	3.721772	-0.603516	-0.107422	-0.436035	0.702745	0.172467	-0.532206	0.439501
52132		18.628943	-1.065221	6.904220	-1.105785	0.810417	3.563478	-0.600342	-0.064209	-0.429199	0.694219	0.147886	-0.536818	0.456088
52133		18.010010	-0.749138	6.241273	-1.376250	0.864458	3.528699	-0.588867	-0.008301	-0.443848	0.687555	0.125058	-0.540544	0.468445
52134		16.193841	0.749286	5.225229	-1.305465	0.864233	3.340623	-0.587402	0.031006	-0.445557	0.683828	0.111499	-0.542959	0.474492
52135		15.035407	2.962600	3.991247	-1.061002	0.693696	2.998813	-0.582520	0.087158	-0.444092	0.684359	0.112926	-0.544095	0.472082
52136		14.801374	6.263047	2.609628	-0.783790	0.452867	2.501439	-0.566406	0.114990	-0.447021	0.689540	0.131804	-0.544316	0.459219
52137		14.641944	10.339785	1.429138	-0.656155	0.181102	1.853586	-0.559570	0.142578	-0.452393	0.698806	0.168317	-0.543924	0.432997
52138		14.490859	13.789081	0.668122	-0.646658	-0.145308	1.090151	-0.547852	0.155029	-0.438232	0.710551	0.220646	-0.541380	0.391587
52139		13.940773	13.020068	0.256421	-0.434284	-0.412888	0.157121	-0.559814	0.164062	-0.431641	0.722040	0.284795	-0.533045	0.336769
52140		13.511790	9.190214	0.609817	0.191745	-0.506354	-0.819794	-0.568848	0.148193	-0.431152	0.728188	0.351579	-0.518317	0.278356
52141		13.752252	6.195646	1.383816	0.624169	-0.553887	-1.360186	-0.568848	0.121826	-0.434326	0.727068	0.408612	-0.502515	0.227787
52142		6.369477	-7.101484	5.998570	0.947680	-0.599998	-1.504288	-0.586182	0.106689	-0.430664	0.720722	0.452306	-0.489409	0.190940
52143		3.427171	-21.347794	6.250651	1.529973	-0.701024	-2.005453	-0.589844	0.068604	-0.425781	0.715577	0.478698	-0.478688	0.172209
52144		0.040032	-8.359682	0.352225	1.635922	0.431405	-3.123595	-0.586914	0.026123	-0.438721	0.717035	0.488255	-0.465959	0.174213
52145		-1.528446	-0.059162	6.074676	1.335046	-0.924998	-3.352436	-0.602295	-0.022705	-0.418701	0.713091	0.498574	-0.462439	0.170517
52146		11.842427	-4.570832	8.800492	0.931362	-2.140234	-2.549406	-0.605225	-0.062012	-0.406250	0.709965	0.504037	-0.465521	0.158701
52147		11.140714	-0.821241	12.603875	0.926926	-1.708683	-2.696231	-0.624756	-0.094971	-0.386475	0.713388	0.499779	-0.469530	0.144358
52148		27.176945	-13.554353	6.765450	1.349939	-0.269715	-2.069199	-0.626221	-0.125732	-0.374023	0.721007	0.493443	-0.462929	0.149532
52149		9.831723	-3.469207	4.509699	1.808628	0.419541	-0.880476	-0.612549	-0.147705	-0.379395	0.717332	0.494365	-0.452238	0.191102
52150		8.107374	-2.401654	7.430130	1.472749	0.572986	-0.808163	-0.614258	-0.159912	-0.387451	0.723230	0.479607	-0.457836	0.193138
52151		7.616554	-4.345125	5.674658	0.944057	0.554534	-0.571867	-0.607910	-0.183594	-0.393555	0.732088	0.457984	-0.462282	0.201478
52152		7.809427	-4.309837	5.439960	0.562985	0.494632	-0.367715	-0.598389	-0.187988	-0.390625	0.740752	0.441590	-0.461341	0.208446
52153		7.696893	-3.149985	5.882403	0.408787	0.413535	-0.234883	-0.595703	-0.189453	-0.397949	0.740411	0.446343	-0.446188	0.231270
52154		7.197914	-3.295526	6.172839	0.258624	0.271132	-0.130273	-0.583252	-0.188965	-0.403076	0.742060	0.440851	-0.442239	0.243769
52155		6.774429	-3.779830	6.166982	0.159161	0.146603	-0.075991	-0.583740	-0.187988	-0.427246	0.744015	0.436148	-0.442068	0.246562
52156		6.817699	-4.083041	5.817357	0.115190	0.090080	-0.053615	-0.575684	-0.186768	-0.434326	0.754309	0.417177	-0.446649	0.239764
52157		6.882678	-4.437074	5.534690	0.091227	0.068966	-0.050446	-0.587158	-0.181152	-0.437988	0.764837	0.392011	-0.462351	0.218136
52158		7.144944	-4.205938	5.274514	0.087735	0.088147	-0.061752	-0.575195	-0.183350	-0.449463	0.770354	0.367139	-0.479004	0.205715
52159		6.971843	-4.423143	5.446765	0.092398	0.114744	-0.075138	-0.567383	-0.189453	-0.467041	0.775492	0.350244	-0.485550	0.200456
52160		7.074324	-4.234754	5.345582	0.093902	0.123995	-0.090560	-0.573242	-0.190918	-0.479492	0.777433	0.343268	-0.482002	0.213166
52161		6.756776	-4.182728	5.774132	0.078206	0.104481	-0.082738	-0.574219	-0.193359	-0.492676	0.778629	0.337548	-0.477541	0.227490
52162		6.710261	-4.054317	5.805035	0.061307	0.070199	-0.083602	-0.573242	-0.193359	-0.507080	0.779552	0.331831	-0.473334	0.241125
52163		6.777304	-4.082257	5.827215	0.048985	0.043111	-0.077753	-0.579102	-0.206299	-0.521729	0.780218	0.326122	-0.469391	0.254119
52164		6.938141	-4.181069	5.536155	0.049686	0.037589	-0.083595	-0.577881	-0.208984	-0.539551	0.780701	0.320525	-0.465554	0.266512
52165		7.120508	-3.963608	5.581720	0.053424	0.063874	-0.097072	-0.578125	-0.220947	-0.549316	0.781108	0.315038	-0.461675	0.278348
52166		6.914924	-4.060744	5.646310	0.061469	0.080904	-0.092406	-0.582031	-0.230469	-0.553711	0.781372	0.309652	-0.457865	0.289711
52167		6.782074	-3.980342	5.825356	0.066949	0.079753	-0.077156	-0.579346	-0.229492	-0.561279	0.781433	0.304350	-0.454259	0.300637
52168		6.776701	-4.039206	5.795509	0.073254	0.076000	-0.062878	-0.596436	-0.241943	-0.575195	0.781312	0.299152	-0.450842	0.311129
52169		6.786017	-4.069533	5.765331	0.073574	0.080918	-0.062921	-0.593994	-0.248047	-0.573242	0.781102	0.294053	-0.447549	0.321111
52170		6.879785	-3.839364	5.802943	0.070915	0.074266	-0.063880	-0.596191	-0.270020	-0.584229	0.780781	0.289069	-0.444473	0.330550
52171		6.772120	-3.976374	5.863499	0.058617	0.055781	-0.066583	-0.600098	-0.266846	-0.586914	0.780356	0.284190	-0.441712	0.339368
52172		6.909786	-3.806824	5.807296	0.051437	0.030285	-0.074167	-0.600342	-0.278076	-0.599609	0.779816	0.279483	-0.439280	0.347575
