// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
52131		9.691932	-1.432944	-2.893976	0.411488	0.017575	0.575670	-0.442627	0.601318	0.409912	0.373357	-0.733543	-0.365975	-0.434259
52132		9.633433	-0.580522	-2.746060	0.360565	0.037787	0.665281	-0.432861	0.607178	0.416260	0.378197	-0.734050	-0.363178	-0.431555
52133		9.666723	-0.815226	-2.986250	0.305886	0.052339	0.761158	-0.417236	0.623047	0.406006	0.382003	-0.734152	-0.360433	-0.430329
52134		9.711709	-1.536642	-3.331611	0.305110	0.052259	0.812552	-0.419678	0.623291	0.409668	0.384515	-0.733250	-0.358816	-0.430981
52135		9.550759	-1.551495	-3.208294	0.273578	0.081348	0.882890	-0.412842	0.646240	0.407959	0.386171	-0.732084	-0.357502	-0.432570
52136		9.555462	-1.654772	-3.134402	0.194286	0.118560	0.944390	-0.401611	0.652100	0.407959	0.387045	-0.730923	-0.356031	-0.434959
52137		9.480730	-2.088490	-3.136213	0.160908	0.151344	1.011728	-0.391113	0.661621	0.397461	0.388028	-0.729913	-0.353993	-0.437435
52138		9.434068	-2.028348	-3.139001	0.213046	0.178335	1.059963	-0.366699	0.666504	0.408936	0.390402	-0.729249	-0.351037	-0.438811
52139		9.386075	-1.811191	-3.385179	0.206405	0.209025	1.146747	-0.364014	0.680908	0.406982	0.393579	-0.729197	-0.346973	-0.439290
52140		9.551451	-2.097670	-3.257572	0.253927	0.246660	1.241576	-0.352051	0.687256	0.399170	0.397193	-0.729652	-0.342560	-0.438746
52141		9.499259	-2.573420	-3.561135	0.344328	0.275512	1.300459	-0.331299	0.686279	0.387939	0.401916	-0.730133	-0.337758	-0.437365
52142		9.277837	-2.689220	-3.619908	0.512116	0.265699	1.384662	-0.327637	0.713379	0.384766	0.408304	-0.730889	-0.332687	-0.434060
52143		9.755343	-2.588037	-3.311361	0.671970	0.275750	1.420083	-0.304688	0.722900	0.377930	0.415666	-0.731612	-0.327590	-0.429710
52144		10.909716	-2.550337	-3.360545	0.701667	0.352612	1.534212	-0.288574	0.739746	0.364014	0.424154	-0.732043	-0.321554	-0.425218
52145		11.084170	-2.021334	-2.813026	0.837938	0.404185	1.547412	-0.271729	0.748291	0.357910	0.433319	-0.731347	-0.316212	-0.421161
52146		10.836066	-1.353294	-3.360379	0.771395	0.404788	1.630459	-0.241455	0.758545	0.340332	0.441709	-0.730800	-0.309405	-0.418442
52147		11.333291	-0.348633	-3.512831	0.704734	0.454776	1.786172	-0.234375	0.771729	0.329102	0.451189	-0.729543	-0.304381	-0.414183
52148		11.965824	-0.429456	-3.605844	0.636875	0.525271	1.944584	-0.210938	0.784180	0.327637	0.457064	-0.729556	-0.296370	-0.413527
52149		12.365883	-1.369162	-3.622998	0.809344	0.508622	2.062611	-0.181641	0.793213	0.313965	0.459204	-0.731697	-0.279990	-0.418756
52150		13.088076	-2.205842	-3.988897	1.213995	0.413152	2.095388	-0.166260	0.813477	0.293213	0.469123	-0.729752	-0.272835	-0.415870
52151		13.743443	-2.084199	-4.641639	1.634020	0.308869	2.105312	-0.142090	0.813477	0.267090	0.481236	-0.725302	-0.275574	-0.407931
52152		12.812428	1.456975	-3.190470	1.642495	0.164987	2.156826	-0.109863	0.826904	0.255371	0.498705	-0.720645	-0.281778	-0.390595
52153		11.589484	-0.783246	-3.417923	0.880714	0.152798	2.389904	-0.081299	0.837402	0.245605	0.500991	-0.725218	-0.262100	-0.392900
52154		10.720950	-4.699436	-3.166184	0.245692	0.068267	2.610110	-0.043945	0.838867	0.239502	0.499481	-0.731276	-0.243887	-0.395314
52155		8.990760	-7.627024	-2.110623	0.241362	0.016180	2.399494	-0.019287	0.839600	0.227051	0.507816	-0.732288	-0.243980	-0.382557
52156		6.602326	-8.778211	-1.352656	0.939589	-0.142491	1.897177	0.008545	0.847900	0.206543	0.520427	-0.729763	-0.254958	-0.362764
52157		5.536862	-8.374791	-0.881719	1.135624	-0.213182	1.428605	0.014404	0.851562	0.199219	0.528714	-0.727190	-0.260897	-0.351552
52158		2.240431	-9.229143	-1.782540	1.561792	-0.430187	0.836573	0.030762	0.854248	0.173096	0.522956	-0.732401	-0.228528	-0.371323
52159		3.443417	-5.582635	-2.814974	1.605426	-0.479769	0.022751	0.035156	0.855713	0.143066	0.542099	-0.720740	-0.265381	-0.340933
52160		6.254099	-3.260365	0.047622	1.973782	-0.242193	-0.800794	0.016846	0.861328	0.111816	0.549464	-0.712060	-0.275639	-0.339239
52161		4.991249	-3.138917	2.609145	2.128257	-0.132228	-1.274244	-0.002930	0.863770	0.082031	0.556170	-0.700809	-0.288064	-0.341411
52162		3.355711	-2.281891	2.707893	1.112890	-0.350593	-1.521446	-0.026611	0.867920	0.070068	0.557304	-0.692814	-0.301725	-0.344069
52163		3.661781	-2.284307	1.959471	-0.047586	-0.585053	-1.813899	-0.060059	0.856201	0.064453	0.549793	-0.690169	-0.312562	-0.351710
52164		4.316057	-3.112642	1.171118	-1.005568	-0.686176	-2.138575	-0.084961	0.855225	0.072998	0.538070	-0.689125	-0.327662	-0.358085
52165		4.959448	-4.120534	0.581824	-1.511143	-0.692152	-2.503309	-0.120117	0.842773	0.094971	0.520617	-0.690159	-0.339541	-0.370608
52166		5.909661	-4.990561	0.093909	-1.575524	-0.667434	-2.823176	-0.158691	0.830078	0.122803	0.501472	-0.690425	-0.351769	-0.384835
52167		6.488312	-6.213202	-0.586556	-1.470356	-0.572653	-3.178412	-0.198242	0.823242	0.144775	0.481776	-0.688445	-0.365615	-0.400327
52168		6.718030	-6.657685	-1.291000	-1.157658	-0.449545	-3.516700	-0.256348	0.803467	0.149414	0.462803	-0.683368	-0.381523	-0.416248
52169		7.203672	-5.869858	-1.322410	-0.747975	-0.404006	-3.752258	-0.298828	0.783936	0.169434	0.445812	-0.674927	-0.400325	-0.430657
52170		7.670228	-4.717981	-1.009817	-0.623350	-0.471875	-3.918888	-0.349609	0.749268	0.170898	0.427605	-0.665797	-0.419399	-0.444942
52171		8.465634	-3.704993	-0.732732	-0.830510	-0.542796	-4.023039	-0.398193	0.725586	0.177979	0.407151	-0.656772	-0.437964	-0.459420
52172		9.133642	-3.053263	-0.586366	-1.340390	-0.578949	-4.040468	-0.443359	0.690430	0.190918	0.383194	-0.649028	-0.454145	-0.475055
52173		9.579540	-3.338925	-0.900201	-1.966786	-0.564923	-4.046664	-0.489014	0.652588	0.222168	0.355383	-0.642467	-0.467312	-0.492502
52174		10.116308	-4.358285	-1.589271	-2.235406	-0.519633	-4.079837	-0.514404	0.613525	0.242920	0.325733	-0.635635	-0.478781	-0.510524
52175		10.652639	-4.986310	-2.418367	-2.105128	-0.458883	-4.160519	-0.558105	0.562988	0.268799	0.296156	-0.627361	-0.490101	-0.527741
52176		11.087136	-4.503747	-2.961351	-1.767264	-0.338760	-4.260939	-0.595947	0.508545	0.285645	0.268216	-0.616685	-0.502475	-0.543395
52177		11.377534	-3.238613	-2.758923	-1.424843	-0.214245	-4.308657	-0.638916	0.454102	0.295166	0.242078	-0.604013	-0.515609	-0.557417
52178		12.190575	-2.414273	-2.278089	-1.295688	-0.220588	-4.192417	-0.656982	0.394043	0.301514	0.216857	-0.591148	-0.528081	-0.569778
52179		12.361990	-1.901415	-2.310481	-1.468313	-0.277512	-3.907610	-0.678223	0.344727	0.319092	0.191683	-0.579706	-0.537772	-0.581378
52180		12.040714	-1.876154	-2.042829	-1.702216	-0.289342	-3.495778	-0.698486	0.301270	0.325684	0.167159	-0.570224	-0.543767	-0.592638
52181		11.382148	-3.566571	-1.849860	-1.727381	-0.389221	-2.998904	-0.711670	0.256104	0.327637	0.144394	-0.563322	-0.546896	-0.602265
52182		10.541211	-5.028022	-3.436717	-1.268448	-0.421134	-2.536579	-0.706055	0.217285	0.344971	0.125959	-0.558107	-0.549758	-0.608618
52183		9.690321	-4.411988	-3.812538	-0.354206	-0.315146	-1.921704	-0.724365	0.189453	0.340332	0.115510	-0.554340	-0.554072	-0.610221
52184		9.340212	-2.472173	-4.157452	0.320939	-0.321219	-1.096015	-0.716797	0.177002	0.354004	0.112483	-0.553904	-0.557952	-0.607641
52185		9.235336	-0.760448	-3.649924	0.624018	-0.266801	-0.147128	-0.710449	0.187988	0.344971	0.116003	-0.557346	-0.558991	-0.602858
52186		9.115865	-1.449426	-3.007909	0.521280	-0.208890	0.715267	-0.717041	0.187988	0.347900	0.123642	-0.564529	-0.555475	-0.597886
52187		9.007372	-2.880521	-1.916225	0.354631	-0.094270	1.405082	-0.705811	0.217529	0.350830	0.134435	-0.574360	-0.547666	-0.593379
52188		8.501482	-4.034959	-1.935191	0.202157	-0.158126	1.997235	-0.696533	0.235107	0.352051	0.147077	-0.587179	-0.536057	-0.588415
52189		9.504982	2.345796	-4.280595	0.034899	-0.303414	1.983979	-0.685791	0.266602	0.351807	0.158124	-0.600607	-0.523545	-0.583240
52190		10.315036	11.074616	-0.474271	-0.320759	0.079973	1.031883	-0.684326	0.262207	0.351318	0.164214	-0.608142	-0.513603	-0.582589
52191		12.877579	7.068268	0.673079	-1.455572	-0.170932	1.107974	-0.675781	0.282227	0.360840	0.163390	-0.618172	-0.498336	-0.585515
52192		15.428491	2.398365	2.216974	-1.301572	0.250841	1.523463	-0.677490	0.286377	0.366943	0.166808	-0.627176	-0.481045	-0.589424
52193		12.965694	-2.299318	0.377769	-1.802458	-0.028654	1.800945	-0.671875	0.295166	0.369873	0.167667	-0.638930	-0.459888	-0.593430
52194		12.152893	-4.449797	-1.554434	-1.268774	-0.266192	1.864988	-0.660645	0.302002	0.386719	0.170688	-0.651021	-0.440992	-0.593770
52195		9.529607	-1.194616	-4.324913	-0.707806	-0.547671	1.847067	-0.648438	0.322266	0.388916	0.175616	-0.663395	-0.425072	-0.590237
52196		6.752838	0.595447	-7.316152	-0.884826	-0.793457	1.898152	-0.631836	0.334717	0.410645	0.178828	-0.677111	-0.408304	-0.585515
52197		7.227202	-3.494142	-7.243774	-0.176021	-0.672784	1.642378	-0.614502	0.349609	0.417236	0.185013	-0.688040	-0.396370	-0.579018
52198		8.332738	-8.202648	-5.197651	0.913800	-0.150122	1.149056	-0.606689	0.372559	0.411377	0.196694	-0.693032	-0.391661	-0.572380
52199		9.903695	-7.882300	-2.209925	1.892511	-0.090474	0.877955	-0.604492	0.391357	0.401855	0.212952	-0.695153	-0.392791	-0.563142
52200		11.328263	-2.113388	0.217828	2.271655	0.032599	0.754800	-0.598633	0.415039	0.395264	0.231278	-0.695317	-0.395848	-0.553488
52201		9.263784	2.679507	0.767456	0.869854	-0.318063	0.916951	-0.590088	0.431396	0.384277	0.241058	-0.699914	-0.392087	-0.546149
52202		9.130186	3.713970	-1.566112	-0.548858	-0.511102	1.113548	-0.579102	0.436035	0.401367	0.242719	-0.708495	-0.381278	-0.541987
52203		9.448885	-0.516945	-4.376301	-1.132388	-0.381748	1.116454	-0.566895	0.438232	0.413818	0.241195	-0.717327	-0.367790	-0.540368
52204		8.848023	-5.906956	-6.033235	-0.582643	-0.208004	0.867548	-0.558838	0.445312	0.424561	0.242210	-0.723354	-0.357978	-0.538466
52205		8.650788	-5.773446	-4.543503	0.556795	-0.158332	0.589208	-0.549561	0.447510	0.422119	0.248898	-0.726018	-0.354810	-0.533908
52206		9.768088	-2.605485	-3.409641	1.142991	-0.195395	0.460930	-0.541504	0.477295	0.419678	0.258385	-0.727101	-0.355190	-0.527637
52207		9.995429	0.775229	-2.534617	0.977948	-0.209323	0.504416	-0.530762	0.490479	0.405762	0.266743	-0.728592	-0.354614	-0.521777
52208		9.884114	1.026738	-2.494777	0.278356	-0.157490	0.553596	-0.522705	0.486084	0.416748	0.271072	-0.731259	-0.350933	-0.518291
52209		9.334046	-1.739717	-3.973120	0.033083	-0.119964	0.598369	-0.519531	0.500732	0.419189	0.274462	-0.733920	-0.346706	-0.515585
52210		8.780202	-3.639478	-4.591562	0.632671	-0.129223	0.447778	-0.514160	0.505859	0.417480	0.280426	-0.734904	-0.345790	-0.511573
52211		9.076432	-1.460644	-3.452766	1.035622	-0.179429	0.384790	-0.514160	0.520264	0.411621	0.288426	-0.734780	-0.347356	-0.506215
52212		9.453238	0.856413	-2.809134	0.815923	-0.171047	0.434679	-0.507080	0.520752	0.417725	0.295127	-0.735216	-0.347671	-0.501479
52213		9.718907	-0.148516	-2.906504	0.393306	-0.100122	0.540376	-0.499268	0.533691	0.409912	0.300455	-0.736036	-0.346537	-0.497885
52214		9.126376	-1.504125	-3.102103	0.318656	-0.070496	0.554802	-0.490967	0.541748	0.409180	0.304997	-0.737191	-0.344450	-0.494854
52215		8.926618	-2.261927	-3.247472	0.497937	-0.069565	0.544077	-0.486572	0.553467	0.403320	0.310609	-0.737740	-0.343330	-0.491310
52216		9.045240	-1.065982	-3.264883	0.605534	-0.066628	0.547835	-0.481201	0.564209	0.411865	0.316824	-0.737987	-0.342578	-0.487482
52217		9.343494	-1.225042	-3.196969	0.456560	-0.042157	0.568287	-0.473145	0.574707	0.405762	0.323096	-0.737878	-0.342309	-0.483704
52218		9.388034	-2.392980	-3.065860	0.304807	-0.006413	0.627875	-0.466797	0.574463	0.403564	0.329434	-0.737628	-0.341952	-0.480048
52219		9.138702	-2.655536	-2.924541	0.321928	-0.018839	0.607695	-0.448730	0.586914	0.411133	0.335351	-0.737548	-0.341388	-0.476463
52220		9.275938	-2.848724	-2.999382	0.381779	-0.020999	0.581236	-0.448975	0.595703	0.402344	0.343951	-0.735336	-0.344710	-0.471332
52221		9.064061	-2.461379	-3.064546	0.410697	-0.018543	0.569300	-0.448730	0.603760	0.405029	0.352168	-0.733256	-0.347542	-0.466399
52222		9.090094	-2.107286	-3.189858	0.366841	-0.009795	0.575894	-0.429688	0.618164	0.405273	0.359369	-0.731827	-0.349054	-0.462000
52223		9.123593	-1.891650	-3.259360	0.333138	0.015356	0.636389	-0.426758	0.620117	0.405518	0.365879	-0.731125	-0.349026	-0.458006
52224		9.281888	-1.556320	-3.328594	0.358479	0.012312	0.631725	-0.420410	0.622314	0.393066	0.370574	-0.731856	-0.346391	-0.455054
52225		9.638510	-1.919159	-3.059015	0.391731	0.032779	0.679387	-0.417236	0.642334	0.394531	0.375631	-0.732548	-0.343455	-0.452010
52226		9.947687	-1.616568	-2.601977	0.359627	0.061732	0.770193	-0.397705	0.645752	0.397705	0.380943	-0.733410	-0.339821	-0.448903
52227		9.713641	-1.867691	-2.842850	0.233312	0.122168	0.833565	-0.391113	0.646973	0.390137	0.385870	-0.734575	-0.335139	-0.446303
52228		9.350683	-2.611121	-3.245207	0.230466	0.159224	0.883614	-0.386719	0.664551	0.391113	0.391046	-0.735698	-0.330018	-0.443755
52229		9.115729	-2.828684	-3.720037	0.444986	0.154156	0.878164	-0.375488	0.676270	0.386230	0.397472	-0.736079	-0.325723	-0.440577
52230		9.209757	-2.063752	-3.558087	0.469693	0.179883	0.946878	-0.361572	0.676758	0.385498	0.404330	-0.736420	-0.320983	-0.437233
52231		9.508749	-1.951022	-3.401771	0.396354	0.214516	0.999330	-0.357666	0.688965	0.373291	0.410978	-0.736963	-0.315515	-0.434089
52232		9.449872	-3.061928	-3.278572	0.410171	0.250598	1.070388	-0.351807	0.704590	0.373291	0.418019	-0.737446	-0.309516	-0.430852
52233		9.339013	-3.006777	-3.261778	0.541861	0.260416	1.113019	-0.327393	0.711426	0.354248	0.425999	-0.737469	-0.303664	-0.427144
52234		9.500028	-2.994168	-3.225070	0.552924	0.279355	1.167608	-0.312744	0.720459	0.354248	0.434234	-0.737438	-0.297415	-0.423284
52235		9.966024	-2.587581	-3.388319	0.453703	0.325108	1.257373	-0.305176	0.740479	0.353027	0.442230	-0.737734	-0.290066	-0.419576
52236		10.271921	-2.536098	-3.424267	0.372763	0.360198	1.299094	-0.282959	0.746338	0.346680	0.449892	-0.738205	-0.282017	-0.416073
52237		10.642718	-3.262574	-3.078452	0.418441	0.364662	1.371365	-0.266846	0.750244	0.336182	0.458026	-0.738550	-0.273635	-0.412165
52238		10.970087	-1.950899	-2.887926	0.569530	0.388290	1.390580	-0.255371	0.771240	0.330078	0.467135	-0.738159	-0.265534	-0.407920
52239		11.653359	-0.973523	-3.185983	0.525927	0.451561	1.536899	-0.238037	0.778320	0.328125	0.476527	-0.737901	-0.256118	-0.403519
52240		12.165668	-0.680375	-3.516242	0.441183	0.499977	1.700135	-0.219482	0.782227	0.321045	0.485944	-0.737998	-0.245200	-0.398867
52241		12.571380	-1.919802	-3.271206	0.575746	0.487781	1.780921	-0.196289	0.791504	0.310791	0.496305	-0.737567	-0.234259	-0.393446
52242		13.230980	-2.610605	-2.738505	1.062085	0.416473	1.796192	-0.177246	0.811279	0.290527	0.509419	-0.735171	-0.225080	-0.386464
52243		13.210580	-1.901224	-3.720325	1.635793	0.324957	1.801512	-0.151123	0.822754	0.267334	0.525709	-0.730366	-0.218067	-0.377679
52244		12.984899	1.786352	-2.694444	1.734082	0.214420	1.927724	-0.129395	0.834473	0.251221	0.542548	-0.725386	-0.211017	-0.367326
52245		11.480803	1.240695	-3.377020	1.063980	0.152559	2.133876	-0.109619	0.836426	0.231934	0.555622	-0.723662	-0.200933	-0.356683
52246		11.293379	-3.919070	-3.291231	0.272327	0.073490	2.513252	-0.068604	0.843506	0.228027	0.564670	-0.726176	-0.186541	-0.344991
52247		10.004060	-7.522859	-2.954026	0.347895	-0.038419	2.426790	-0.045654	0.841309	0.230469	0.573498	-0.728226	-0.173350	-0.332771
52248		8.129712	-7.646567	-2.344176	0.987145	-0.159182	2.056306	-0.025391	0.838379	0.210449	0.584769	-0.726759	-0.164676	-0.320545
52249		6.210185	-6.687285	-2.094442	1.442132	-0.231733	1.637402	-0.002197	0.850586	0.182861	0.597365	-0.722460	-0.160033	-0.309187
52250		5.377966	-7.451373	-1.521897	1.363120	-0.169838	1.134192	0.013916	0.852783	0.174072	0.608097	-0.717543	-0.157841	-0.300728
52251		2.448435	-7.199897	-2.995802	1.647986	-0.414715	0.534521	0.014160	0.849365	0.134766	0.618565	-0.710865	-0.161126	-0.293405
52252		4.429908	-3.669720	-2.986563	1.533466	-0.436425	-0.176556	0.014893	0.856689	0.113525	0.626436	-0.703768	-0.168350	-0.289736
52253		5.870149	-2.969180	-0.664994	1.611625	-0.275366	-0.874529	-0.004150	0.864014	0.095947	0.633149	-0.694773	-0.178949	-0.290501
52254		5.717175	-3.774115	0.901051	1.304523	-0.019325	-1.325157	-0.028320	0.863525	0.068604	0.637226	-0.685932	-0.190048	-0.295503
52255		4.189456	-3.376608	1.890282	0.991603	0.016146	-1.662061	-0.042969	0.860596	0.060791	0.638606	-0.677934	-0.202117	-0.302880
52256		3.630261	-2.286696	1.491738	0.054255	-0.174068	-1.954464	-0.080078	0.857178	0.049561	0.633487	-0.674706	-0.214453	-0.312213
52257		4.317021	-2.349139	1.216106	-0.881487	-0.322591	-2.290149	-0.114746	0.848877	0.063965	0.621774	-0.675931	-0.226997	-0.324017
52258		5.334202	-3.493094	0.262891	-1.630438	-0.444741	-2.573015	-0.151611	0.829834	0.083984	0.604522	-0.680438	-0.239632	-0.337837
52259		6.284697	-4.559552	-0.189432	-1.959179	-0.456651	-2.814705	-0.192871	0.824463	0.114258	0.584260	-0.685620	-0.252600	-0.353212
52260		6.564968	-5.875838	-0.752704	-2.118885	-0.385999	-3.135672	-0.238037	0.810791	0.138184	0.561760	-0.690042	-0.266358	-0.370568
52261		6.586906	-6.493410	-1.524734	-1.982092	-0.264809	-3.472576	-0.278076	0.791748	0.156006	0.538690	-0.691948	-0.281619	-0.389501
52262		7.133629	-6.242972	-1.467166	-1.537513	-0.237138	-3.717180	-0.324463	0.763428	0.180420	0.516867	-0.690403	-0.299275	-0.408200
52263		7.854361	-5.477441	-1.371535	-1.321675	-0.300507	-3.897073	-0.377686	0.732666	0.191895	0.494870	-0.686929	-0.318537	-0.426341
