// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
52131		9.262948	0.312719	0.543642	-0.052968	0.169930	-0.087775	-0.742432	0.133789	-0.555176	0.718449	-0.099476	-0.674261	-0.138955
52132		9.479507	0.244491	0.572820	-0.015089	0.227373	-0.084689	-0.738281	0.127930	-0.552734	0.719609	-0.098851	-0.672954	-0.139731
52133		9.615977	0.263371	0.696200	0.023615	0.244166	-0.065346	-0.730957	0.135498	-0.562988	0.720922	-0.098039	-0.671569	-0.140192
52134		9.580412	0.328136	0.880217	0.016801	0.189020	-0.056130	-0.740723	0.125977	-0.559814	0.721919	-0.097459	-0.670502	-0.140577
52135		9.299298	0.478241	1.123870	-0.043565	0.069501	-0.066763	-0.742432	0.142090	-0.559326	0.722199	-0.097251	-0.670084	-0.141275
52136		9.088978	0.844618	0.821779	-0.107110	-0.067182	-0.081854	-0.739258	0.134521	-0.560303	0.721623	-0.097699	-0.670426	-0.142280
52137		9.097790	1.069245	0.519515	-0.160437	-0.058457	-0.091859	-0.739014	0.136963	-0.565186	0.721056	-0.098282	-0.670653	-0.143680
52138		9.287114	1.069729	0.337162	-0.227558	0.017445	-0.096448	-0.729248	0.134033	-0.556641	0.720836	-0.099127	-0.670357	-0.145569
52139		9.474997	0.921569	0.081373	-0.267716	0.104529	-0.104729	-0.737305	0.137451	-0.554688	0.721043	-0.099969	-0.669513	-0.147835
52140		9.638022	0.646104	-0.197855	-0.244005	0.161012	-0.121983	-0.738281	0.137695	-0.562744	0.721509	-0.100576	-0.668411	-0.150118
52141		9.802696	0.287825	-0.570939	-0.151372	0.137951	-0.124761	-0.727295	0.124023	-0.566650	0.721874	-0.100613	-0.667614	-0.151879
52142		9.961207	-0.227791	-0.933057	-0.011465	0.050485	-0.098041	-0.732422	0.136475	-0.566895	0.721860	-0.099935	-0.667564	-0.152610
52143		10.525777	-0.740405	-0.070577	0.062309	0.068134	-0.023361	-0.732666	0.126221	-0.564453	0.721999	-0.099409	-0.667538	-0.152406
52144		10.917825	-0.271528	0.563635	-0.083930	-0.077234	0.111740	-0.731934	0.136719	-0.571045	0.721355	-0.100694	-0.668139	-0.151980
52145		11.216884	0.687153	0.968112	-0.212256	-0.237100	0.293480	-0.732910	0.135498	-0.556885	0.719959	-0.104073	-0.669351	-0.150987
52146		11.717131	1.862468	0.805823	-0.170334	-0.446148	0.460722	-0.721191	0.136719	-0.562988	0.717613	-0.108329	-0.671730	-0.148574
52147		12.348822	3.177169	1.812651	-0.262083	-0.021026	0.525690	-0.730957	0.148193	-0.560791	0.717700	-0.112754	-0.671308	-0.146763
52148		11.535550	3.777105	3.615651	-0.415068	-0.008587	0.588975	-0.731201	0.162842	-0.550537	0.717734	-0.118339	-0.670550	-0.145656
