// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
52131		11.548693	4.155404	-3.378666	2.015637	-0.550112	4.111766	-0.827393	-0.368896	-0.009766	0.578926	0.134370	-0.788479	-0.158400
52132		11.297919	2.347158	-3.425506	1.849879	-0.669601	3.926290	-0.847168	-0.322998	0.022217	0.577432	0.116762	-0.797844	-0.128000
52133		11.455059	2.902513	-3.852261	1.697663	-0.782672	3.611056	-0.853760	-0.266846	0.029785	0.574601	0.098499	-0.806594	-0.097663
52134		11.325794	2.782824	-3.946980	1.411209	-0.734088	3.344737	-0.875244	-0.231689	0.048584	0.571578	0.079908	-0.813712	-0.069185
52135		11.196628	1.750994	-3.274787	1.153062	-0.631999	3.002388	-0.888184	-0.172852	0.065430	0.568728	0.062682	-0.818936	-0.044316
52136		10.519617	1.982476	-3.239803	0.950632	-0.575117	2.492262	-0.884521	-0.146729	0.074707	0.567374	0.048002	-0.821729	-0.023308
52137		9.761764	1.849475	-3.352843	0.665499	-0.423761	1.791811	-0.888916	-0.119629	0.078613	0.567567	0.038360	-0.822373	-0.009934
52138		8.920190	1.375335	-3.436818	0.289246	-0.306141	0.902618	-0.881104	-0.111328	0.087158	0.568174	0.034627	-0.822160	-0.005744
52139		8.399835	0.538443	-3.805233	-0.218639	-0.170659	-0.035425	-0.887695	-0.104004	0.094971	0.568719	0.035558	-0.821697	-0.010401
52140		8.440865	1.410777	-3.262892	-0.430083	-0.035956	-0.858630	-0.889160	-0.123047	0.090576	0.568530	0.040573	-0.821433	-0.019353
52141		8.334165	2.723109	-2.674676	-0.321772	0.037201	-1.556994	-0.881348	-0.153564	0.081299	0.568469	0.051232	-0.820509	-0.031368
52142		8.242675	3.957581	-2.274665	-0.256717	0.097050	-2.141445	-0.885742	-0.168945	0.080811	0.568989	0.067234	-0.818222	-0.047380
52143		7.264271	-0.461050	-7.337412	-0.167487	-0.299476	-2.114019	-0.876221	-0.204590	0.082764	0.567060	0.084544	-0.816761	-0.064779
52144		9.023773	-16.268408	-4.268355	-0.743494	0.101456	0.041468	-0.874268	-0.196045	0.075684	0.564581	0.082284	-0.818177	-0.071165
52145		8.949808	-8.264493	-1.327072	-0.321270	-0.531379	-0.429476	-0.875244	-0.207031	0.085693	0.558329	0.072470	-0.824202	-0.060897
52146		17.088930	-4.992776	-0.038462	-1.283334	0.244813	-0.721628	-0.864014	-0.220459	0.069092	0.560368	0.062690	-0.824302	-0.050833
52147		11.979676	-4.019600	-1.865664	0.409759	-0.028023	-1.296330	-0.868408	-0.234131	0.072021	0.563927	0.065800	-0.821982	-0.044752
52148		12.284991	-2.960248	-3.872706	1.452406	-0.273874	-1.871864	-0.861572	-0.258057	0.093994	0.566317	0.062942	-0.821125	-0.032812
52149		11.244232	-1.130237	-7.861588	1.756259	-0.369259	-2.668141	-0.846436	-0.293945	0.098389	0.570941	0.125834	-0.811126	0.016314
52150		6.211539	0.673978	-5.406171	1.329460	-0.574537	-2.650427	-0.840088	-0.318115	0.110352	0.567041	0.148531	-0.810023	0.016301
52151		6.620138	7.432164	-5.741003	-0.212796	-0.316861	-1.691088	-0.834961	-0.352539	0.109131	0.573138	0.149399	-0.805700	0.006422
52152		8.274424	9.670118	-5.780177	-1.517509	-0.134004	-1.193384	-0.822266	-0.364990	0.109619	0.571479	0.116011	-0.811863	-0.028835
52153		10.819670	3.888822	-3.155124	-2.547441	0.044587	-0.555789	-0.824951	-0.373535	0.094727	0.573560	0.121634	-0.809267	-0.036331
52154		10.527331	-1.515107	-1.444275	-1.875670	0.094686	-0.574032	-0.813721	-0.386963	0.077393	0.576700	0.119049	-0.806942	-0.045702
52155		9.530342	-3.617274	-1.841610	-0.460949	-0.130330	-0.972653	-0.815674	-0.395996	0.068848	0.575105	0.123386	-0.806927	-0.053848
52156		8.857414	-1.655508	-3.221367	0.673109	-0.292255	-1.254292	-0.802979	-0.409668	0.073730	0.569977	0.120646	-0.810277	-0.063417
52157		8.665425	1.730546	-5.748106	0.786639	-0.269766	-1.193708	-0.811035	-0.421143	0.084473	0.562473	0.116127	-0.815364	-0.072933
52158		8.863179	4.356343	-5.105144	0.024945	-0.089991	-0.793106	-0.795410	-0.433350	0.080322	0.552655	0.092566	-0.823705	-0.086688
52159		9.193468	3.533159	-5.193813	-0.892975	0.033923	-0.454231	-0.794434	-0.443359	0.069336	0.543201	0.064203	-0.829791	-0.110713
52160		8.915312	0.212372	-4.691716	-1.193445	0.086182	-0.277699	-0.796387	-0.448242	0.055420	0.536174	0.038145	-0.832701	-0.132933
52161		8.947060	-2.060644	-3.997124	-0.770351	0.034015	-0.368653	-0.793701	-0.454346	0.048340	0.530885	0.022248	-0.834307	-0.146961
52162		8.827820	-2.486145	-4.150402	-0.104829	0.005530	-0.567135	-0.790527	-0.458740	0.045166	0.529243	0.021450	-0.834769	-0.150343
52163		9.088884	0.556397	-4.483058	0.164040	0.007702	-0.625112	-0.794189	-0.473877	0.040039	0.528790	0.025653	-0.835090	-0.149490
