// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
52131		9.367904	0.456190	-2.443721	0.248933	0.143040	0.748496	-0.589111	0.397217	0.402344	0.285072	-0.688331	-0.363327	-0.559400
52132		9.384228	0.781381	-2.607273	0.348220	0.158430	0.713805	-0.579346	0.401855	0.408447	0.291170	-0.688831	-0.360508	-0.557464
52133		9.287003	1.425012	-2.645667	0.401347	0.168595	0.644477	-0.568359	0.419678	0.395020	0.296097	-0.689149	-0.359067	-0.555402
52134		9.434306	1.570773	-2.648979	0.298254	0.177277	0.623821	-0.570801	0.418701	0.397217	0.298068	-0.689446	-0.359319	-0.553814
52135		9.400315	1.405401	-2.636676	0.132604	0.155055	0.652613	-0.576172	0.442627	0.396973	0.296409	-0.689960	-0.361164	-0.552863
52136		9.251860	1.289994	-2.637407	-0.010169	0.154599	0.682769	-0.563965	0.443115	0.398438	0.292291	-0.690643	-0.363740	-0.552515
52137		9.157779	0.685017	-2.722345	-0.095343	0.129698	0.691775	-0.558594	0.451660	0.391113	0.287131	-0.691593	-0.366360	-0.552301
52138		9.197328	0.098842	-3.062070	-0.051198	0.090536	0.672784	-0.545166	0.454590	0.399170	0.283263	-0.693135	-0.368255	-0.551103
52139		9.107736	-0.114976	-3.313893	0.024169	0.128902	0.633924	-0.546631	0.468262	0.399658	0.281697	-0.695363	-0.368940	-0.548635
52140		8.971120	-0.023608	-3.164917	0.057713	0.188779	0.575170	-0.546875	0.469238	0.395752	0.281717	-0.698030	-0.368708	-0.545385
52141		9.153046	-0.014928	-2.960876	0.102950	0.203854	0.517548	-0.534424	0.463867	0.385742	0.282754	-0.700535	-0.368195	-0.541972
52142		9.074611	0.020800	-2.862776	0.296745	0.209829	0.436904	-0.541748	0.486084	0.381348	0.285553	-0.701865	-0.368596	-0.538500
52143		9.094085	0.347603	-3.174184	0.540930	0.192466	0.372475	-0.532715	0.489990	0.374512	0.289103	-0.702671	-0.369277	-0.535077
52144		9.822728	0.943079	-3.436849	0.695650	0.183481	0.339821	-0.531738	0.503174	0.359131	0.294279	-0.702098	-0.372043	-0.531077
52145		10.212447	1.085125	-3.294412	0.756565	0.192975	0.294898	-0.530029	0.506104	0.356934	0.298295	-0.701160	-0.375098	-0.527916
52146		9.609807	1.413210	-2.954003	0.738930	0.205637	0.188257	-0.520508	0.510742	0.337402	0.301540	-0.699741	-0.378770	-0.525328
