// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
05461		8.790791	0.181718	-4.469418	-0.031675	-0.016006	0.021021	-0.840088	-0.370117	0.276367	0.437670	0.481209	-0.703525	0.286245
05462		8.771844	-0.004741	-4.428846	-0.017110	-0.014615	0.011855	-0.838135	-0.372314	0.283691	0.437624	0.481112	-0.703666	0.286130
05463		8.721047	0.020362	-4.506897	0.020127	-0.020513	-0.008098	-0.842285	-0.370850	0.278320	0.437374	0.481360	-0.703671	0.286083
05464		8.731228	0.270541	-4.515692	0.024786	-0.021612	-0.012096	-0.836426	-0.375244	0.276855	0.437173	0.481574	-0.703644	0.286097
05465		8.694665	0.281076	-4.490249	-0.006632	-0.026848	-0.004567	-0.837158	-0.369385	0.275635	0.437031	0.481665	-0.703743	0.285917
05466		8.705798	0.026397	-4.486236	0.004881	-0.022817	-0.009972	-0.834961	-0.373291	0.277832	0.436909	0.481787	-0.703774	0.285821
05467		8.749985	0.153899	-4.389663	0.009948	-0.029026	-0.016311	-0.841309	-0.368896	0.283447	0.436714	0.482010	-0.703796	0.285688
05468		8.738214	0.133784	-4.449511	0.007809	-0.032564	-0.022282	-0.840820	-0.369141	0.275391	0.436525	0.482264	-0.703811	0.285512
05469		8.713353	0.243633	-4.539711	0.014359	-0.027819	-0.028426	-0.842285	-0.370361	0.277832	0.436401	0.482507	-0.703761	0.285413
05470		8.723880	0.370704	-4.467666	-0.009365	-0.025732	-0.019830	-0.840088	-0.373779	0.278809	0.436353	0.482622	-0.703797	0.285203
05471		8.738515	0.176732	-4.332037	-0.026784	-0.021868	-0.017155	-0.842773	-0.363525	0.292725	0.436381	0.482675	-0.703870	0.284892
05472		8.724021	0.000648	-4.458843	0.025175	-0.027031	-0.031457	-0.839600	-0.372803	0.275146	0.436164	0.483055	-0.703785	0.284789
05473		8.713902	0.335146	-4.556025	0.051942	-0.017940	-0.038413	-0.840088	-0.372314	0.280029	0.435986	0.483473	-0.703559	0.284911
05474		8.721465	0.641808	-4.496990	-0.001958	-0.015887	-0.018414	-0.850830	-0.369385	0.287354	0.435959	0.483596	-0.703545	0.284779
05475		8.714519	0.286258	-4.523590	-0.030559	-0.010266	-0.005412	-0.841064	-0.366211	0.285400	0.436056	0.483536	-0.703626	0.284531
05476		8.723303	0.155474	-4.453709	0.004930	-0.013293	-0.014882	-0.844482	-0.370361	0.283203	0.435995	0.483677	-0.703604	0.284438
05477		8.736307	0.270494	-4.558601	0.014878	-0.017422	-0.016969	-0.841553	-0.373047	0.288574	0.435917	0.483871	-0.703546	0.284374
05478		8.733382	0.354838	-4.532267	0.016994	-0.015411	-0.017805	-0.839111	-0.376465	0.273193	0.435806	0.484116	-0.703479	0.284294
05479		8.713464	0.409371	-4.478936	-0.006646	-0.016129	-0.012713	-0.838867	-0.379395	0.282959	0.435876	0.484194	-0.703456	0.284109
05480		8.745159	0.244779	-4.473735	-0.023672	-0.018747	-0.010663	-0.838135	-0.375488	0.285156	0.435941	0.484263	-0.703504	0.283773
05481		8.743539	0.107298	-4.531839	-0.010651	-0.017367	-0.019756	-0.841309	-0.372559	0.283203	0.435949	0.484417	-0.703499	0.283510
05482		8.686798	0.159096	-4.586735	0.010323	-0.015206	-0.030062	-0.845703	-0.373047	0.278320	0.435916	0.484666	-0.703400	0.283382
05483		8.694082	0.142033	-4.527736	-0.003829	-0.017833	-0.029827	-0.848145	-0.370850	0.282471	0.435963	0.484838	-0.703333	0.283182
05484		8.730581	0.082827	-4.522761	0.014405	-0.018259	-0.040275	-0.840820	-0.365234	0.280029	0.435927	0.485134	-0.703199	0.283061
05485		8.755070	0.325061	-4.552245	0.028888	-0.016783	-0.049497	-0.838623	-0.367676	0.285889	0.435817	0.485507	-0.703017	0.283042
05486		8.684358	0.349860	-4.496399	0.013680	-0.017614	-0.044512	-0.845459	-0.377930	0.284912	0.435728	0.485840	-0.702896	0.282909
05487		8.716540	0.301923	-4.522021	0.011902	-0.016528	-0.042320	-0.845947	-0.376953	0.282227	0.435729	0.486167	-0.702743	0.282726
05488		8.714102	0.348718	-4.510123	0.014759	-0.016511	-0.044143	-0.843018	-0.370361	0.281250	0.435738	0.486492	-0.702576	0.282569
05489		8.692611	0.236099	-4.577892	0.024769	-0.016370	-0.042823	-0.838135	-0.381592	0.290283	0.435672	0.486822	-0.702410	0.282513
05490		8.699975	0.304209	-4.510452	0.034551	-0.011053	-0.044507	-0.833008	-0.369629	0.293457	0.435574	0.487281	-0.702183	0.282438
