// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
58937		9.543866	-0.290318	-2.270251	0.050134	0.012400	0.011822	-0.567627	0.343506	0.562256	0.206706	-0.748582	-0.236190	-0.584048
58938		9.564521	-0.412072	-2.149064	0.061926	0.003506	0.003544	-0.562012	0.344238	0.558838	0.207114	-0.748459	-0.236465	-0.583949
58939		9.559580	-0.281305	-2.097163	0.035636	0.002728	-0.004638	-0.564209	0.334473	0.553467	0.207320	-0.748374	-0.236662	-0.583905
58940		9.579574	-0.219141	-2.351209	0.000376	0.000193	-0.011583	-0.557861	0.341797	0.554932	0.207268	-0.748346	-0.236735	-0.583930
58941		9.592181	-0.218509	-2.358765	-0.016050	-0.001507	0.008829	-0.566162	0.339355	0.565186	0.207206	-0.748395	-0.236606	-0.583941
58942		9.612034	-0.247324	-2.267140	-0.022482	0.010523	0.012551	-0.555420	0.344238	0.550781	0.207141	-0.748405	-0.236406	-0.584033
58943		9.577741	-0.306414	-2.209345	-0.028299	0.017708	0.007124	-0.553223	0.339844	0.558838	0.207024	-0.748378	-0.236201	-0.584192
58944		9.468904	-0.348479	-2.220751	-0.030781	0.005830	-0.003451	-0.562256	0.338135	0.544922	0.206817	-0.748389	-0.236070	-0.584304
58945		9.521783	-0.348853	-2.275620	-0.068119	-0.003933	-0.002826	-0.559326	0.345947	0.556152	0.206363	-0.748512	-0.235769	-0.584429
58946		9.561406	-0.365809	-2.295932	-0.097911	0.000138	0.003148	-0.558350	0.338379	0.556641	0.205761	-0.748678	-0.235278	-0.584626
58947		9.615642	-0.349354	-2.232085	-0.097320	0.014923	0.000872	-0.552490	0.335938	0.556152	0.205183	-0.748768	-0.234776	-0.584915
