// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
61951		6.629800	-4.066213	5.963964	0.000743	0.004343	-0.000941	-0.264648	0.459473	-0.226807	0.677723	-0.421812	-0.133534	-0.587311
61952		6.631070	-4.052167	5.968638	-0.000314	0.004284	-0.000563	-0.268799	0.458496	-0.224121	0.677724	-0.421792	-0.133510	-0.587330
61953		6.615787	-4.073086	5.994026	0.002177	0.003630	-0.000889	-0.270020	0.459717	-0.226318	0.677727	-0.421765	-0.133507	-0.587348
61954		6.636290	-4.083931	5.971870	0.001187	0.004140	0.000258	-0.262939	0.460449	-0.228271	0.677737	-0.421738	-0.133488	-0.587359
61955		6.637896	-4.078140	5.952597	0.001187	0.004140	0.000258	-0.265381	0.458252	-0.226562	0.677747	-0.421711	-0.133469	-0.587371
61956		6.605681	-4.076277	5.961423	0.006847	0.006606	-0.002103	-0.259766	0.463135	-0.221924	0.677768	-0.421638	-0.133472	-0.587398
61957		6.623603	-4.083945	5.983689	0.005790	0.006547	-0.001725	-0.263916	0.452148	-0.220459	0.677788	-0.421572	-0.133468	-0.587424
61958		6.626579	-4.055287	5.992920	0.003783	0.003381	-0.003613	-0.268066	0.457275	-0.227295	0.677788	-0.421530	-0.133478	-0.587451
61959		6.621465	-4.096271	5.981161	0.006032	0.004637	-0.002831	-0.270020	0.462891	-0.226074	0.677802	-0.421469	-0.133489	-0.587477
61960		6.615490	-4.071284	5.956206	0.009713	0.008123	-0.002899	-0.262695	0.458252	-0.237061	0.677833	-0.421371	-0.133497	-0.587510
61961		6.614506	-4.061701	5.981745	0.009270	0.008325	-0.004099	-0.266846	0.463623	-0.227051	0.677856	-0.421274	-0.133505	-0.587550
61962		6.634579	-4.063358	5.984289	0.006034	0.004636	-0.002832	-0.266602	0.458008	-0.218994	0.677871	-0.421214	-0.133512	-0.587575
61963		6.632770	-4.076006	5.981188	0.009380	0.005276	-0.006742	-0.260498	0.460693	-0.226318	0.677879	-0.421127	-0.133547	-0.587620
61964		6.635836	-4.046554	5.990818	0.009958	0.006212	-0.004006	-0.267578	0.460205	-0.226807	0.677904	-0.421036	-0.133569	-0.587651
61965		6.613050	-4.048173	6.010446	0.005149	0.005039	-0.005232	-0.273926	0.462402	-0.221436	0.677905	-0.420975	-0.133579	-0.587692
61966		6.601659	-4.048680	6.020459	0.003786	0.003379	-0.003614	-0.273438	0.461914	-0.227051	0.677906	-0.420929	-0.133586	-0.587721
61967		6.611199	-4.060408	6.007674	0.003786	0.003379	-0.003614	-0.261719	0.457031	-0.227539	0.677911	-0.420878	-0.133592	-0.587751
61968		6.603558	-4.041733	6.001665	-0.002015	0.002716	-0.003695	-0.267822	0.457031	-0.228516	0.677896	-0.420861	-0.133570	-0.587785
61969		6.635387	-4.042694	5.993920	0.000412	0.001493	-0.004786	-0.268555	0.461182	-0.234619	0.677884	-0.420831	-0.133571	-0.587821
