// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
61951		9.768334	-0.597812	-0.994096	0.065811	0.010299	0.051321	-0.804688	-0.223877	-0.192627	0.613799	0.256643	-0.696220	0.269560
61952		9.751053	-0.468977	-0.977505	0.081972	0.014450	0.046346	-0.809814	-0.224121	-0.193604	0.613603	0.256761	-0.696061	0.270304
61953		9.796908	-0.413047	-0.924423	0.074573	0.011327	0.042000	-0.809814	-0.222412	-0.193848	0.613415	0.256873	-0.695925	0.270975
61954		9.765549	-0.542397	-0.938011	0.079837	0.008536	0.034230	-0.802734	-0.222656	-0.197754	0.613217	0.257064	-0.695773	0.271630
61955		9.801877	-0.609324	-1.001730	0.098324	0.016939	0.025619	-0.806396	-0.224121	-0.191162	0.613050	0.257382	-0.695516	0.272364
61956		9.806369	-0.495736	-1.000710	0.111701	0.019376	0.017801	-0.801514	-0.219482	-0.190674	0.612884	0.257809	-0.695199	0.273141
61957		9.803567	-0.455257	-0.988139	0.120935	0.020414	0.019522	-0.808105	-0.227295	-0.187744	0.612702	0.258273	-0.694858	0.273978
61958		9.830691	-0.457532	-0.965223	0.132051	0.023145	0.021247	-0.808350	-0.225586	-0.193115	0.612509	0.258784	-0.694478	0.274887
61959		9.870814	-0.384525	-1.043787	0.126594	0.026365	0.025143	-0.808838	-0.222656	-0.191895	0.612341	0.259244	-0.694100	0.275784
61960		9.892210	-0.353760	-1.028901	0.117772	0.031397	0.029907	-0.802979	-0.224365	-0.203369	0.612211	0.259631	-0.693724	0.276651
61961		9.864794	-0.418188	-1.030519	0.113273	0.034672	0.036661	-0.808594	-0.218018	-0.192383	0.612098	0.259965	-0.693353	0.277517
61962		9.744238	-0.457404	-0.970802	0.101152	0.029153	0.039732	-0.807373	-0.224609	-0.186523	0.611973	0.260244	-0.693044	0.278301
61963		9.759707	-0.376377	-1.015178	0.077581	0.028394	0.047513	-0.802246	-0.217773	-0.190674	0.611880	0.260369	-0.692808	0.278976
61964		9.743725	-0.322403	-0.973357	0.036119	0.040948	0.057824	-0.809326	-0.215088	-0.193359	0.611927	0.260209	-0.692625	0.279476
61965		9.757513	-0.350760	-0.994080	-0.013492	0.048281	0.068177	-0.817627	-0.217285	-0.188965	0.612107	0.259745	-0.692536	0.279733
61966		9.714607	-0.416109	-1.018081	-0.059253	0.057480	0.084285	-0.812012	-0.216309	-0.194824	0.612409	0.258963	-0.692537	0.279797
61967		9.690279	-0.592062	-1.085835	-0.097842	0.054090	0.098038	-0.804199	-0.216064	-0.196777	0.612740	0.257917	-0.692675	0.279697
61968		9.617572	-0.752025	-1.157505	-0.093855	0.053362	0.099359	-0.810059	-0.217529	-0.196289	0.613041	0.256867	-0.692823	0.279636
61969		9.617139	-0.843892	-1.300624	-0.085014	0.039475	0.102252	-0.812988	-0.210449	-0.206055	0.613218	0.255901	-0.693041	0.279593
61970		9.611023	-0.920717	-1.265871	-0.038148	0.041218	0.099809	-0.807617	-0.207520	-0.199219	0.613268	0.255191	-0.693162	0.279833
61971		9.614139	-0.888038	-1.342556	-0.000329	0.029020	0.092253	-0.810303	-0.210449	-0.193848	0.613150	0.254687	-0.693289	0.280234
61972		9.643627	-0.910269	-1.289002	0.033271	0.017151	0.090828	-0.812500	-0.209229	-0.195801	0.612862	0.254407	-0.693429	0.280772
61973		9.621105	-0.884028	-1.284455	0.058132	0.008559	0.080617	-0.812988	-0.206787	-0.202393	0.612459	0.254340	-0.693559	0.281392
61974		9.680172	-0.891226	-1.196793	0.066791	0.008388	0.077893	-0.811279	-0.203613	-0.197021	0.612008	0.254329	-0.693684	0.282072
61975		9.651268	-0.726762	-1.170155	0.067109	-0.005192	0.071381	-0.805908	-0.203125	-0.194580	0.611488	0.254349	-0.693888	0.282681
61976		9.693751	-0.665565	-1.151585	0.039602	-0.005017	0.075466	-0.817139	-0.200195	-0.205322	0.611049	0.254163	-0.694148	0.283158
61977		9.709449	-0.706848	-1.149297	0.030446	-0.009251	0.080566	-0.806885	-0.209961	-0.203369	0.610504	0.254004	-0.694515	0.283577
61978		9.663414	-0.730986	-1.073460	0.028092	-0.017880	0.080765	-0.807861	-0.195312	-0.201904	0.609997	0.253835	-0.694833	0.284039
61979		9.729591	-0.679776	-1.056411	0.017104	-0.023611	0.088254	-0.814697	-0.203857	-0.198242	0.609476	0.253485	-0.695280	0.284376
61980		9.770162	-0.695568	-1.016543	-0.004583	-0.020736	0.092571	-0.815186	-0.200195	-0.191895	0.608944	0.253146	-0.695764	0.284634
61981		9.743242	-0.798573	-0.982614	-0.012467	-0.019122	0.102249	-0.806152	-0.210938	-0.202393	0.608436	0.252694	-0.696279	0.284861
61982		9.754657	-0.752585	-0.967228	-0.020819	-0.018355	0.112200	-0.813965	-0.194092	-0.197998	0.608020	0.252149	-0.696679	0.285254
61983		9.796544	-0.715858	-0.901290	-0.031099	-0.006272	0.125524	-0.804688	-0.195801	-0.196289	0.607616	0.251370	-0.697203	0.285523
61984		9.806981	-0.750774	-0.894345	-0.047772	0.002878	0.125147	-0.818359	-0.195068	-0.198486	0.607434	0.250411	-0.697610	0.285758
61985		9.848578	-0.941965	-0.877810	-0.055339	0.005838	0.133042	-0.814453	-0.190430	-0.202393	0.607117	0.249540	-0.698109	0.285976
61986		9.738385	-1.032835	-0.874537	-0.048948	0.005912	0.137531	-0.823730	-0.192139	-0.201660	0.606848	0.248574	-0.698565	0.286276
61987		9.820921	-1.040262	-0.837682	-0.043048	0.000800	0.141154	-0.822998	-0.188232	-0.196289	0.606427	0.247778	-0.699063	0.286641
61988		9.864894	-1.182330	-0.866658	-0.029313	0.022235	0.127043	-0.821533	-0.179688	-0.201904	0.606171	0.247025	-0.699388	0.287039
61989		9.893944	-1.255631	-0.821948	0.014889	0.017578	0.113127	-0.806396	-0.181152	-0.198730	0.605879	0.246443	-0.699609	0.287615
61990		9.815067	-1.142089	-0.801550	0.039813	0.025290	0.106579	-0.821533	-0.186768	-0.198975	0.605799	0.245800	-0.699591	0.288378
61991		9.792113	-1.094916	-0.773524	0.036745	0.019943	0.118005	-0.820801	-0.186279	-0.202148	0.605469	0.245400	-0.699671	0.289217
61992		9.766945	-1.213383	-0.875134	0.035174	0.024728	0.108324	-0.817139	-0.175537	-0.201904	0.605221	0.245028	-0.699675	0.290042
61993		9.711413	-1.255324	-0.892539	0.077694	0.033958	0.090161	-0.813477	-0.182129	-0.210693	0.605053	0.244743	-0.699528	0.290986
61994		9.691693	-1.080523	-0.842579	0.107002	0.038887	0.080096	-0.819580	-0.179199	-0.198242	0.604922	0.244716	-0.699160	0.292163
61995		9.746742	-0.900524	-0.784414	0.083892	0.045361	0.080521	-0.817383	-0.180420	-0.203857	0.604794	0.244589	-0.698904	0.293145
61996		9.704417	-0.824194	-0.840054	0.042214	0.044273	0.079681	-0.814697	-0.173096	-0.197754	0.604793	0.244272	-0.698697	0.293904
61997		9.683060	-0.813225	-0.919250	0.023466	0.047279	0.073300	-0.822021	-0.169434	-0.205566	0.604891	0.243772	-0.698555	0.294453
61998		9.688073	-0.774121	-0.958193	0.023608	0.044790	0.058921	-0.820557	-0.174072	-0.201416	0.604970	0.243411	-0.698406	0.294943
