// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
61951		7.378310	-5.564559	-3.173189	0.041329	-0.022566	-0.024650	-0.222168	0.717041	0.125732	0.538911	-0.697465	-0.419461	-0.217187
61952		7.379391	-5.563368	-3.172762	0.018537	-0.015637	-0.020460	-0.226807	0.715332	0.126709	0.538927	-0.697338	-0.419684	-0.217123
61953		7.397829	-5.620929	-3.130141	0.022863	-0.010780	-0.022450	-0.223877	0.719482	0.125244	0.538979	-0.697175	-0.419908	-0.217086
61954		7.344696	-5.625642	-3.195492	0.038148	-0.008889	-0.021145	-0.221680	0.717773	0.122559	0.539132	-0.696945	-0.420139	-0.216996
61955		7.352444	-5.638145	-3.194014	0.038066	-0.013562	-0.024008	-0.222900	0.713379	0.122314	0.539263	-0.696715	-0.420407	-0.216890
61956		7.326557	-5.614644	-2.939113	0.021767	-0.021744	-0.025741	-0.219482	0.719482	0.125732	0.539268	-0.696568	-0.420691	-0.216799
61957		7.264786	-5.801575	-2.990432	0.044526	-0.048139	-0.037510	-0.221191	0.711426	0.129150	0.539300	-0.696321	-0.421198	-0.216529
61958		7.328097	-5.715952	-3.089192	0.065675	-0.069648	-0.048581	-0.225342	0.717529	0.123779	0.539370	-0.695978	-0.421894	-0.216101
61959		7.379535	-5.565364	-3.290672	0.046976	-0.051494	-0.043576	-0.227783	0.719238	0.123535	0.539412	-0.695704	-0.422439	-0.215815
61960		7.437134	-5.588785	-3.210810	0.028710	-0.034351	-0.037818	-0.222412	0.713623	0.111084	0.539412	-0.695505	-0.422843	-0.215665
61961		7.319973	-5.675566	-3.196541	0.048910	-0.052577	-0.040519	-0.226807	0.719482	0.123047	0.539459	-0.695239	-0.423381	-0.215350
61962		7.374548	-5.675855	-3.293068	0.087413	-0.068719	-0.047466	-0.223389	0.716797	0.129395	0.539662	-0.694807	-0.424095	-0.214828
61963		7.411034	-5.478489	-3.300181	0.053565	-0.043950	-0.038809	-0.222168	0.719727	0.121338	0.539767	-0.694521	-0.424586	-0.214521
61964		7.408071	-5.546902	-3.225588	0.016919	-0.019897	-0.033828	-0.228027	0.717529	0.119629	0.539743	-0.694377	-0.424881	-0.214462
61965		7.429194	-5.504651	-3.184564	0.036278	-0.024307	-0.031735	-0.235840	0.716797	0.128906	0.539815	-0.694162	-0.425221	-0.214302
61966		7.445662	-5.411599	-3.232459	0.020092	-0.023942	-0.028444	-0.231689	0.717285	0.123535	0.539796	-0.694030	-0.425516	-0.214191
61967		7.479314	-5.456788	-3.281097	0.026270	-0.019822	-0.021352	-0.222900	0.715088	0.119629	0.539833	-0.693885	-0.425772	-0.214061
61968		7.557083	-5.385210	-3.306667	0.011560	-0.001604	-0.009828	-0.229980	0.718018	0.122559	0.539861	-0.693813	-0.425862	-0.214044
61969		7.473372	-5.456007	-3.337823	-0.020987	0.024053	0.003197	-0.230713	0.720459	0.113770	0.539796	-0.693888	-0.425719	-0.214248
61970		7.382072	-5.602844	-3.219068	-0.019786	0.023951	0.000835	-0.225830	0.722656	0.123291	0.539725	-0.693948	-0.425603	-0.214463
61971		7.370301	-5.613446	-3.112865	-0.016611	0.018969	0.002415	-0.229004	0.717773	0.129395	0.539653	-0.694020	-0.425497	-0.214622
61972		7.371534	-5.664259	-3.052645	-0.018697	0.016351	0.000372	-0.230713	0.717285	0.124512	0.539562	-0.694099	-0.425404	-0.214780
61973		7.313988	-5.721979	-3.088274	-0.010744	0.011130	-0.004463	-0.230957	0.718994	0.121338	0.539513	-0.694124	-0.425368	-0.214896
61974		7.354368	-5.664107	-3.197058	0.004639	0.002035	-0.008806	-0.229492	0.721680	0.122803	0.539533	-0.694078	-0.425410	-0.214910
61975		7.430484	-5.513517	-3.193527	0.005237	-0.001398	-0.008680	-0.219482	0.719238	0.129150	0.539548	-0.694045	-0.425456	-0.214889
61976		7.427184	-5.466423	-3.178823	-0.007943	0.003179	-0.005791	-0.229736	0.722656	0.117188	0.539504	-0.694083	-0.425430	-0.214925
