// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
61951		8.642434	0.110631	-4.693803	0.050534	-0.002023	-0.024748	-0.476562	0.322510	0.673340	0.174992	-0.803676	-0.304487	-0.480386
61952		8.654575	0.110485	-4.654725	0.025550	-0.003340	-0.018861	-0.482178	0.321533	0.675781	0.175079	-0.803604	-0.304720	-0.480326
61953		8.651652	-0.016810	-4.644996	0.036174	-0.009084	-0.025108	-0.484131	0.324463	0.670898	0.175196	-0.803522	-0.305047	-0.480214
61954		8.630255	0.046117	-4.705002	0.053704	-0.014582	-0.029257	-0.474609	0.323486	0.672119	0.175403	-0.803427	-0.305478	-0.480023
61955		8.618110	0.059869	-4.724673	0.058527	-0.006699	-0.032102	-0.479492	0.323242	0.672852	0.175652	-0.803287	-0.305935	-0.479875
61956		8.589035	-0.117767	-4.641247	0.036971	-0.003771	-0.029192	-0.473389	0.327881	0.675781	0.175777	-0.803175	-0.306282	-0.479796
61957		8.609741	-0.340033	-4.681988	0.072292	-0.009171	-0.045068	-0.479004	0.318115	0.674805	0.176070	-0.802993	-0.306878	-0.479612
61958		8.613867	-0.062021	-4.749711	0.110232	-0.017881	-0.063875	-0.482178	0.324219	0.671875	0.176539	-0.802746	-0.307753	-0.479292
61959		8.619242	0.243664	-4.776259	0.079626	-0.018871	-0.057394	-0.483643	0.326660	0.669678	0.176834	-0.802567	-0.308459	-0.479029
61960		8.670711	0.111971	-4.675620	0.052359	-0.011045	-0.045610	-0.477783	0.323486	0.658691	0.177003	-0.802428	-0.308972	-0.478869
61961		8.644782	-0.100765	-4.668790	0.064561	-0.011147	-0.051070	-0.482910	0.332031	0.671631	0.177233	-0.802255	-0.309569	-0.478689
61962		8.640953	0.067010	-4.756998	0.108868	-0.011281	-0.062991	-0.478760	0.326172	0.673828	0.177727	-0.801987	-0.310414	-0.478407
61963		8.605007	0.388309	-4.781683	0.069324	-0.002822	-0.051406	-0.478271	0.330566	0.669434	0.178024	-0.801775	-0.311010	-0.478264
61964		8.645180	0.143278	-4.684655	0.018905	-0.002219	-0.034255	-0.483643	0.330078	0.667969	0.178031	-0.801678	-0.311304	-0.478233
61965		8.648843	0.090869	-4.598692	0.023935	0.000422	-0.031690	-0.489990	0.330078	0.669922	0.178087	-0.801567	-0.311598	-0.478207
61966		8.655188	0.199731	-4.548183	0.052877	-0.009517	-0.032154	-0.490234	0.330322	0.669189	0.178315	-0.801446	-0.312021	-0.478049
61967		8.680426	0.245605	-4.591074	0.054528	-0.010253	-0.021713	-0.478027	0.326904	0.667236	0.178591	-0.801342	-0.312384	-0.477884
61968		8.705004	0.387260	-4.656273	0.019877	-0.006600	-0.001770	-0.482910	0.324951	0.667236	0.178709	-0.801320	-0.312477	-0.477816
61969		8.674769	0.281021	-4.667866	-0.012346	0.000287	0.017086	-0.484863	0.332031	0.660645	0.178684	-0.801356	-0.312316	-0.477869
61970		8.656606	0.071538	-4.703272	-0.020981	0.000382	0.021837	-0.481934	0.335449	0.667480	0.178618	-0.801411	-0.312098	-0.477944
61971		8.609349	-0.028503	-4.687085	-0.024123	0.002537	0.022081	-0.483154	0.329102	0.675781	0.178544	-0.801465	-0.311861	-0.478037
61972		8.641628	-0.097190	-4.674700	-0.033509	0.000434	0.020310	-0.484131	0.327393	0.673096	0.178398	-0.801539	-0.311586	-0.478145
61973		8.633279	-0.124659	-4.736981	-0.024958	0.000442	0.007469	-0.483154	0.331299	0.668945	0.178279	-0.801572	-0.311418	-0.478244
