// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
61951		6.090725	-0.816004	7.584986	0.000165	-0.004695	0.005201	-0.211914	0.081299	-0.384033	0.909881	-0.129236	-0.307874	-0.246227
61952		6.105348	-0.790968	7.584142	-0.001821	-0.004213	0.005066	-0.217041	0.080078	-0.385742	0.909879	-0.129271	-0.307897	-0.246189
61953		6.087761	-0.798349	7.590996	-0.002348	-0.006263	0.005080	-0.214600	0.082275	-0.384521	0.909869	-0.129314	-0.307939	-0.246150
61954		6.105436	-0.825064	7.608692	-0.001762	-0.007990	0.008969	-0.207764	0.079346	-0.386230	0.909865	-0.129366	-0.307987	-0.246078
61955		6.075962	-0.809797	7.576893	-0.002611	-0.007287	0.005088	-0.211182	0.080566	-0.384277	0.909854	-0.129414	-0.308031	-0.246038
61956		6.086058	-0.782047	7.595866	-0.001820	-0.004212	0.005067	-0.207520	0.084229	-0.382568	0.909852	-0.129449	-0.308053	-0.246000
61957		6.071909	-0.824686	7.608574	-0.001455	-0.007304	0.006855	-0.210205	0.075684	-0.380615	0.909846	-0.129490	-0.308098	-0.245945
61958		6.092054	-0.803342	7.587024	-0.007472	-0.015115	0.010050	-0.213135	0.081299	-0.384521	0.909820	-0.129601	-0.308184	-0.245872
61959		6.084889	-0.817441	7.553011	-0.006223	-0.012611	0.007106	-0.214355	0.081543	-0.387207	0.909797	-0.129689	-0.308257	-0.245822
61960		6.099006	-0.825173	7.577337	-0.001260	-0.008900	0.003939	-0.211182	0.080322	-0.396729	0.909781	-0.129723	-0.308316	-0.245787
61961		6.081014	-0.781520	7.597657	-0.001831	-0.010608	0.006061	-0.214600	0.085205	-0.387207	0.909765	-0.129770	-0.308384	-0.245736
61962		6.104415	-0.794823	7.582128	-0.001566	-0.009583	0.006054	-0.208984	0.078125	-0.377197	0.909753	-0.129810	-0.308445	-0.245686
61963		6.077181	-0.846623	7.581984	0.000618	-0.008464	0.002774	-0.207275	0.083008	-0.381592	0.909738	-0.129820	-0.308505	-0.245658
61964		6.088249	-0.802028	7.587884	-0.000384	-0.006505	-0.000298	-0.214844	0.085205	-0.386963	0.909723	-0.129827	-0.308550	-0.245656
61965		6.093773	-0.770791	7.626856	-0.000576	-0.004907	0.002619	-0.220215	0.083008	-0.381104	0.909717	-0.129837	-0.308577	-0.245636
