// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
55664		8.868688	-2.002555	3.756048	0.062036	-0.015353	0.029175	-0.227539	0.313232	-0.097900	0.622452	-0.451096	-0.324958	-0.550879
55665		8.887601	-2.010477	3.781434	0.066555	-0.016763	0.025308	-0.221924	0.315918	-0.104004	0.622773	-0.450896	-0.325256	-0.550504
55666		8.919185	-1.991261	3.805992	0.063847	-0.011599	0.020604	-0.213379	0.312256	-0.099365	0.623085	-0.450670	-0.325527	-0.550177
55667		8.851990	-1.960124	3.756376	0.052585	-0.004791	0.012923	-0.217773	0.308838	-0.105225	0.623328	-0.450453	-0.325744	-0.549949
55668		8.852851	-1.943277	3.769590	0.032122	-0.006628	0.016397	-0.220459	0.305176	-0.106934	0.623506	-0.450360	-0.325865	-0.549753
55669		8.860171	-1.914560	3.781215	0.017976	-0.010326	0.016359	-0.218994	0.309326	-0.106201	0.623620	-0.450356	-0.325941	-0.549582
55670		8.874075	-1.888116	3.812706	0.017764	0.002437	0.009400	-0.227783	0.311768	-0.100098	0.623735	-0.450273	-0.325977	-0.549498
55671		8.854791	-1.879836	3.788364	0.018930	0.007205	0.000556	-0.225098	0.304688	-0.098633	0.623826	-0.450133	-0.326030	-0.549478
55672		8.912908	-1.938306	3.795614	0.020545	0.006358	-0.008485	-0.225586	0.306152	-0.093262	0.623878	-0.449959	-0.326132	-0.549501
55673		8.976072	-1.936087	3.742762	0.025530	0.014700	-0.009077	-0.224609	0.310059	-0.102051	0.623967	-0.449715	-0.326218	-0.549548
55674		8.922218	-1.876942	3.726706	0.016449	0.015076	-0.000817	-0.219238	0.314209	-0.101074	0.624057	-0.449540	-0.326235	-0.549579
55675		8.836212	-1.869086	3.693481	0.003104	0.017575	-0.007714	-0.226562	0.313965	-0.110107	0.624067	-0.449402	-0.326214	-0.549693
55676		8.840473	-1.854384	3.663031	0.001377	0.020646	-0.022800	-0.218262	0.320801	-0.106445	0.624004	-0.449217	-0.326233	-0.549905
55677		8.851527	-1.888553	3.679414	-0.012903	0.018917	-0.025674	-0.225342	0.311768	-0.111816	0.623863	-0.449106	-0.326216	-0.550165
55678		8.830549	-1.957706	3.657951	-0.020841	0.015300	-0.032067	-0.219971	0.315918	-0.101318	0.623648	-0.449036	-0.326215	-0.550466
55679		8.808363	-1.957967	3.699569	-0.027364	0.012431	-0.034541	-0.218018	0.311035	-0.106445	0.623386	-0.449015	-0.326210	-0.550784
55680		8.795554	-2.060262	3.736453	-0.027955	0.011150	-0.035894	-0.218994	0.316162	-0.102783	0.623112	-0.449002	-0.326215	-0.551102
55681		8.872806	-2.108830	3.749249	-0.025304	0.021110	-0.038725	-0.217285	0.313721	-0.114990	0.622865	-0.448929	-0.326182	-0.551459
55682		8.859159	-2.100162	3.713186	-0.028134	0.030373	-0.038122	-0.214600	0.321289	-0.110107	0.622643	-0.448838	-0.326077	-0.551845
55683		8.765373	-2.120644	3.634875	-0.036567	0.021187	-0.036997	-0.217529	0.309570	-0.102295	0.622373	-0.448851	-0.325966	-0.552205
55684		8.797670	-2.161672	3.707345	-0.041221	0.004708	-0.041569	-0.221436	0.324463	-0.104980	0.622024	-0.448971	-0.325923	-0.552526
55685		8.872857	-2.190110	3.776178	-0.035889	-0.001568	-0.039455	-0.218018	0.316895	-0.103516	0.621690	-0.449116	-0.325917	-0.552789
55686		8.875072	-2.217686	3.815138	-0.021107	0.001287	-0.033601	-0.228516	0.308594	-0.104248	0.621459	-0.449196	-0.325923	-0.552979
55687		8.818116	-2.184982	3.849583	-0.003653	0.005487	-0.030875	-0.213867	0.318604	-0.097656	0.621324	-0.449185	-0.325966	-0.553115
55688		8.817874	-2.149452	3.810523	0.000728	0.008206	-0.029405	-0.225098	0.322510	-0.104736	0.621241	-0.449147	-0.325975	-0.553233
55689		8.787453	-2.131816	3.780043	0.000835	0.010610	-0.029962	-0.222656	0.323730	-0.110840	0.621165	-0.449109	-0.325960	-0.553358
55690		8.728412	-2.131201	3.790325	-0.003364	0.008233	-0.034654	-0.225098	0.323730	-0.105469	0.621057	-0.449091	-0.325938	-0.553507
55691		8.745590	-2.183323	3.778704	-0.010228	0.006751	-0.035161	-0.223633	0.327148	-0.112793	0.620924	-0.449124	-0.325881	-0.553663
55692		8.787112	-2.215249	3.772248	-0.013326	0.011109	-0.026329	-0.222900	0.325195	-0.112793	0.620846	-0.449181	-0.325725	-0.553795
55693		8.769345	-2.236315	3.787792	-0.014605	0.012766	-0.018211	-0.221924	0.325195	-0.103027	0.620814	-0.449264	-0.325513	-0.553889
55694		8.735159	-2.169525	3.808616	-0.011096	0.011459	-0.014318	-0.220459	0.325439	-0.106689	0.620815	-0.449359	-0.325306	-0.553932
55695		8.745885	-2.174252	3.783249	-0.005383	0.008266	-0.012072	-0.220947	0.329590	-0.110840	0.620849	-0.449441	-0.325116	-0.553939
55696		8.806641	-2.167767	3.808161	0.000513	0.007663	-0.011986	-0.218262	0.321777	-0.107910	0.620915	-0.449507	-0.324927	-0.553923
55697		8.822883	-2.174979	3.769724	0.007963	0.008184	-0.011181	-0.225098	0.320557	-0.109375	0.621006	-0.449510	-0.324793	-0.553897
55698		8.841252	-2.133419	3.769647	0.012555	0.007014	-0.004027	-0.218506	0.324219	-0.109131	0.621144	-0.449523	-0.324659	-0.553809
55699		8.845986	-2.119246	3.737883	0.019993	0.005304	-0.004277	-0.216553	0.332031	-0.104248	0.621308	-0.449508	-0.324557	-0.553698
55700		8.821231	-2.090788	3.706744	0.022784	0.002452	-0.005626	-0.218262	0.312012	-0.100342	0.621476	-0.449516	-0.324479	-0.553549
55701		8.805084	-2.031484	3.719650	0.027289	-0.007741	-0.008188	-0.209717	0.327637	-0.104492	0.621579	-0.449479	-0.324587	-0.553400
55702		8.859737	-2.005355	3.703441	0.023469	-0.011545	-0.014869	-0.221436	0.324707	-0.113281	0.621652	-0.449498	-0.324644	-0.553269
55703		8.902724	-2.052577	3.714883	0.019267	-0.016165	-0.020616	-0.229980	0.317383	-0.102295	0.621663	-0.449541	-0.324725	-0.553174
55704		8.882042	-2.052143	3.753284	0.019349	-0.018228	-0.023281	-0.225830	0.321533	-0.111572	0.621634	-0.449582	-0.324916	-0.553061
55705		8.871762	-2.074166	3.751998	0.020041	-0.023375	-0.021198	-0.220459	0.316162	-0.110840	0.621610	-0.449643	-0.325079	-0.552944
55706		8.808717	-1.991551	3.736957	0.024418	-0.020646	-0.019731	-0.225830	0.325195	-0.110352	0.621601	-0.449642	-0.325269	-0.552842
55707		8.778894	-1.984467	3.833460	0.016007	-0.029852	-0.018601	-0.222656	0.323975	-0.107910	0.621557	-0.449768	-0.325437	-0.552690
55708		8.781363	-1.981051	3.829570	0.005467	-0.028167	-0.018723	-0.216064	0.317871	-0.123291	0.621473	-0.449923	-0.325564	-0.552584
55709		8.850250	-2.023191	3.864047	0.012451	-0.022046	-0.017738	-0.226074	0.322754	-0.110352	0.621429	-0.449949	-0.325650	-0.552560
55710		8.811309	-1.999723	3.889569	0.021966	-0.010473	-0.014573	-0.222656	0.319824	-0.113037	0.621473	-0.449927	-0.325752	-0.552469
55711		8.794022	-2.004243	3.883441	0.017127	-0.005380	-0.014793	-0.219482	0.319824	-0.123291	0.621509	-0.449874	-0.325806	-0.552440
55712		8.764963	-2.051022	3.898683	0.006740	-0.005581	-0.019178	-0.224854	0.321045	-0.112061	0.621493	-0.449833	-0.325787	-0.552503
55713		8.867141	-2.031486	3.887373	-0.014349	0.004506	-0.016247	-0.222168	0.326172	-0.112061	0.621437	-0.449887	-0.325654	-0.552600
55714		8.812233	-2.054527	3.871088	-0.027981	0.012878	-0.013581	-0.229736	0.323486	-0.110840	0.621377	-0.449991	-0.325378	-0.552745
55715		8.697538	-2.082260	3.864255	-0.033153	0.014969	-0.021036	-0.217773	0.328125	-0.107666	0.621260	-0.450083	-0.325128	-0.552950
55716		8.716231	-2.184017	3.912591	-0.031934	0.008622	-0.029666	-0.222656	0.323486	-0.110596	0.621106	-0.450188	-0.324913	-0.553164
55717		8.758058	-2.360988	3.954765	-0.036532	0.009811	-0.024205	-0.225830	0.331055	-0.114746	0.620958	-0.450300	-0.324663	-0.553385
