// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
55664		9.020873	-2.999744	-2.620096	0.063296	-0.026533	-0.030960	-0.433105	0.595703	0.102783	0.511745	-0.616269	-0.503033	-0.324479
55665		9.004848	-3.028960	-2.626204	0.057465	-0.022709	-0.032831	-0.430908	0.593994	0.099854	0.511856	-0.615948	-0.503454	-0.324261
55666		8.967596	-3.039084	-2.679020	0.063556	-0.027077	-0.030036	-0.422363	0.593018	0.102539	0.511990	-0.615623	-0.503894	-0.323983
55667		9.002358	-2.979499	-2.644561	0.061401	-0.029510	-0.030972	-0.424072	0.589844	0.095703	0.512097	-0.615311	-0.504345	-0.323704
55668		8.992930	-2.905350	-2.639333	0.045132	-0.021250	-0.024769	-0.429199	0.588135	0.099854	0.512172	-0.615073	-0.504685	-0.323510
55669		8.993320	-2.903649	-2.639877	0.023324	-0.008117	-0.018021	-0.428955	0.589355	0.099609	0.512206	-0.614920	-0.504876	-0.323448
55670		8.921077	-3.015843	-2.667102	0.013302	-0.005982	-0.020372	-0.436768	0.590820	0.105957	0.512189	-0.614793	-0.505046	-0.323450
55671		8.942103	-3.063104	-2.678370	0.029522	-0.011019	-0.025361	-0.433105	0.584229	0.103027	0.512219	-0.614593	-0.505307	-0.323376
55672		9.009696	-3.005750	-2.723620	0.038383	-0.015290	-0.033510	-0.431885	0.588135	0.112549	0.512255	-0.614336	-0.505650	-0.323271
55673		9.051608	-2.891552	-2.739204	0.027361	-0.012476	-0.032574	-0.434326	0.593018	0.102783	0.512245	-0.614126	-0.505948	-0.323220
55674		8.981253	-2.891833	-2.735793	0.006012	0.000548	-0.028658	-0.428955	0.594482	0.103760	0.512182	-0.613990	-0.506119	-0.323309
55675		8.929558	-2.980529	-2.707119	0.003111	0.004054	-0.028943	-0.435791	0.593506	0.091797	0.512110	-0.613858	-0.506276	-0.323430
55676		8.871403	-2.963048	-2.683102	0.005121	-0.000392	-0.026722	-0.428223	0.601562	0.093994	0.512030	-0.613744	-0.506447	-0.323504
55677		8.897029	-2.959391	-2.676050	0.001448	-0.002669	-0.027673	-0.435791	0.590332	0.091064	0.511917	-0.613653	-0.506624	-0.323579
55678		8.949924	-2.937098	-2.701835	-0.008776	0.000603	-0.024802	-0.432373	0.596191	0.101074	0.511770	-0.613613	-0.506746	-0.323697
55679		8.934616	-3.008053	-2.646547	-0.026695	0.011599	-0.023550	-0.427490	0.588135	0.097412	0.511575	-0.613631	-0.506767	-0.323937
55680		8.893789	-3.073650	-2.622644	-0.029159	0.016131	-0.022922	-0.427002	0.595703	0.099121	0.511396	-0.613648	-0.506757	-0.324203
55681		8.858753	-3.130510	-2.589362	-0.023576	0.002751	-0.023470	-0.428711	0.591309	0.089355	0.511193	-0.613687	-0.506810	-0.324367
55682		8.934929	-3.087821	-2.604410	-0.015005	-0.000816	-0.022536	-0.426025	0.599121	0.092285	0.511038	-0.613702	-0.506887	-0.324462
55683		8.991235	-3.059649	-2.552109	-0.032708	0.004817	-0.021476	-0.428467	0.588623	0.099609	0.510830	-0.613793	-0.506870	-0.324644
55684		8.967134	-3.129316	-2.557264	-0.048104	0.016064	-0.019697	-0.428955	0.602051	0.097900	0.510602	-0.613921	-0.506756	-0.324938
55685		8.956035	-3.201531	-2.546478	-0.042308	0.009067	-0.019153	-0.428467	0.593262	0.101807	0.510395	-0.614065	-0.506653	-0.325153
55686		8.977331	-3.210678	-2.525827	-0.029292	-0.000375	-0.025457	-0.436768	0.588623	0.101074	0.510212	-0.614146	-0.506656	-0.325281
55687		8.953301	-3.184915	-2.530618	-0.021298	-0.005554	-0.031667	-0.424561	0.590332	0.106934	0.510046	-0.614181	-0.506724	-0.325369
55688		8.966558	-3.161626	-2.512478	-0.014400	-0.008431	-0.033224	-0.437012	0.597900	0.098145	0.509918	-0.614188	-0.506823	-0.325403
55689		8.965269	-3.130815	-2.535356	-0.004931	-0.014247	-0.035506	-0.433105	0.599854	0.098877	0.509843	-0.614182	-0.506929	-0.325367
55690		8.941425	-3.089725	-2.511762	-0.006716	-0.014043	-0.034140	-0.431152	0.600586	0.095947	0.509783	-0.614190	-0.507008	-0.325324
55691		8.955141	-3.102529	-2.526734	-0.011401	-0.006031	-0.027981	-0.432129	0.600830	0.093750	0.509767	-0.614216	-0.506992	-0.325324
55692		8.921881	-3.076601	-2.590537	-0.015974	0.000355	-0.023173	-0.430420	0.600830	0.095703	0.509784	-0.614263	-0.506894	-0.325360
55693		8.937604	-3.080175	-2.550210	-0.017102	0.004754	-0.021038	-0.430908	0.600098	0.101318	0.509819	-0.614315	-0.506770	-0.325403
55694		8.931313	-3.124546	-2.524790	-0.017886	0.008594	-0.017897	-0.430420	0.602539	0.099121	0.509869	-0.614373	-0.506632	-0.325429
55695		8.926686	-3.129986	-2.534611	-0.007743	0.003781	-0.020688	-0.429688	0.605957	0.096191	0.509966	-0.614395	-0.506529	-0.325395
55696		8.963684	-3.124209	-2.536118	0.004064	0.000393	-0.023498	-0.427246	0.599121	0.100342	0.510128	-0.614374	-0.506452	-0.325299
55697		8.925905	-3.157558	-2.523712	0.008541	-0.003261	-0.023163	-0.431152	0.594971	0.093750	0.510252	-0.614314	-0.506474	-0.325186
55698		8.984273	-3.126812	-2.539335	0.018482	-0.011238	-0.025798	-0.427979	0.598633	0.101807	0.510387	-0.614210	-0.506535	-0.325076
55699		8.963945	-3.089324	-2.557995	0.014459	-0.012970	-0.027776	-0.427246	0.607422	0.103027	0.510493	-0.614130	-0.506644	-0.324889
55700		8.934993	-3.079311	-2.547315	0.011430	-0.011063	-0.027982	-0.425781	0.589355	0.105225	0.510648	-0.614089	-0.506697	-0.324641
55701		8.954255	-3.084372	-2.552144	0.012702	-0.022390	-0.030250	-0.418701	0.600342	0.103027	0.510614	-0.613983	-0.506959	-0.324485
55702		8.949011	-3.089115	-2.564978	0.014572	-0.024208	-0.033000	-0.429932	0.600830	0.096191	0.510646	-0.613901	-0.507185	-0.324238
55703		8.990798	-3.088729	-2.588938	0.010371	-0.028010	-0.031018	-0.438477	0.591064	0.108643	0.510697	-0.613870	-0.507297	-0.324039
55704		9.024566	-3.041130	-2.586148	0.001304	-0.025507	-0.032895	-0.433594	0.596191	0.097656	0.510629	-0.613833	-0.507508	-0.323887
55705		8.989686	-3.023316	-2.559658	-0.008372	-0.029307	-0.033014	-0.428467	0.591797	0.100830	0.510538	-0.613861	-0.507613	-0.323813
55706		8.972885	-2.970227	-2.596956	-0.008245	-0.029824	-0.030583	-0.433350	0.597900	0.102539	0.510390	-0.613878	-0.507787	-0.323741
55707		8.951675	-2.990610	-2.588080	-0.008159	-0.028237	-0.030675	-0.433105	0.598145	0.101562	0.510310	-0.613910	-0.507912	-0.323610
55708		8.961895	-2.963504	-2.597347	0.003598	-0.030969	-0.025836	-0.425781	0.592041	0.089844	0.510290	-0.613918	-0.508051	-0.323407
55709		8.973263	-2.957159	-2.610526	0.011452	-0.031270	-0.029457	-0.431152	0.599121	0.105713	0.510245	-0.613863	-0.508196	-0.323356
55710		9.015031	-2.941880	-2.606066	0.014097	-0.026198	-0.027715	-0.429199	0.593506	0.100586	0.510276	-0.613803	-0.508403	-0.323095
55711		9.031872	-2.950646	-2.543264	0.008134	-0.017612	-0.026890	-0.425537	0.593018	0.090088	0.510268	-0.613733	-0.508550	-0.323009
55712		9.022915	-2.954757	-2.511104	0.000550	-0.006146	-0.020939	-0.437744	0.592285	0.101807	0.510305	-0.613690	-0.508516	-0.323087
55713		9.004157	-2.973784	-2.567142	-0.006814	-0.006923	-0.013870	-0.429688	0.600830	0.097412	0.510311	-0.613691	-0.508506	-0.323092
55714		9.013703	-2.987469	-2.537221	-0.020380	0.005606	-0.013463	-0.438232	0.597168	0.101807	0.510367	-0.613749	-0.508343	-0.323150
55715		9.008001	-3.017725	-2.482641	-0.029373	0.013497	-0.006402	-0.427246	0.601562	0.107178	0.510401	-0.613827	-0.508128	-0.323286
55716		9.054506	-3.064973	-2.485794	-0.024614	0.021028	-0.003744	-0.429443	0.598877	0.104736	0.510494	-0.613897	-0.507936	-0.323307
55717		9.023049	-3.151331	-2.429319	-0.013813	0.027973	0.000582	-0.433105	0.603027	0.096680	0.510677	-0.613908	-0.507704	-0.323362
55718		8.966283	-3.269540	-2.436850	0.005980	0.024442	0.004269	-0.435791	0.593506	0.105713	0.511035	-0.613859	-0.507413	-0.323345
55719		8.946058	-3.266717	-2.360563	0.029517	0.025413	0.016548	-0.434814	0.600342	0.098145	0.511439	-0.613735	-0.507244	-0.323208
55720		8.994831	-3.271371	-2.339574	0.030766	0.045151	0.033446	-0.429688	0.594727	0.097412	0.512073	-0.613636	-0.506804	-0.323081
55721		9.010951	-3.350827	-2.232485	0.027526	0.069637	0.053788	-0.433594	0.600098	0.099365	0.512790	-0.613573	-0.506172	-0.323054
55722		9.028218	-3.438541	-2.095610	0.037159	0.107225	0.076676	-0.426514	0.595703	0.101562	0.513832	-0.613455	-0.505283	-0.323014
55723		8.846142	-3.653869	-2.026948	0.066517	0.116607	0.086630	-0.432861	0.593506	0.107178	0.515030	-0.613236	-0.504429	-0.322855
55724		8.805714	-3.730171	-2.144195	0.130581	0.095909	0.102679	-0.430664	0.595459	0.101562	0.516481	-0.612844	-0.503812	-0.322248
55725		8.901637	-3.514523	-2.219192	0.147544	0.093337	0.119501	-0.430420	0.590332	0.092285	0.518087	-0.612467	-0.503103	-0.321492
55726		8.994899	-3.459251	-2.193667	0.099027	0.134929	0.143638	-0.432129	0.597412	0.097656	0.519658	-0.612285	-0.501894	-0.321193
55727		8.978746	-3.574546	-2.035090	0.052118	0.187023	0.163645	-0.425781	0.585938	0.088623	0.521292	-0.612239	-0.500288	-0.321139
55728		8.878918	-3.779953	-1.980795	0.052432	0.199934	0.172503	-0.424561	0.600342	0.089844	0.522905	-0.612211	-0.498523	-0.321315
55729		8.792042	-3.865587	-1.998386	0.102686	0.177438	0.168475	-0.432861	0.598145	0.087402	0.524803	-0.612004	-0.496999	-0.320975
55730		8.865079	-3.917082	-1.991405	0.131098	0.153554	0.166263	-0.427490	0.602783	0.086670	0.526725	-0.611675	-0.495681	-0.320491
55731		8.956060	-3.915763	-1.872107	0.139076	0.150539	0.164375	-0.417725	0.594727	0.084961	0.528691	-0.611335	-0.494400	-0.319883
55732		8.985549	-3.963147	-1.672227	0.145219	0.160436	0.158646	-0.428467	0.596680	0.080322	0.530593	-0.610976	-0.493110	-0.319408
55733		8.950375	-4.092265	-1.551688	0.182327	0.158314	0.154367	-0.423584	0.597168	0.084717	0.532719	-0.610348	-0.491958	-0.318846
55734		8.892801	-4.194273	-1.526331	0.246290	0.140319	0.152151	-0.419434	0.598389	0.082031	0.535029	-0.609514	-0.491108	-0.317882
55735		9.003744	-4.089599	-1.570682	0.298917	0.122189	0.159442	-0.422119	0.597900	0.077148	0.537545	-0.608545	-0.490415	-0.316562
55736		9.161117	-3.933519	-1.561967	0.299236	0.149656	0.188795	-0.424561	0.591797	0.068115	0.540249	-0.607581	-0.489453	-0.315298
55737		9.216652	-3.893198	-1.410038	0.261030	0.211930	0.227514	-0.424316	0.588135	0.078613	0.543080	-0.606718	-0.487908	-0.314487
55738		9.001779	-4.101881	-1.345923	0.241315	0.263604	0.265444	-0.424316	0.593750	0.071289	0.545927	-0.606012	-0.486004	-0.313867
55739		8.867140	-4.318178	-1.363737	0.274276	0.279506	0.283685	-0.423584	0.595947	0.070557	0.549140	-0.605134	-0.483991	-0.313066
55740		8.844235	-4.293358	-1.452573	0.323507	0.273118	0.303343	-0.427734	0.597168	0.071045	0.552607	-0.604134	-0.482032	-0.311918
55741		9.076001	-4.099777	-1.479467	0.322022	0.301033	0.325222	-0.414062	0.594971	0.062256	0.556247	-0.603130	-0.479835	-0.310776
55742		9.130911	-4.010475	-1.413579	0.276629	0.359647	0.353878	-0.417236	0.597412	0.058350	0.560050	-0.602354	-0.476933	-0.309916
55743		9.061397	-4.103310	-1.342228	0.254686	0.408304	0.379111	-0.413818	0.599609	0.057129	0.564093	-0.601592	-0.473596	-0.309180
55744		8.979003	-4.254058	-1.316984	0.255543	0.426816	0.394383	-0.421143	0.595459	0.053711	0.568279	-0.600831	-0.470047	-0.308410
55745		8.862014	-4.351640	-1.387017	0.277163	0.414623	0.398329	-0.410156	0.597168	0.044434	0.572539	-0.599986	-0.466572	-0.307452
55746		8.919987	-4.258937	-1.412368	0.298101	0.393707	0.398720	-0.412598	0.596191	0.040527	0.576802	-0.599086	-0.463230	-0.306291
55747		9.100141	-4.090805	-1.407366	0.272738	0.406883	0.409441	-0.407471	0.600830	0.042725	0.580988	-0.598298	-0.459702	-0.305233
55748		9.026250	-4.088644	-1.382072	0.207749	0.432750	0.413006	-0.414062	0.605957	0.036621	0.584926	-0.597755	-0.455863	-0.304532
55749		8.863534	-4.327133	-1.407699	0.185587	0.427786	0.411257	-0.412598	0.606934	0.026855	0.588699	-0.597308	-0.452000	-0.303895
55750		8.813542	-4.361508	-1.408704	0.201946	0.393113	0.399717	-0.401611	0.603271	0.022461	0.592363	-0.596814	-0.448404	-0.303073
55751		8.879323	-4.213385	-1.387521	0.213136	0.362366	0.378482	-0.394531	0.607666	0.020752	0.595884	-0.596252	-0.445093	-0.302155
55752		8.945312	-4.086591	-1.346910	0.193738	0.350948	0.363967	-0.401611	0.608887	0.032959	0.599201	-0.595751	-0.441865	-0.301321
55753		8.825833	-4.210732	-1.399928	0.171274	0.346247	0.353565	-0.403320	0.608887	0.016602	0.602334	-0.595324	-0.438662	-0.300598
55754		8.727255	-4.406555	-1.334195	0.166500	0.313443	0.330571	-0.395996	0.609375	0.019043	0.605238	-0.594912	-0.435731	-0.299843
55755		8.753750	-4.334832	-1.264412	0.162966	0.278162	0.298728	-0.400879	0.614258	0.004150	0.607892	-0.594486	-0.433132	-0.299083
55756		8.880349	-4.244277	-1.204650	0.141204	0.267806	0.277471	-0.391602	0.617188	0.014160	0.610327	-0.594114	-0.430642	-0.298457
55757		8.745238	-4.337519	-1.191459	0.097816	0.260602	0.262089	-0.400391	0.616455	0.009521	0.612462	-0.593921	-0.428166	-0.298031
55758		8.629034	-4.490304	-1.178058	0.092877	0.229275	0.232260	-0.400391	0.615967	0.011230	0.614367	-0.593721	-0.425993	-0.297621
55759		8.536494	-4.601451	-1.129365	0.145682	0.180425	0.196426	-0.390381	0.625977	0.006104	0.616255	-0.593245	-0.424384	-0.296965
55760		8.534634	-4.493299	-1.116163	0.218389	0.135179	0.158109	-0.398682	0.625732	-0.001221	0.618234	-0.592372	-0.423382	-0.296023
55761		8.584138	-4.390929	-1.167556	0.273592	0.102678	0.125881	-0.398926	0.623779	0.010010	0.620276	-0.591181	-0.422849	-0.294892
55762		8.618348	-4.268725	-1.161301	0.311290	0.084157	0.108106	-0.396240	0.630615	0.001709	0.622379	-0.589776	-0.422599	-0.293629
55763		8.615621	-4.196027	-1.129440	0.320860	0.084654	0.100518	-0.386475	0.633057	-0.002930	0.624495	-0.588292	-0.422415	-0.292377
55764		8.615966	-4.207201	-1.084046	0.321204	0.098447	0.101912	-0.392822	0.629395	-0.015381	0.626649	-0.586773	-0.422161	-0.291185
55765		8.563363	-4.243487	-1.070551	0.306538	0.114233	0.113131	-0.398926	0.624023	-0.018311	0.628797	-0.585329	-0.421741	-0.290067
55766		8.502609	-4.257879	-1.074123	0.273082	0.122688	0.117489	-0.403809	0.634277	-0.011230	0.630808	-0.584052	-0.421182	-0.289085
55767		8.539832	-4.248404	-1.116368	0.241937	0.129715	0.122774	-0.392090	0.629883	-0.019531	0.632690	-0.582940	-0.420492	-0.288221
55768		8.592032	-4.102915	-1.213768	0.189867	0.138309	0.124997	-0.395508	0.633545	-0.030518	0.634341	-0.582088	-0.419628	-0.287571
