// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
55664		4.796070	2.787458	8.039112	-0.001395	0.002204	0.000297	-0.059570	-0.066406	-0.725342	0.928936	0.086041	-0.284728	-0.220466
55665		4.801953	2.766913	8.053081	-0.000300	0.002751	0.000191	-0.057861	-0.064697	-0.729248	0.928943	0.086043	-0.284706	-0.220463
55666		4.802491	2.787501	8.067989	-0.000135	0.002068	0.000860	-0.048096	-0.068359	-0.726562	0.928951	0.086042	-0.284687	-0.220456
55667		4.807283	2.799217	8.051647	0.002390	0.002041	-0.002365	-0.052002	-0.068359	-0.734863	0.928949	0.086070	-0.284674	-0.220467
55668		4.813091	2.778971	8.065558	-0.001560	0.002887	-0.000372	-0.056152	-0.072998	-0.730713	0.928957	0.086064	-0.284649	-0.220471
55669		4.792959	2.776159	8.070666	0.000000	0.000000	0.000000	-0.055908	-0.071777	-0.730957	0.928957	0.086063	-0.284648	-0.220471
55670		4.784215	2.764838	8.072867	0.003087	0.000939	-0.002513	-0.063721	-0.067139	-0.722168	0.928953	0.086094	-0.284644	-0.220482
55671		4.812467	2.779747	8.065664	0.003118	0.002324	-0.000984	-0.057617	-0.076904	-0.722900	0.928955	0.086122	-0.284629	-0.220481
55672		4.792218	2.777444	8.070663	0.002024	0.001777	-0.000879	-0.060303	-0.072754	-0.714600	0.928958	0.086139	-0.284616	-0.220481
55673		4.805630	2.800863	8.052061	0.000036	0.001630	-0.002823	-0.058838	-0.071045	-0.726318	0.928958	0.086145	-0.284597	-0.220501
55674		4.819440	2.771469	8.048954	-0.000532	0.000419	0.000817	-0.055908	-0.068359	-0.728271	0.928962	0.086136	-0.284590	-0.220495
55675		4.792612	2.768456	8.025401	0.001591	-0.001502	0.001901	-0.063721	-0.066406	-0.733887	0.928963	0.086135	-0.284604	-0.220476
55676		4.792699	2.798396	8.085473	-0.000863	0.001785	-0.000521	-0.052979	-0.064209	-0.730225	0.928968	0.086125	-0.284587	-0.220479
