// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
51504		9.390910	-0.951335	-2.753354	0.017069	-0.007102	0.022677	-0.824463	-0.198730	-0.060791	0.544982	0.259898	-0.756602	0.251000
51505		9.402292	-0.937171	-2.870069	0.013602	-0.003355	0.014777	-0.830566	-0.205566	-0.058594	0.544900	0.259873	-0.756621	0.251146
51506		9.369132	-0.858281	-2.862019	-0.000901	-0.010969	0.009621	-0.835205	-0.202881	-0.065918	0.544812	0.259838	-0.756693	0.251156
51507		9.328404	-0.846563	-2.931025	-0.002438	-0.016626	0.002305	-0.829590	-0.197998	-0.062256	0.544707	0.259849	-0.756780	0.251113
51508		9.389084	-0.850971	-2.817364	0.024440	-0.021764	-0.005835	-0.826416	-0.199951	-0.056885	0.544525	0.260045	-0.756818	0.251189
51509		9.357548	-0.780677	-2.801658	0.009086	-0.019444	-0.004872	-0.823975	-0.200928	-0.061768	0.544389	0.260164	-0.756880	0.251174
51510		9.411856	-0.715575	-2.809286	0.001021	-0.017585	0.001132	-0.827637	-0.183105	-0.056641	0.544271	0.260209	-0.756963	0.251133
51511		9.390748	-0.698391	-2.944507	-0.016846	-0.017160	0.004770	-0.824707	-0.199707	-0.065918	0.544190	0.260156	-0.757088	0.250987
51512		9.291021	-0.827058	-2.960018	-0.000235	-0.014401	0.006004	-0.830322	-0.204590	-0.059082	0.544084	0.260176	-0.757172	0.250942
51513		9.338398	-0.695217	-2.889148	0.019034	-0.016685	0.000937	-0.826416	-0.200684	-0.055664	0.543925	0.260328	-0.757221	0.250980
51514		9.343042	-0.617500	-2.825430	0.006652	-0.017476	0.013353	-0.827881	-0.194092	-0.058594	0.543761	0.260359	-0.757329	0.250979
51515		9.370189	-0.898084	-2.836827	0.006606	-0.024111	0.006913	-0.826660	-0.200928	-0.059082	0.543574	0.260459	-0.757450	0.250913
51516		9.394638	-0.768823	-2.921529	-0.009254	-0.023224	0.009659	-0.834473	-0.195557	-0.056641	0.543420	0.260471	-0.757608	0.250758
51517		9.338324	-0.803782	-2.908688	-0.027312	-0.026621	0.006965	-0.827881	-0.202637	-0.062988	0.543285	0.260437	-0.757817	0.250454
51518		9.344081	-0.826414	-2.873314	-0.018498	-0.024839	0.004924	-0.828857	-0.198486	-0.061768	0.543145	0.260457	-0.757997	0.250194
51519		9.355948	-0.692729	-2.841562	-0.022956	-0.032935	0.004376	-0.826660	-0.195557	-0.056641	0.542960	0.260482	-0.758225	0.249876
51520		9.361327	-0.745938	-2.819006	-0.031850	-0.027336	0.011213	-0.827148	-0.193604	-0.060303	0.542822	0.260419	-0.758461	0.249525
51521		9.359650	-0.730078	-2.917952	-0.030704	-0.036677	0.010248	-0.820312	-0.194824	-0.057129	0.542630	0.260395	-0.758729	0.249151
51522		9.359001	-0.832561	-2.950797	-0.032595	-0.036247	0.013473	-0.826904	-0.195312	-0.054199	0.542443	0.260333	-0.759009	0.248774
