// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
51504		9.217400	0.885280	3.345401	0.114392	-0.031073	0.016521	-0.682861	-0.434814	0.116211	-0.362959	-0.536804	0.204412	-0.733701
51505		9.277987	0.990003	3.342016	0.079981	-0.012300	0.007104	-0.687988	-0.440918	0.117920	-0.362537	-0.537109	0.203992	-0.733804
51506		9.300719	1.031232	3.340038	0.065867	-0.003774	0.002608	-0.692139	-0.435791	0.112305	-0.362223	-0.537327	0.203611	-0.733905
51507		9.283741	0.976064	3.376032	0.049536	-0.013453	0.001022	-0.688232	-0.434326	0.116699	-0.361973	-0.537558	0.203352	-0.733931
51508		9.212589	0.867612	3.385143	0.039847	-0.015773	0.001775	-0.686768	-0.437744	0.123779	-0.361759	-0.537773	0.203160	-0.733932
51509		9.158930	0.747940	3.420273	0.015875	-0.013474	-0.001864	-0.683350	-0.439209	0.118652	-0.361678	-0.537907	0.203093	-0.733893
51510		9.138169	0.709878	3.450531	-0.001370	-0.013086	-0.000381	-0.684082	-0.418701	0.126953	-0.361664	-0.537978	0.203140	-0.733835
51511		9.116777	0.773212	3.489771	-0.006096	-0.013449	-0.000156	-0.683350	-0.432129	0.113525	-0.361666	-0.538028	0.203223	-0.733774
51512		9.055092	0.809152	3.470128	-0.013813	-0.016920	0.004175	-0.689209	-0.437500	0.120361	-0.361670	-0.538057	0.203385	-0.733705
51513		9.048119	0.795635	3.434619	-0.017327	-0.020963	0.005358	-0.685791	-0.434570	0.123047	-0.361677	-0.538088	0.203586	-0.733624
51514		9.033383	0.803060	3.471389	-0.019513	-0.023737	0.001854	-0.687256	-0.427979	0.121094	-0.361710	-0.538124	0.203794	-0.733523
51515		9.056003	0.772363	3.465960	-0.031595	-0.037444	-0.001330	-0.682861	-0.437744	0.119873	-0.361794	-0.538200	0.204102	-0.733341
