// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
51504		9.699774	0.505737	-2.001392	0.084334	-0.014538	-0.073014	-0.731201	-0.404785	-0.093750	0.567042	0.377283	-0.677117	0.278627
51505		9.679419	0.612127	-1.963402	0.039422	-0.014585	-0.060117	-0.732666	-0.411133	-0.094482	0.566975	0.377842	-0.676905	0.278520
51506		9.627942	0.634373	-2.016646	-0.001135	-0.014748	-0.030491	-0.737061	-0.406006	-0.098877	0.566969	0.378046	-0.676879	0.278320
51507		9.600930	0.650337	-1.998425	-0.018549	-0.025510	-0.011691	-0.736816	-0.402344	-0.096680	0.566911	0.378085	-0.677005	0.278079
51508		9.609155	0.662598	-2.046520	-0.044575	-0.024850	-0.010322	-0.730713	-0.406006	-0.091797	0.566936	0.377993	-0.677192	0.277696
51509		9.577768	0.619930	-2.041352	-0.028686	-0.019386	0.000265	-0.729736	-0.407471	-0.094727	0.566919	0.377908	-0.677349	0.277466
51510		9.645131	0.478987	-2.039885	-0.026114	-0.003326	0.001939	-0.730957	-0.385742	-0.090088	0.566980	0.377791	-0.677429	0.277305
51511		9.625086	0.408918	-2.053940	-0.019261	0.005534	0.002563	-0.730469	-0.401611	-0.101318	0.567066	0.377682	-0.677455	0.277215
51512		9.558886	0.521052	-1.927478	0.011308	-0.003676	-0.005160	-0.738525	-0.405029	-0.093506	0.567016	0.377779	-0.677433	0.277236
51513		9.537960	0.550946	-1.980464	0.018546	-0.016087	-0.018400	-0.729004	-0.404785	-0.089600	0.566908	0.378012	-0.677410	0.277197
51514		9.608643	0.481030	-2.085293	0.040970	-0.012543	-0.026834	-0.733398	-0.399658	-0.091797	0.566769	0.378392	-0.677290	0.277255
51515		9.647773	0.512264	-2.023714	0.033414	0.006520	-0.031469	-0.731689	-0.405762	-0.091064	0.566767	0.378719	-0.677088	0.277308
51516		9.678842	0.597310	-1.931868	0.038630	0.001701	-0.019403	-0.736572	-0.400635	-0.092041	0.566692	0.379012	-0.676935	0.277433
51517		9.603570	0.622727	-1.948109	0.005244	-0.013492	-0.003384	-0.732422	-0.412109	-0.093018	0.566607	0.379093	-0.676975	0.277397
51518		9.613919	0.629374	-1.980948	-0.040269	-0.020709	0.003319	-0.734619	-0.402588	-0.094727	0.566618	0.378942	-0.677170	0.277107
51519		9.637619	0.621776	-2.018980	-0.057886	-0.016739	0.001886	-0.730713	-0.399658	-0.090576	0.566714	0.378709	-0.677377	0.276720
51520		9.619515	0.581578	-2.027688	-0.062764	-0.002046	0.000411	-0.730225	-0.400146	-0.094727	0.566913	0.378432	-0.677521	0.276339
51521		9.595491	0.542528	-1.973405	-0.047632	-0.000662	0.001366	-0.726074	-0.398926	-0.090576	0.567072	0.378220	-0.677625	0.276049
51522		9.625461	0.501837	-2.063421	-0.032769	-0.005671	0.001191	-0.731689	-0.401855	-0.091553	0.567154	0.378088	-0.677720	0.275829
51523		9.642834	0.512539	-2.047993	-0.043838	0.001679	0.008283	-0.737061	-0.404541	-0.098633	0.567293	0.377848	-0.677829	0.275603
51524		9.597903	0.468705	-2.037400	-0.043401	-0.001391	0.006474	-0.733887	-0.400879	-0.087158	0.567419	0.377628	-0.677943	0.275364
51525		9.605695	0.382709	-2.059651	-0.024474	-0.005414	0.007957	-0.729736	-0.399414	-0.097900	0.567442	0.377493	-0.678054	0.275229
51526		9.631917	0.451626	-2.106887	-0.006149	0.003622	0.004144	-0.741455	-0.395752	-0.092285	0.567466	0.377428	-0.678071	0.275229
51527		9.648605	0.529068	-2.119305	-0.030263	0.009115	0.002647	-0.738037	-0.395996	-0.091309	0.567579	0.377243	-0.678129	0.275105
51528		9.610239	0.538583	-2.079759	-0.018236	0.012377	0.005098	-0.736084	-0.392334	-0.094482	0.567658	0.377097	-0.678159	0.275069
51529		9.588737	0.471019	-2.107163	-0.034945	0.002695	0.013925	-0.742188	-0.395020	-0.100830	0.567715	0.376835	-0.678305	0.274949
51530		9.642505	0.409874	-2.127841	-0.029892	0.003696	0.020692	-0.739502	-0.395264	-0.099609	0.567742	0.376551	-0.678463	0.274894
51531		9.653953	0.363981	-2.139008	-0.016687	0.005777	0.021734	-0.733887	-0.399902	-0.097656	0.567726	0.376316	-0.678592	0.274930
51532		9.645896	0.279110	-2.171664	-0.000190	0.013937	0.020238	-0.737061	-0.401367	-0.085693	0.567702	0.376160	-0.678638	0.275080
51533		9.640681	0.226513	-2.088438	0.023991	0.027130	0.023843	-0.735352	-0.389893	-0.090576	0.567617	0.376089	-0.678598	0.275448
51534		9.653057	0.182242	-1.988521	0.059116	0.029873	0.029921	-0.731934	-0.392090	-0.090576	0.567431	0.376086	-0.678505	0.276065
51535		9.655452	0.188815	-1.979767	0.084639	0.040156	0.035541	-0.735596	-0.396729	-0.093018	0.567216	0.376144	-0.678311	0.276905
51536		9.681184	0.226126	-1.920068	0.094283	0.038026	0.034306	-0.737061	-0.396240	-0.089111	0.566950	0.376248	-0.678105	0.277810
51537		9.616290	0.320446	-2.003137	0.069783	0.036558	0.020074	-0.731445	-0.389404	-0.092041	0.566772	0.376321	-0.677918	0.278532
51538		9.596646	0.411647	-2.078562	0.101731	0.034611	-0.000238	-0.732422	-0.397705	-0.093506	0.566573	0.376636	-0.677589	0.279309
51539		9.616312	0.383189	-2.036720	0.089919	0.030929	0.000982	-0.734131	-0.395508	-0.090088	0.566375	0.376928	-0.677301	0.280014
51540		9.649851	0.266821	-2.078806	0.099635	0.023095	0.003830	-0.739502	-0.380371	-0.091064	0.566077	0.377273	-0.677044	0.280773
51541		9.609416	0.293593	-2.063487	0.103966	0.021297	0.001118	-0.737549	-0.390625	-0.099121	0.565765	0.377546	-0.676841	0.281522
51542		9.588045	0.426797	-2.056287	0.112570	0.023384	-0.008324	-0.736084	-0.394531	-0.097900	0.565494	0.377909	-0.676561	0.282254
51543		9.563572	0.649450	-2.105399	0.126160	0.013797	-0.025862	-0.737305	-0.394287	-0.098145	0.565166	0.378492	-0.676220	0.282945
51544		9.594799	0.678214	-2.102645	0.076617	0.003917	-0.040056	-0.738770	-0.401123	-0.086670	0.564980	0.378940	-0.676004	0.283234
51545		9.552728	0.627176	-2.172099	0.028142	-0.008320	-0.057043	-0.740967	-0.402832	-0.090576	0.564832	0.379425	-0.675871	0.283196
51546		9.554115	0.565174	-2.130055	0.018273	-0.016843	-0.053891	-0.733398	-0.398193	-0.093018	0.564675	0.379831	-0.675835	0.283052
51547		9.601763	0.473498	-2.176005	0.015997	-0.010487	-0.051688	-0.736084	-0.397705	-0.085205	0.564627	0.380200	-0.675748	0.282859
51548		9.648973	0.404848	-2.124390	0.057078	-0.000530	-0.046927	-0.736572	-0.397949	-0.090576	0.564418	0.380771	-0.675539	0.283006
51549		9.621393	0.327121	-2.078697	0.073892	0.012486	-0.045316	-0.741943	-0.394775	-0.088623	0.564265	0.381310	-0.675258	0.283256
51550		9.602217	0.331236	-1.999419	0.072141	0.010084	-0.040782	-0.736816	-0.402100	-0.088379	0.564054	0.381772	-0.675056	0.283536
51551		9.610681	0.409893	-2.073366	0.097892	0.008033	-0.034999	-0.735840	-0.400391	-0.095703	0.563755	0.382405	-0.674759	0.283985
51552		9.611537	0.555580	-2.116576	0.123034	0.009357	-0.030004	-0.730713	-0.395752	-0.084229	0.563453	0.383016	-0.674432	0.284536
51553		9.626855	0.577285	-2.007311	0.119296	0.014618	-0.029421	-0.732422	-0.399902	-0.091064	0.563134	0.383721	-0.674045	0.285135
51554		9.645226	0.531979	-2.077916	0.094227	0.022242	-0.026772	-0.740723	-0.402344	-0.088379	0.562991	0.384198	-0.673703	0.285581
51555		9.629484	0.495532	-1.960359	0.096927	0.024723	-0.026342	-0.733887	-0.394287	-0.090088	0.562776	0.384681	-0.673387	0.286100
51556		9.575447	0.453444	-2.021018	0.070107	0.012629	-0.021817	-0.734131	-0.399658	-0.086426	0.562652	0.384973	-0.673197	0.286397
51557		9.571097	0.526872	-2.079506	0.084797	0.007923	-0.024582	-0.727783	-0.400391	-0.088135	0.562417	0.385455	-0.672952	0.286789
51558		9.591288	0.590266	-2.173492	0.120476	0.013327	-0.030036	-0.736572	-0.404297	-0.088379	0.562173	0.386132	-0.672536	0.287329
51559		9.605157	0.567266	-2.058458	0.139693	0.016050	-0.036630	-0.739014	-0.401123	-0.086914	0.561848	0.386901	-0.672089	0.287978
51560		9.620904	0.470230	-2.018419	0.149353	0.023440	-0.041632	-0.733154	-0.397949	-0.086670	0.561525	0.387687	-0.671599	0.288692
51561		9.602417	0.455562	-1.927247	0.170591	0.015729	-0.042292	-0.736084	-0.401855	-0.085693	0.561138	0.388579	-0.671071	0.289472
51562		9.644635	0.409771	-1.927069	0.190800	-0.002529	-0.054843	-0.742432	-0.404541	-0.078613	0.560595	0.389692	-0.670537	0.290266
