// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
59515		0.227963	-9.670438	-1.023740	0.003259	0.002542	-0.013432	-0.118652	0.975342	0.471924	0.397288	-0.455470	0.587524	-0.538076
59516		0.221399	-9.733071	-1.069969	0.010634	0.002561	-0.006280	-0.114990	0.969971	0.482422	0.397288	-0.455454	0.587460	-0.538158
59517		0.250822	-9.673977	-1.025834	-0.008244	0.009598	-0.006011	-0.118164	0.971924	0.476562	0.397180	-0.455474	0.587515	-0.538162
59518		0.239039	-9.691968	-1.087189	-0.012497	0.015135	-0.010417	-0.117920	0.967529	0.473877	0.397011	-0.455498	0.587582	-0.538193
59519		0.204193	-9.716064	-1.090888	-0.003967	0.012821	-0.007518	-0.116211	0.978760	0.468994	0.396898	-0.455492	0.587614	-0.538246
59520		0.204056	-9.771126	-1.045459	-0.002400	0.017790	-0.007622	-0.115479	0.966553	0.471191	0.396767	-0.455458	0.587657	-0.538325
59521		0.204103	-9.725527	-1.037118	0.005868	0.023553	-0.006818	-0.114258	0.971924	0.476807	0.396642	-0.455367	0.587685	-0.538462
59522		0.209023	-9.716128	-1.089399	0.012854	0.025031	-0.009723	-0.113281	0.973877	0.481201	0.396525	-0.455260	0.587677	-0.538648
59523		0.178545	-9.711762	-1.092679	0.008280	0.021118	-0.004398	-0.117676	0.975830	0.479980	0.396433	-0.455160	0.587699	-0.538776
59524		0.150996	-9.673464	-1.047993	-0.011516	0.012125	-0.003598	-0.112549	0.963623	0.472168	0.396314	-0.455161	0.587788	-0.538766
59525		0.153753	-9.751206	-1.088319	-0.022241	0.000727	-0.008962	-0.119141	0.965820	0.475342	0.396190	-0.455272	0.587870	-0.538674
59526		0.241086	-9.873798	-1.152027	-0.016658	-0.011552	-0.008876	-0.118164	0.970215	0.474854	0.396149	-0.455417	0.587892	-0.538557
59527		0.251785	-9.889152	-1.143357	0.003888	-0.010670	-0.006366	-0.115479	0.967773	0.482422	0.396190	-0.455482	0.587839	-0.538530
59528		0.182724	-9.738670	-1.074851	0.021718	-0.008045	-0.002455	-0.114746	0.970703	0.473877	0.396298	-0.455462	0.587733	-0.538584
59529		0.181194	-9.660853	-1.035075	0.005094	-0.005639	-0.000422	-0.122070	0.965820	0.480957	0.396344	-0.455472	0.587720	-0.538555
59530		0.252399	-9.659060	-1.058602	-0.006526	-0.000830	-0.003930	-0.118408	0.966797	0.468018	0.396308	-0.455517	0.587763	-0.538498
59531		0.338995	-9.689451	-1.083735	-0.004947	0.003443	0.004019	-0.124268	0.967285	0.480957	0.396292	-0.455494	0.587842	-0.538443
59532		0.239956	-9.698510	-1.024576	-0.009917	0.009102	0.011701	-0.117188	0.972168	0.472412	0.396252	-0.455442	0.587989	-0.538355
59533		0.207007	-9.666105	-1.055729	-0.029509	0.008132	0.011627	-0.121094	0.969727	0.472412	0.396147	-0.455448	0.588222	-0.538172
59534		0.228025	-9.751939	-1.153799	-0.025180	0.006227	0.010853	-0.117432	0.968018	0.477783	0.396065	-0.455454	0.588423	-0.538008
59535		0.216113	-9.804570	-1.098439	-0.003992	0.009246	0.015219	-0.113525	0.960205	0.487549	0.396063	-0.455362	0.588564	-0.537933
59536		0.136448	-9.716447	-1.078908	0.009118	0.010850	0.012801	-0.117676	0.968262	0.481201	0.396086	-0.455238	0.588650	-0.537927
59537		0.120334	-9.656555	-1.101209	-0.012164	0.004903	0.005563	-0.115234	0.967285	0.484131	0.396035	-0.455239	0.588785	-0.537816
59538		0.220681	-9.705969	-1.150071	-0.015215	-0.001400	0.000579	-0.117920	0.967529	0.471191	0.395985	-0.455299	0.588907	-0.537669
59539		0.239143	-9.764555	-1.108301	0.007201	0.005133	-0.000826	-0.118896	0.966309	0.470703	0.395985	-0.455245	0.588927	-0.537692
59540		0.235374	-9.733474	-1.098143	0.002972	-0.003222	0.001398	-0.116455	0.969482	0.477295	0.396016	-0.455235	0.588943	-0.537660
59541		0.236335	-9.705833	-1.121348	-0.006183	-0.016239	-0.004787	-0.122559	0.965332	0.488525	0.396046	-0.455357	0.588951	-0.537527
59542		0.190460	-9.746971	-1.163404	0.005532	-0.007148	-0.000649	-0.114746	0.975342	0.475098	0.396069	-0.455428	0.588948	-0.537452
59543		0.122569	-9.742827	-1.065640	0.012467	0.006059	-0.003566	-0.117432	0.969482	0.483643	0.396070	-0.455372	0.588966	-0.537479
59544		0.181482	-9.602084	-1.051863	0.001432	0.000572	-0.004407	-0.124023	0.975342	0.468018	0.396043	-0.455411	0.589010	-0.537417
59545		0.308002	-9.626351	-1.104197	0.002438	-0.003942	-0.009306	-0.110352	0.972412	0.480957	0.396037	-0.455452	0.588978	-0.537423
59546		0.334841	-9.706490	-1.125202	-0.005420	0.001973	-0.008911	-0.117920	0.973877	0.474365	0.395971	-0.455500	0.589056	-0.537345
59547		0.263631	-9.763245	-1.057457	-0.012351	-0.000260	-0.008232	-0.108154	0.974365	0.477539	0.395881	-0.455583	0.589123	-0.537268
59548		0.198664	-9.768551	-1.066346	0.012174	-0.000518	-0.008515	-0.118408	0.967041	0.476318	0.395899	-0.455562	0.589112	-0.537284
59549		0.167732	-9.731896	-1.038820	0.023851	0.000517	-0.006526	-0.117432	0.974121	0.471436	0.395941	-0.455524	0.589001	-0.537407
59550		0.163237	-9.711966	-1.151850	0.015454	0.000626	-0.005829	-0.114502	0.967529	0.471924	0.395980	-0.455474	0.588938	-0.537490
59551		0.171714	-9.677068	-1.081039	-0.009958	0.000220	-0.010209	-0.116455	0.971191	0.478516	0.395901	-0.455525	0.588973	-0.537466
59552		0.193414	-9.647747	-1.057433	-0.022879	-0.008016	-0.011522	-0.115479	0.967041	0.480957	0.395804	-0.455702	0.589050	-0.537303
59553		0.214602	-9.710870	-1.070127	-0.008387	-0.001406	-0.011017	-0.116943	0.969971	0.472412	0.395726	-0.455807	0.589087	-0.537231
59554		0.210277	-9.818893	-1.125804	0.006409	-0.000701	-0.015041	-0.110352	0.966064	0.476562	0.395701	-0.455829	0.589020	-0.537304
59555		0.223027	-9.774547	-1.107414	0.016576	0.001217	-0.014470	-0.117676	0.969238	0.474365	0.395720	-0.455809	0.588948	-0.537387
59556		0.198800	-9.624836	-0.972988	0.005160	0.003074	-0.016606	-0.116943	0.969482	0.467285	0.395657	-0.455843	0.588896	-0.537460
59557		0.185492	-9.648988	-1.106160	-0.010864	-0.000453	-0.014861	-0.114990	0.968506	0.473633	0.395581	-0.455881	0.588890	-0.537491
59558		0.239563	-9.781403	-1.172861	-0.017440	0.003142	-0.011463	-0.123291	0.962891	0.472656	0.395478	-0.455946	0.588964	-0.537430
59559		0.273448	-9.793909	-1.096180	-0.014706	0.000702	-0.004817	-0.122559	0.968018	0.475098	0.395361	-0.456012	0.589010	-0.537410
59560		0.270736	-9.770873	-1.014888	-0.013041	0.002010	-0.002757	-0.117676	0.972656	0.474854	0.395267	-0.456063	0.589072	-0.537367
59561		0.225961	-9.751967	-1.051518	-0.004973	0.004135	-0.004025	-0.113281	0.968506	0.467529	0.395240	-0.456056	0.589110	-0.537352
59562		0.228889	-9.729138	-1.126727	0.008331	-0.000866	-0.010178	-0.115723	0.967773	0.479736	0.395301	-0.455991	0.589034	-0.537446
59563		0.286889	-9.740512	-1.157213	-0.007280	-0.003696	-0.004992	-0.123535	0.967285	0.471680	0.395290	-0.456076	0.589073	-0.537340
