// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
59515		6.624858	-5.053767	4.848633	0.017417	-0.002806	-0.014042	-1.410645	0.661133	-0.078125	0.082364	-0.423273	0.263434	-0.862936
59516		6.577955	-5.018205	4.893722	0.001295	-0.018665	-0.028677	-1.409912	0.656738	-0.068604	0.082203	-0.423469	0.263310	-0.862893
59517		6.716511	-5.127883	4.970996	-0.013779	-0.024149	-0.043928	-1.411377	0.656738	-0.075928	0.081889	-0.423759	0.263239	-0.862802
59518		6.768645	-5.223508	5.046641	-0.019248	-0.013091	-0.036252	-1.413818	0.648926	-0.075928	0.081589	-0.423945	0.263241	-0.862739
59519		6.698754	-5.246714	5.029333	-0.013699	-0.005930	-0.023213	-1.410156	0.658936	-0.079834	0.081388	-0.424045	0.263253	-0.862705
59520		6.575227	-5.169043	5.029689	-0.005827	-0.007942	-0.022204	-1.410889	0.645508	-0.078613	0.081229	-0.424148	0.263213	-0.862681
59521		6.561215	-5.148515	5.066475	-0.013634	-0.014177	-0.029119	-1.409180	0.648193	-0.070068	0.081009	-0.424308	0.263202	-0.862627
59522		6.673220	-5.237124	5.132542	-0.019415	-0.011510	-0.034547	-1.410156	0.651367	-0.066162	0.080728	-0.424454	0.263215	-0.862577
59523		6.686265	-5.295251	5.141662	-0.016162	0.005820	-0.033150	-1.412109	0.650635	-0.069580	0.080435	-0.424457	0.263223	-0.862601
59524		6.613156	-5.328885	5.109322	-0.005245	0.014694	-0.024355	-1.408447	0.638672	-0.076660	0.080231	-0.424356	0.263193	-0.862679
59525		6.608221	-5.334733	5.068388	0.012633	0.010649	-0.022316	-1.416016	0.641357	-0.071777	0.080125	-0.424250	0.263048	-0.862785
59526		6.747478	-5.422950	5.066031	0.027828	0.011467	-0.015190	-1.415527	0.645752	-0.072021	0.080132	-0.424095	0.262831	-0.862927
59527		6.827701	-5.408327	5.057697	0.040818	0.024379	-0.000209	-1.409424	0.645508	-0.068115	0.080275	-0.423796	0.262596	-0.863132
59528		6.803376	-5.329051	4.996428	0.040793	0.031902	0.010145	-1.411865	0.643555	-0.078125	0.080483	-0.423416	0.262415	-0.863354
59529		6.613473	-5.260570	4.953940	0.018400	0.030287	0.009982	-1.416260	0.644043	-0.075928	0.080618	-0.423057	0.262407	-0.863519
59530		6.638819	-5.272051	4.926533	0.000144	0.030714	-0.003473	-1.414307	0.645020	-0.084473	0.080604	-0.422728	0.262494	-0.863655
59531		6.750054	-5.274992	4.909664	-0.013071	0.034903	-0.004690	-1.416260	0.647217	-0.073975	0.080529	-0.422374	0.262696	-0.863774
59532		6.665704	-5.264791	4.874900	-0.021055	0.024872	0.009834	-1.416992	0.649170	-0.082520	0.080569	-0.422084	0.262990	-0.863823
59533		6.633680	-5.266811	4.888410	-0.023642	0.004761	0.016427	-1.417969	0.651367	-0.083984	0.080700	-0.421910	0.263349	-0.863786
59534		6.732281	-5.200625	4.908448	-0.022288	-0.008339	0.022041	-1.412842	0.648682	-0.076416	0.080921	-0.421809	0.263730	-0.863699
59535		6.733410	-5.093093	4.948799	-0.011479	0.002309	0.019733	-1.411377	0.641113	-0.068359	0.081097	-0.421690	0.263987	-0.863662
59536		6.669316	-5.023792	4.947603	-0.007568	0.010832	0.003456	-1.415527	0.650391	-0.075195	0.081095	-0.421589	0.264104	-0.863676
59537		6.631259	-5.042190	4.961265	-0.013851	0.002824	-0.008953	-1.411621	0.648926	-0.072754	0.081080	-0.421520	0.264271	-0.863660
59538		6.738853	-5.110866	4.979642	-0.019508	0.003351	-0.001050	-1.416260	0.647705	-0.083740	0.081060	-0.421465	0.264470	-0.863627
59539		6.696985	-5.094570	4.936290	-0.004375	0.012841	0.003378	-1.414307	0.650146	-0.082275	0.081103	-0.421246	0.264639	-0.863678
59540		6.736816	-5.088308	4.931583	0.021350	0.007957	-0.006607	-1.415039	0.652344	-0.077148	0.081178	-0.421091	0.264565	-0.863770
59541		6.816990	-5.073502	4.982832	0.037719	0.019056	-0.017070	-1.418457	0.646973	-0.069824	0.081245	-0.420907	0.264306	-0.863932
59542		6.782654	-5.066027	4.976657	0.025522	0.021408	-0.013969	-1.410156	0.655518	-0.081543	0.081276	-0.420761	0.264083	-0.864069
59543		6.574101	-5.042416	4.888853	0.013574	0.021888	-0.016759	-1.411865	0.646729	-0.073242	0.081220	-0.420590	0.263991	-0.864185
