// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
59515		9.344878	-0.096789	-3.087043	-0.008582	-0.003506	0.000449	-1.045898	0.180664	-0.291992	0.579982	-0.122450	-0.801137	-0.082498
59516		9.366546	-0.075930	-3.018770	0.005555	0.000206	-0.007492	-1.045654	0.174805	-0.285400	0.579984	-0.122373	-0.801148	-0.082497
59517		9.370886	-0.011754	-2.978815	0.010793	0.005820	-0.009362	-1.045410	0.175049	-0.290771	0.580020	-0.122249	-0.801142	-0.082479
59518		9.355597	0.008031	-2.985493	0.002325	-0.001992	-0.005755	-1.046631	0.171875	-0.290527	0.580007	-0.122200	-0.801158	-0.082491
59519		9.353116	-0.046122	-3.006931	-0.003474	-0.007826	-0.001918	-1.043457	0.182861	-0.297852	0.579952	-0.122207	-0.801194	-0.082519
59520		9.381896	-0.045877	-3.011043	-0.004012	-0.006831	0.000268	-1.041748	0.172119	-0.295654	0.579908	-0.122229	-0.801220	-0.082542
59521		9.367865	-0.064243	-3.001966	0.000342	-0.004193	-0.005399	-1.040039	0.178467	-0.288086	0.579884	-0.122189	-0.801241	-0.082569
59522		9.381909	-0.030990	-3.007591	0.008179	-0.006750	-0.006265	-1.041260	0.178223	-0.286133	0.579854	-0.122106	-0.801277	-0.082547
59523		9.349542	0.012461	-3.035792	0.012229	-0.001353	-0.005481	-1.044434	0.178467	-0.289062	0.579869	-0.122002	-0.801287	-0.082503
59524		9.350162	-0.006629	-3.027953	0.007267	-0.006638	0.001711	-1.039307	0.170410	-0.294189	0.579850	-0.121969	-0.801310	-0.082458
59525		9.347455	-0.029255	-3.052552	0.001349	-0.001658	0.000946	-1.046387	0.171387	-0.291748	0.579860	-0.121952	-0.801304	-0.082467
59526		9.346286	-0.057178	-3.063030	0.005452	-0.000344	0.003614	-1.047363	0.177002	-0.289062	0.579887	-0.121930	-0.801291	-0.082441
59527		9.359316	-0.098714	-3.079585	0.005236	0.005615	-0.001874	-1.038574	0.175293	-0.283447	0.579950	-0.121867	-0.801254	-0.082450
59528		9.346375	-0.103711	-3.063709	-0.000053	0.004083	-0.001886	-1.040527	0.173340	-0.291992	0.579997	-0.121832	-0.801221	-0.082493
59529		9.364964	-0.053929	-3.029676	0.005916	0.011904	-0.002734	-1.048096	0.171631	-0.287598	0.580105	-0.121757	-0.801153	-0.082505
59530		9.366453	0.006443	-3.020680	0.007064	0.013559	-0.006443	-1.048096	0.170898	-0.300537	0.580227	-0.121646	-0.801079	-0.082534
59531		9.368325	0.001785	-3.005501	0.003177	0.006284	-0.003624	-1.050781	0.174072	-0.288086	0.580307	-0.121571	-0.801028	-0.082573
59532		9.355896	-0.068417	-2.983028	-0.005756	0.003102	0.002835	-1.046875	0.175049	-0.296875	0.580358	-0.121580	-0.800982	-0.082648
59533		9.387930	-0.079042	-2.958267	0.005936	0.002747	-0.000456	-1.047852	0.177246	-0.295898	0.580427	-0.121513	-0.800942	-0.082654
59534		9.361737	-0.010622	-2.928904	0.007856	0.005172	-0.002086	-1.042725	0.172607	-0.287109	0.580522	-0.121424	-0.800886	-0.082656
59535		9.355799	-0.082303	-2.986755	-0.000772	-0.000771	-0.002079	-1.042725	0.164062	-0.284912	0.580559	-0.121387	-0.800857	-0.082726
59536		9.352960	-0.071650	-3.014329	-0.002691	-0.003196	-0.000449	-1.045898	0.172363	-0.288574	0.580581	-0.121369	-0.800835	-0.082813
59537		9.383874	-0.063014	-2.998987	0.005756	-0.003102	-0.002834	-1.044434	0.173828	-0.285889	0.580624	-0.121290	-0.800814	-0.082837
59538		9.336723	-0.065956	-3.027398	0.003073	-0.002434	-0.003895	-1.047607	0.172119	-0.296875	0.580660	-0.121224	-0.800793	-0.082883
59539		9.355516	-0.113477	-2.985219	0.005523	-0.004867	-0.007098	-1.049072	0.174072	-0.297119	0.580718	-0.121109	-0.800765	-0.082916
59540		9.367688	-0.010382	-3.010929	0.020215	-0.003124	-0.003568	-1.046387	0.176270	-0.291504	0.580814	-0.120945	-0.800729	-0.082826
59541		9.369727	0.044458	-2.990807	0.006942	-0.002881	-0.005489	-1.049805	0.172852	-0.283691	0.580868	-0.120847	-0.800704	-0.082833
59542		9.362105	-0.100271	-3.061775	-0.020526	-0.006148	-0.000743	-1.042969	0.178955	-0.292236	0.580858	-0.120901	-0.800682	-0.083038
59543		9.363492	-0.136920	-3.045699	-0.012057	-0.004836	-0.002909	-1.045654	0.174561	-0.282227	0.580869	-0.120933	-0.800659	-0.083139
59544		9.368124	-0.058905	-3.001267	0.010116	0.003405	-0.009115	-1.053711	0.182129	-0.299805	0.580916	-0.120811	-0.800640	-0.083165
59545		9.353810	-0.058031	-2.998991	0.013430	0.006602	-0.009358	-1.039062	0.178223	-0.286865	0.581104	-0.120621	-0.800537	-0.083116
59546		9.371245	-0.067523	-2.972904	0.010686	-0.002883	-0.009633	-1.046143	0.177246	-0.291748	0.581097	-0.120539	-0.800557	-0.083096
59547		9.339978	0.003746	-2.990703	0.009437	-0.002880	-0.008251	-1.037842	0.179688	-0.289795	0.581155	-0.120426	-0.800533	-0.083084
59548		9.356564	-0.019252	-2.970731	-0.003071	-0.005735	-0.007479	-1.045654	0.173096	-0.290771	0.581136	-0.120432	-0.800541	-0.083133
59549		9.365367	-0.075864	-3.026224	-0.016866	-0.007154	-0.006380	-1.046631	0.181396	-0.295410	0.581135	-0.120449	-0.800521	-0.083314
59550		9.349824	-0.087990	-3.031266	-0.006345	-0.010363	-0.006182	-1.042725	0.171875	-0.290039	0.581158	-0.120438	-0.800500	-0.083363
59551		9.365269	-0.012888	-3.021952	0.003978	-0.006399	-0.011255	-1.046143	0.173340	-0.290527	0.581156	-0.120340	-0.800509	-0.083431
59552		9.374560	0.022673	-3.073591	0.003611	-0.003421	-0.006080	-1.041748	0.172852	-0.288086	0.581194	-0.120262	-0.800489	-0.083470
59553		9.334723	-0.038649	-3.030313	0.003181	-0.000223	-0.002180	-1.043945	0.175293	-0.294922	0.581214	-0.120236	-0.800475	-0.083502
59554		9.337935	-0.035389	-2.998229	0.018882	-0.004095	-0.003687	-1.038574	0.170654	-0.293701	0.581286	-0.120113	-0.800452	-0.083409
59555		9.368507	0.005357	-2.986307	0.017594	-0.002657	-0.003359	-1.043457	0.176514	-0.295410	0.581335	-0.120008	-0.800437	-0.083354
59556		9.365906	-0.017067	-3.010669	0.004509	-0.003091	-0.001452	-1.044678	0.174561	-0.299805	0.581407	-0.119978	-0.800391	-0.083338
59557		9.393157	0.020632	-3.031162	-0.003249	-0.003418	0.001520	-1.044189	0.174316	-0.295166	0.581511	-0.119979	-0.800312	-0.083370
59558		9.375803	-0.047786	-3.055743	-0.015665	-0.001426	0.003176	-1.048584	0.169189	-0.294678	0.581571	-0.120058	-0.800244	-0.083488
59559		9.362439	-0.099195	-3.042365	-0.008336	0.002101	0.004104	-1.049316	0.174316	-0.291504	0.581665	-0.120051	-0.800165	-0.083597
59560		9.337053	-0.128659	-3.003287	0.010487	0.002089	-0.001473	-1.042480	0.177734	-0.292480	0.581746	-0.119948	-0.800126	-0.083561
59561		9.324198	-0.088044	-2.985983	0.022948	0.002525	-0.002689	-1.042725	0.177246	-0.300537	0.581829	-0.119847	-0.800097	-0.083411
59562		9.352679	-0.023359	-2.995689	0.018840	-0.002655	-0.004740	-1.041992	0.173096	-0.287109	0.581955	-0.119733	-0.800035	-0.083287
59563		9.350676	-0.031869	-3.014695	0.005738	-0.000443	-0.003668	-1.049316	0.175781	-0.298096	0.581935	-0.119705	-0.800052	-0.083298
59564		9.347918	-0.021137	-3.041871	-0.009234	0.001767	-0.000524	-1.041504	0.180664	-0.293945	0.582056	-0.119707	-0.799958	-0.083360
59565		9.376993	-0.066620	-3.046247	-0.015225	0.003094	-0.001954	-1.048828	0.174561	-0.284180	0.582115	-0.119826	-0.799889	-0.083432
59566		9.377542	-0.098055	-3.042260	-0.010065	0.005079	-0.004491	-1.042725	0.175049	-0.298096	0.582091	-0.119834	-0.799894	-0.083541
59567		9.371183	-0.095457	-2.961774	0.001705	0.001876	-0.005675	-1.049561	0.178467	-0.291748	0.582199	-0.119793	-0.799819	-0.083565
59568		9.344029	-0.007525	-2.940893	0.014255	0.007169	-0.006010	-1.045410	0.173584	-0.294922	0.582298	-0.119683	-0.799773	-0.083476
59569		9.342391	0.030429	-2.957576	0.014825	-0.002980	-0.005910	-1.046631	0.177979	-0.291748	0.582353	-0.119561	-0.799757	-0.083421
59570		9.365105	-0.008458	-3.022476	-0.008700	-0.003089	-0.002095	-1.043457	0.177246	-0.287354	0.582356	-0.119614	-0.799742	-0.083465
59571		9.363449	-0.048740	-3.038152	-0.019097	-0.000328	0.000256	-1.045654	0.176758	-0.298096	0.582310	-0.119762	-0.799741	-0.083582
59572		9.365368	-0.085859	-3.020629	-0.014947	0.007285	0.002749	-1.043457	0.179932	-0.290527	0.582451	-0.119852	-0.799616	-0.083672
59573		9.364395	-0.047354	-3.035257	-0.014433	0.023179	-0.002946	-1.041992	0.170654	-0.293701	0.582601	-0.119957	-0.799480	-0.083774
59574		9.366981	-0.018445	-3.020204	-0.026817	0.037983	-0.002912	-1.043945	0.182129	-0.288574	0.582857	-0.120022	-0.799254	-0.084058
59575		9.335464	-0.001416	-3.052694	-0.035106	0.032149	0.003689	-1.053711	0.177490	-0.296143	0.583013	-0.120293	-0.799078	-0.084257
59576		9.359536	0.126567	-2.970293	-0.064408	0.031312	0.010938	-1.038574	0.174072	-0.291260	0.583223	-0.120612	-0.798835	-0.084649
59577		9.422170	0.117709	-2.943727	-0.073529	0.032693	0.012966	-1.044922	0.174316	-0.297852	0.583358	-0.121065	-0.798615	-0.085150
59578		9.477399	0.121988	-2.990686	-0.123355	0.027018	0.019668	-1.038086	0.182129	-0.297607	0.583491	-0.121735	-0.798331	-0.085944
59579		9.466841	0.104865	-3.259377	-0.134770	0.044522	0.026112	-1.043457	0.177490	-0.302490	0.583735	-0.122624	-0.797928	-0.086763
59580		9.455470	-0.047255	-3.247195	-0.211972	0.067479	0.021651	-1.044434	0.174072	-0.293701	0.584089	-0.123715	-0.797345	-0.088182
59581		9.383113	-0.022434	-3.111182	-0.144883	0.077069	0.003720	-1.051025	0.182861	-0.300293	0.584424	-0.124302	-0.796886	-0.089274
59582		9.316716	-0.163419	-2.913300	-0.161600	0.087751	-0.002030	-1.036621	0.178223	-0.297119	0.584884	-0.124953	-0.796316	-0.090437
59583		9.240714	-0.172322	-2.966110	-0.221088	0.056884	-0.011052	-1.039307	0.191162	-0.297363	0.585014	-0.125926	-0.795879	-0.092073
59584		9.374843	-0.901999	-3.288178	-0.160090	0.022814	-0.025745	-1.038086	0.187500	-0.300293	0.584980	-0.126665	-0.795651	-0.093238
