// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
59515		0.924558	9.811881	-0.651904	0.003808	0.003367	-0.016762	-0.196289	-0.953369	-0.450928	0.451124	0.428285	-0.591235	-0.513322
59516		0.927534	9.804869	-0.634117	0.006708	-0.001266	-0.014275	-0.195068	-0.959717	-0.441895	0.451033	0.428375	-0.591218	-0.513347
59517		0.886212	9.794257	-0.627067	-0.001942	-0.000400	-0.010298	-0.195801	-0.958740	-0.445557	0.450986	0.428424	-0.591181	-0.513391
59518		0.826088	9.732370	-0.621837	-0.002632	0.002238	-0.009872	-0.198486	-0.962158	-0.444824	0.450964	0.428472	-0.591126	-0.513433
59519		0.857310	9.710341	-0.594318	0.005252	0.002207	-0.014559	-0.193359	-0.954102	-0.451172	0.450893	0.428574	-0.591086	-0.513456
59520		0.896232	9.753961	-0.602592	0.011619	0.004728	-0.015623	-0.195557	-0.965088	-0.452393	0.450807	0.428716	-0.591059	-0.513444
59521		0.910694	9.772711	-0.602055	0.008430	0.003026	-0.017611	-0.191406	-0.958008	-0.442871	0.450716	0.428848	-0.591016	-0.513463
59522		0.870101	9.775543	-0.625808	0.009587	0.008026	-0.018180	-0.190674	-0.955811	-0.440674	0.450644	0.429008	-0.590956	-0.513462
59523		0.848672	9.764525	-0.683804	0.011320	0.005356	-0.018319	-0.196777	-0.957031	-0.443848	0.450548	0.429185	-0.590891	-0.513473
59524		0.834043	9.784733	-0.662553	0.009164	0.006813	-0.013066	-0.190918	-0.963623	-0.449951	0.450490	0.429315	-0.590850	-0.513462
59525		0.864757	9.808642	-0.629101	-0.000663	0.009630	-0.011722	-0.196533	-0.961426	-0.448486	0.450484	0.429418	-0.590760	-0.513485
59526		0.871497	9.809372	-0.699327	-0.010628	0.009721	-0.007608	-0.198486	-0.957031	-0.445801	0.450531	0.429463	-0.590639	-0.513545
59527		0.892945	9.821115	-0.675970	-0.019394	0.010195	-0.007897	-0.190430	-0.959717	-0.440430	0.450608	0.429482	-0.590479	-0.513646
