// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
15359		9.435969	-2.089332	-1.813408	0.040497	-0.046360	-0.015606	-0.665039	0.529785	0.261475	0.427591	-0.669447	-0.379341	-0.474454
15360		9.522109	-2.066280	-1.849373	0.034628	-0.039678	-0.006718	-0.665283	0.534668	0.264160	0.427632	-0.669460	-0.379656	-0.474147
15361		9.489203	-2.145158	-1.860727	0.048322	-0.033316	0.006656	-0.662354	0.530273	0.258545	0.427824	-0.669443	-0.379927	-0.473781
15362		9.496996	-2.129071	-1.907868	0.052933	-0.034984	0.015863	-0.666016	0.538818	0.252930	0.428071	-0.669443	-0.380172	-0.473361
15363		9.542405	-2.049064	-1.932713	0.043195	-0.033006	0.025447	-0.666504	0.533691	0.255127	0.428307	-0.669501	-0.380318	-0.472948
15364		9.536081	-2.054131	-1.961610	0.020024	-0.029646	0.039798	-0.659424	0.532959	0.264648	0.428478	-0.669675	-0.380283	-0.472574
15365		9.464898	-2.140808	-1.931948	0.007233	-0.027344	0.042232	-0.672607	0.528320	0.266357	0.428590	-0.669895	-0.380180	-0.472245
15366		9.430750	-2.108408	-1.851855	-0.004605	-0.028052	0.040895	-0.662109	0.530762	0.261963	0.428626	-0.670158	-0.380040	-0.471950
15367		9.395975	-2.117351	-1.859952	-0.005304	-0.031780	0.037832	-0.670166	0.533447	0.259766	0.428634	-0.670430	-0.379929	-0.471647
15368		9.419700	-2.033235	-1.873609	-0.012086	-0.025556	0.036969	-0.658203	0.534180	0.258545	0.428619	-0.670698	-0.379774	-0.471403
15369		9.418236	-2.017461	-1.833748	-0.005758	-0.021187	0.032496	-0.660645	0.535400	0.265625	0.428631	-0.670912	-0.379658	-0.471182
15370		9.328160	-2.011951	-1.752920	-0.004382	-0.020304	0.027482	-0.663086	0.537109	0.259033	0.428629	-0.671097	-0.379577	-0.470985
15371		9.342085	-2.008705	-1.783993	-0.001833	-0.017211	0.023640	-0.658447	0.540039	0.262207	0.428635	-0.671241	-0.379519	-0.470821
15372		9.408764	-1.974529	-1.908733	-0.017780	-0.019641	0.024112	-0.662842	0.529053	0.269287	0.428544	-0.671448	-0.379407	-0.470700
15373		9.399116	-2.049705	-1.965545	-0.013586	-0.015847	0.019554	-0.660645	0.527832	0.260742	0.428456	-0.671609	-0.379335	-0.470608
15374		9.426979	-2.101303	-2.018555	0.008027	-0.018178	0.010894	-0.672607	0.539307	0.262451	0.428442	-0.671676	-0.379412	-0.470462
15375		9.417978	-2.079383	-2.096079	0.026987	-0.024009	0.003742	-0.654053	0.533936	0.261719	0.428469	-0.671681	-0.379638	-0.470249
15376		9.380017	-2.082650	-2.127788	0.037705	-0.036386	0.002572	-0.659180	0.548340	0.261230	0.428516	-0.671709	-0.379950	-0.469914
15377		9.352974	-2.152199	-2.148779	0.033322	-0.044758	-0.003273	-0.655518	0.543213	0.266602	0.428461	-0.671778	-0.380323	-0.469562
15378		9.380239	-2.127019	-2.201594	0.029558	-0.046778	-0.010790	-0.665527	0.537598	0.263428	0.428342	-0.671867	-0.380727	-0.469217
15379		9.331256	-2.210482	-2.187037	0.033827	-0.059261	-0.017313	-0.657471	0.530762	0.270996	0.428152	-0.671982	-0.381259	-0.468794
15380		9.289994	-2.166600	-2.160926	0.043886	-0.068660	-0.031821	-0.657959	0.536133	0.261719	0.427947	-0.672073	-0.381927	-0.468307
15381		9.254711	-2.133198	-2.189223	0.044291	-0.078425	-0.039756	-0.655029	0.535156	0.268311	0.427685	-0.672173	-0.382685	-0.467783
