// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
15359		7.525129	-5.402034	-3.128858	0.018761	-0.012943	-0.008783	-0.687256	0.161621	0.468994	-0.072602	-0.595833	0.552257	-0.578553
15360		7.510070	-5.497296	-3.125063	0.041430	-0.021378	-0.009298	-0.684570	0.164551	0.469238	-0.072343	-0.596003	0.552024	-0.578632
15361		7.535011	-5.486983	-3.141505	0.043087	-0.018216	-0.010655	-0.683594	0.160156	0.466797	-0.072092	-0.596165	0.551776	-0.578734
15362		7.565879	-5.443772	-3.105157	0.025344	-0.005795	-0.006697	-0.684814	0.167236	0.462646	-0.071971	-0.596239	0.551624	-0.578818
15363		7.517741	-5.552084	-3.047454	0.011637	0.005797	-0.003595	-0.689209	0.164551	0.461914	-0.071956	-0.596234	0.551547	-0.578899
15364		7.461907	-5.634983	-3.008223	0.037506	-0.006547	-0.010677	-0.683594	0.160400	0.468750	-0.071787	-0.596333	0.551317	-0.579036
15365		7.479800	-5.598656	-3.042685	0.038707	-0.011067	-0.014491	-0.696777	0.160645	0.469971	-0.071602	-0.596465	0.551068	-0.579161
15366		7.507779	-5.513758	-2.961576	0.024835	-0.004302	-0.014455	-0.682129	0.160156	0.468018	-0.071510	-0.596550	0.550883	-0.579260
15367		7.469138	-5.548766	-3.002812	0.006576	0.004147	-0.014910	-0.692627	0.163818	0.462402	-0.071546	-0.596579	0.550778	-0.579325
15368		7.482765	-5.553335	-3.048452	0.022723	-0.009693	-0.018910	-0.680908	0.164551	0.461670	-0.071450	-0.596696	0.550585	-0.579401
15369		7.501233	-5.482284	-3.051988	0.008880	0.000476	-0.017604	-0.682373	0.163818	0.470703	-0.071455	-0.596742	0.550461	-0.579470
15370		7.509902	-5.463237	-3.042380	0.000323	0.004952	-0.013585	-0.688232	0.162354	0.463623	-0.071499	-0.596739	0.550397	-0.579529
15371		7.531303	-5.426886	-3.004364	-0.005801	0.005480	-0.013202	-0.682373	0.168945	0.467773	-0.071573	-0.596725	0.550363	-0.579567
15372		7.536271	-5.466086	-3.048469	0.004163	0.000965	-0.010605	-0.690674	0.161865	0.475098	-0.071563	-0.596723	0.550293	-0.579636
15373		7.500091	-5.536529	-3.048445	0.016686	-0.006083	-0.009868	-0.687012	0.158203	0.463623	-0.071452	-0.596754	0.550170	-0.579735
15374		7.516316	-5.484056	-3.040817	0.018679	-0.003787	-0.009901	-0.697754	0.168213	0.467041	-0.071342	-0.596771	0.550041	-0.579853
15375		7.468926	-5.624589	-3.015741	0.012115	0.001290	-0.008637	-0.678467	0.161865	0.465820	-0.071266	-0.596739	0.549948	-0.579984
15376		7.496906	-5.605240	-3.000442	0.036748	-0.015007	-0.017137	-0.684082	0.173584	0.465820	-0.071034	-0.596856	0.549700	-0.580127
15377		7.543648	-5.471905	-3.054586	0.037347	-0.014729	-0.014962	-0.680176	0.170410	0.469482	-0.070762	-0.596936	0.549464	-0.580302
15378		7.503107	-5.525355	-3.084695	0.017107	-0.003499	-0.011408	-0.691650	0.164062	0.467285	-0.070627	-0.596943	0.549330	-0.580438
15379		7.501472	-5.526313	-3.028640	0.015133	0.001365	-0.016200	-0.679688	0.159180	0.474121	-0.070543	-0.596917	0.549201	-0.580596
15380		7.513924	-5.585368	-2.965984	0.012886	-0.000375	-0.014280	-0.684082	0.162109	0.465332	-0.070455	-0.596929	0.549071	-0.580717
15381		7.508645	-5.541402	-2.995085	0.016808	-0.002606	-0.016895	-0.679688	0.162598	0.469971	-0.070358	-0.596937	0.548930	-0.580855
15382		7.514141	-5.487759	-3.027238	0.021332	-0.006254	-0.020055	-0.693604	0.163086	0.471436	-0.070220	-0.596995	0.548736	-0.580995
15383		7.590187	-5.386371	-3.015239	0.014097	-0.004900	-0.018079	-0.682373	0.162598	0.460205	-0.070086	-0.596967	0.548612	-0.581156
15384		7.554727	-5.456170	-3.014878	-0.004338	0.008860	-0.009484	-0.687500	0.167725	0.461182	-0.070154	-0.596884	0.548605	-0.581241
15385		7.522466	-5.501137	-2.993864	0.005137	0.002094	-0.008540	-0.685303	0.163086	0.462891	-0.070106	-0.596801	0.548561	-0.581373
15386		7.531862	-5.498709	-3.027832	0.009527	0.000419	-0.008047	-0.685303	0.169434	0.464111	-0.070040	-0.596744	0.548493	-0.581503
15387		7.525248	-5.482744	-3.003112	0.014640	-0.001257	-0.006326	-0.682373	0.165527	0.466064	-0.069896	-0.596688	0.548398	-0.581668
15388		7.575375	-5.427060	-3.005737	0.004080	0.000906	-0.002286	-0.680420	0.165771	0.466064	-0.069808	-0.596625	0.548363	-0.581777
15389		7.518285	-5.560512	-2.988743	0.004789	0.004293	0.004365	-0.686035	0.163574	0.462891	-0.069708	-0.596533	0.548345	-0.581900
15390		7.484746	-5.607490	-2.967235	0.025435	-0.007744	-0.001982	-0.685303	0.160889	0.467285	-0.069504	-0.596489	0.548236	-0.582071
15391		7.469358	-5.507651	-2.983249	0.033054	-0.017082	-0.001930	-0.688721	0.166260	0.470947	-0.069200	-0.596507	0.548086	-0.582231
15392		7.524089	-5.546445	-2.976918	0.018767	-0.009527	0.000892	-0.694092	0.171631	0.469971	-0.068929	-0.596440	0.548007	-0.582405
15393		7.539538	-5.468286	-3.023996	0.013423	-0.003881	0.002317	-0.679199	0.159424	0.467529	-0.068676	-0.596282	0.547972	-0.582631
15394		7.532675	-5.589388	-2.999966	0.011685	-0.005042	0.003189	-0.679199	0.171875	0.461426	-0.068539	-0.596281	0.547924	-0.582692
15395		7.456647	-5.647693	-3.020693	0.023545	-0.012036	-0.001427	-0.688721	0.164551	0.466064	-0.068287	-0.596304	0.547802	-0.582814
