// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
15358		8.664230	0.259062	-4.607857	0.045668	-0.011850	-0.026430	-0.871582	-0.316162	0.281982	0.451346	0.435352	-0.738318	0.248277
15359		8.608680	0.079155	-4.596135	0.022465	-0.015305	-0.013674	-0.872070	-0.319336	0.283691	0.451199	0.435553	-0.738280	0.248308
15360		8.657673	0.018823	-4.670516	0.039355	-0.007266	-0.014307	-0.868896	-0.313965	0.283936	0.451024	0.435828	-0.738176	0.248451
15361		8.650241	0.098646	-4.740487	0.046734	-0.009228	-0.012714	-0.868652	-0.317871	0.280762	0.450815	0.436107	-0.738070	0.248653
15362		8.674105	0.099608	-4.715489	0.031604	-0.005092	-0.001612	-0.874268	-0.309814	0.276611	0.450667	0.436245	-0.738021	0.248827
15363		8.675044	-0.097460	-4.677889	0.017129	-0.000513	0.003425	-0.874268	-0.312744	0.278809	0.450647	0.436201	-0.737995	0.249017
15364		8.638949	-0.215941	-4.721798	0.040118	-0.007931	-0.007270	-0.870850	-0.314941	0.284912	0.450490	0.436350	-0.737919	0.249266
15365		8.639609	-0.047510	-4.727376	0.048040	-0.005833	-0.008598	-0.880615	-0.318848	0.285156	0.450261	0.436586	-0.737829	0.249532
15366		8.640483	-0.061507	-4.711155	0.022494	-0.002261	-0.003621	-0.872559	-0.317383	0.286377	0.450140	0.436664	-0.737801	0.249695
15367		8.645126	-0.110818	-4.644237	0.010424	-0.000638	-0.001323	-0.878174	-0.315186	0.282471	0.450036	0.436703	-0.737810	0.249787
15368		8.607936	-0.109935	-4.691588	0.026272	0.002343	-0.011426	-0.868408	-0.313721	0.279785	0.449943	0.436799	-0.737737	0.250003
15369		8.610049	0.040174	-4.711264	0.013551	-0.000314	-0.008953	-0.867188	-0.312500	0.286865	0.449853	0.436842	-0.737719	0.250144
