// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
15358		6.119674	-0.740321	7.574209	-0.003346	-0.006279	0.006620	-0.734375	-0.334717	-0.317627	-0.366531	-0.290689	0.166380	-0.868028
15359		6.121805	-0.734823	7.554099	-0.001252	-0.003080	0.007266	-0.735840	-0.338867	-0.317139	-0.366477	-0.290697	0.166416	-0.868041
15360		6.124454	-0.729753	7.567160	-0.001694	0.002091	0.005808	-0.730225	-0.335938	-0.317383	-0.366445	-0.290671	0.166434	-0.868060
15361		6.122684	-0.737067	7.586800	-0.001538	-0.000994	0.006218	-0.734131	-0.338379	-0.318604	-0.366402	-0.290666	0.166463	-0.868074
15362		6.104593	-0.745056	7.593779	0.001884	0.000569	0.005961	-0.735840	-0.328857	-0.325439	-0.366355	-0.290659	0.166462	-0.868097
15363		6.102291	-0.710046	7.594265	-0.005220	-0.004551	0.005202	-0.737793	-0.336426	-0.325684	-0.366324	-0.290668	0.166525	-0.868094
15364		6.093072	-0.735341	7.574043	-0.000587	-0.003326	0.007949	-0.734619	-0.336670	-0.315430	-0.366264	-0.290678	0.166557	-0.868110
15365		6.098863	-0.766233	7.585844	-0.003066	-0.008369	0.007665	-0.743896	-0.340820	-0.316650	-0.366206	-0.290717	0.166620	-0.868110
15366		6.106927	-0.748844	7.591529	-0.001618	-0.010157	0.005127	-0.737305	-0.343750	-0.318115	-0.366159	-0.290775	0.166673	-0.868100
15367		6.094462	-0.744593	7.590955	-0.001205	-0.011249	0.006810	-0.740479	-0.338135	-0.319824	-0.366098	-0.290838	0.166729	-0.868094
15368		6.129137	-0.736545	7.562710	-0.002286	-0.009915	0.004442	-0.729004	-0.334473	-0.323486	-0.366059	-0.290889	0.166783	-0.868083
15369		6.095734	-0.745412	7.556206	0.000347	-0.007958	0.005135	-0.729980	-0.336670	-0.317383	-0.366011	-0.290935	0.166813	-0.868082
15370		6.112826	-0.744862	7.568228	0.001365	-0.003424	0.003413	-0.736816	-0.335938	-0.321533	-0.365979	-0.290952	0.166817	-0.868089
15371		6.099636	-0.740201	7.568284	-0.002189	-0.005984	0.003034	-0.733643	-0.332520	-0.317383	-0.365956	-0.290977	0.166853	-0.868083
15372		6.123596	-0.721381	7.587048	0.000698	-0.003180	0.002728	-0.738770	-0.338623	-0.311279	-0.365932	-0.290990	0.166858	-0.868088
15373		6.103162	-0.735065	7.580661	-0.001546	-0.002145	0.003946	-0.736572	-0.341309	-0.321045	-0.365907	-0.290989	0.166876	-0.868096
15374		6.114448	-0.746613	7.566745	-0.000880	-0.002390	0.004630	-0.743408	-0.330322	-0.319092	-0.365878	-0.290986	0.166888	-0.868107
15375		6.090797	-0.773638	7.599524	-0.003385	-0.003350	0.004574	-0.729248	-0.336670	-0.321777	-0.365849	-0.290981	0.166924	-0.868114
15376		6.088869	-0.738505	7.599765	-0.000605	-0.005627	0.003403	-0.734131	-0.325928	-0.317871	-0.365824	-0.290998	0.166941	-0.868115
15377		6.113042	-0.719878	7.618348	-0.002444	-0.006832	0.004031	-0.729004	-0.331787	-0.320068	-0.365788	-0.291014	0.166979	-0.868117
15378		6.093616	-0.726709	7.559211	-0.000859	-0.006475	0.004401	-0.740234	-0.334473	-0.318359	-0.365755	-0.291030	0.166997	-0.868122
15379		6.104771	-0.745288	7.597313	-0.001808	-0.004141	0.002672	-0.729248	-0.339844	-0.312500	-0.365740	-0.291029	0.167009	-0.868127
15380		6.098510	-0.722324	7.604091	0.000444	-0.004029	0.003725	-0.731445	-0.338379	-0.321777	-0.365719	-0.291046	0.167002	-0.868131
15381		6.105810	-0.746253	7.596384	-0.002981	-0.005591	0.003984	-0.727051	-0.337891	-0.314209	-0.365709	-0.291043	0.167019	-0.868133
15382		6.091738	-0.741264	7.563525	-0.001658	-0.007229	0.003079	-0.742188	-0.335938	-0.312744	-0.365694	-0.291072	0.167031	-0.868128
15383		6.130827	-0.728352	7.614220	-0.000982	-0.006327	0.006035	-0.730713	-0.341553	-0.324951	-0.365648	-0.291088	0.167049	-0.868138
15384		6.102945	-0.718589	7.581948	-0.004690	-0.005799	0.005249	-0.737061	-0.332764	-0.322510	-0.365650	-0.291069	0.167071	-0.868140
15385		6.102052	-0.726199	7.600880	-0.002691	-0.006536	0.007300	-0.732910	-0.339111	-0.324707	-0.365604	-0.291054	0.167095	-0.868159
15386		6.112453	-0.737481	7.553985	-0.000336	-0.002489	0.006947	-0.733398	-0.333496	-0.317871	-0.365587	-0.291017	0.167077	-0.868182
15387		6.109446	-0.751348	7.592957	-0.001791	-0.001849	0.007214	-0.729980	-0.333496	-0.317627	-0.365541	-0.290991	0.167082	-0.868209
15388		6.093494	-0.711621	7.593989	-0.004964	-0.002563	0.006475	-0.730469	-0.336182	-0.318604	-0.365508	-0.290964	0.167109	-0.868227
15389		6.101526	-0.736801	7.619231	-0.000581	-0.002191	0.010216	-0.734619	-0.338135	-0.324707	-0.365452	-0.290940	0.167104	-0.868260
15390		6.085389	-0.738790	7.606304	-0.002431	-0.004544	0.008572	-0.731201	-0.342529	-0.320312	-0.365433	-0.290900	0.167107	-0.868280
15391		6.105136	-0.767915	7.565326	-0.003887	-0.003904	0.008839	-0.738770	-0.336182	-0.311035	-0.365432	-0.290876	0.167114	-0.868288
15392		6.131776	-0.744054	7.597194	-0.002311	-0.004694	0.006937	-0.741943	-0.331787	-0.316162	-0.365383	-0.290899	0.167137	-0.868296
15393		6.090997	-0.729793	7.598463	-0.000593	-0.003341	0.007943	-0.728027	-0.345947	-0.315674	-0.365311	-0.290885	0.167150	-0.868329
15394		6.065157	-0.721522	7.631809	-0.005861	-0.006107	0.008830	-0.727539	-0.331543	-0.321289	-0.365328	-0.290903	0.167171	-0.868311
15395		6.099051	-0.755983	7.589875	-0.002128	-0.009580	0.011655	-0.738281	-0.338867	-0.322510	-0.365236	-0.290895	0.167200	-0.868347
15396		6.077790	-0.777002	7.602380	-0.001886	-0.009878	0.008385	-0.738770	-0.333740	-0.322998	-0.365221	-0.290893	0.167214	-0.868351
15397		6.118079	-0.750363	7.548160	-0.002166	-0.007787	0.007341	-0.733398	-0.334229	-0.311035	-0.365183	-0.290863	0.167235	-0.868374
15398		6.110451	-0.734440	7.574380	-0.002726	-0.003603	0.005255	-0.737305	-0.338867	-0.318359	-0.365131	-0.290892	0.167253	-0.868382
15399		6.088537	-0.754864	7.587473	-0.001150	-0.004393	0.003352	-0.733887	-0.325195	-0.314697	-0.365152	-0.290889	0.167241	-0.868377
15400		6.112571	-0.736400	7.606195	-0.002859	-0.004601	0.004617	-0.733887	-0.329834	-0.313232	-0.365037	-0.290886	0.167281	-0.868418
15401		6.091217	-0.749725	7.566855	-0.000739	-0.005489	0.005032	-0.729736	-0.336914	-0.317383	-0.364950	-0.290915	0.167297	-0.868442
15402		6.091482	-0.750195	7.566595	0.003221	0.000060	0.007320	-0.733643	-0.337646	-0.314453	-0.364933	-0.290892	0.167241	-0.868468
15403		6.097153	-0.738823	7.592651	-0.001817	-0.004147	0.002668	-0.736328	-0.338135	-0.318848	-0.364945	-0.290918	0.167229	-0.868456
15404		6.103012	-0.727567	7.618548	-0.000219	-0.002646	0.005309	-0.731201	-0.338623	-0.317871	-0.364958	-0.290898	0.167206	-0.868462
15405		6.093544	-0.752565	7.598422	-0.001517	-0.003950	0.008254	-0.740479	-0.334961	-0.323242	-0.364961	-0.290886	0.167191	-0.868468
15406		6.102665	-0.728672	7.585003	-0.002195	-0.004849	0.005299	-0.737549	-0.333252	-0.317383	-0.364960	-0.290830	0.167204	-0.868484
15407		6.098911	-0.741881	7.590941	-0.000863	-0.005343	0.006665	-0.731689	-0.334961	-0.313721	-0.364904	-0.290831	0.167218	-0.868505
