// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
13074		9.682208	-0.002387	-1.273142	-0.026176	0.030997	0.030873	-0.803467	-0.243896	-0.194336	0.622998	0.246059	-0.710471	0.215777
13075		9.707862	0.017189	-1.394402	-0.003236	-0.001911	0.034360	-0.802246	-0.247559	-0.197754	0.622932	0.245842	-0.710557	0.215932
13076		9.806373	0.119072	-1.278181	0.000358	0.002345	0.035751	-0.804932	-0.247070	-0.203125	0.622885	0.245631	-0.710613	0.216122
13077		9.919277	0.334924	-1.151563	-0.003847	0.003997	0.033745	-0.818848	-0.242920	-0.202881	0.622856	0.245405	-0.710668	0.216281
13078		9.911435	0.294055	-1.201671	-0.043286	0.019912	0.032911	-0.808350	-0.240234	-0.201904	0.623009	0.244955	-0.710705	0.216230
13079		9.754381	0.055061	-1.225424	-0.083706	0.020738	0.023181	-0.811523	-0.240967	-0.194824	0.623271	0.244358	-0.710786	0.215883
13080		9.675352	-0.165824	-1.207613	-0.082546	0.022069	0.020305	-0.802002	-0.233643	-0.203613	0.623546	0.243782	-0.710850	0.215529
13081		9.666048	-0.260748	-1.200384	-0.058548	0.026997	0.018359	-0.807617	-0.243408	-0.197510	0.623805	0.243328	-0.710841	0.215324
13082		9.734177	-0.293402	-1.158078	-0.011866	0.014952	0.011032	-0.809570	-0.244141	-0.206055	0.623909	0.243172	-0.710796	0.215345
13083		9.825537	-0.407812	-1.265243	0.053219	0.017089	0.006501	-0.808105	-0.232422	-0.202637	0.623903	0.243363	-0.710614	0.215747
13084		9.842796	-0.377445	-1.333617	0.101073	-0.005296	-0.001968	-0.811523	-0.242432	-0.196289	0.623675	0.243875	-0.710451	0.216364
13085		9.689686	-0.252253	-1.381718	0.176666	-0.025293	-0.014340	-0.808838	-0.242188	-0.204346	0.623186	0.244872	-0.710239	0.217342
13086		9.658337	-0.249671	-1.352588	0.220932	-0.051899	-0.016117	-0.809082	-0.242188	-0.195312	0.622437	0.246148	-0.710090	0.218528
13087		9.789049	-0.184394	-1.322052	0.248734	-0.059467	-0.007612	-0.812500	-0.242432	-0.198242	0.621558	0.247523	-0.709954	0.219917
13088		9.736806	-0.082750	-1.334938	0.234715	-0.053897	0.000751	-0.808105	-0.240967	-0.198730	0.620718	0.248756	-0.709833	0.221283
13089		9.682075	-0.140266	-1.338251	0.206776	-0.037918	0.009284	-0.813232	-0.235107	-0.197021	0.620011	0.249769	-0.709698	0.222555
13090		9.651189	-0.234910	-1.338598	0.192756	-0.042541	0.009048	-0.809570	-0.248047	-0.194580	0.619300	0.250712	-0.709615	0.223738
13091		9.741902	-0.254735	-1.406852	0.229153	-0.072618	0.012304	-0.808350	-0.254395	-0.191895	0.618317	0.251879	-0.709628	0.225097
13092		9.849364	-0.153673	-1.340059	0.295020	-0.086294	0.010788	-0.810791	-0.244385	-0.187744	0.617103	0.253417	-0.709590	0.226817
13093		9.792759	-0.069906	-1.464157	0.316228	-0.060094	0.007363	-0.815674	-0.247559	-0.185547	0.616006	0.255026	-0.709362	0.228701
13094		9.682430	0.055941	-1.553449	0.298681	-0.047074	0.004423	-0.811035	-0.240967	-0.187256	0.615010	0.256532	-0.709104	0.230491
13095		9.721404	0.091103	-1.732295	0.247752	-0.045709	0.016837	-0.806885	-0.246094	-0.182617	0.614115	0.257730	-0.708955	0.231996
13096		9.822803	0.155366	-1.533367	0.179556	-0.047838	0.026582	-0.804443	-0.247314	-0.176025	0.613312	0.258577	-0.708975	0.233111
