// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
13074		9.479356	0.299028	-2.125881	-0.154607	-0.014028	0.013989	-0.677979	0.358643	0.250000	0.369893	-0.614435	-0.481451	-0.503839
13075		9.508840	0.130614	-2.142029	-0.207691	-0.043376	-0.025375	-0.680176	0.353760	0.250000	0.368548	-0.615154	-0.480842	-0.504528
13076		9.618208	-0.060473	-1.985809	-0.232062	-0.094286	-0.073074	-0.679932	0.349854	0.245850	0.366671	-0.615966	-0.480531	-0.505201
13077		9.755099	-0.350121	-2.048280	-0.198117	-0.114936	-0.094965	-0.692871	0.356934	0.248291	0.364798	-0.616674	-0.480531	-0.505693
13078		9.813962	-0.550656	-2.028167	-0.128148	-0.087190	-0.100268	-0.687012	0.356689	0.252686	0.363385	-0.617035	-0.480757	-0.506055
13079		9.686209	-0.416309	-1.867559	-0.069051	-0.086047	-0.072220	-0.687744	0.351807	0.259277	0.362422	-0.617332	-0.481065	-0.506091
13080		9.588957	-0.338245	-1.771593	-0.060973	-0.065827	-0.044886	-0.681152	0.361816	0.256592	0.361727	-0.617634	-0.481181	-0.506109
13081		9.619196	-0.317522	-1.659099	-0.053248	-0.050060	-0.024121	-0.684814	0.346680	0.260010	0.361256	-0.617933	-0.481148	-0.506112
13082		9.740587	-0.376100	-1.719772	-0.045039	-0.060520	-0.009823	-0.685303	0.347900	0.256104	0.360889	-0.618308	-0.481073	-0.505987
13083		9.790278	-0.439265	-2.157478	0.005035	-0.013384	-0.011562	-0.684326	0.359619	0.260010	0.361011	-0.618329	-0.481038	-0.505908
13084		9.551455	-0.413947	-2.065402	0.073734	0.017276	-0.013702	-0.685547	0.348633	0.261230	0.361643	-0.618025	-0.481178	-0.505695
13085		9.522064	-0.264631	-2.049903	0.125919	0.016538	-0.018675	-0.684082	0.353271	0.253418	0.362563	-0.617565	-0.481531	-0.505262
13086		9.621052	-0.167311	-2.107139	0.172506	0.029818	-0.026951	-0.685303	0.354248	0.260986	0.363776	-0.616887	-0.482054	-0.504720
13087		9.556582	-0.192548	-1.848067	0.203340	0.028526	-0.035295	-0.688232	0.351318	0.252441	0.365137	-0.616096	-0.482731	-0.504056
13088		9.631764	-0.129555	-1.891982	0.213294	0.013601	-0.066398	-0.684814	0.355957	0.250977	0.366394	-0.615211	-0.483615	-0.503375
13089		9.713525	0.078107	-2.067235	0.228018	0.022599	-0.080600	-0.691895	0.364014	0.245850	0.367732	-0.614183	-0.484585	-0.502722
13090		9.615590	0.183269	-2.115957	0.219149	0.008149	-0.075202	-0.687500	0.348389	0.244141	0.369033	-0.613269	-0.485499	-0.502003
13091		9.520513	0.027929	-1.928237	0.162204	0.006807	-0.078402	-0.685059	0.345947	0.244873	0.369943	-0.612501	-0.486226	-0.501566
13092		9.596327	-0.052236	-1.750055	0.112933	0.004342	-0.070058	-0.688721	0.353760	0.244141	0.370626	-0.611918	-0.486718	-0.501297
13093		9.703371	-0.029923	-1.830986	0.103217	0.015999	-0.055002	-0.695557	0.352783	0.247314	0.371465	-0.611379	-0.487005	-0.501055
13094		9.666214	0.175244	-2.007051	0.119831	0.038641	-0.044576	-0.690430	0.358887	0.242188	0.372623	-0.610721	-0.487191	-0.500816
13095		9.633941	0.248317	-2.052851	0.105935	0.027254	-0.040431	-0.682861	0.354248	0.240723	0.373624	-0.610175	-0.487365	-0.500567
13096		9.598812	0.083435	-2.083434	0.021252	0.011053	-0.052092	-0.679932	0.353760	0.247803	0.373898	-0.609895	-0.487389	-0.500679
13097		9.679158	-0.112938	-1.817686	-0.047838	-0.015237	-0.037262	-0.686768	0.352295	0.247314	0.373766	-0.609979	-0.487216	-0.500845
13098		9.832277	-0.201495	-1.771724	-0.052182	-0.009624	-0.016028	-0.685791	0.349854	0.238770	0.373862	-0.610144	-0.486784	-0.500991
13099		9.603816	-0.052124	-1.871056	-0.084371	0.010328	-0.023740	-0.689697	0.354736	0.243652	0.373778	-0.610330	-0.486107	-0.501485
