// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
25672		9.456726	-0.509175	-2.538506	0.003525	0.002142	-0.004320	-0.802979	-0.218262	0.545654	-0.191156	-0.737912	0.293389	-0.576948
25673		9.471553	-0.553124	-2.551050	-0.000569	0.001270	-0.003300	-0.788818	-0.206299	0.545410	-0.191250	-0.737892	0.293352	-0.576961
25674		9.491082	-0.555162	-2.586787	-0.000550	0.009702	-0.000508	-0.798828	-0.201904	0.553711	-0.191184	-0.737874	0.293359	-0.577001
25675		9.484326	-0.613670	-2.573718	-0.000785	0.006838	-0.002944	-0.802979	-0.204834	0.546387	-0.191048	-0.737899	0.293376	-0.577006
25676		9.449313	-0.566277	-2.559300	0.005450	0.003790	-0.001752	-0.791016	-0.214111	0.546143	-0.190960	-0.737915	0.293351	-0.577027
25677		9.465476	-0.517187	-2.577226	0.005896	-0.001723	-0.000602	-0.788574	-0.215820	0.548828	-0.190911	-0.737937	0.293325	-0.577029
25678		9.484677	-0.536863	-2.554128	0.004095	0.000872	-0.001019	-0.793945	-0.216309	0.547363	-0.190875	-0.737948	0.293302	-0.577039
25679		9.481582	-0.578930	-2.493756	-0.006681	0.008560	-0.002343	-0.800537	-0.214111	0.546875	-0.190959	-0.737899	0.293303	-0.577073
25680		9.498169	-0.511602	-2.570324	-0.012922	0.008798	-0.004465	-0.798584	-0.207031	0.544922	-0.191090	-0.737842	0.293321	-0.577094
25681		9.463977	-0.607984	-2.604273	-0.013784	0.011945	-0.005583	-0.795166	-0.205322	0.541992	-0.191188	-0.737788	0.293341	-0.577119
25682		9.454588	-0.699394	-2.543743	-0.001775	0.002931	-0.007143	-0.794678	-0.206055	0.548096	-0.191192	-0.737802	0.293313	-0.577115
25683		9.452391	-0.544122	-2.577823	0.004080	0.003471	-0.010785	-0.792725	-0.218262	0.552490	-0.191140	-0.737841	0.293245	-0.577117
25684		9.482235	-0.555439	-2.583957	0.006465	0.008038	-0.004274	-0.799561	-0.220459	0.553467	-0.191123	-0.737835	0.293179	-0.577163
25685		9.471044	-0.561963	-2.588419	0.012545	0.005822	-0.007340	-0.788086	-0.200195	0.542725	-0.191100	-0.737844	0.293066	-0.577217
25686		9.486677	-0.614557	-2.552457	0.013595	0.004995	-0.007754	-0.795410	-0.208984	0.554443	-0.190939	-0.737846	0.292985	-0.577308
25687		9.454796	-0.541554	-2.538192	0.012013	0.002023	-0.008526	-0.801514	-0.205322	0.544189	-0.190822	-0.737917	0.292890	-0.577305
25688		9.462688	-0.550092	-2.580190	0.010019	-0.000509	-0.008339	-0.790527	-0.202393	0.550293	-0.190742	-0.737932	0.292822	-0.577347
25689		9.478860	-0.593949	-2.556696	0.023772	0.003663	-0.011828	-0.784912	-0.206299	0.539551	-0.190551	-0.738011	0.292650	-0.577395
25690		9.496414	-0.545002	-2.537975	0.040694	0.005575	-0.005859	-0.798828	-0.209717	0.540039	-0.190321	-0.738046	0.292423	-0.577543
25691		9.476689	-0.534368	-2.548548	0.035199	-0.001578	-0.009003	-0.801025	-0.214111	0.546875	-0.190151	-0.738101	0.292216	-0.577632
25692		9.472906	-0.474384	-2.577809	0.017773	0.001365	-0.002673	-0.791260	-0.201172	0.551758	-0.190076	-0.738135	0.292111	-0.577667
25693		9.501733	-0.512386	-2.512904	0.008304	0.000380	-0.001738	-0.788086	-0.208984	0.550781	-0.189928	-0.738192	0.292066	-0.577665
25694		9.511451	-0.513899	-2.530925	0.021570	0.001311	-0.002435	-0.796875	-0.213867	0.545410	-0.189778	-0.738270	0.291926	-0.577686
25695		9.506880	-0.479679	-2.488503	0.020516	-0.000671	-0.002947	-0.799316	-0.210938	0.549561	-0.189701	-0.738315	0.291789	-0.577723
25696		9.499452	-0.436520	-2.565235	0.021762	0.006445	-0.003041	-0.794434	-0.207520	0.548096	-0.189602	-0.738340	0.291633	-0.577802
