// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
25672		8.707772	0.189150	-4.510262	0.006044	0.002632	0.004113	-0.742920	-0.231201	0.708740	-0.167602	-0.816414	0.246848	-0.494412
25673		8.724336	0.253296	-4.505147	0.007507	0.002955	-0.000255	-0.733398	-0.220459	0.708740	-0.167659	-0.816390	0.246790	-0.494462
25674		8.746777	0.259509	-4.486867	-0.002823	0.001606	-0.000925	-0.741699	-0.213867	0.718506	-0.167616	-0.816398	0.246808	-0.494454
25675		8.717091	0.144905	-4.528332	-0.003313	0.005448	-0.000981	-0.746338	-0.222412	0.709229	-0.167471	-0.816416	0.246846	-0.494454
25676		8.712337	0.220532	-4.500605	0.001415	-0.001663	-0.003467	-0.736572	-0.226562	0.709717	-0.167465	-0.816433	0.246823	-0.494440
25677		8.721098	0.268693	-4.504643	0.005748	-0.000960	-0.007810	-0.731445	-0.227051	0.712646	-0.167460	-0.816459	0.246751	-0.494435
25678		8.721153	0.314978	-4.496958	0.003766	0.000663	-0.005517	-0.733154	-0.227783	0.709717	-0.167432	-0.816479	0.246706	-0.494433
25679		8.752199	0.278419	-4.498055	-0.004061	0.002573	-0.006205	-0.741455	-0.226074	0.710693	-0.167497	-0.816475	0.246679	-0.494432
25680		8.714614	0.179340	-4.487615	-0.003400	-0.000243	-0.007037	-0.743896	-0.220459	0.707031	-0.167552	-0.816486	0.246649	-0.494410
25681		8.724929	0.212792	-4.511282	0.008609	0.004443	-0.012523	-0.739258	-0.217041	0.707520	-0.167525	-0.816512	0.246536	-0.494433
25682		8.716616	0.257715	-4.491169	0.008240	0.007326	-0.012565	-0.740234	-0.217041	0.710449	-0.167458	-0.816537	0.246431	-0.494467
25683		8.731745	0.156664	-4.496300	0.009071	0.005535	-0.014285	-0.736084	-0.230713	0.713135	-0.167376	-0.816577	0.246317	-0.494484
25684		8.720939	0.200482	-4.496993	0.018485	0.002993	-0.017949	-0.744629	-0.232910	0.716797	-0.167335	-0.816633	0.246125	-0.494501
25685		8.747172	0.239476	-4.470372	0.021108	0.005298	-0.017954	-0.731689	-0.214600	0.704102	-0.167293	-0.816671	0.245924	-0.494552
25686		8.741314	0.207798	-4.498566	0.019467	0.002142	-0.017637	-0.736816	-0.219482	0.714111	-0.167118	-0.816716	0.245769	-0.494615
25687		8.736516	0.192820	-4.485973	0.025883	0.007011	-0.021142	-0.748535	-0.220215	0.707764	-0.166943	-0.816791	0.245545	-0.494662
25688		8.722032	0.250701	-4.486998	0.030295	0.004776	-0.024570	-0.734375	-0.212402	0.714355	-0.166792	-0.816837	0.245298	-0.494759
25689		8.715978	0.264958	-4.507912	0.031747	-0.001813	-0.026214	-0.729736	-0.217285	0.704834	-0.166526	-0.816980	0.245034	-0.494744
25690		8.761763	0.309775	-4.484424	0.019256	0.004244	-0.023513	-0.740723	-0.222656	0.704346	-0.166443	-0.817041	0.244822	-0.494776
25691		8.720726	0.225603	-4.474185	0.008822	-0.001184	-0.019454	-0.742920	-0.225586	0.710449	-0.166449	-0.817077	0.244695	-0.494777
25692		8.729422	0.183876	-4.493552	0.022305	-0.001167	-0.024572	-0.733887	-0.215576	0.712646	-0.166378	-0.817166	0.244469	-0.494766
25693		8.756354	0.345379	-4.464930	0.014187	0.002474	-0.019455	-0.728027	-0.222168	0.712646	-0.166254	-0.817245	0.244313	-0.494755
25694		8.745434	0.298244	-4.481168	-0.002184	0.001982	-0.011441	-0.739014	-0.225830	0.706055	-0.166271	-0.817301	0.244245	-0.494689
25695		8.762875	0.244550	-4.458384	0.003555	0.002759	-0.011393	-0.744385	-0.226807	0.712402	-0.166309	-0.817302	0.244178	-0.494708
25696		8.757665	0.321139	-4.430998	0.012556	0.001132	-0.014196	-0.734863	-0.218750	0.712158	-0.166268	-0.817344	0.244057	-0.494712
25697		8.766692	0.337132	-4.495866	0.007702	-0.002739	-0.004259	-0.745361	-0.220459	0.715332	-0.166156	-0.817391	0.244027	-0.494686
25698		8.718783	0.247174	-4.547308	0.001088	0.003203	-0.004418	-0.732666	-0.227051	0.710693	-0.166102	-0.817394	0.244024	-0.494701
25699		8.770737	0.323661	-4.494766	-0.006215	0.004961	0.001904	-0.742676	-0.215820	0.714111	-0.166159	-0.817382	0.244055	-0.494687
25700		8.741097	0.332109	-4.459663	-0.016388	0.006330	0.008201	-0.736572	-0.226318	0.713867	-0.166150	-0.817321	0.244213	-0.494712
25701		8.736394	0.316066	-4.446979	-0.017773	0.001249	0.008555	-0.741211	-0.224121	0.702637	-0.166233	-0.817301	0.244339	-0.494656
25702		8.755398	0.199504	-4.451946	-0.011617	0.001132	0.007745	-0.741699	-0.217285	0.710449	-0.166318	-0.817218	0.244473	-0.494698
25703		8.735820	0.207410	-4.502623	-0.002241	-0.003377	0.004991	-0.742920	-0.218262	0.708008	-0.166238	-0.817207	0.244559	-0.494700
25704		8.756262	0.274422	-4.457509	-0.003685	-0.003614	0.006439	-0.745117	-0.232666	0.714600	-0.166181	-0.817177	0.244670	-0.494714
25705		8.709108	0.200385	-4.468709	-0.001464	-0.000324	0.004370	-0.727051	-0.228271	0.708496	-0.166217	-0.817171	0.244714	-0.494691
25706		8.738472	0.223460	-4.442723	0.005148	-0.006269	0.004527	-0.737061	-0.224609	0.706543	-0.166196	-0.817223	0.244724	-0.494607
25707		8.750319	0.301262	-4.439634	0.019763	-0.006162	0.001757	-0.740479	-0.221680	0.709229	-0.166058	-0.817253	0.244691	-0.494621
25708		8.744135	0.279911	-4.522595	0.030732	-0.009495	-0.000416	-0.741699	-0.230469	0.710938	-0.165810	-0.817316	0.244606	-0.494641
25709		8.721406	0.179981	-4.557103	0.023717	-0.009481	0.000095	-0.738281	-0.217529	0.713867	-0.165692	-0.817375	0.244539	-0.494617
25710		8.720461	-0.021285	-4.628646	0.027175	-0.002049	-0.004366	-0.740723	-0.222900	0.707764	-0.165439	-0.817441	0.244429	-0.494645
25711		8.718783	0.084129	-4.593712	0.046748	0.000886	-0.014145	-0.735596	-0.218262	0.708252	-0.165179	-0.817501	0.244191	-0.494751
25712		8.759684	0.446790	-4.465404	0.045514	0.003664	-0.014496	-0.740723	-0.219727	0.713623	-0.164882	-0.817570	0.243956	-0.494852
25713		8.749705	0.458732	-4.433573	0.032562	0.003528	-0.002361	-0.729980	-0.212402	0.715820	-0.164623	-0.817607	0.243841	-0.494934
25714		8.757578	0.336571	-4.447355	0.030155	-0.000862	0.003528	-0.737061	-0.220947	0.715332	-0.164270	-0.817705	0.243751	-0.494935
25715		8.732785	0.371284	-4.478856	0.025071	-0.002716	0.010516	-0.741211	-0.218262	0.711426	-0.164024	-0.817755	0.243730	-0.494942
25716		8.731326	0.383373	-4.459247	-0.000317	-0.001657	0.024263	-0.736572	-0.220703	0.713867	-0.163902	-0.817697	0.243929	-0.494982
25717		8.710139	0.389911	-4.436757	-0.013101	-0.000762	0.035508	-0.737305	-0.214844	0.708984	-0.163844	-0.817632	0.244224	-0.494963
25718		8.781353	0.348894	-4.296315	-0.024217	-0.003449	0.043326	-0.740723	-0.221924	0.712891	-0.163796	-0.817511	0.244644	-0.494970
25719		8.739520	0.116744	-4.402570	-0.014760	-0.009078	0.046432	-0.738281	-0.228271	0.704346	-0.163724	-0.817431	0.245027	-0.494937
25720		8.764585	0.112557	-4.532440	0.010862	-0.010339	0.040571	-0.741211	-0.208252	0.708252	-0.163637	-0.817359	0.245276	-0.494961
25721		8.717633	0.424750	-4.591787	0.000649	-0.010921	0.047778	-0.742432	-0.219238	0.703857	-0.163309	-0.817266	0.245647	-0.495039
25722		8.758953	0.279481	-4.546596	-0.042814	-0.005383	0.061275	-0.741943	-0.217041	0.710205	-0.163423	-0.817034	0.246277	-0.495071
25723		8.747502	0.032611	-4.446124	-0.052728	-0.000799	0.059930	-0.733643	-0.215576	0.711182	-0.163550	-0.816820	0.246914	-0.495066
25724		8.764004	-0.040918	-4.370688	-0.031954	-0.002600	0.048479	-0.747559	-0.214355	0.706787	-0.163546	-0.816714	0.247379	-0.495009
25725		8.697829	0.085520	-4.455702	-0.009651	-0.005306	0.041437	-0.738770	-0.220459	0.709229	-0.163425	-0.816558	0.247746	-0.495123
25726		8.717495	0.219215	-4.530182	-0.012180	-0.003635	0.039633	-0.749512	-0.216064	0.711670	-0.163409	-0.816458	0.248095	-0.495120
25727		8.698981	0.239846	-4.540532	-0.030956	-0.003340	0.045867	-0.735596	-0.218750	0.710693	-0.163419	-0.816278	0.248567	-0.495175
25728		8.747567	-0.038923	-4.529499	-0.031162	-0.006256	0.044739	-0.746338	-0.216797	0.708496	-0.163479	-0.816185	0.249024	-0.495079
25729		8.734230	-0.122020	-4.534004	-0.005181	-0.000489	0.029432	-0.744385	-0.214355	0.710205	-0.163419	-0.816061	0.249283	-0.495173
25730		8.724266	-0.066222	-4.495309	0.006183	-0.006519	0.018541	-0.733643	-0.217529	0.707764	-0.163263	-0.816023	0.249429	-0.495215
25731		8.710463	0.004428	-4.457652	0.019937	-0.008336	0.007610	-0.749512	-0.209229	0.717285	-0.163122	-0.816075	0.249454	-0.495163
25732		8.778619	0.184198	-4.489093	0.037041	-0.011878	0.004614	-0.733398	-0.213135	0.705566	-0.162675	-0.816145	0.249377	-0.495233
25733		8.740077	0.214333	-4.550943	0.029566	-0.006161	0.009999	-0.746094	-0.206543	0.709473	-0.162426	-0.816179	0.249378	-0.495258
25734		8.699807	0.233306	-4.485915	0.010673	-0.004882	0.016224	-0.739502	-0.215088	0.717529	-0.162157	-0.816123	0.249491	-0.495381
25735		8.746185	0.166033	-4.498395	-0.000793	-0.004548	0.021074	-0.739258	-0.211182	0.703125	-0.162038	-0.816136	0.249660	-0.495314
25736		8.784734	0.220613	-4.423432	-0.014938	-0.001737	0.029946	-0.747070	-0.211914	0.714844	-0.162037	-0.815995	0.249986	-0.495381
25737		8.753106	0.023983	-4.533706	-0.015738	-0.009780	0.035316	-0.741211	-0.211914	0.712891	-0.161930	-0.815916	0.250330	-0.495374
25738		8.713505	0.134081	-4.454168	-0.007539	-0.009511	0.028382	-0.741211	-0.210449	0.715332	-0.161814	-0.815882	0.250594	-0.495334
25739		8.697582	0.267279	-4.316226	-0.024251	-0.011920	0.038188	-0.743896	-0.214355	0.707764	-0.161726	-0.815834	0.250985	-0.495244
25740		8.782356	0.269529	-4.308101	-0.017065	-0.020875	0.043346	-0.747559	-0.210938	0.708740	-0.161690	-0.815743	0.251428	-0.495181
25741		8.840811	0.277923	-4.319336	-0.005328	-0.024489	0.053128	-0.744873	-0.212891	0.708008	-0.161467	-0.815646	0.251883	-0.495182
25742		8.771565	0.187314	-4.498060	-0.008856	-0.027023	0.058675	-0.747314	-0.214111	0.712158	-0.161297	-0.815550	0.252393	-0.495135
25743		8.689360	0.020636	-4.587051	-0.019021	-0.025617	0.067899	-0.741211	-0.212646	0.714111	-0.161163	-0.815429	0.252996	-0.495070
25744		8.801914	0.100741	-4.620396	-0.038547	-0.028026	0.066021	-0.740723	-0.206055	0.716553	-0.161131	-0.815349	0.253660	-0.494873
25745		8.673332	-0.177075	-4.613819	-0.048686	-0.028119	0.058644	-0.737549	-0.204834	0.715820	-0.161064	-0.815298	0.254288	-0.494657
25746		8.615440	-0.300003	-4.604185	-0.018239	-0.027566	0.034951	-0.740479	-0.213623	0.713867	-0.160873	-0.815348	0.254634	-0.494459
25747		8.699703	-0.147246	-4.648153	-0.010935	-0.019411	0.019143	-0.746582	-0.210938	0.714844	-0.160896	-0.815361	0.254874	-0.494305
25748		8.777357	0.008194	-4.585194	-0.029737	-0.006209	0.020864	-0.748291	-0.203857	0.722656	-0.161012	-0.815259	0.255188	-0.494275
25749		8.706456	0.021861	-4.525801	-0.022729	-0.001450	0.021433	-0.746826	-0.198975	0.713135	-0.160897	-0.815198	0.255433	-0.494286
25750		8.708480	0.124923	-4.563648	-0.000932	-0.000574	0.017206	-0.745605	-0.208740	0.713867	-0.160646	-0.815112	0.255583	-0.494432
25751		8.680277	0.129594	-4.602112	-0.012391	0.004666	0.023176	-0.744629	-0.202148	0.717285	-0.160636	-0.814987	0.255827	-0.494515
25752		8.688333	-0.052168	-4.623150	-0.017899	0.006957	0.021355	-0.743652	-0.210938	0.704102	-0.160531	-0.814889	0.256047	-0.494597
25753		8.663148	-0.026994	-4.526596	-0.011608	0.005966	0.014707	-0.738281	-0.204834	0.716309	-0.160685	-0.814717	0.256279	-0.494709
25754		8.718163	-0.030048	-4.521920	-0.010228	0.004204	0.014157	-0.739990	-0.199219	0.715332	-0.160600	-0.814697	0.256419	-0.494698
25755		8.710675	-0.109505	-4.557688	-0.001468	0.004466	0.008387	-0.742432	-0.205322	0.705322	-0.160391	-0.814683	0.256483	-0.494756
25756		8.708100	-0.021501	-4.582356	-0.001342	0.008428	0.006588	-0.740967	-0.212646	0.710205	-0.160406	-0.814555	0.256604	-0.494899
25757		8.676529	0.046804	-4.539467	-0.004950	0.007095	0.003370	-0.752930	-0.205811	0.714844	-0.160541	-0.814484	0.256700	-0.494921
25758		8.695536	-0.129836	-4.551857	0.004102	0.002572	-0.004375	-0.746826	-0.208496	0.706543	-0.160476	-0.814425	0.256696	-0.495042
