// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
18650		7.092336	-6.715844	0.131123	-0.042725	0.000502	-0.028676	-0.628906	0.541260	0.453613	0.228571	-0.637882	0.293724	-0.674231
18651		7.114391	-6.817323	0.129968	-0.058331	0.001730	-0.030941	-0.627441	0.543457	0.460693	0.228082	-0.638059	0.293891	-0.674157
18652		7.152944	-6.876243	0.145926	-0.015256	-0.020509	-0.029019	-0.624512	0.533936	0.458252	0.227940	-0.638275	0.293800	-0.674040
18653		7.114761	-6.933380	0.134931	0.011675	-0.012462	-0.037597	-0.622803	0.536865	0.450439	0.227811	-0.638415	0.293508	-0.674078
18654		7.041611	-6.808526	0.112267	0.046263	-0.026005	-0.042444	-0.629883	0.533936	0.455811	0.227909	-0.638573	0.292984	-0.674123
18655		7.094295	-6.640653	0.138910	0.053571	-0.041486	-0.034244	-0.622803	0.540527	0.456055	0.228059	-0.638789	0.292413	-0.674116
18656		7.081217	-6.596473	0.154580	0.032394	-0.027765	-0.023714	-0.627930	0.536133	0.458984	0.228231	-0.638934	0.292074	-0.674067
18657		7.146170	-6.604198	0.221873	0.015207	-0.020811	-0.018464	-0.628174	0.541016	0.453857	0.228249	-0.639065	0.291849	-0.674034
18658		7.166697	-6.566866	0.201216	-0.027126	-0.008546	-0.014922	-0.636719	0.534912	0.452393	0.228063	-0.639195	0.291908	-0.673949
18659		7.211187	-6.627628	0.084540	-0.037282	0.002217	-0.015471	-0.632324	0.536621	0.462891	0.227683	-0.639292	0.292004	-0.673944
18660		7.156799	-6.732251	0.135933	-0.037999	0.013063	-0.011405	-0.625244	0.533447	0.464844	0.227350	-0.639320	0.292160	-0.673962
18661		7.157896	-6.814489	0.101575	-0.019043	0.000374	-0.005373	-0.627197	0.527344	0.460693	0.227218	-0.639365	0.292228	-0.673934
18662		7.126648	-6.804459	0.181086	-0.021491	0.005114	0.002212	-0.630859	0.532959	0.455566	0.227049	-0.639370	0.292347	-0.673935
18663		7.169465	-6.757626	0.184853	-0.017215	0.000978	-0.000990	-0.621826	0.539551	0.457031	0.226918	-0.639386	0.292422	-0.673932
18664		7.172639	-6.742883	0.119638	-0.021142	0.012703	-0.007450	-0.623779	0.532715	0.462158	0.226807	-0.639355	0.292536	-0.673949
18665		7.136730	-6.744386	0.183474	-0.021330	0.004568	-0.001646	-0.624512	0.536621	0.465088	0.226684	-0.639378	0.292659	-0.673914
18666		7.095514	-6.783906	0.144251	-0.027120	0.013903	-0.004188	-0.628174	0.538086	0.461182	0.226521	-0.639364	0.292827	-0.673910
18667		7.099765	-6.757525	0.162842	-0.026328	0.022257	-0.002562	-0.630127	0.533691	0.460693	0.226350	-0.639269	0.293009	-0.673978
18668		7.094404	-6.733314	0.120245	-0.027029	0.016608	-0.002992	-0.628418	0.535889	0.461914	0.226151	-0.639206	0.293176	-0.674032
18669		7.048900	-6.737025	0.122314	-0.036018	0.014505	-0.006032	-0.631348	0.544678	0.456787	0.225920	-0.639182	0.293383	-0.674042
18670		7.034720	-6.771698	0.071193	-0.037086	0.019076	-0.005340	-0.631592	0.537598	0.464111	0.225732	-0.639095	0.293613	-0.674087
18671		7.056414	-6.821321	0.098770	-0.045151	0.021608	-0.007159	-0.633301	0.535156	0.458252	0.225433	-0.639059	0.293896	-0.674099
18672		7.093851	-6.875780	0.084619	-0.048842	0.014498	-0.004298	-0.630859	0.537598	0.465332	0.225132	-0.639028	0.294201	-0.674095
18673		7.048705	-6.890018	0.196813	-0.032131	0.003689	0.000505	-0.634033	0.531738	0.460938	0.225010	-0.639048	0.294438	-0.674014
18674		6.930284	-6.849534	0.042661	-0.027556	-0.003302	-0.002119	-0.635498	0.531250	0.462646	0.224865	-0.639071	0.294622	-0.673960
18675		6.947395	-6.806132	0.056601	-0.025581	-0.000951	-0.014530	-0.633301	0.534424	0.452881	0.224652	-0.639111	0.294752	-0.673936
18676		7.050934	-6.819242	0.020102	-0.020400	-0.020545	-0.022367	-0.627197	0.528320	0.462402	0.224524	-0.639214	0.294779	-0.673869
18677		7.150083	-6.875763	0.107325	-0.009702	-0.025119	-0.017549	-0.622803	0.532715	0.468018	0.224463	-0.639384	0.294779	-0.673729
18678		7.241908	-6.920034	0.070997	0.013485	-0.024508	-0.010096	-0.621582	0.541504	0.461670	0.224624	-0.639519	0.294694	-0.673583
18679		7.058923	-6.831575	0.089052	0.011888	-0.014682	-0.005910	-0.616943	0.533691	0.466553	0.224859	-0.639548	0.294661	-0.673492
18680		7.059312	-6.747862	0.120895	0.010032	-0.018463	-0.006857	-0.626465	0.531250	0.455811	0.225031	-0.639651	0.294619	-0.673356
18681		7.092189	-6.730283	0.124358	0.009766	-0.027958	-0.015327	-0.628906	0.533447	0.465576	0.225108	-0.639731	0.294527	-0.673293
18682		7.100406	-6.687911	0.079124	0.028875	-0.026059	-0.013495	-0.630859	0.531494	0.463379	0.225311	-0.639819	0.294331	-0.673227
18683		7.123443	-6.610305	0.083762	0.039539	-0.041138	-0.016366	-0.628418	0.525635	0.461426	0.225557	-0.639963	0.294029	-0.673141
18684		7.199133	-6.650221	0.090044	0.018464	-0.025724	-0.004674	-0.632324	0.528809	0.466064	0.225655	-0.640033	0.293925	-0.673087
18685		7.213778	-6.683244	0.107787	-0.012144	-0.014486	-0.003646	-0.631592	0.535156	0.462158	0.225581	-0.640116	0.294010	-0.672995
18686		7.160973	-6.717260	0.039580	-0.017960	-0.029392	-0.008672	-0.623779	0.534424	0.465576	0.225553	-0.640275	0.294070	-0.672827
18687		7.128803	-6.703440	0.035891	-0.002562	-0.037814	-0.018456	-0.627686	0.528809	0.470703	0.225594	-0.640527	0.293966	-0.672619
18688		7.136166	-6.710564	0.076415	0.005206	-0.040236	-0.026950	-0.632812	0.525391	0.468018	0.225555	-0.640828	0.293763	-0.672434
18689		7.130993	-6.676398	0.064920	-0.012930	-0.033878	-0.026213	-0.628174	0.530029	0.465576	0.225347	-0.641091	0.293679	-0.672290
18690		7.185658	-6.671735	0.067846	-0.027030	-0.032435	-0.021183	-0.621826	0.531250	0.469727	0.225165	-0.641347	0.293703	-0.672096
18691		7.192416	-6.658161	0.077244	-0.029486	-0.030910	-0.010135	-0.620361	0.531250	0.471436	0.225074	-0.641618	0.293799	-0.671826
18692		7.194193	-6.718176	0.010035	-0.016108	-0.027011	-0.012580	-0.623779	0.527588	0.472412	0.225039	-0.641861	0.293810	-0.671601
18693		7.164651	-6.664383	0.030087	-0.027612	-0.005195	-0.011621	-0.628174	0.529785	0.465576	0.224835	-0.642001	0.293926	-0.671485
18694		7.241841	-6.502057	0.004838	-0.038699	-0.011906	-0.008072	-0.620605	0.529053	0.471680	0.224615	-0.642118	0.294106	-0.671367
18695		7.269267	-6.450129	0.046086	-0.065333	0.016354	0.003404	-0.632568	0.528564	0.466553	0.224278	-0.642174	0.294544	-0.671234
18696		7.231476	-6.590667	0.047617	-0.072209	0.026127	0.004955	-0.624023	0.531250	0.466553	0.223816	-0.642110	0.295021	-0.671241
18697		7.191214	-6.659795	-0.002599	-0.110628	0.043809	0.011238	-0.624756	0.522949	0.469727	0.223230	-0.642021	0.295779	-0.671187
18698		7.218239	-6.623854	0.033324	-0.116252	0.038852	0.010010	-0.631836	0.525879	0.473145	0.222516	-0.642012	0.296554	-0.671091
18699		7.265045	-6.627627	-0.014059	-0.128887	0.048743	0.015636	-0.625000	0.526367	0.464844	0.221744	-0.641952	0.297436	-0.671014
18700		7.275346	-6.634856	0.004062	-0.145039	0.068350	0.016467	-0.628174	0.525391	0.473145	0.220911	-0.641755	0.298442	-0.671030
18701		7.153664	-6.682422	-0.039790	-0.165872	0.090848	0.013899	-0.627686	0.523682	0.479248	0.219868	-0.641536	0.299592	-0.671069
18702		7.042287	-6.878759	-0.087186	-0.172794	0.093306	0.004295	-0.626709	0.523682	0.479248	0.218722	-0.641392	0.300744	-0.671066
18703		7.035893	-6.943902	-0.140120	-0.159092	0.073325	-0.003678	-0.634033	0.515137	0.476562	0.217690	-0.641346	0.301751	-0.670994
18704		6.991153	-7.029790	-0.179416	-0.111398	0.047162	-0.004373	-0.636475	0.521973	0.476318	0.216833	-0.641329	0.302439	-0.670978
18705		6.951017	-7.058907	-0.141346	-0.065578	0.015362	0.002221	-0.630859	0.529785	0.473877	0.216431	-0.641351	0.302858	-0.670897
18706		6.986519	-6.973075	-0.176352	-0.022067	-0.003991	0.006015	-0.630371	0.526855	0.478516	0.216495	-0.641356	0.303039	-0.670791
18707		7.007978	-6.934274	-0.146635	-0.008390	0.006715	0.002524	-0.630127	0.518311	0.475586	0.216549	-0.641331	0.303164	-0.670741
18708		7.005912	-6.824761	-0.221343	-0.001294	-0.014460	-0.006123	-0.622314	0.519043	0.468262	0.216535	-0.641431	0.303171	-0.670646
18709		7.042825	-6.877715	-0.119883	0.012303	-0.023448	-0.002451	-0.623047	0.519043	0.477539	0.216716	-0.641498	0.303116	-0.670548
18710		7.086112	-6.911193	-0.034075	0.008319	-0.033600	-0.006570	-0.619141	0.524902	0.474854	0.216866	-0.641725	0.303058	-0.670309
18711		7.087877	-6.797984	-0.061671	0.021696	-0.032871	-0.005506	-0.630615	0.523926	0.466309	0.217210	-0.641880	0.302939	-0.670103
18712		7.075785	-6.755237	-0.112401	0.040817	-0.026776	-0.006911	-0.630127	0.526855	0.474121	0.217514	-0.641841	0.302688	-0.670155
18713		7.088335	-6.827783	-0.115476	0.047233	-0.030341	-0.013381	-0.620850	0.519531	0.479004	0.217870	-0.641907	0.302361	-0.670124
18714		7.149822	-6.833934	-0.126552	0.038678	-0.023138	-0.006990	-0.625244	0.524170	0.476807	0.218162	-0.642044	0.302149	-0.669993
18715		7.114781	-6.746952	-0.057255	0.043190	-0.026901	-0.004597	-0.624023	0.524414	0.470459	0.218527	-0.642133	0.301909	-0.669898
18716		7.056307	-6.731087	-0.075406	0.036852	-0.036551	-0.006256	-0.626221	0.522217	0.478760	0.218874	-0.642222	0.301680	-0.669802
18717		7.033437	-6.845547	-0.104730	0.042645	-0.028901	-0.012263	-0.624756	0.522705	0.480713	0.219146	-0.642369	0.301389	-0.669702
18718		7.024351	-6.980899	-0.226404	0.056196	-0.052878	-0.017843	-0.629883	0.521729	0.472412	0.219537	-0.642665	0.300954	-0.669486
18719		6.996341	-6.986985	-0.262811	0.082271	-0.073923	-0.025733	-0.631104	0.526367	0.481689	0.219999	-0.642934	0.300293	-0.669373
18720		6.946645	-6.993221	-0.238414	0.127300	-0.105256	-0.040690	-0.626709	0.527344	0.478271	0.220761	-0.643421	0.299240	-0.669126
18721		6.925078	-7.017031	-0.310928	0.171179	-0.142536	-0.062691	-0.625000	0.527100	0.476074	0.221764	-0.644057	0.297775	-0.668835
18722		6.942136	-6.965122	-0.302560	0.212537	-0.177509	-0.073542	-0.625000	0.529053	0.477295	0.223006	-0.644816	0.295969	-0.668493
18723		6.910924	-6.986020	-0.252009	0.244283	-0.199817	-0.085687	-0.625244	0.519531	0.480469	0.224415	-0.645675	0.293881	-0.668114
18724		6.856476	-6.995417	-0.252065	0.293408	-0.241009	-0.097048	-0.618652	0.524170	0.472900	0.225950	-0.646770	0.291374	-0.667635
18725		6.946804	-7.014346	-0.221965	0.338200	-0.260301	-0.095779	-0.619629	0.523438	0.470703	0.227871	-0.647785	0.288622	-0.667193
18726		7.010269	-6.857634	-0.178611	0.382783	-0.292784	-0.086427	-0.621826	0.520996	0.480957	0.230100	-0.648841	0.285606	-0.666699
18727		7.055294	-6.682045	-0.307555	0.391934	-0.308404	-0.070309	-0.615234	0.531250	0.472168	0.232399	-0.650053	0.282578	-0.666012
18728		7.213687	-6.576885	-0.145661	0.370525	-0.299396	-0.044859	-0.620361	0.532227	0.480225	0.234870	-0.651066	0.279840	-0.665310
18729		7.282537	-6.580997	-0.076658	0.339373	-0.284069	-0.031647	-0.614014	0.535400	0.468750	0.237117	-0.652102	0.277340	-0.664546
18730		7.297889	-6.664226	-0.012527	0.300952	-0.278970	-0.024203	-0.616943	0.542725	0.473145	0.239239	-0.653034	0.275104	-0.663799
18731		7.345367	-6.650972	-0.051093	0.283600	-0.257460	-0.015491	-0.615234	0.537354	0.472168	0.241305	-0.653873	0.273028	-0.663082
18732		7.308808	-6.586322	-0.004887	0.274887	-0.237845	-0.010888	-0.607910	0.537354	0.464600	0.243174	-0.654621	0.271054	-0.662471
18733		7.213540	-6.597486	0.028757	0.273662	-0.239635	-0.027840	-0.605713	0.545410	0.476562	0.244969	-0.655352	0.268996	-0.661926
18734		7.195168	-6.724844	0.008599	0.289265	-0.232695	-0.047240	-0.604736	0.545654	0.471436	0.246814	-0.656172	0.266774	-0.661327
18735		7.431913	-6.653665	-0.001218	0.308673	-0.241031	-0.050824	-0.606689	0.551758	0.469238	0.248741	-0.656945	0.264392	-0.660793
18736		7.439664	-6.525592	-0.015248	0.320164	-0.230421	-0.035902	-0.612549	0.553467	0.471191	0.250837	-0.657553	0.262015	-0.660344
18737		7.052315	-6.479864	-0.076461	0.305698	-0.233638	-0.060075	-0.609619	0.551514	0.469971	0.252644	-0.658265	0.259543	-0.659921
18738		7.023231	-6.738989	-0.285479	0.289475	-0.255563	-0.076547	-0.604736	0.558594	0.474609	0.254267	-0.659172	0.257031	-0.659375
18739		7.149577	-6.860197	-0.161055	0.322067	-0.281290	-0.065790	-0.593018	0.554199	0.481689	0.256296	-0.660170	0.254366	-0.658624
18740		7.347081	-6.742075	-0.017707	0.344535	-0.294172	-0.028854	-0.600098	0.555664	0.473633	0.258625	-0.661234	0.251834	-0.657619
18741		7.367890	-6.428775	0.106625	0.342727	-0.287934	-0.015758	-0.600586	0.558350	0.478271	0.260935	-0.662117	0.249322	-0.656774
18742		7.346233	-6.469292	0.083699	0.299765	-0.251838	-0.015728	-0.593262	0.569336	0.469971	0.262895	-0.662934	0.247118	-0.656001
18743		7.303318	-6.606603	-0.004393	0.262396	-0.246260	-0.022682	-0.592773	0.563232	0.472656	0.264822	-0.663709	0.245072	-0.655209
18744		7.308880	-6.622537	0.025217	0.262058	-0.243880	-0.019671	-0.599365	0.568115	0.467773	0.266600	-0.664513	0.243058	-0.654424
18745		7.441259	-6.362630	-0.066323	0.248832	-0.231343	-0.005999	-0.582031	0.567627	0.474365	0.268360	-0.665161	0.241144	-0.653753
18746		7.449552	-6.429131	-0.010891	0.234874	-0.222165	0.018179	-0.591309	0.569336	0.477539	0.270204	-0.665860	0.239574	-0.652858
18747		7.229130	-6.682216	-0.038214	0.226929	-0.226105	0.026774	-0.588379	0.562988	0.469971	0.271950	-0.666581	0.238028	-0.651963
18748		7.138868	-6.817746	0.038565	0.247902	-0.245839	-0.000928	-0.582275	0.577637	0.472168	0.273605	-0.667361	0.236151	-0.651155
18749		7.220168	-6.572077	-0.115832	0.262743	-0.256968	-0.017992	-0.583252	0.565674	0.469482	0.275506	-0.668184	0.234090	-0.650252
18750		7.307465	-6.538320	-0.082521	0.281881	-0.268768	-0.016305	-0.580078	0.579102	0.466309	0.277304	-0.669030	0.231898	-0.649403
18751		7.279415	-6.678355	-0.021622	0.288908	-0.263283	-0.010508	-0.578125	0.580322	0.470459	0.279383	-0.669750	0.229674	-0.648560
18752		7.319898	-6.693347	0.179139	0.298512	-0.255471	-0.012058	-0.569580	0.577637	0.470947	0.281445	-0.670447	0.227435	-0.647736
18753		7.137943	-6.658317	0.004764	0.300319	-0.255387	-0.022184	-0.569336	0.583496	0.470459	0.283424	-0.671191	0.225184	-0.646889
18754		7.168449	-6.559908	-0.042277	0.296022	-0.279231	-0.040904	-0.574463	0.586914	0.476074	0.285373	-0.672084	0.222775	-0.645939
18755		7.359183	-6.521293	0.063798	0.293877	-0.279073	-0.031740	-0.567627	0.589111	0.462891	0.287289	-0.672988	0.220418	-0.644956
18756		7.457424	-6.399069	0.125909	0.279030	-0.245746	0.001272	-0.563965	0.591064	0.469238	0.289364	-0.673571	0.218341	-0.644126
18757		7.456718	-6.286639	0.199705	0.234792	-0.189931	0.006320	-0.569092	0.584961	0.460938	0.291076	-0.674016	0.216715	-0.643437
