// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
18650		9.390367	0.544608	-2.687495	0.028485	0.015686	-0.012397	-0.951660	-0.001953	-0.173096	0.599103	-0.034085	-0.797657	-0.060476
18651		9.451304	0.468976	-2.653202	0.015544	0.002101	-0.019479	-0.948975	0.000000	-0.171875	0.599112	-0.033877	-0.797659	-0.060471
18652		9.446277	0.487278	-2.665191	0.023146	0.007628	-0.025175	-0.941895	-0.009521	-0.172852	0.599154	-0.033623	-0.797642	-0.060428
18653		9.443859	0.525014	-2.637098	0.037045	0.010138	-0.031331	-0.945801	-0.002930	-0.179688	0.599220	-0.033140	-0.797616	-0.060383
18654		9.484433	0.486561	-2.617954	0.043599	0.015969	-0.029850	-0.951416	-0.006836	-0.178467	0.599325	-0.032713	-0.797564	-0.060247
18655		9.493187	0.463018	-2.549436	0.038464	0.015800	-0.024900	-0.945557	-0.003662	-0.175049	0.599434	-0.032311	-0.797507	-0.060137
18656		9.457126	0.577137	-2.615230	0.018757	0.014613	-0.019853	-0.950195	-0.006348	-0.172119	0.599536	-0.032090	-0.797442	-0.060105
18657		9.466721	0.551215	-2.567455	0.010126	0.011820	-0.022236	-0.946533	-0.003174	-0.175781	0.599619	-0.031877	-0.797385	-0.060154
18658		9.465391	0.505388	-2.591041	0.012110	0.011270	-0.018823	-0.958008	-0.006592	-0.178223	0.599704	-0.031711	-0.797327	-0.060155
18659		9.464162	0.566837	-2.617788	0.012113	0.011272	-0.018827	-0.950684	-0.004395	-0.171143	0.599796	-0.031513	-0.797265	-0.060170
18660		9.465551	0.566855	-2.636223	-0.000903	0.015975	-0.017383	-0.942871	-0.007812	-0.172363	0.599916	-0.031421	-0.797172	-0.060250
18661		9.448076	0.543226	-2.641734	-0.000158	0.015531	-0.014384	-0.950195	-0.013184	-0.171387	0.600039	-0.031308	-0.797078	-0.060328
18662		9.482347	0.578589	-2.662635	-0.014095	0.016540	-0.008768	-0.951660	-0.010498	-0.178467	0.600172	-0.031258	-0.796968	-0.060491
18663		9.447357	0.552399	-2.595374	-0.018343	0.015989	-0.005903	-0.943359	-0.003662	-0.175781	0.600318	-0.031270	-0.796845	-0.060655
18664		9.524992	0.535650	-2.545310	-0.021167	0.009838	-0.006148	-0.944092	-0.008057	-0.171387	0.600396	-0.031365	-0.796771	-0.060804
18665		9.451429	0.548274	-2.652232	-0.009579	0.020375	-0.008128	-0.948242	-0.006348	-0.169922	0.600539	-0.031347	-0.796656	-0.060906
18666		9.444205	0.600707	-2.635205	-0.019787	0.013349	-0.011383	-0.948730	-0.002197	-0.176270	0.600638	-0.031383	-0.796566	-0.061078
18667		9.474003	0.595589	-2.619541	-0.023309	0.019952	-0.008133	-0.951172	-0.005615	-0.175781	0.600823	-0.031488	-0.796410	-0.061247
18668		9.483544	0.517993	-2.616087	-0.029691	0.021908	-0.004632	-0.948975	-0.003418	-0.174805	0.601017	-0.031617	-0.796242	-0.061456
18669		9.493759	0.518541	-2.601484	-0.030395	0.018822	-0.007108	-0.952881	0.002930	-0.175781	0.601175	-0.031754	-0.796101	-0.061668
18670		9.480611	0.481579	-2.573201	-0.012410	0.019807	-0.009962	-0.951660	0.001221	-0.172852	0.601362	-0.031839	-0.795951	-0.061740
18671		9.470969	0.487683	-2.560620	-0.000741	0.019733	-0.010305	-0.948486	-0.005615	-0.180664	0.601528	-0.031849	-0.795826	-0.061734
18672		9.487808	0.547313	-2.543157	0.002960	0.017384	-0.008009	-0.952393	-0.002197	-0.171875	0.601721	-0.031801	-0.795681	-0.061740
18673		9.498633	0.517469	-2.515084	0.003053	0.018443	-0.011083	-0.955566	-0.006592	-0.175537	0.601875	-0.031761	-0.795568	-0.061718
18674		9.465418	0.461269	-2.570100	0.001699	0.011388	-0.005321	-0.956055	-0.006836	-0.178955	0.602023	-0.031748	-0.795458	-0.061697
18675		9.459775	0.456032	-2.640728	0.010005	0.015964	-0.006474	-0.951416	-0.005859	-0.185303	0.602227	-0.031687	-0.795312	-0.061630
18676		9.507642	0.475006	-2.616746	0.022856	0.022870	-0.007471	-0.946533	-0.007080	-0.177979	0.602499	-0.031555	-0.795121	-0.061494
18677		9.533477	0.477888	-2.518028	0.028735	0.026154	-0.009973	-0.942871	-0.005615	-0.173828	0.602714	-0.031348	-0.794980	-0.061318
