// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
18650		3.866378	-1.681547	8.937439	-0.010983	0.003390	0.003825	-0.335205	0.331543	-0.590088	0.572309	-0.213497	-0.047007	-0.790362
18651		3.824495	-1.811568	8.863142	-0.010389	0.010549	0.006935	-0.331543	0.334717	-0.585693	0.572341	-0.213480	-0.046876	-0.790351
18652		3.709594	-1.829528	8.797783	-0.005064	0.010728	0.010007	-0.325439	0.322266	-0.588379	0.572404	-0.213440	-0.046768	-0.790323
18653		3.689917	-1.767633	8.816423	-0.005108	0.005913	0.026368	-0.325439	0.330322	-0.595947	0.572571	-0.213436	-0.046656	-0.790209
18654		3.714605	-1.661760	8.898055	-0.008657	0.004439	0.025185	-0.333008	0.325928	-0.592041	0.572725	-0.213458	-0.046526	-0.790100
18655		3.663699	-1.594259	8.838700	-0.014562	0.007213	0.015459	-0.323730	0.332520	-0.590088	0.572805	-0.213482	-0.046360	-0.790044
18656		3.632600	-1.656400	8.826322	-0.022266	0.002544	0.006528	-0.328857	0.329102	-0.586670	0.572813	-0.213563	-0.046180	-0.790028
18657		3.624946	-1.741783	8.796731	-0.026331	-0.006273	0.008057	-0.325195	0.332031	-0.593262	0.572821	-0.213716	-0.046009	-0.789991
18658		3.723417	-1.769581	8.842081	-0.029612	-0.009510	0.008959	-0.336182	0.328369	-0.595703	0.572830	-0.213901	-0.045820	-0.789945
18659		3.753360	-1.735128	8.826869	-0.025540	-0.004768	0.010019	-0.330322	0.329590	-0.585693	0.572857	-0.214034	-0.045626	-0.789900
18660		3.680915	-1.713457	8.899297	-0.025177	-0.003840	-0.000049	-0.323975	0.330566	-0.584473	0.572820	-0.214155	-0.045443	-0.789905
18661		3.732373	-1.720303	8.841405	-0.028052	-0.006925	-0.005874	-0.328857	0.325195	-0.587402	0.572740	-0.214299	-0.045259	-0.789934
18662		3.792996	-1.763933	8.884215	-0.028018	-0.003616	-0.005104	-0.332275	0.326416	-0.588867	0.572668	-0.214418	-0.045053	-0.789966
18663		3.801160	-1.757225	8.867282	-0.026524	0.003655	-0.009598	-0.321533	0.331543	-0.589355	0.572573	-0.214481	-0.044826	-0.790031
18664		3.672988	-1.725098	8.852980	-0.029324	0.004463	-0.012169	-0.325195	0.327637	-0.581787	0.572457	-0.214554	-0.044577	-0.790109
18665		3.714957	-1.690744	8.830299	-0.034758	-0.005606	-0.017536	-0.325439	0.330566	-0.581299	0.572293	-0.214709	-0.044346	-0.790199
18666		3.736551	-1.700175	8.889273	-0.040552	0.000309	-0.020644	-0.328369	0.335938	-0.583984	0.572103	-0.214844	-0.044051	-0.790316
18667		3.727218	-1.754558	8.851647	-0.045092	0.001654	-0.021743	-0.334229	0.328613	-0.585938	0.571902	-0.214983	-0.043718	-0.790443
18668		3.683397	-1.785820	8.838408	-0.045086	-0.002422	-0.019163	-0.331543	0.331299	-0.584473	0.571713	-0.215142	-0.043396	-0.790554
