// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07456		7.654162	-5.054772	-3.191295	-0.059013	0.022686	-0.006617	-0.208252	0.747070	0.101807	0.531461	-0.683024	-0.444661	-0.230878
07457		7.606807	-5.291605	-3.438484	0.033172	-0.026422	-0.005686	-0.222168	0.755371	0.100098	0.531541	-0.682906	-0.444874	-0.230630
07458		7.818627	-5.250738	-3.692468	0.101090	-0.061988	-0.001578	-0.218018	0.760498	0.100098	0.531883	-0.682563	-0.445360	-0.229917
07459		7.797043	-5.086648	-3.493200	0.027317	0.006401	0.024880	-0.213379	0.759277	0.096924	0.532106	-0.682526	-0.445244	-0.229738
07460		7.570901	-5.128760	-3.218355	-0.003791	0.039480	0.055586	-0.214844	0.760742	0.103027	0.532328	-0.682679	-0.444750	-0.229727
07461		7.436804	-5.757231	-3.059630	0.026228	0.040753	0.057122	-0.207520	0.755615	0.098145	0.532729	-0.682703	-0.444297	-0.229602
07462		7.364775	-5.819430	-3.173404	0.066793	0.006176	0.036801	-0.205322	0.764404	0.092529	0.533209	-0.682544	-0.444173	-0.229199
07463		7.407614	-5.556038	-3.069009	-0.013567	0.043953	0.037248	-0.208008	0.758789	0.091553	0.533389	-0.682683	-0.443704	-0.229278
07464		7.335522	-5.580792	-2.800169	-0.105221	0.079633	0.038371	-0.201416	0.762695	0.097656	0.533196	-0.683170	-0.442877	-0.229872
07465		7.199326	-5.870328	-3.128104	-0.064914	0.053447	0.013636	-0.201660	0.760254	0.100098	0.533118	-0.683438	-0.442357	-0.230257
07466		7.329832	-5.681570	-3.134521	-0.001786	0.013130	-0.004560	-0.204590	0.768311	0.097168	0.533241	-0.683454	-0.442208	-0.230212
07467		7.503092	-5.257559	-2.974791	-0.070267	0.053375	0.003025	-0.202148	0.760254	0.104736	0.533154	-0.683739	-0.441681	-0.230578
07468		7.362970	-5.652477	-3.153892	-0.111237	0.072127	0.008708	-0.202637	0.762695	0.098633	0.532927	-0.684187	-0.440949	-0.231173
07469		7.423482	-5.549470	-3.216127	-0.028812	0.030736	-0.001878	-0.211914	0.760498	0.095947	0.533014	-0.684326	-0.440594	-0.231239
07470		7.571405	-5.257670	-3.205350	-0.022713	0.023757	0.004106	-0.198486	0.759277	0.094727	0.533131	-0.684487	-0.440230	-0.231187
07471		7.735065	-5.182859	-3.138464	-0.030587	0.022345	0.018177	-0.211670	0.752197	0.102539	0.533217	-0.684739	-0.439783	-0.231090
07472		7.630208	-5.397486	-3.261042	-0.021687	0.027740	0.023168	-0.209961	0.764404	0.103271	0.533377	-0.684953	-0.439311	-0.230984
07473		7.468075	-5.575792	-3.265177	-0.015571	0.029202	0.028035	-0.206299	0.761719	0.100342	0.533603	-0.685172	-0.438790	-0.230804
