// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
10197		9.578045	-0.349068	-2.321057	0.130327	-0.004410	-0.054001	-0.539795	0.458496	0.541260	0.256125	-0.726769	-0.299151	-0.562774
10198		9.470082	-0.364528	-2.260809	0.114315	0.002817	-0.057382	-0.539307	0.465820	0.542236	0.256555	-0.726369	-0.300028	-0.562629
10199		9.559020	-0.314611	-2.235025	0.087631	0.006322	-0.043897	-0.546631	0.456543	0.534180	0.256901	-0.726044	-0.300690	-0.562537
10200		9.556872	-0.309053	-2.287856	0.041172	0.013153	-0.035583	-0.546143	0.461426	0.534424	0.257017	-0.725804	-0.301070	-0.562591
10201		9.551886	-0.446065	-2.367361	0.006586	0.020180	-0.032009	-0.542236	0.462646	0.538574	0.256957	-0.725614	-0.301251	-0.562766
10202		9.528425	-0.419777	-2.315316	-0.001046	0.019396	-0.034626	-0.552246	0.459961	0.545166	0.256839	-0.725439	-0.301413	-0.562959
10203		9.508958	-0.363021	-2.274887	-0.024166	0.014802	-0.024015	-0.543213	0.461670	0.538574	0.256622	-0.725363	-0.301409	-0.563158
10204		9.559411	-0.451873	-2.278237	-0.034867	0.010785	-0.013989	-0.545898	0.458008	0.538818	0.256379	-0.725354	-0.301302	-0.563337
10205		9.564670	-0.298577	-2.268537	-0.044450	0.011021	-0.011010	-0.556396	0.453125	0.536133	0.256099	-0.725373	-0.301126	-0.563534
10206		9.612013	-0.094764	-2.258469	-0.086629	0.019120	-0.005010	-0.541992	0.452393	0.536621	0.255611	-0.725457	-0.300699	-0.563875
10207		9.593209	-0.141383	-2.330141	-0.145391	0.028667	-0.011478	-0.545410	0.453369	0.545654	0.254751	-0.725598	-0.300024	-0.564443
10208		9.548356	-0.358380	-2.287565	-0.195459	0.044467	-0.015791	-0.557861	0.453369	0.535645	0.253595	-0.725756	-0.299113	-0.565242
10209		9.516512	-0.466327	-2.249846	-0.202713	0.039462	-0.004302	-0.537354	0.457764	0.550537	0.252440	-0.725982	-0.298106	-0.566001
10210		9.468586	-0.426211	-2.372366	-0.167864	0.019670	0.001427	-0.551025	0.450439	0.542725	0.251487	-0.726244	-0.297258	-0.566535
10211		9.559505	-0.282632	-2.399295	-0.157158	0.023764	0.013483	-0.535400	0.447021	0.543701	0.250672	-0.726501	-0.296374	-0.567030
10212		9.589731	-0.293078	-2.409493	-0.197521	0.032447	0.009909	-0.545898	0.446045	0.543701	0.249611	-0.726799	-0.295305	-0.567673
10213		9.601106	-0.479907	-2.441901	-0.263055	0.052856	-0.000565	-0.550537	0.443115	0.552734	0.248150	-0.727115	-0.293948	-0.568612
10214		9.504744	-0.626518	-2.404401	-0.248180	0.057071	-0.002940	-0.548340	0.438965	0.549561	0.246788	-0.727389	-0.292657	-0.569520
10215		9.435428	-0.608670	-2.403916	-0.233158	0.034807	0.004260	-0.549805	0.441406	0.550781	0.245518	-0.727767	-0.291420	-0.570219
10216		9.513851	-0.527831	-2.443822	-0.222447	0.018040	0.013489	-0.543945	0.443848	0.546875	0.244343	-0.728244	-0.290189	-0.570743
10217		9.538873	-0.658518	-2.516143	-0.229032	0.018568	0.015449	-0.546387	0.437256	0.552490	0.243152	-0.728747	-0.288895	-0.571266
10218		9.519025	-0.672710	-2.413362	-0.218172	0.028105	0.020843	-0.549316	0.430908	0.554199	0.242091	-0.729219	-0.287591	-0.571772
10219		9.491031	-0.517817	-2.345293	-0.234458	0.010816	0.024166	-0.545166	0.428711	0.553223	0.240925	-0.729823	-0.286212	-0.572185
10220		9.518975	-0.359131	-2.303841	-0.225755	-0.000060	0.033656	-0.551025	0.430908	0.560059	0.239829	-0.730475	-0.284832	-0.572501
10221		9.579316	-0.392627	-2.279122	-0.180974	-0.001377	0.045351	-0.547119	0.421875	0.549316	0.239092	-0.731105	-0.283581	-0.572627
10222		9.587063	-0.462373	-2.251086	-0.151021	0.000450	0.052126	-0.548096	0.427490	0.553711	0.238515	-0.731600	-0.282439	-0.572800
10223		9.571030	-0.326070	-2.207452	-0.136349	0.003438	0.054996	-0.541992	0.430176	0.562256	0.238096	-0.732096	-0.281308	-0.572898
10224		9.572021	-0.168245	-2.197276	-0.145303	0.000074	0.055300	-0.548584	0.428711	0.566162	0.237618	-0.732647	-0.280161	-0.572953
10225		9.616617	-0.097893	-2.184162	-0.168952	0.008336	0.052307	-0.550293	0.426025	0.563721	0.237023	-0.733206	-0.278911	-0.573095
10226		9.534699	-0.176211	-2.178571	-0.199584	0.017701	0.052506	-0.551514	0.413574	0.557861	0.236235	-0.733741	-0.277502	-0.573419
10227		9.522198	-0.424495	-2.180941	-0.195537	0.015967	0.054964	-0.552246	0.418457	0.566895	0.235385	-0.734180	-0.276152	-0.573859
10228		9.577737	-0.523745	-2.203881	-0.165362	0.013912	0.053715	-0.543701	0.420898	0.560059	0.234783	-0.734629	-0.274941	-0.574112
10229		9.625118	-0.401874	-2.223771	-0.122528	0.006181	0.049302	-0.547852	0.403809	0.568359	0.234362	-0.734983	-0.273929	-0.574315
10230		9.611344	-0.163628	-2.177789	-0.113383	0.001433	0.042462	-0.545166	0.416992	0.569580	0.233902	-0.735287	-0.273141	-0.574488
10231		9.614612	-0.069336	-2.226295	-0.135875	0.005705	0.034400	-0.545654	0.414795	0.574219	0.233339	-0.735651	-0.272210	-0.574694
10232		9.579890	-0.174068	-2.274690	-0.149311	0.013204	0.036355	-0.538330	0.416504	0.571533	0.232702	-0.736008	-0.271228	-0.574959
10233		9.517724	-0.298317	-2.312547	-0.162640	0.012773	0.031722	-0.546387	0.415771	0.580078	0.231915	-0.736371	-0.270202	-0.575295
10234		9.559245	-0.350304	-2.306809	-0.173258	0.019266	0.037852	-0.539307	0.419434	0.580811	0.231170	-0.736770	-0.269094	-0.575603
10235		9.616963	-0.300421	-2.344412	-0.147766	0.017984	0.034895	-0.545410	0.412354	0.570557	0.230563	-0.737135	-0.268116	-0.575836
10236		9.610775	-0.202784	-2.309998	-0.122256	0.020134	0.038800	-0.542236	0.405762	0.574951	0.230078	-0.737374	-0.267201	-0.576149
10237		9.584745	-0.166332	-2.282257	-0.131540	0.013709	0.040250	-0.539551	0.406494	0.576172	0.229466	-0.737663	-0.266306	-0.576437
10238		9.534419	-0.191974	-2.297684	-0.139155	0.010332	0.044153	-0.543457	0.403076	0.576904	0.228812	-0.738000	-0.265356	-0.576704
10239		9.512033	-0.292134	-2.241099	-0.158433	0.013126	0.045891	-0.543701	0.411377	0.587158	0.228041	-0.738351	-0.264308	-0.577041
10240		9.588183	-0.380592	-2.292932	-0.160211	0.020440	0.055001	-0.549805	0.405518	0.593018	0.227412	-0.738757	-0.263172	-0.577289
10241		9.635920	-0.318912	-2.220542	-0.140644	0.018011	0.055225	-0.543945	0.397705	0.596436	0.226888	-0.739133	-0.262173	-0.577468
10242		9.566454	-0.362250	-2.256676	-0.134213	0.021057	0.054524	-0.531738	0.411865	0.592041	0.226334	-0.739480	-0.261248	-0.577661
10243		9.523368	-0.444748	-2.216083	-0.132865	0.022881	0.046226	-0.537842	0.401855	0.587158	0.225839	-0.739829	-0.260276	-0.577846
10244		9.558647	-0.481036	-2.270985	-0.128422	0.019591	0.057936	-0.528320	0.409180	0.594238	0.225350	-0.740149	-0.259276	-0.578077
10245		9.519892	-0.546024	-2.370959	-0.080455	0.018164	0.065044	-0.537842	0.397705	0.598633	0.225254	-0.740475	-0.258437	-0.578072
10246		9.545869	-0.514125	-2.301219	-0.030562	0.008465	0.056382	-0.538086	0.399414	0.602295	0.225338	-0.740711	-0.257990	-0.577937
10247		9.551103	-0.383179	-2.257196	-0.020454	-0.001859	0.056245	-0.535889	0.396240	0.604980	0.225493	-0.740996	-0.257616	-0.577678
10248		9.531338	-0.327317	-2.287773	-0.033177	-0.008307	0.061038	-0.532959	0.401855	0.603516	0.225554	-0.741352	-0.257197	-0.577385
10249		9.549426	-0.414240	-2.289517	-0.047257	-0.008755	0.070567	-0.531738	0.403564	0.594238	0.225614	-0.741760	-0.256611	-0.577098
10250		9.537003	-0.465608	-2.300522	-0.035470	-0.004824	0.076263	-0.533203	0.399658	0.604248	0.225764	-0.742096	-0.255971	-0.576892
10251		9.542433	-0.404734	-2.220024	-0.021826	-0.008610	0.086494	-0.533936	0.399414	0.610107	0.226036	-0.742474	-0.255425	-0.576539
10252		9.617727	-0.383669	-2.196225	-0.042224	-0.020159	0.096830	-0.531494	0.399902	0.614990	0.226229	-0.742977	-0.254783	-0.576101
10253		9.519914	-0.525003	-2.342283	-0.038611	-0.023348	0.109020	-0.531982	0.403809	0.614502	0.226519	-0.743518	-0.254115	-0.575583
10254		9.543172	-0.720890	-2.429226	0.003567	-0.021475	0.093887	-0.527832	0.400146	0.613281	0.227034	-0.743917	-0.253705	-0.575044
10255		9.516364	-0.783211	-2.345057	-0.020127	-0.030530	0.063636	-0.525391	0.395996	0.620117	0.227183	-0.744329	-0.253366	-0.574603
10256		9.415403	-0.751030	-2.309410	-0.003963	-0.036100	0.042005	-0.520264	0.401855	0.619385	0.227309	-0.744689	-0.253250	-0.574137
10257		9.421506	-0.919141	-2.379869	0.039353	-0.052191	0.057633	-0.525879	0.395020	0.622559	0.227752	-0.745066	-0.253175	-0.573506
10258		9.475706	-1.125437	-2.449715	0.030814	-0.044830	0.066815	-0.518799	0.404541	0.629883	0.228179	-0.745422	-0.252971	-0.572963
10259		9.517752	-1.073930	-2.419003	0.038440	-0.021884	0.049052	-0.515625	0.397705	0.628174	0.228640	-0.745626	-0.252822	-0.572579
10260		9.493689	-0.988359	-2.274979	0.093785	-0.007828	0.011005	-0.522217	0.400635	0.633057	0.229290	-0.745576	-0.253131	-0.572247
10261		9.459897	-0.892740	-2.254613	0.112353	-0.004284	-0.013935	-0.518066	0.409424	0.636230	0.229957	-0.745421	-0.253670	-0.571943
