// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
04827		8.446624	-4.390918	-1.915309	-0.123903	0.098129	0.019582	-0.383057	0.667725	0.032227	0.572676	-0.616146	-0.468088	-0.270739
04828		8.564184	-4.439816	-1.956535	-0.097116	0.077643	0.009908	-0.374512	0.660645	0.029297	0.572502	-0.616473	-0.467447	-0.271470
04829		8.541231	-4.419041	-1.942585	-0.090255	0.070116	0.002135	-0.378418	0.674805	0.034668	0.572320	-0.616752	-0.466894	-0.272168
04830		8.451207	-4.378125	-2.084712	-0.089643	0.069330	-0.004524	-0.381592	0.663574	0.037842	0.572119	-0.617005	-0.466384	-0.272894
04831		8.395053	-4.345251	-2.255621	-0.062933	0.027566	-0.017092	-0.380859	0.664062	0.028564	0.571860	-0.617178	-0.466199	-0.273361
04832		8.530820	-4.324393	-2.150496	-0.042410	0.003779	-0.016667	-0.375732	0.666992	0.034424	0.571606	-0.617315	-0.466177	-0.273619
04833		8.373268	-4.525746	-1.567821	-0.118804	0.041030	-0.016219	-0.384277	0.669678	0.035645	0.571097	-0.617736	-0.465806	-0.274363
04834		8.311024	-4.089135	-3.031709	-0.010252	-0.065178	-0.057897	-0.376221	0.666016	0.040771	0.570655	-0.617715	-0.466391	-0.274336
04835		8.583880	-3.974965	-2.906878	0.014448	-0.153094	-0.062486	-0.378174	0.662354	0.033203	0.569933	-0.617791	-0.467507	-0.273766
04836		8.948033	-4.097493	-2.109933	-0.111807	-0.042348	-0.004876	-0.374023	0.667969	0.035889	0.569066	-0.618461	-0.467552	-0.273981
04837		9.000090	-4.297984	-1.494012	-0.162957	0.095367	0.051989	-0.376465	0.660645	0.041992	0.568587	-0.619267	-0.466551	-0.274858
04838		8.611413	-4.529408	-1.520740	-0.073343	0.102638	0.061730	-0.376221	0.668701	0.036133	0.568649	-0.619634	-0.465662	-0.275411
04839		8.476237	-4.351144	-1.909307	0.054194	0.034234	0.058712	-0.371094	0.665039	0.033936	0.569132	-0.619522	-0.465383	-0.275139
04840		8.602410	-4.063195	-2.160940	0.044406	0.019520	0.074465	-0.381592	0.664062	0.038574	0.569549	-0.619548	-0.465065	-0.274754
04841		8.707798	-4.037422	-2.247679	-0.017882	0.038404	0.067830	-0.371094	0.674805	0.045654	0.569675	-0.619799	-0.464574	-0.274756
04842		8.629670	-4.247066	-2.043804	-0.014197	0.050333	0.037786	-0.370361	0.662109	0.037109	0.569764	-0.619888	-0.464217	-0.274972
04843		8.463005	-4.206228	-2.143526	0.027764	0.009120	-0.009623	-0.370361	0.669678	0.034668	0.569806	-0.619684	-0.464404	-0.275029
04844		8.414445	-4.164606	-2.332738	0.069099	-0.069094	-0.047063	-0.371094	0.670654	0.031494	0.569646	-0.619323	-0.465271	-0.274711
04845		8.611719	-4.087743	-2.182565	0.039873	-0.106320	-0.068986	-0.373291	0.675537	0.035645	0.569105	-0.619114	-0.466387	-0.274410
04846		8.770477	-3.917924	-2.308849	0.019806	-0.098784	-0.075311	-0.371582	0.671875	0.036865	0.568435	-0.618961	-0.467477	-0.274289
04847		8.807073	-3.822388	-2.305842	-0.016019	-0.067842	-0.062017	-0.373047	0.671875	0.031494	0.567711	-0.618954	-0.468290	-0.274419
04848		8.758551	-3.929241	-2.250934	-0.065583	-0.029610	-0.043203	-0.373047	0.672119	0.040283	0.566885	-0.619147	-0.468769	-0.274870
04849		8.627061	-4.043159	-2.136852	-0.070780	-0.021375	-0.036675	-0.378174	0.667725	0.044189	0.566050	-0.619379	-0.469160	-0.275402
04850		8.673266	-4.148294	-2.107336	-0.027100	-0.042564	-0.044373	-0.372559	0.663330	0.044678	0.565332	-0.619422	-0.469797	-0.275693
04851		8.694300	-4.030159	-2.119377	0.008332	-0.047120	-0.053223	-0.369873	0.671143	0.042725	0.564834	-0.619270	-0.470520	-0.275823
04852		8.757299	-3.960631	-2.149807	-0.006701	-0.039070	-0.051190	-0.379395	0.671143	0.039795	0.564248	-0.619169	-0.471186	-0.276111
04853		8.687205	-4.061684	-2.137365	-0.039856	-0.010232	-0.043622	-0.373779	0.674072	0.030273	0.563554	-0.619159	-0.471707	-0.276660
04854		8.599139	-4.173897	-2.047208	-0.051924	0.008676	-0.038995	-0.375732	0.668701	0.041748	0.562928	-0.619139	-0.472117	-0.277280
04855		8.586529	-4.193239	-2.060725	-0.049689	-0.001012	-0.041446	-0.378174	0.674316	0.040527	0.562309	-0.619164	-0.472471	-0.277877
04856		8.604732	-4.256974	-2.007383	-0.061656	-0.014033	-0.044920	-0.372559	0.677734	0.042725	0.561508	-0.619249	-0.472929	-0.278526
04857		8.657135	-4.232471	-2.044916	-0.065481	-0.016069	-0.050323	-0.373779	0.681641	0.051514	0.560704	-0.619356	-0.473325	-0.279235
04858		8.665908	-4.151074	-2.020583	-0.054345	-0.031132	-0.053295	-0.372559	0.664307	0.042236	0.559823	-0.619488	-0.473756	-0.279976
04859		8.664952	-4.127461	-2.180168	-0.053753	-0.028607	-0.053465	-0.370850	0.678223	0.052734	0.559262	-0.619542	-0.474141	-0.280329
04860		8.596484	-4.179777	-2.090250	-0.071727	-0.022118	-0.047308	-0.372803	0.674072	0.053955	0.558430	-0.619778	-0.474367	-0.281082
04861		8.608264	-4.312466	-2.058237	-0.051597	-0.031739	-0.042925	-0.373047	0.677002	0.040771	0.557720	-0.619963	-0.474641	-0.281622
04862		8.623441	-4.218373	-2.021257	-0.032219	-0.034742	-0.043200	-0.372070	0.677002	0.047363	0.557150	-0.619985	-0.475109	-0.281911
04863		8.555443	-4.134953	-2.059504	-0.039642	-0.037874	-0.041889	-0.367188	0.676514	0.044678	0.556536	-0.620101	-0.475463	-0.282271
04864		8.563634	-4.207032	-2.098333	-0.043450	-0.038121	-0.042015	-0.365967	0.683105	0.045166	0.555983	-0.620240	-0.475753	-0.282566
04865		8.591453	-4.222289	-2.146232	-0.026873	-0.040849	-0.049222	-0.370361	0.673828	0.043457	0.555430	-0.620310	-0.476120	-0.282882
04866		8.595737	-4.226368	-2.226769	-0.004295	-0.061251	-0.060839	-0.377197	0.682129	0.052002	0.554999	-0.620221	-0.476730	-0.282896
